Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-glob-005.txt
Log File Name:                   CEREB_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2766487865
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	568.046627	1	-1.151072284560	1.269437673868	-0.037291891773	-0.103445670662	0.025074925864	0.000093540380	0.987217851450	N\A	0.064054171262	0.007896926791	0.031914759126	0.005173584257	41	0	0.003292226350	Global Trend	
2050000	579.333838	1	-1.092158367654	1.176618320710	-0.025278468310	-0.060639725985	0.016784336077	0.000104982791	0.983160873291	N\A	0.076998850982	0.009510315337	0.038057229915	0.006176855789	28	1	0.000405716363	Global Trend	
2100000	580.447487	1	-0.904234864811	1.010739314072	0.000646544387	-0.015077627692	0.004329736598	0.000070219627	0.997374762154	N\A	0.024639158492	0.003114009929	0.025936285533	0.004221948394	32	2	-0.060801664318	Global Trend	
2150000	576.257472	1	-1.153623120399	1.219496552859	-0.031100458546	-0.072549147266	0.016790343063	0.000065641491	0.987363389113	N\A	0.071597316137	0.009216604807	0.033557334082	0.005854213501	40	1	-0.000029111105	Global Trend	
2200000	560.288390	1	-0.941009766915	1.074760071232	-0.012893481708	0.009830935128	0.004631999924	0.000072103628	0.982030519275	N\A	0.056577039340	0.007541114078	0.032263728047	0.005726854107	32	0	0.004137419990	Global Trend	
2250000	577.539315	1	-1.122378178989	1.147958078083	-0.021860646163	-0.005669166375	0.005448949059	0.000089954015	0.986091322207	N\A	0.068837136550	0.008432261243	0.033019641502	0.005464261361	35	1	0.000435054885	Global Trend	
2300000	571.049780	1	-0.798912402401	0.960795345941	0.001398277341	0.036169688088	0.001241138334	0.000099839774	0.999860981796	N\A	0.022445668996	0.003019815315	0.024142324057	0.004230043722	43	1	-0.303546078038	Global Trend	
2350000	575.952594	1	-1.137543525891	1.210627809278	-0.030736637904	-0.056255508654	0.016221766746	0.000084461643	0.983279971545	N\A	0.070861640453	0.008641310922	0.035529608255	0.005698718165	36	0	0.001175614568	Global Trend	
2400000	581.326613	1	-0.885822400277	1.047658746615	-0.015994989864	0.027915399117	0.007990685048	0.000082430488	0.986798976136	N\A	0.053740925150	0.006582967986	0.031721885734	0.005090948402	32	1	0.005065135014	Global Trend	
2450000	577.147767	1	-1.075229146842	1.117186739865	-0.017586427538	-0.006863953862	0.006823859789	0.000097478967	0.988661912886	N\A	0.064348573203	0.008212899600	0.032034809255	0.005446433831	42	1	-0.000914013573	Global Trend	
2500000	551.997800	1	-1.186341231664	1.187965774545	-0.030238365788	0.024449082451	0.002400949451	0.000091436224	0.987136583031	N\A	0.074192918217	0.009291973062	0.034647144109	0.005763466450	38	0	0.000242661050	Global Trend	
2550000	567.762528	1	-0.815758038346	0.965834354523	-0.004629147586	0.077580372183	-0.000471084364	0.000076380216	0.986021551933	N\A	0.045505369039	0.005589059888	0.027848069564	0.004573709700	38	0	0.005421168666	Global Trend	
2600000	577.003797	1	-0.717162092510	0.924931711620	0.001207509456	0.073804749383	-0.001525011754	0.000076650433	0.999718934858	N\A	0.023070652895	0.003561367823	0.024795744524	0.004461933300	37	0	-0.205132223007	Global Trend	
2650000	578.992733	1	-1.055706721582	1.186717580079	-0.030585142608	-0.025970406185	0.014169412762	0.000085424336	0.987340171276	N\A	0.065612291530	0.008084624367	0.033317546679	0.005542255023	31	0	0.003349959620	Global Trend	
2700000	569.922218	1	-0.939805831196	1.070320422313	-0.015598079462	0.012030131824	0.009768050717	0.000081199637	0.983325739584	N\A	0.053103268248	0.007026482151	0.029470486715	0.005181206791	35	0	0.003081168496	Global Trend	
2750000	570.043012	1	-1.067046631800	1.125956064676	-0.012208519388	-0.051885641393	0.009488638889	0.000093995975	0.984076174415	N\A	0.071184976210	0.008948850861	0.034275777350	0.005745628922	32	0	-0.000273078704	Global Trend	
