Species_TTOL	MED	rest_of_brain
Nyctimene_albiventer	1.787	2.89166094946112
Nyctimene_robinsoni	1.923	3.06521908417013
Nyctimene_vizcaccia	1.851	2.97019608506253
Paranyctimene_raptor	1.713	2.83904237199348
Pteropus_alecto	2.593	3.82069860124938
Pteropus_conspicillatus	2.616	3.89493121910952
Pteropus_hypomelanus	2.502	3.69716131393364
Pteropus_lylei	2.513	3.75598421253182
Pteropus_neohibernicus	2.679	3.92848620624869
Pteropus_poliocephalus	2.635	3.83016987335255
Pteropus_samoensis	2.513	3.73626675041077
Pteropus_scapulatus	2.454	3.70549571470575
Pteropus_temminckii	2.436	3.66354900940771
Pteropus_tonganus	2.56	3.75825829746648
Pteropus_vampyrus	2.652	3.92972371176801
Rousettus_aegyptiacus	2.182	3.32486399626551
Rousettus_amplexicaudatus	2.042	3.1617898919156
Scotonycteris_zenkeri	1.748	2.8251361190744
Sphaerias_blanfordi	1.839	2.89058047078486
Syconycteris_australis	1.623	2.75449107699007
Anoura_caudifer	1.591	2.5806238378183
Anoura_geoffroyi	1.716	2.74657171798292
Ardops_nichollsi	1.696	2.72119019257957
Artibeus_cinereus	1.618	2.64696591916355
Artibeus_concolor	1.742	2.77277474031503
Artibeus_jamaicensis	1.923	2.98333261088124
Artibeus_lituratus	1.976	3.06496819373968
Aselliscus_stoliczkanus	1.356	2.14627742243429
Aselliscus_tricuspidatus	1.294	2.0993562087761
Brachyphylla_cavernarum	2.026	3.05292228999784
Cardioderma_cor	1.854	2.79992584642206
Carollia_perspicillata	1.691	2.71324648190518
Chalinolobus_gouldii	1.528	2.35195774032069
Chalinolobus_morio	1.447	2.24071974568802
Chiroderma_salvini	1.851	2.88624082329356
Chiroderma_trinitatum	1.66	2.70539048497075
Chiroderma_villosum	1.794	2.82351695180044
Choeroniscus_minor	1.547	2.5659450134905
Coleura_afra	1.52	2.38684133903795
Cormura_brevirostris	1.438	2.31547900333038
Craseonycteris_thonglongyai	1.127	1.91186407137902
Desmodus_rotundus	1.903	2.97496949473285
Diphylla_ecaudata	1.8	2.87975236516861
Emballonura_monticola	1.322	2.19689550326823
Emballonura_raffrayana	1.364	2.21750313113026
Eptesicus_brasiliensis	1.417	2.27704088235613
Eptesicus_fuscus_bahamensis	1.493	2.3513653086034
Eumops_auripendulus	1.904	2.75999624802448
Eumops_glaucinus	1.915	2.79101278730558
Furipterus_horrens	1.212	2.07959239815975
Glischropus_tylopus	1.212	1.97312302120491
Glossophaga_longirostris	1.624	2.6169266719764
Glossophaga_soricina	1.579	2.57354501835856
Harpiocephalus_harpia	1.634	2.62086344715862
Hesperoptenus_blanfordi	1.394	2.16984821507198
Hipposideros_armiger	2.024	2.87560056473481
Hipposideros_ater	1.455	2.30545128539469
Hipposideros_caffer	1.592	2.4627759440208
Macronycteris_commersoni	1.937	2.84697711567035
Hipposideros_diadema	1.943	2.82568898250015
Hipposideros_fulvus	1.529	2.34735841257385
Hipposideros_lankadiva	1.968	2.83381440820857
Hipposideros_larvatus	1.703	2.59070379701993
Hipposideros_ridleyi	1.559	2.40319100137588
Hipposideros_speoris	1.62	2.42782469906196
Hipposideros_turpis	1.865	2.74970813235674
Ia_io	1.979	2.85693377655639
Kerivoula_papillosa	1.534	2.47004291344843
Lasiurus_borealis	1.369	2.20786055220101
Leptonycteris_curasoae	1.794	2.76007259430502
Leptonycteris_nivalis	1.748	2.74009904764629
Lonchophylla_mordax	1.656	2.61273847911539
Hsunycteris_thomasi	1.494	2.50023862095974
Lophostoma_silvicolum	1.935	2.85331808051172
Macroderma_gigas	2.271	3.20498065502424
Macrophyllum_macrophyllum	1.59	2.4790378028068
Megaderma_lyra	2.022	2.93241161841455
Megaderma_spasma	1.824	2.78365497627165
Mesophylla_macconnelli	1.524	2.5144416036305
Micronycteris_brachyotis	1.643	2.58328686142129
Micronycteris_megalotis	1.493	2.41295245824855
Micronycteris_minuta	1.453	2.43110917339505
Micronycteris_schmidtorum	1.479	2.46261324325241
Gardnerycteris_crenulatum	1.549	2.48743694137244
Miniopterus_australis	1.435	2.28796870242141
Miniopterus_inflatus	1.641	2.48807198431177
Miniopterus_magnater	1.619	2.4849865990346
Miniopterus_pusillus	1.456	2.31097785415854
Miniopterus_tristis	1.645	2.49587912679333
Molossus_molossus	1.629	2.47483774200244
Molossus_rufus	1.82	2.69716719929339
Monophyllus_plethodon	1.655	2.62023584937206
Mormoops_megalophylla	1.663	2.56247160047249
Murina_cyclotis	1.459	2.37139315447136
Murina_huttoni	1.431	2.38592275334146
Myotis_adversus	1.548	2.3772871201093
Myotis_albescens	1.258	2.07780309246655
Myotis_annectans	1.489	2.31710569964846
Myotis_bechsteinii	1.595	2.39586985328546
Myotis_bocagii	1.394	2.25339686523018
Myotis_dasycneme	1.693	2.46431986810657
Myotis_myotis	1.847	2.65907694339085
Myotis_nigricans	1.233	2.11100026230064
Myotis_siligorensis	1.185	1.98557890358024
Natalus_tumidirostris	1.425	2.36796538095518
Noctilio_albiventris	1.82	2.74963685311494
Noctilio_leporinus	2.095	3.04342425236468
Nyctalus_noctula	1.76	2.52928534798622
Nycteris_arge	1.612	2.51972165509131
Nycteris_grandis	1.905	2.82882341601125
Nycteris_hispida	1.484	2.43216548536531
Nycteris_javanica	1.744	2.65047090615567
Nycteris_macrotis	1.679	2.56570573628551
Nycteris_thebaica	1.598	2.4880134922472
Nyctophilus_geoffroyi	1.334	2.1954325071819
Otomops_martiensseni	1.952	2.85387267955123
Peropteryx_macrotis	1.307	2.18774408447669
Phylloderma_stenops	1.995	3.10305487853701
Phyllostomus_discolor	1.96	3.01289560068157
Phyllostomus_elongatus	1.963	2.91962973558399
Phyllostomus_hastatus	2.147	3.15775224544109
Pipistrellus_javanicus	1.26	2.04743835568333
Pipistrellus_tenuis	1.179	1.94445839594312
Afronycteris_nana	1.182	1.97624949883145
Hypsugo_pulveratus	1.318	2.12583275320563
Perimyotis_subflavus	1.262	2.0689992385851
Pteronotus_gymnonotus	1.648	2.50919392843789
Pteronotus_parnellii_mesoamericanus	1.797	2.71076396835588
Pteronotus_personatus	1.458	2.33437416842607
Rhinolophus_cornutus	1.377	2.26307067478927
Rhinolophus_eloquens	1.699	2.58228368121921
Rhinolophus_hipposideros	1.362	2.14741999328989
Rhinolophus_landeri	1.548	2.41927248180996
Rhinolophus_lepidus	1.403	2.24246038366786
Rhinolophus_luctus	1.829	2.76563752486781
Rhinolophus_macrotis	1.456	2.29216841823355
Rhinolophus_malayanus	1.436	2.28065583157794
Rhinolophus_megaphyllus	1.505	2.39284327871508
Rhinolophus_pearsonii	1.59	2.49680535567541
Rhinolophus_pusillus	1.336	2.19036275728536
Rhinolophus_trifoliatus	1.631	2.51948592306197
Rhinolophus_yunnanensis	1.712	2.61598611233896
