Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m5-glob-001.txt
Log File Name:                   DIE_d1_m5-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1950209578
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m5-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	728.617850	1	-1.085311752399	1.002527173271	-0.001175571138	0.000025393236	0.996989673446	N\A	0.004423391822	0.001071998044	37	1	0.021705047551	Global Trend	
1050000	715.778026	1	-1.153356214215	1.017420130847	-0.002509188501	0.000027593620	0.994093563896	N\A	0.009639851439	0.001813583924	31	1	-0.011368110208	Global Trend	
1100000	724.761722	1	-1.075995859002	1.001074064338	-0.000777540815	0.000026773516	0.999965752776	N\A	0.000951564221	0.000911029836	28	0	0.242513843592	Global Trend	
1150000	729.159742	1	-1.108887313881	1.056511235028	-0.012289251719	0.000026001261	0.991905524528	N\A	0.017431855316	0.002749680857	31	0	0.004937137730	Global Trend	
1200000	728.882987	1	-1.059008676821	1.004633318899	-0.003391579334	0.000027548203	0.999412553242	N\A	0.001780829873	0.000947612935	30	1	0.051878819070	Global Trend	
1250000	737.402995	1	-1.045067803075	1.001903015783	-0.001750549110	0.000020135576	0.999998233559	N\A	0.000859075572	0.000861585017	31	1	1.027432416018	Global Trend	
1300000	733.150522	1	-1.025132376032	1.001842319891	-0.002371569505	0.000015875137	0.999990800500	N\A	0.000994076625	0.000950876939	29	0	-0.387629909616	Global Trend	
1350000	732.919355	1	-1.088996265259	1.002309950011	-0.002564784142	0.000023656866	0.999974153699	N\A	0.000877251907	0.000847879398	37	1	0.284133480022	Global Trend	
1400000	732.260648	1	-1.063350215005	1.017210719107	-0.004366941996	0.000021981552	0.996450890692	N\A	0.005036206150	0.001123838765	33	0	0.015805076556	Global Trend	
1450000	732.877037	1	-1.035821118130	0.996552892816	-0.001121174261	0.000022726393	0.999174478412	N\A	0.002198256305	0.000947659722	50	0	-0.035856956572	Global Trend	
