Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-VR-001.txt
Log File Name:                   MES_d1_m7-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1595586061
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	561.936700	1	-0.513034632716	0.690198606873	0.208619948036	-0.022780048097	0.000058950154	0.970213222722	N\A	0.027975940050	0.024494646521	0.002795060623	47	31	
2450000	565.890955	1	-0.476421699362	0.659836120454	0.240806173404	-0.024656850344	0.000082350298	0.974451028039	N\A	0.025396535603	0.022805218525	0.002560955690	59	22	
2500000	557.154601	1	-0.542466416645	0.695108599037	0.202655579724	-0.021612803462	0.000115458782	0.972180364001	N\A	0.027244339975	0.024118844838	0.002981891153	33	27	
2550000	550.632864	1	-0.576893410916	0.742497319570	0.144792720134	-0.015532414672	0.000096840405	0.975893165393	N\A	0.027026025165	0.023405565558	0.003007209444	44	28	
2600000	551.479026	1	-0.629301861711	0.740812232671	0.184348757080	-0.024162098242	0.000108019358	0.970059828774	N\A	0.025073185660	0.023657855744	0.002892244179	49	35	
2650000	570.859786	1	-0.375580850942	0.615208393939	0.265760987376	-0.023713146510	0.000050755659	0.976312843087	N\A	0.026847038247	0.023323257901	0.002842606764	53	29	
2700000	575.024854	1	-0.577989134751	0.740375025752	0.162023880363	-0.020435120461	0.000111577308	0.974912284784	N\A	0.026111990881	0.023243585031	0.002873837137	45	26	
2750000	557.377097	1	-0.481496053788	0.684586875191	0.195058709399	-0.018268677131	0.000092275958	0.970363991227	N\A	0.029710348730	0.026605397547	0.002962001385	45	23	
2800000	556.411107	1	-0.549792039600	0.726915710288	0.170558676184	-0.021177985434	0.000069661905	0.973792751487	N\A	0.024525365376	0.022000004454	0.002791428672	41	30	
2850000	549.401203	1	-0.499585076978	0.672238841804	0.219599093782	-0.021307552707	0.000071507397	0.974577971456	N\A	0.025294126299	0.022646163233	0.002936557295	49	25	
2900000	540.687565	1	-0.480402515660	0.660073266306	0.253833503628	-0.031104515014	0.000117515617	0.969037570636	N\A	0.026237638704	0.023002453965	0.002902774800	52	25	
2950000	556.504426	1	-0.424370698772	0.669555816804	0.180751153581	-0.015790302059	0.000076285039	0.971122922991	N\A	0.026067216753	0.023162906764	0.002719164906	45	29	
3000000	548.603732	1	-0.461858785491	0.658342278131	0.233786248208	-0.024307186896	0.000116910949	0.982791466791	N\A	0.007254473101	0.012499242834	0.001939475527	49	31	
3050000	562.383500	1	-0.386500721241	0.633033197891	0.227570953614	-0.019881795402	0.000070017609	0.972626879372	N\A	0.026257435208	0.023048129227	0.002710576934	46	25	
3100000	553.692564	1	-0.483009347901	0.670311935027	0.209316459863	-0.018259317991	0.000073203465	0.970564910985	N\A	0.026756734918	0.023443644914	0.002957330972	54	19	
3150000	544.952776	1	-0.458199772633	0.669492712287	0.243512807615	-0.027610531105	0.000059021696	0.977407544872	N\A	0.025231771661	0.019737338090	0.002875251937	49	33	
3200000	561.963685	1	-0.486175514100	0.698278048958	0.189442478753	-0.023030794276	0.000058433694	0.974206145354	N\A	0.024155189137	0.021472372257	0.002826722154	56	23	
3250000	566.421840	1	-0.501242337022	0.667860516117	0.242702370105	-0.026186844842	0.000118741221	0.991274623164	N\A	0.025123144930	0.017185606785	0.002792657914	31	24	
3300000	562.550474	1	-0.603606996925	0.734843976936	0.159967412628	-0.017205698239	0.000113127219	0.972324578679	N\A	0.027226573501	0.024753972062	0.003227232419	46	19	
3350000	547.154936	1	-0.405543466740	0.637041749619	0.230686918328	-0.019427715796	0.000075852868	0.973057616208	N\A	0.031252414289	0.026594757411	0.003318688892	50	26	
3400000	566.363335	1	-0.465657839240	0.654778223832	0.234500472940	-0.023044494992	0.000143555272	0.971138043610	N\A	0.025911512875	0.023479183594	0.003013364839	34	21	
3450000	557.533314	1	-0.607982321859	0.731434534562	0.177541145508	-0.021291176598	0.000079329130	0.973467303499	N\A	0.026775101033	0.023421046986	0.002949697446	35	22	
3500000	558.582170	1	-0.458871672305	0.672254101441	0.212254770081	-0.021567584996	0.000148027029	0.972563656306	N\A	0.029127380923	0.025010205376	0.003193609091	45	22	
3550000	558.104376	1	-0.597096892858	0.727200599578	0.177811185959	-0.021980277979	0.000052048950	0.976884454305	N\A	0.022893202412	0.020277552029	0.002423465858	34	28	
3600000	555.864950	1	-0.526858631270	0.701254815166	0.179144215028	-0.015495389813	0.000062055374	0.970498013265	N\A	0.026801389170	0.023798859945	0.003048731364	46	21	
3650000	553.610123	1	-0.574013542785	0.737268869911	0.157907171097	-0.020310563977	0.000063764952	0.973832647735	N\A	0.023858095549	0.021852223907	0.002751405588	46	22	
3700000	551.079130	1	-0.538615599904	0.693472730317	0.207228836532	-0.024050129589	0.000139009948	0.970960184661	N\A	0.025525063411	0.023715572962	0.003155936636	53	25	
3750000	559.271759	1	-0.600629642174	0.716554188157	0.212281430792	-0.026357577034	0.000084439577	0.976256467484	N\A	0.024839596835	0.021092455233	0.002839473306	59	30	
3800000	549.571686	1	-0.478203543546	0.678579850772	0.206341832828	-0.021037353353	0.000066284806	0.974045719787	N\A	0.024309984973	0.022271862109	0.003102751476	46	34	
3850000	566.736539	1	-0.554046794368	0.695210286073	0.213217229966	-0.024854720507	0.000080753457	0.981694650717	N\A	0.023478695417	0.021091980431	0.002705938854	46	26	
3900000	554.407201	1	-0.426056437782	0.631396928924	0.257934861758	-0.024913748801	0.000046937545	0.972817562384	N\A	0.023874837125	0.022334383818	0.002829360583	49	28	
3950000	547.990680	1	-0.497848917037	0.691783851975	0.188958182810	-0.020780581389	0.000087354247	0.973239501884	N\A	0.023423035905	0.023215823113	0.003099682749	39	24	
4000000	557.426482	1	-0.572459774386	0.710849020009	0.193893561193	-0.025679545863	0.000086906975	0.971312727539	N\A	0.025374501380	0.023031375128	0.003066336930	46	19	
4050000	546.074109	1	-0.469999260974	0.665043436654	0.249646870026	-0.029931608645	0.000048823512	0.968668974149	N\A	0.025349267427	0.023636094937	0.002960159516	52	24	
4100000	556.454452	1	-0.583534865202	0.728484057747	0.175226437275	-0.023278910094	0.000072773624	0.975103240068	N\A	0.024115629019	0.021262824138	0.002836208923	42	22	
4150000	553.563477	1	-0.591787442245	0.698299898061	0.222227907500	-0.028430868826	0.000095358602	0.975433032331	N\A	0.026053445477	0.023103525517	0.002894538663	49	32	
4200000	566.719281	1	-0.611054349685	0.726161743106	0.180574588719	-0.022697299664	0.000063450568	0.977000488652	N\A	0.024732206686	0.021773968436	0.002711514289	52	29	
4250000	565.952277	1	-0.450827827195	0.664886568298	0.212130532307	-0.020783265433	0.000088573297	0.972405086807	N\A	0.024611919196	0.021768982208	0.002700202620	46	32	
4300000	556.245275	1	-0.286590403570	0.618692367387	0.251251488781	-0.021944720299	0.000050110502	0.971509393831	N\A	0.028281930114	0.025089278976	0.003016751732	41	27	
4350000	558.492157	1	-0.492049294595	0.692571518822	0.195753622087	-0.021741993630	0.000094334353	0.973585941444	N\A	0.027040068625	0.024189598822	0.003228582941	45	36	
4400000	549.150529	1	-0.433029113007	0.632658355958	0.237891803181	-0.021116703812	0.000132956620	0.969392403437	N\A	0.026740723355	0.024524930807	0.002715004010	48	30	
4450000	566.325099	1	-0.536053167275	0.664359642408	0.257584251984	-0.028051643347	0.000060270017	0.973173675307	N\A	0.025260326522	0.022741455446	0.002735305573	51	19	
4500000	556.575522	1	-0.536730159816	0.693427896424	0.209153314654	-0.023575098954	0.000079101397	0.971376064218	N\A	0.024836059697	0.022934852868	0.003039762859	53	27	
4550000	550.997017	1	-0.560062271499	0.704462934182	0.209461095696	-0.024848944198	0.000079873056	0.971345757408	N\A	0.026192735713	0.023220941104	0.003084394459	37	21	
4600000	545.045459	1	-0.541500955321	0.688272816616	0.229967292567	-0.026986388069	0.000127756718	0.974889916720	N\A	0.023852913569	0.021570524588	0.002899508773	47	26	
4650000	555.210063	1	-0.456254648554	0.652572671510	0.232724977521	-0.022862941256	0.000057882564	0.978938955402	N\A	0.024720011392	0.023877335073	0.002659631088	44	28	
4700000	567.775140	1	-0.467886188310	0.670283792563	0.231912804025	-0.024963455869	0.000054903358	0.975048991320	N\A	0.024549160716	0.022015398800	0.002612043813	38	19	
4750000	550.703356	1	-0.565229992200	0.726333573193	0.166327848695	-0.019057578050	0.000080802268	0.969150611158	N\A	0.025053010894	0.023101355880	0.003100204511	43	21	
4800000	558.784101	1	-0.557720222479	0.706930464937	0.192367559528	-0.021987892411	0.000083727264	0.975108456690	N\A	0.024847772347	0.022493959733	0.002807807304	43	32	
4850000	553.843814	1	-0.539394798114	0.719347556706	0.171173916234	-0.019291295641	0.000082717591	0.972068891179	N\A	0.026054430113	0.023488750003	0.003066382236	44	20	
4900000	549.729261	1	-0.500780560142	0.686753946075	0.198818756838	-0.023247441615	0.000066247366	0.973979800180	N\A	0.024752351340	0.022541859716	0.003180943456	64	28	
4950000	545.949653	1	-0.638943003575	0.781770155995	0.125135457166	-0.018505172900	0.000121955093	0.973575357064	N\A	0.029002392615	0.024914591062	0.002870626858	61	25	
5000000	543.577703	1	-0.466123267054	0.644355613082	0.257062756710	-0.023234613514	0.000085324000	0.973079398641	N\A	0.024568490620	0.021081975833	0.002740543642	52	23	
5050000	549.950036	1	-0.490342398630	0.673064366714	0.225830545498	-0.023862633384	0.000080922793	0.970760285157	N\A	0.029289917683	0.025616482291	0.003286791435	35	19	
5100000	563.277302	1	-0.376113974181	0.671288689144	0.206775957653	-0.022422409637	0.000049321369	0.973712913164	N\A	0.023523762618	0.021497041125	0.002711599358	41	23	
5150000	557.471669	1	-0.368623167814	0.601669181062	0.283746120948	-0.026895182013	0.000081095915	0.972059288878	N\A	0.026504315482	0.023974513619	0.003066965724	44	29	
5200000	566.646803	1	-0.534431338004	0.701341773254	0.196866015995	-0.022973411797	0.000105898835	0.970539919108	N\A	0.025258185605	0.022781858563	0.002822330411	50	23	
5250000	561.328926	1	-0.600758873522	0.735556789814	0.175779398372	-0.022031369868	0.000097535899	0.970229974891	N\A	0.026579141847	0.023623462911	0.002966292900	50	23	
5300000	563.513949	1	-0.549294346995	0.695954726759	0.209054665810	-0.023700676932	0.000116227922	0.974597321693	N\A	0.023594948579	0.021438470235	0.002629358190	42	33	
5350000	565.813123	1	-0.555390886989	0.706024877685	0.202319391912	-0.023932594511	0.000065108993	0.971873666460	N\A	0.024546625291	0.022243413891	0.002885771453	46	24	
5400000	555.691302	1	-0.565910171227	0.702113149987	0.214933492201	-0.024656495849	0.000104040562	0.975178259023	N\A	0.025032768913	0.024257883032	0.002745987626	49	29	
5450000	556.184988	1	-0.426608904223	0.636623825767	0.253265403206	-0.025059797579	0.000110196993	0.972863838792	N\A	0.024913579016	0.022007300045	0.002891200991	47	26	
5500000	551.669245	1	-0.503426291400	0.693635926226	0.180591313811	-0.016695466036	0.000057987161	0.970412231580	N\A	0.023106853978	0.020747051408	0.002832970121	35	29	
5550000	557.994750	1	-0.677751298933	0.783169471913	0.137233985001	-0.019984084721	0.000103047081	0.976486844148	N\A	0.025246687409	0.022236617517	0.002994338149	47	25	
5600000	559.969973	1	-0.511034976803	0.691767667819	0.201480422881	-0.021657175377	0.000079700418	0.968510511659	N\A	0.027519164505	0.024032240915	0.003188238085	44	29	
5650000	564.155878	1	-0.541886917152	0.719133365678	0.171400205973	-0.018910262885	0.000085949286	0.975783648523	N\A	0.025081503624	0.022221980234	0.002696658908	50	21	
5700000	563.402430	1	-0.509730176005	0.705379026464	0.165034263001	-0.016476692991	0.000095088914	0.974508941805	N\A	0.024062363087	0.022238101505	0.002756603794	45	21	
5750000	544.479822	1	-0.477112256258	0.657320932545	0.253438044411	-0.028858553915	0.000063017341	0.968149035012	N\A	0.024793872855	0.023154819243	0.003036214309	41	29	
5800000	563.561280	1	-0.518013342448	0.692853140323	0.188540813922	-0.019573349272	0.000106194473	0.974617940512	N\A	0.022090802399	0.020268751201	0.002938326684	59	32	
5850000	556.325656	1	-0.502682375693	0.694952007678	0.199016293094	-0.021483726110	0.000064225204	0.972674479453	N\A	0.026879131979	0.023664055382	0.002989937625	52	29	
5900000	560.521829	1	-0.651183679538	0.755602526916	0.176456313560	-0.026095055071	0.000048101640	0.977445825138	N\A	0.025734724910	0.021720382594	0.002912918298	40	31	
5950000	553.895032	1	-0.526192158191	0.685519511931	0.221192631177	-0.023286812819	0.000079124190	0.969138036661	N\A	0.027184079913	0.025479952383	0.003329070230	50	26	
6000000	553.224091	1	-0.422425387111	0.649485487102	0.230241711775	-0.023454907668	0.000057050044	0.975242055910	N\A	0.024012518205	0.023388586953	0.003002137580	54	28	
6050000	565.246697	1	-0.586043342956	0.716295212730	0.205554626349	-0.024591297353	0.000092222768	0.985833723780	N\A	0.024879407645	0.018205759223	0.002719946923	49	33	
6100000	547.052820	1	-0.537366765130	0.693106451222	0.246043253159	-0.030726477780	0.000138585354	0.971966334779	N\A	0.029602949894	0.025542594970	0.003214293600	54	32	
6150000	555.389935	1	-0.609637353719	0.722488741328	0.194817211223	-0.024348753078	0.000070172904	0.970560486781	N\A	0.025393855014	0.023034375281	0.003014890601	39	23	
6200000	559.119153	1	-0.602469780778	0.733040525204	0.178874462081	-0.022683062765	0.000067496492	0.975299868964	N\A	0.024447239145	0.021647395626	0.002716302506	48	30	
6250000	537.008134	1	-0.478380152452	0.669437714953	0.220706796157	-0.022918400238	0.000069191136	0.970430438275	N\A	0.026126951181	0.023664982565	0.002965185970	57	26	
6300000	558.199545	1	-0.482798562967	0.687508935709	0.184222985793	-0.018875440861	0.000073666437	0.972886058231	N\A	0.025984686848	0.022808161635	0.002883605658	48	29	
6350000	535.167500	1	-0.526242700292	0.694245972840	0.193343863183	-0.020322497140	0.000085682435	0.966999966826	N\A	0.027020959573	0.023557085479	0.003130690887	35	18	
6400000	576.043355	1	-0.562607025216	0.723477037433	0.158597042385	-0.016686425488	0.000057758623	0.976725392144	N\A	0.024309507271	0.021227960063	0.002680019223	41	26	
6450000	549.548728	1	-0.478889338264	0.713820139167	0.180093211716	-0.021212858964	0.000074980358	0.974659280700	N\A	0.024637886949	0.022153275169	0.002858837312	49	31	
6500000	560.519393	1	-0.376607949415	0.630164369879	0.241757176593	-0.021407908599	0.000058458315	0.974532365980	N\A	0.024495492160	0.022386594348	0.002521697500	47	26	
6550000	567.774287	1	-0.578758774293	0.742328652306	0.161527767627	-0.021414273031	0.000060159506	0.973830016551	N\A	0.024406601042	0.022074406264	0.002610011593	52	26	
6600000	573.462554	1	-0.522585401488	0.688773598839	0.212966805325	-0.024429018917	0.000053607413	0.975972789982	N\A	0.024551703180	0.022221671627	0.002578653047	46	27	
6650000	568.722541	1	-0.523103664313	0.702369037125	0.180809923228	-0.017109294480	0.000125190218	0.973717044127	N\A	0.029353871015	0.025422672933	0.002833590459	48	25	
6700000	563.127620	1	-0.433601043942	0.645536121116	0.255187318133	-0.027025827212	0.000063255793	0.969195560906	N\A	0.025773121107	0.023259017302	0.002731657015	53	34	
6750000	565.110130	1	-0.486098778455	0.720651724832	0.165233504887	-0.017682934901	0.000048239156	0.975266043380	N\A	0.025872734361	0.023878465197	0.002650975989	56	28	
6800000	562.926723	1	-0.542938870867	0.716336790326	0.176485230742	-0.019928842808	0.000104162594	0.973866833237	N\A	0.026833272761	0.023532170627	0.002665375403	42	23	
6850000	559.182850	1	-0.560754779784	0.720618946073	0.189864007844	-0.022495441210	0.000092280337	0.972114126394	N\A	0.025249782237	0.023438759426	0.002886181772	54	31	
6900000	553.326210	1	-0.389739137358	0.613788942071	0.263971254248	-0.025610352223	0.000054471489	0.969574424179	N\A	0.025609446000	0.023724278844	0.002695418698	53	23	
6950000	539.564982	1	-0.517972326989	0.691911993862	0.207002493686	-0.023541489342	0.000079836887	0.963452551558	N\A	0.026153217652	0.024581125214	0.003182133908	40	17	
7000000	560.412398	1	-0.490597610760	0.705565189877	0.187711066513	-0.020816360003	0.000063308192	0.974832034615	N\A	0.021012868321	0.019774725362	0.002758639201	42	28	
7050000	563.020666	1	-0.472686300026	0.663601524543	0.244357188043	-0.026510618949	0.000083052213	0.974586340267	N\A	0.025712595320	0.023487810230	0.002963469833	41	28	
7100000	556.295528	1	-0.472652177227	0.667384381425	0.216293253275	-0.019879582451	0.000083475605	0.972898005430	N\A	0.025981003576	0.024122377422	0.003135574302	40	23	
