Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m5-glob-003.txt
Log File Name:                   SEP_d1_m5-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            219919872
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m5-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	559.299280	1	-1.721009555076	0.983214257924	-0.012936602518	0.000087831826	0.983295414522	N\A	0.017551284662	0.002965471394	35	2	0.013788879720	Global Trend	
1050000	564.013545	1	-1.750785774504	1.015124126387	-0.015043933004	0.000044809505	0.999999088969	N\A	0.001346786949	0.001344172823	42	4	-1.446408602410	Global Trend	
1100000	573.381133	1	-1.763168315257	1.065324134567	-0.023922417699	0.000084147319	0.982321100216	N\A	0.018771277023	0.003045252595	30	3	0.008676471677	Global Trend	
1150000	559.866469	1	-1.713100196751	1.018892826542	-0.018133161264	0.000033243026	0.999406518628	N\A	0.002091230004	0.001405583441	36	3	0.053880768977	Global Trend	
1200000	564.520120	1	-1.761987975913	1.028463041934	-0.021033162473	0.000073080052	0.994247518157	N\A	0.005570511511	0.001522026451	39	3	-0.036816550355	Global Trend	
1250000	557.591976	1	-1.683954649080	1.014622821472	-0.015398296475	0.000078751757	0.999942835877	N\A	0.001312266713	0.001223430237	49	3	-0.386439633897	Global Trend	
1300000	553.613628	1	-1.762496713064	1.015943527577	-0.013769744954	0.000092453962	0.986943388978	N\A	0.009439438860	0.002009603595	35	2	0.033167969408	Global Trend	
1350000	563.366499	1	-1.702865859620	1.018299821493	-0.018195359172	0.000061715853	0.999990784033	N\A	0.001351730383	0.001344644460	38	5	0.914411148118	Global Trend	
1400000	558.436882	1	-1.855765910743	1.032128000877	-0.017358729276	0.000083443128	0.991364890597	N\A	0.008053273156	0.001866213513	39	1	-0.026897616673	Global Trend	
1450000	563.109000	1	-1.899898485619	1.147818693766	-0.037156685919	0.000064950881	0.979561152385	N\A	0.027595679853	0.004283543199	43	2	0.001116398230	Global Trend	
