Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-fab-004.txt
Log File Name:                   MED_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3380970565
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	507.935156	1	0.708473873255	0.602573088799	0.201781790890	0.176472561988	0.173442725599	0.323593340883	0.453388449301	-0.001843953403	0.015127045946	0.011884764671	-0.017096860383	-0.050676499557	0.000265997892	0.967103595287	N\A	0.049934340269	0.176947343068	0.172315592741	0.195722317669	0.199492316542	0.266187473367	0.051194214155	0.050829215536	0.053490029101	0.060575216228	0.053521087095	30	9	
1550000	511.205518	1	1.332987840188	0.438509054186	-0.522820008887	-0.484404092751	-0.306702352811	-0.240427855948	-0.153489038151	0.185815320288	0.202233684406	0.143090377295	0.109295364565	0.065226386218	0.000098457540	0.969142071380	N\A	0.080172687545	0.211948862901	0.208394290923	0.223348383550	0.211210792467	0.244763313281	0.081006390882	0.080717232938	0.083731468012	0.082364952400	0.081627457282	44	10	
1600000	495.626103	1	0.798645245943	0.635620236942	0.260526741694	0.200481599388	0.525156185368	0.514442503687	0.239851668075	-0.019927344905	0.019326912627	-0.089855660439	-0.074385053272	-0.110002381436	0.000162220839	0.992723640214	N\A	0.040235356548	0.149013577265	0.143992619060	0.161287073722	0.149562052394	0.209872159080	0.041709117143	0.040368779785	0.045342403105	0.046007022500	0.043326321821	33	8	
1650000	492.226978	1	0.869252689780	0.659357892804	-0.331330544977	-0.295487011096	0.094537647809	-0.082299806861	0.204188253882	-0.030302393566	-0.008817265979	-0.109758773186	-0.100905053327	-0.101030390283	0.000063664846	0.965169583455	N\A	0.059219068638	0.210868855273	0.206477730664	0.240005764855	0.208617346356	0.228724212037	0.060292810130	0.060213800356	0.064947631890	0.062131062153	0.061576298571	39	4	
1700000	506.686270	1	0.873127133627	0.672341874593	0.120183441781	0.048446463232	0.151413335216	0.083271604841	0.787061244323	-0.078051367181	-0.040834682726	-0.123787922469	-0.070179383513	-0.115696178539	0.000201579624	0.964212631022	N\A	0.056938217997	0.169491399461	0.166370476643	0.182692025972	0.174147303160	0.239691537308	0.057925821113	0.058134607084	0.061223556937	0.063385513599	0.058962597857	36	8	
1750000	495.476575	1	0.700775662783	0.518616086090	-0.206804182117	-0.145835728534	0.153122165142	-0.137753889199	0.391672332325	0.099844348682	0.120761865328	0.045876779320	0.110055596515	-0.005078527260	0.000206414878	0.964193910412	N\A	0.043987645625	0.159084126425	0.154669518296	0.181567243974	0.162161794027	0.234112533412	0.045272741163	0.045406461564	0.050638980702	0.051271763398	0.046935324116	24	7	
1800000	504.730672	1	1.093210766078	0.413047622517	-0.161554931817	-0.219176607657	0.131640933244	-0.076462217743	0.093788424107	0.190711475721	0.217448024874	0.141871360307	0.161077101510	0.100002109734	0.000037647353	0.963678513587	N\A	0.050825846860	0.181161742841	0.176394429703	0.205223813527	0.197205961320	0.260490648940	0.051945017544	0.051953406500	0.056679821224	0.057351184082	0.053637684714	39	9	
1850000	511.702600	1	1.049151687692	0.531084996320	-0.303292547378	-0.276496900011	0.153693793932	-0.190817194610	0.039062137473	0.077758156147	0.114502304554	0.033292473038	0.039783636052	0.010710145331	0.000068514589	0.967722983986	N\A	0.042709188086	0.151439501356	0.145324865652	0.174624404554	0.163809394571	0.195279708003	0.044498949726	0.043587859007	0.050462192638	0.050560310278	0.046569091054	36	5	
1900000	511.573291	1	0.383611512153	0.553248592212	0.086606453605	0.065225397299	0.382061214505	0.295390828442	0.684958141093	0.082087131140	0.094844803768	-0.002650975423	-0.004362248712	-0.005664685103	0.000153515234	0.970433038195	N\A	0.037934639203	0.136984025268	0.132443438492	0.152730265540	0.151083170689	0.205636558226	0.039270927680	0.039090932340	0.042491644592	0.046046250554	0.042712267626	41	7	
1950000	519.002999	1	1.053367308237	0.498524915518	-0.209172734974	-0.237625123172	0.226776632687	-0.070426049432	0.107709972413	0.101801389188	0.143281077268	0.029519998886	0.041548911426	0.032904669919	0.000102988924	0.963245299628	N\A	0.031873117997	0.127068073074	0.112589897073	0.136631406840	0.132887590179	0.168010449618	0.034390071074	0.033769930256	0.037990167555	0.042224105800	0.034884649785	39	9	
