Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-bm-006.txt
Log File Name:                   PAL_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2058746380
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	211.774818	1	0.374224698392	0.554557209812	0.025126325085	-0.387797716805	0.384830595637	0.313449051245	0.949529293534	0.036874879766	0.068556257234	-0.062984248284	0.079723906475	-0.022187977475	0.000732156789	0.803247878161	N\A	0.082844229972	0.353552554909	0.319797039994	0.335210671522	0.324881491990	0.440503970119	0.092179895146	0.088959669841	0.092477636595	0.096103413409	0.087838591744	
1600000	210.454657	1	0.409598834238	0.642911876979	0.413855486173	-0.260400453062	0.784027534363	0.560226142347	0.495028397007	0.003738543606	-0.000691432800	-0.152343703289	-0.030609267034	-0.094543134578	0.000737797973	0.801731925756	N\A	0.083162770189	0.354911982204	0.321026675642	0.336499573357	0.326130677611	0.442197729963	0.092534331463	0.089301724231	0.092833217743	0.096472935851	0.088176335532	
1650000	213.984327	1	0.711776327237	0.560624264659	0.124146501485	-0.637448897171	0.068951031811	-0.093532012901	0.464234559261	0.004091345934	0.079677970404	-0.060748450324	0.074363256896	-0.030541605928	0.000722811668	0.805759187963	N\A	0.082313827387	0.351288967098	0.317749568771	0.333064515938	0.322801468030	0.437683683845	0.091589721820	0.088390113713	0.091885557007	0.095488120118	0.087276213216	
1700000	211.465298	1	0.850417079417	0.518455270091	0.120206027333	-0.338170244736	-0.154978694754	0.049785058614	0.112827223908	0.151045929447	0.175155088298	-0.011527799066	0.096976269228	0.013789621995	0.000733475515	0.802893497740	N\A	0.082918803921	0.353870812561	0.320084911920	0.335512418349	0.325173940791	0.440900498888	0.092262872787	0.089039748730	0.092560882254	0.096189922886	0.087917661471	
1750000	212.147388	1	0.445908322994	0.792231915053	0.116866319772	-0.262464894003	0.378780250208	0.216629337435	0.605804302294	-0.171155204603	-0.122522891715	-0.263403649998	-0.161068028918	-0.271389956491	0.000730572576	0.803673603047	N\A	0.082754553813	0.353169845874	0.319450870196	0.334847816974	0.324529818439	0.440027139031	0.092080113435	0.088863373919	0.092377532589	0.095999384619	0.087743509352	
1800000	212.376631	1	0.584674828711	0.578310045060	0.118534726040	-0.316394526347	0.357831824251	0.489366786620	0.536298518844	0.081706406853	0.073446370647	-0.074781285682	-0.067594020838	-0.088797401215	0.000729599511	0.803935094183	N\A	0.082699424210	0.352934570441	0.319238057741	0.334624747350	0.324313622481	0.439734000824	0.092018771311	0.088804174729	0.092315992330	0.095935431546	0.087685056196	
1850000	204.209851	1	0.697809307166	0.718949028360	-0.155266276549	-0.671058566249	-0.085351324662	0.322140482509	0.106127521458	-0.015876631604	-0.046949257101	-0.086473616653	-0.124657108196	-0.154360150319	0.000765077434	0.794401130069	N\A	0.084686252463	0.361413715039	0.326907653977	0.342664004074	0.332105157599	0.450298475063	0.094229494015	0.090937667737	0.094533855677	0.098240250808	0.089791662725	
1900000	213.443000	1	0.652694199171	0.657175045440	0.531454256739	-0.405063476956	0.154590658595	0.251857722722	0.398143945721	-0.081134291794	0.020864851452	-0.149576330869	-0.048899917789	-0.160953073643	0.000725090120	0.805146900784	N\A	0.082443460407	0.351842199174	0.318249980883	0.333589046996	0.323309836192	0.438372975784	0.091733963105	0.088529316053	0.092030264192	0.095638500847	0.087413661314	
1950000	212.131648	1	1.123173663335	0.607632500132	-0.131299140718	-0.583825430898	-0.358611524086	-0.031745537018	-0.431580138424	-0.028153381158	0.014789651570	-0.013656436161	0.011936185446	-0.097850347677	0.000730639435	0.803655635946	N\A	0.082758340429	0.353186005934	0.319465487370	0.334863138670	0.324544668012	0.440047273437	0.092084326763	0.088867440057	0.092381759526	0.096003777281	0.087747524249	
2000000	212.758579	1	0.402204717361	0.706396987526	0.884346952346	0.153031888290	0.327904445758	0.624136792490	0.523840851184	-0.117642975975	-0.059367180017	-0.136298184238	-0.098275045015	-0.199950471184	0.000727981142	0.804369997886	N\A	0.082607652935	0.352542920127	0.318883800335	0.334253415385	0.323953732737	0.439246029472	0.091916658388	0.088705629033	0.092213549581	0.095828972318	0.087587752382	
