Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m3-glob-002.txt
Log File Name:                   NEO_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3276595457
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	346.552440	1	1.012308263638	0.757006451869	-0.016523830123	0.000490075353	0.938550148904	N\A	0.023457297706	0.005561262009	28	13	-0.002809544357	Global Trend	
1050000	348.855002	1	0.965260600600	0.752054953001	-0.009364631277	0.000289542338	0.943117328194	N\A	0.024633314640	0.006055443961	46	13	0.001072681171	Global Trend	
1100000	354.081757	1	0.681417749652	0.851808382205	-0.034479777354	0.000384325284	0.944221174886	N\A	0.023142240102	0.005444044124	34	10	0.004332127522	Global Trend	
1150000	376.600842	1	1.020062062306	0.725345442802	-0.012433052861	0.000418873065	0.962197630591	N\A	0.018267414369	0.004889879985	33	14	0.000154895611	Global Trend	
1200000	355.382406	1	0.804091546471	0.755664735204	-0.017985722006	0.000296065308	0.949783304961	N\A	0.020622298008	0.004936070799	36	14	0.001574273603	Global Trend	
1250000	379.030629	1	0.812526295169	0.730105740527	-0.014023647434	0.000363683294	0.949117063245	N\A	0.020530186381	0.005140318240	44	20	0.004819356666	Global Trend	
1300000	384.769289	1	0.903686451919	0.769078646546	-0.020660199618	0.000454518870	0.947499499016	N\A	0.021811251406	0.005630611248	28	15	0.002016617198	Global Trend	
1350000	375.720670	1	0.841926731262	0.794169021281	-0.021954783743	0.000357650407	0.941806242418	N\A	0.022873591318	0.005416151353	42	18	0.000585212422	Global Trend	
1400000	387.801028	1	0.760447162514	0.774404230673	-0.021486396572	0.000385597175	0.961682593271	N\A	0.017686306074	0.004725889916	36	18	0.003369355910	Global Trend	
1450000	377.317617	1	0.997424287149	0.774238564222	-0.024527056180	0.000450175915	0.960221404318	N\A	0.019530829505	0.005232676120	44	12	-0.000676332957	Global Trend	
1500000	378.814813	1	1.285694013502	0.720721568696	-0.010223351988	0.000634944350	0.963973507470	N\A	0.017199836693	0.004617912696	42	18	-0.005916811692	Global Trend	
1550000	355.761405	1	1.010748489730	0.837221554740	-0.031980797087	0.000700199949	0.946495427618	N\A	0.020524044837	0.004658263417	34	14	-0.004015310733	Global Trend	
1600000	371.803614	1	0.729356385249	0.779889260820	-0.017703119777	0.000744629655	0.950193359220	N\A	0.025211744938	0.006213153352	39	12	0.003731719443	Global Trend	
1650000	368.314302	1	1.217876483036	0.792341446948	-0.017946978792	0.000595157927	0.951078091200	N\A	0.020442845414	0.004877917299	48	13	-0.008915874067	Global Trend	
1700000	362.259754	1	1.018973114629	0.792159114897	-0.025144307359	0.000550978923	0.960822567112	N\A	0.016551778721	0.004230738467	35	12	-0.003908457658	Global Trend	
1750000	369.605294	1	0.910398907400	0.791162268296	-0.021563828232	0.000362643324	0.944929596254	N\A	0.022741832162	0.005627032893	35	15	0.001334765609	Global Trend	
1800000	367.263135	1	0.788014115354	0.807750651721	-0.030119410657	0.000305265859	0.943594513200	N\A	0.022538892972	0.005094119558	39	14	0.000684750716	Global Trend	
1850000	369.343907	1	0.954593317695	0.789346653467	-0.022003599980	0.000607819165	0.942706196485	N\A	0.021901685974	0.004878929856	38	15	-0.000334957303	Global Trend	
1900000	373.482480	1	0.809280802721	0.782207602387	-0.024810807081	0.000328817947	0.950898786486	N\A	0.021068968525	0.004973321758	37	16	0.003847392233	Global Trend	
1950000	367.721984	1	1.070742370610	0.747986638866	-0.012554488745	0.000456059636	0.945494805560	N\A	0.021783175439	0.005162365241	41	11	-0.002091029369	Global Trend	
2000000	366.125711	1	1.015934904350	0.736886201437	-0.011347194974	0.000469816078	0.946891323145	N\A	0.022433252163	0.005742863627	34	17	0.000146293961	Global Trend	
2050000	362.367013	1	1.196558179294	0.792959592112	-0.021745637860	0.000504549347	0.937483500854	N\A	0.022196514834	0.005054812766	42	14	-0.008679096978	Global Trend	
2100000	362.246467	1	0.905803591178	0.769885854065	-0.017314731589	0.000573205911	0.935232807529	N\A	0.023916317902	0.005426477375	33	15	0.000248613083	Global Trend	
2150000	350.132588	1	0.972271847658	0.800297032661	-0.023075409510	0.000387047639	0.937607641626	N\A	0.023509402984	0.004432105087	36	14	-0.000420572636	Global Trend	
2200000	359.657795	1	0.839162374849	0.807864974331	-0.025702145843	0.000267518539	0.938616929591	N\A	0.024050102877	0.005466598353	42	14	0.000218083292	Global Trend	
2250000	365.880909	1	1.109471923924	0.727495479826	-0.009863770173	0.000439417780	0.945602223057	N\A	0.020925625925	0.005328663262	35	16	-0.005449329823	Global Trend	
2300000	382.599777	1	0.790947139488	0.774131950029	-0.016801957325	0.000270988906	0.957038630115	N\A	0.020962637335	0.004452748882	55	15	0.000453228164	Global Trend	
2350000	333.701428	1	0.707056070105	0.797535918153	-0.026141078596	0.000250380552	0.930280360405	N\A	0.024716795728	0.005109043091	44	10	0.003417652087	Global Trend	
2400000	381.171518	1	0.932384115112	0.771571950810	-0.016659543100	0.000580654486	0.953241801833	N\A	0.019815615899	0.005089608677	42	13	0.000540735303	Global Trend	
2450000	363.548893	1	0.846856713374	0.786626835293	-0.016574099428	0.000392768303	0.934692967274	N\A	0.024786204358	0.005830114571	44	10	0.000978247576	Global Trend	
2500000	387.577522	1	0.730844772570	0.784321467161	-0.021918309607	0.000327516468	0.952935582645	N\A	0.021509628341	0.005246940875	28	16	0.003497124023	Global Trend	
2550000	366.757248	1	1.996022288691	0.793750400917	-0.021118024631	0.000598429403	0.946357213934	N\A	0.023502114124	0.005808959555	45	18	-0.007541257981	Global Trend	
2600000	379.597017	1	0.926867628780	0.769809866617	-0.015803624347	0.000596872065	0.951753396799	N\A	0.021211635483	0.005692593497	35	17	-0.000427822690	Global Trend	
2650000	333.341578	1	1.133184948850	0.757412948856	-0.015178424324	0.000524981941	0.939232924135	N\A	0.021854121524	0.004951152677	36	8	-0.005810622344	Global Trend	
2700000	391.748857	1	1.008499446981	0.794732090045	-0.026208742182	0.000193055125	0.952303487348	N\A	0.019724006988	0.004360909776	42	19	-0.000875998619	Global Trend	
2750000	366.909778	1	1.120353159004	0.785454541542	-0.022674553133	0.000433250929	0.946970790436	N\A	0.020324367464	0.004510407963	44	12	-0.004540946672	Global Trend	
2800000	388.887988	1	0.699054430672	0.822184791599	-0.026098450867	0.000343954067	0.949932222553	N\A	0.021432493662	0.005201643815	47	16	0.006241653729	Global Trend	
2850000	380.132672	1	0.686371851501	0.772908636204	-0.020470529200	0.000358532365	0.953772580968	N\A	0.020106272277	0.005374529983	35	13	0.004207654735	Global Trend	
2900000	368.684930	1	1.087672318848	0.760349423906	-0.018324624947	0.000206192914	0.953760617068	N\A	0.019576693649	0.004719188566	36	15	-0.000878445924	Global Trend	
2950000	353.610701	1	0.755368262016	0.797130135229	-0.016411223931	0.000539912333	0.937367996311	N\A	0.023876351879	0.005515780080	42	12	0.003974936018	Global Trend	
3000000	365.929067	1	0.844710887979	0.780430696725	-0.019243727321	0.000286623402	0.942196004498	N\A	0.024890426777	0.005445309085	41	13	0.000862918966	Global Trend	
3050000	344.083773	1	0.883269455511	0.800592490840	-0.021669154636	0.000535674702	0.940179745138	N\A	0.022728714077	0.005877017061	41	9	-0.001454811865	Global Trend	
3100000	355.601901	1	0.953277357779	0.836354139445	-0.029937374400	0.000529640548	0.940607929783	N\A	0.023246695139	0.004974035556	48	12	-0.000402341774	Global Trend	
3150000	363.488907	1	1.109487493703	0.803501756580	-0.024732328692	0.000608657085	0.937379150703	N\A	0.023139206395	0.005304358638	40	13	-0.005241399074	Global Trend	
3200000	360.523174	1	0.963402291594	0.721937637435	-0.011962777939	0.000347215305	0.939565393005	N\A	0.023150624364	0.005508718049	39	16	-0.000438853688	Global Trend	
3250000	375.599048	1	0.837464594102	0.783205336578	-0.020543144054	0.000332377659	0.944637322270	N\A	0.023539491149	0.005479890345	31	17	0.002795247110	Global Trend	
3300000	359.496144	1	0.882077431476	0.865310976284	-0.040436834766	0.000298566041	0.936521622891	N\A	0.022388726378	0.004851214130	42	12	-0.001027603147	Global Trend	
3350000	379.225806	1	0.872713243288	0.776011275403	-0.021123391317	0.000346056437	0.955553345612	N\A	0.019250450435	0.005177848274	36	17	-0.000002666596	Global Trend	
3400000	350.993595	1	0.765601412563	0.848697650778	-0.026860428591	0.000511566564	0.939648985360	N\A	0.024207979972	0.005977906994	28	15	0.000014042683	Global Trend	
3450000	375.415217	1	0.916779884055	0.762796339371	-0.014283089220	0.000360272789	0.937419746637	N\A	0.023993867990	0.005869647600	32	17	0.000747881564	Global Trend	
3500000	364.757491	1	1.161525966206	0.809094608450	-0.027442624847	0.000515100255	0.947624998505	N\A	0.020450101979	0.004581427291	37	11	-0.007421777139	Global Trend	
3550000	386.268082	1	1.082246774805	0.793960436105	-0.023981372694	0.000504657908	0.948325124325	N\A	0.021318691574	0.005038454854	36	14	-0.005967698350	Global Trend	
3600000	361.327963	1	1.110533554874	0.792277099558	-0.024000703228	0.000381127855	0.944340983868	N\A	0.021194948181	0.005049727285	42	15	-0.005713478313	Global Trend	
3650000	359.396845	1	1.000373298378	0.770921736186	-0.017601313458	0.000541049391	0.939390533670	N\A	0.024016716796	0.005890893355	27	13	-0.004926802274	Global Trend	
3700000	377.988366	1	0.917005263704	0.795007399414	-0.020821684985	0.000430217362	0.947878587575	N\A	0.019980556832	0.004547677174	36	12	-0.000239479731	Global Trend	
3750000	352.929252	1	0.805375523491	0.885691291448	-0.033149175991	0.000268817386	0.949309527428	N\A	0.021818017646	0.005085122572	40	11	-0.000336520005	Global Trend	
3800000	366.044255	1	0.806026892490	0.799206657317	-0.026615371831	0.000271033445	0.935912032609	N\A	0.023180302125	0.004924295115	31	15	0.001646747791	Global Trend	
3850000	375.645312	1	0.902587614288	0.824331783936	-0.033315676488	0.000589250548	0.944881321364	N\A	0.019422888844	0.004466424607	60	14	-0.000947855985	Global Trend	
3900000	368.958442	1	0.887334589436	0.823479875827	-0.027088056588	0.000305270057	0.938149662641	N\A	0.023467854899	0.005394386230	30	18	-0.002065614918	Global Trend	
3950000	371.131272	1	0.880531290800	0.799552498434	-0.028530589833	0.000247042694	0.939076791258	N\A	0.021817338548	0.005252027950	40	17	0.000197847702	Global Trend	
4000000	375.195243	1	1.105305212879	0.786414129231	-0.018201422328	0.000490334560	0.945886496673	N\A	0.021632606110	0.005523243699	30	14	-0.005581587689	Global Trend	
4050000	370.511498	1	0.948599762570	0.748635805716	-0.013298090929	0.000185637323	0.942113739069	N\A	0.022999411669	0.005346003330	37	11	0.000138554804	Global Trend	
4100000	353.364592	1	1.053239582736	0.767758537164	-0.018113210674	0.000351520521	0.944050819418	N\A	0.022596939166	0.005671503837	36	13	-0.002283958071	Global Trend	
4150000	374.391355	1	1.050046205351	0.789325998458	-0.025834876004	0.000472995817	0.949833059549	N\A	0.022270047411	0.005633552849	35	12	-0.003925880102	Global Trend	
4200000	344.808542	1	1.033577356757	0.761483369529	-0.017062224816	0.000423215911	0.946921793318	N\A	0.021059349250	0.005254435608	40	11	-0.002268654448	Global Trend	
4250000	352.873251	1	0.964500530516	0.753174332225	-0.011220535712	0.000386235983	0.938047551952	N\A	0.022591836980	0.005347369681	41	13	-0.001124771772	Global Trend	
4300000	353.523138	1	0.924996766020	0.779324345457	-0.021486306368	0.000254981228	0.945330627825	N\A	0.022883822703	0.005649291455	44	13	0.000091010201	Global Trend	
4350000	359.706430	1	0.779918155057	0.781191961758	-0.019010539787	0.000714666890	0.949920306534	N\A	0.025005156335	0.006324542084	38	10	0.003105809533	Global Trend	
4400000	342.969511	1	1.289446415874	0.804640914663	-0.024581222897	0.000341319658	0.937363386252	N\A	0.025895196377	0.005653129208	40	11	-0.000842729448	Global Trend	
4450000	370.738857	1	0.999627859538	0.838978202169	-0.032837809502	0.000408308448	0.946418106433	N\A	0.021197107688	0.004977542438	42	13	-0.004678253753	Global Trend	
4500000	346.887395	1	0.960945086541	0.774910156122	-0.017250281925	0.000270198239	0.936561405845	N\A	0.022443250732	0.005606909551	39	7	-0.001555273401	Global Trend	
4550000	345.512368	1	0.912047544869	0.780800658930	-0.016847178011	0.000338760581	0.956080361544	N\A	0.020232148544	0.005208356354	41	11	-0.000389884192	Global Trend	
4600000	349.080927	1	1.270781350357	0.794948439542	-0.023540302173	0.000273351903	0.979908287577	N\A	0.010605952774	0.003653959102	36	9	-0.001213305846	Global Trend	
4650000	355.449453	1	0.910331846122	0.793980045286	-0.019487823597	0.000395930031	0.939580496048	N\A	0.025751186340	0.005750649436	32	11	0.000638840221	Global Trend	
4700000	379.886601	1	0.858747032438	0.827363156753	-0.027431616989	0.000339740475	0.952546594806	N\A	0.019255090013	0.004582015096	45	19	-0.000271535687	Global Trend	
4750000	384.215816	1	0.789330507602	0.815059732427	-0.025858054244	0.000300580318	0.954667594798	N\A	0.020010019687	0.004887373936	47	18	-0.000417958589	Global Trend	
4800000	367.759762	1	0.821576039222	0.801849526689	-0.022328605887	0.000356232046	0.943669399631	N\A	0.022567948058	0.005027705665	35	13	0.002244229697	Global Trend	
4850000	368.043173	1	1.095586953671	0.816743131929	-0.032590093505	0.000370845325	0.947946468731	N\A	0.021831874378	0.005446071318	39	13	-0.004961386059	Global Trend	
4900000	362.087692	1	0.817363544397	0.808611836897	-0.021173252540	0.000421230381	0.937829558202	N\A	0.023639063224	0.005466944665	36	10	0.001758392044	Global Trend	
4950000	367.308527	1	0.732810511815	0.817647403513	-0.026950216612	0.000569956198	0.942531119769	N\A	0.022873033829	0.005778485353	36	12	0.003411918413	Global Trend	
5000000	369.139310	1	0.858771450385	0.813897121734	-0.032347809603	0.000379316897	0.937068960065	N\A	0.023189765640	0.005713668140	42	18	-0.000923920239	Global Trend	
5050000	367.159525	1	0.982711332951	0.765042151713	-0.023718931360	0.000490850917	0.946101915827	N\A	0.020862048798	0.004769089703	55	10	-0.000321823254	Global Trend	
5100000	374.220126	1	0.772098637418	0.822601984897	-0.028093342254	0.000311828776	0.940998514449	N\A	0.023103442076	0.005229056265	38	14	0.003462663558	Global Trend	
5150000	339.152277	1	0.769551246914	0.845170983506	-0.028238098316	0.000397315226	0.943007452016	N\A	0.025635945239	0.005334282241	35	8	0.002890201537	Global Trend	
5200000	378.472025	1	0.745963851724	0.807949315575	-0.027061507474	0.000561802406	0.953857322802	N\A	0.020460340939	0.005112950856	38	16	0.005513007502	Global Trend	
5250000	386.086601	1	0.893426369233	0.786739055112	-0.018396307571	0.001191321401	0.948963593050	N\A	0.020078467733	0.005000974090	39	16	0.004961156706	Global Trend	
5300000	371.996414	1	1.055516341214	0.793537588169	-0.021773637648	0.000369993893	0.942761110793	N\A	0.023512805690	0.005359947114	44	13	-0.004183528840	Global Trend	
5350000	352.545801	1	0.849077216675	0.786872344437	-0.021044061338	0.000327612554	0.947456599821	N\A	0.021642369209	0.005552461618	44	11	0.001718937645	Global Trend	
5400000	371.764225	1	0.933993624771	0.783618735011	-0.021620247144	0.000611382317	0.953411680401	N\A	0.018418764735	0.003427154854	38	13	0.000203648854	Global Trend	
5450000	371.451948	1	0.803122882833	0.844580505747	-0.030823600048	0.000377500425	0.939017349973	N\A	0.022583684406	0.005209123246	40	12	0.002555042874	Global Trend	
5500000	372.055414	1	0.870178392448	0.770952483506	-0.018240515604	0.000353010715	0.936809622692	N\A	0.022557478686	0.005216812424	40	17	0.000776396101	Global Trend	
5550000	357.391546	1	0.825392275633	0.800686116856	-0.028873334737	0.000324847523	0.939754013475	N\A	0.023128921688	0.005246823119	36	15	0.000630614843	Global Trend	
5600000	361.052138	1	0.719362861507	0.801598037514	-0.025340593469	0.000389210323	0.936171465923	N\A	0.024114687054	0.005727860988	30	16	0.003419813250	Global Trend	
5650000	361.165754	1	0.939592384078	0.780424881235	-0.019963990821	0.000290343885	0.949052935151	N\A	0.021301508955	0.004839580882	40	13	0.000495358496	Global Trend	
5700000	361.266666	1	0.918573401599	0.763609765071	-0.021066466420	0.000514579972	0.948337437456	N\A	0.023168664121	0.005859170503	36	15	0.000505169385	Global Trend	
5750000	383.624530	1	0.857594864469	0.772494165653	-0.018245024552	0.000480094065	0.951960707196	N\A	0.020867442955	0.005555253028	37	14	0.002380054585	Global Trend	
5800000	394.617512	1	0.904496744854	0.740890179268	-0.014754198247	0.000927962187	0.956134073917	N\A	0.019759965692	0.005064080488	43	16	0.001928921983	Global Trend	
5850000	368.818139	1	1.107451573717	0.781821577235	-0.018641489085	0.000548272597	0.949156636906	N\A	0.021238954499	0.005483611513	35	14	-0.005079730945	Global Trend	
5900000	367.070070	1	0.847557019760	0.760248847398	-0.017068146596	0.000908063204	0.937643679953	N\A	0.023386841019	0.005300172869	36	13	0.003228246124	Global Trend	
5950000	364.941480	1	0.888146140976	0.778653234105	-0.017328936401	0.000258090882	0.946314737723	N\A	0.023268677246	0.005682481430	33	9	-0.000355987357	Global Trend	
6000000	364.933088	1	0.971402006842	0.807313254836	-0.024626219531	0.000253089666	0.940715488750	N\A	0.023090451454	0.005117272672	30	11	-0.000393568786	Global Trend	
6050000	356.833897	1	0.996345533871	0.766236474097	-0.021113922770	0.000319118098	0.942216214198	N\A	0.020313683713	0.004746565718	28	15	-0.000815195545	Global Trend	
6100000	373.868224	1	0.924627482498	0.773941171892	-0.019997033593	0.000192403525	0.951778933816	N\A	0.022543777751	0.005445858016	40	11	0.000456645077	Global Trend	
6150000	360.517275	1	0.794820210883	0.802148744596	-0.017615354906	0.000365648481	0.933933436993	N\A	0.023089821036	0.005362149692	35	10	0.002277944450	Global Trend	
6200000	356.307851	1	0.847725891017	0.764792285022	-0.015633998087	0.000533573708	0.941312760594	N\A	0.022129595798	0.005035193128	41	10	0.003630913945	Global Trend	
