Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m8-fab-003.txt
Log File Name:                   STR_d1_m8-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2327565825
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m8-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	544.976005	1	-1.536271114703	1.132945863889	-0.003782872831	-0.076935390702	0.000128653469	0.976655357895	N\A	0.039033106884	0.004889331135	0.016799724814	42	2	
1050000	543.696403	1	-1.582860165839	1.153002916427	-0.004751021462	-0.083811944983	0.000090867851	0.983911442265	N\A	0.042205073808	0.005010559703	0.017656346681	42	1	
1100000	547.278991	1	-1.501425961410	1.100021750100	0.003070032575	-0.081979855739	0.000126681429	0.986255540608	N\A	0.034483557526	0.004416854236	0.015911184167	25	1	
1150000	527.071557	1	-1.653880606678	1.199728082822	-0.018030282226	-0.053355526631	0.000110278014	0.978769549787	N\A	0.045141092888	0.005637886652	0.019425026179	36	2	
1200000	566.124076	1	-1.544658443958	1.129944477179	0.003272502779	-0.104442377199	0.000105214283	0.984325880284	N\A	0.036382386016	0.004414827203	0.015626057025	35	6	
1250000	544.703195	1	-1.523164344086	1.105732775963	0.003268563588	-0.079720569629	0.000095175734	0.982856986330	N\A	0.044709551354	0.005428771193	0.018330012570	39	3	
1300000	541.881345	1	-1.396620571114	1.045736571130	0.009773962653	-0.080086505766	0.000068343742	0.978788215259	N\A	0.040730674997	0.005158239370	0.018742964703	31	2	
1350000	548.675631	1	-1.531693996559	1.123949976854	-0.000992392241	-0.079649449133	0.000098570575	0.981224191257	N\A	0.044497941822	0.005362934442	0.019183366374	29	1	
1400000	548.294704	1	-1.590538529761	1.157102691627	-0.010029686975	-0.060645650762	0.000124886511	0.976978699654	N\A	0.044383235383	0.005835394878	0.019782490557	37	2	
1450000	541.289953	1	-1.455325675834	1.070568704639	0.006518600319	-0.083313977171	0.000153846991	0.983213054072	N\A	0.037163316307	0.003701929009	0.015714633680	41	4	
1500000	552.259585	1	-1.479463938651	1.095521006023	0.004518722812	-0.083688961369	0.000174707451	0.992082618276	N\A	0.041351892467	0.005001776205	0.018456278267	37	1	
1550000	542.703625	1	-1.594493640601	1.148842068252	0.000582039744	-0.098753076011	0.000122535426	0.978105567390	N\A	0.046518757566	0.005969092457	0.020424785878	38	1	
1600000	548.210643	1	-1.482108505315	1.113971398723	-0.005361898813	-0.056874831786	0.000176948440	0.980136545411	N\A	0.044009652158	0.005874955012	0.019509159251	38	3	
1650000	538.485240	1	-1.552453435798	1.149125585083	-0.009313608813	-0.066783378563	0.000111569693	0.975777081813	N\A	0.044020302770	0.005416689180	0.019402065821	30	2	
1700000	545.526063	1	-1.488671068492	1.096457314300	-0.002609574526	-0.053306823187	0.000184796495	0.985408033963	N\A	0.040112098706	0.005024158078	0.016118681388	39	3	
1750000	542.837331	1	-1.430866486951	1.090039897601	-0.003782586446	-0.055797936907	0.000052763343	0.979198860822	N\A	0.041934907354	0.005239904296	0.018509630484	43	1	
1800000	544.091245	1	-1.579233698361	1.167217310193	-0.014642889222	-0.050560008478	0.000078190276	0.979080991865	N\A	0.042353059136	0.005400602830	0.020535790633	35	1	
1850000	545.272345	1	-1.399094047948	1.046201819101	0.005764602622	-0.061683909205	0.000162870703	0.982933604170	N\A	0.039569817426	0.005226323297	0.018461595873	43	1	
1900000	550.444872	1	-1.481045210495	1.091561185244	-0.001584368073	-0.050540623148	0.000178903374	0.981737198855	N\A	0.039315971623	0.005211789420	0.018512492755	46	1	
1950000	537.569240	1	-1.488603226517	1.098142521602	0.006405217870	-0.099175505421	0.000113613263	0.978047153395	N\A	0.042906206638	0.006297711965	0.019542690171	34	2	
2000000	544.204928	1	-1.343203360068	1.005553811181	0.010342224051	-0.046743652601	0.000159656980	0.987973050895	N\A	0.035223115652	0.004814418755	0.011240856501	27	1	
2050000	537.546895	1	-1.437415157585	1.079194410151	-0.001831483672	-0.053176412757	0.000112606384	0.983206960798	N\A	0.037293898484	0.005130870092	0.017459590724	32	0	
2100000	526.963847	1	-1.743223805830	1.218665072782	-0.004229505278	-0.111329799127	0.000115226207	0.976242874741	N\A	0.048785252848	0.006076541865	0.020954091949	35	0	
2150000	526.884862	1	-1.473624450181	1.098528127429	0.000968304279	-0.084429119339	0.000094543265	0.980409690305	N\A	0.043530751598	0.006547904151	0.018453116499	33	0	
2200000	549.591512	1	-1.362369182443	1.032600880249	0.005679646550	-0.052319848195	0.000029449497	0.987166619124	N\A	0.036993424660	0.004487968592	0.016295521480	41	4	
2250000	542.345297	1	-1.320885605719	1.022100325290	0.005462291118	-0.043659178383	0.000141492064	0.987529216728	N\A	0.034803727919	0.004545312676	0.016040178711	46	3	
2300000	556.410107	1	-1.377955906112	1.034242255655	0.008331390988	-0.061099533894	0.000150598093	0.982388030832	N\A	0.040120003635	0.005845460687	0.018457924747	33	3	
2350000	543.170154	1	-1.704578531551	1.221287128542	-0.015309554348	-0.073904335131	0.000129269125	0.983041162087	N\A	0.038739379360	0.005208600651	0.017875625925	35	3	
2400000	548.581412	1	-1.538646082172	1.138057752001	-0.000182872112	-0.097488702181	0.000172016078	0.984612644109	N\A	0.040442445090	0.005846159593	0.017409377842	36	3	
2450000	528.531421	1	-1.448290738260	1.075342685271	0.005805195726	-0.082117687821	0.000187320794	0.978408349890	N\A	0.043871704263	0.005873546420	0.020596583198	34	1	
2500000	534.655354	1	-1.387984529879	1.026061593909	0.010132725234	-0.059885434822	0.000101520061	0.978903371101	N\A	0.044253334584	0.005881684613	0.020866121873	38	1	
2550000	541.480696	1	-1.474908181370	1.082033056925	0.003355049661	-0.069542913307	0.000099576569	0.985238947330	N\A	0.038157478813	0.004965209102	0.016040559006	40	2	
2600000	525.661524	1	-1.538683249180	1.160171363513	-0.001768617916	-0.121353753819	0.000258962143	0.974434269495	N\A	0.048485070675	0.006259871831	0.021945249729	38	0	
2650000	535.301889	1	-1.456428440856	1.093400557150	0.008732490142	-0.111196686374	0.000128224245	0.982145217380	N\A	0.042930835235	0.005171407214	0.018116234334	34	1	
2700000	536.107317	1	-1.501183767881	1.103791765172	-0.002337710406	-0.059168048807	0.000149367058	0.987910596745	N\A	0.039571906882	0.004643476705	0.016062245009	36	0	
2750000	556.126334	1	-1.541157204660	1.143716275460	-0.003611312835	-0.092998856107	0.000097481986	0.984456085043	N\A	0.033698714398	0.004714204463	0.014662928230	40	4	
2800000	557.062429	1	-1.404077377381	1.047996416701	0.001350315614	-0.038135728681	0.000154070604	0.983452167885	N\A	0.039239529531	0.005896015978	0.017917009755	37	1	
2850000	549.779453	1	-1.553972518663	1.099491930787	0.005105337386	-0.083894863733	0.000021430539	0.983706638969	N\A	0.037907430577	0.005075625311	0.017432489937	42	3	
2900000	555.729094	1	-1.442241553460	1.072025958394	0.010329260757	-0.095772661641	0.000050950176	0.987681397709	N\A	0.033933558637	0.004631374506	0.017999205090	39	2	
2950000	544.216133	1	-1.432657113787	1.063141587656	0.005164700565	-0.067481146276	0.000113139793	0.990044693925	N\A	0.030571287330	0.004613325405	0.014738335788	28	2	
3000000	542.398698	1	-1.473710138844	1.089137786605	0.001140926665	-0.070701754298	0.000092429033	0.985185843451	N\A	0.035705347798	0.004858141404	0.015968562897	37	1	
3050000	528.062067	1	-1.480857015551	1.100649914040	0.002529114644	-0.081281668985	0.000067788353	0.976276223980	N\A	0.047998133860	0.006432481665	0.020970998649	31	2	
3100000	528.401402	1	-1.396995037831	1.051075654030	0.006359071024	-0.069266705160	0.000083342739	0.978813038362	N\A	0.044132369243	0.005969653012	0.020590584938	31	4	
3150000	541.925933	1	-1.462330456396	1.075520178049	0.009091123651	-0.085727865718	0.000084660410	0.975707317575	N\A	0.046464914682	0.006196021269	0.020145414963	48	2	
3200000	539.588892	1	-1.595105678120	1.167734968740	-0.010588912550	-0.071083346234	0.000129138757	0.983722121144	N\A	0.035919441485	0.004922186525	0.016598953553	32	2	
3250000	534.047222	1	-1.473386918072	1.080767930653	0.008590247942	-0.091208685640	0.000149905748	0.981086136343	N\A	0.045245987667	0.005734919237	0.018798694083	33	0	
3300000	535.662367	1	-1.584415887753	1.162553805216	-0.007507468774	-0.081931496943	0.000186666752	0.980909241953	N\A	0.042462527162	0.005324417434	0.019198585449	34	1	
3350000	540.848162	1	-1.511634642165	1.102999274660	0.005080330617	-0.086882353686	0.000134076449	0.979167802631	N\A	0.041058753591	0.005954311037	0.016877841858	48	4	
3400000	555.711450	1	-1.520940896095	1.125515730898	-0.002108794012	-0.082118634179	0.000095135285	0.979702193190	N\A	0.042262025821	0.005527085215	0.019329388844	45	2	
3450000	542.187421	1	-1.449504530499	1.067445540574	0.009286497553	-0.089576237917	0.000145078998	0.977632258152	N\A	0.044950629697	0.005584361299	0.019697915246	33	2	
3500000	551.131392	1	-1.420087761939	1.063561608733	0.008843559208	-0.083398740024	0.000219998572	0.981323423660	N\A	0.044305247888	0.005441738919	0.019936638737	32	3	
3550000	526.065631	1	-1.259157327700	0.940702442402	0.019542065669	-0.042929938643	0.000070368806	0.974699533177	N\A	0.047370275039	0.006524878805	0.022193200408	30	1	
3600000	547.560207	1	-1.611838074409	1.138623583724	0.003063568393	-0.100665791031	0.000048168507	0.982162496389	N\A	0.043105928011	0.005645799061	0.017185644823	40	1	
3650000	548.184210	1	-1.426704841032	1.027444345262	0.011281660866	-0.057272886744	0.000053593043	0.983974896035	N\A	0.042416342669	0.004902322708	0.018301065555	38	2	
3700000	560.516545	1	-1.600019732848	1.173229653140	-0.005261152343	-0.098497126092	0.000166759437	0.981826872921	N\A	0.043427660135	0.005206820681	0.017232405157	38	1	
