Species_TTOL	SCH	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Oryzorictes_hova	1.371	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.529	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.092	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.115	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.829	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.283	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.681	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.199	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	0.988	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	0.861	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	0.736	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.575	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.627	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.276	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.106	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	0.636	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	0.589	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.599	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	1.887	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.585461	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.298853	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.348305	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.556303	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.439806	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.39794	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.281033	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.213518	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	1.64836	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	1.653213	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.150449	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	1.847573	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	2.684486	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.498311	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	2.689486	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.047664	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	1.850033	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.249443	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.067443	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.134814	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.078457	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.175802	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	2.81278	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	2.620032	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	2.923658	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.016616	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.020775	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.385606	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	1.650308	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.49276	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.523746	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.036629	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.198382	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	1.783904	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	1.835056	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	2.640978	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	2.65215	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	2.730702	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	2.702086	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.12483	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	2.616581	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.437751	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	0.773786	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.443732	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	1.795185	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.0086	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	2.650599	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.037426	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.089905	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	2.443576	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	2.876507	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	2.784118	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	2.681874	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.524915	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.128302	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	2.943049	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.373	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.539	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.423	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.585	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.754	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.646	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	1.977	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.146	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	1.969	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.181	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.744	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	1.733	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	1.915	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.057	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.358	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.562	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.5	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.709	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.622	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.471	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.673	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	1.718	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.474	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.641	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.501	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.431	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.344	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.416	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.294	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.27	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.452	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.354	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.335	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.31	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.219	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.303	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.47	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	1.919	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	1.679	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.5	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.526	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.386	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.196	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.382	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.297	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.301	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.403	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.644	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.695	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	0.626	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	0.644	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.566	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	1.356	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.301	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	0.854	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	0.797	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.441	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.236	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.358	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.217	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	0.89	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	0.791	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	0.38	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.501	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.365	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	0.643	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	0.719	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	0.794	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	0.992	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.258	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.365	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	0.575	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	0.394	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.23	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.173	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.236	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	0.613	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	1.4	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	0.802	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	0.955	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.427	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.342	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	0.791	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.38	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.057	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	0.906	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	0.86	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.248	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.425	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	0.919	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	0.663	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.364	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.35	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.193	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.13	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.262	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	1.687	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	0.965	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	1.415	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.336	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.13	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.049	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	0.88	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	0.955	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	0.957	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	0.952	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	0.781	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	0.971	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	0.903	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	0.798	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	0.847	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	0.938	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.164	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.185	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.025	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	0.898	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	0.874	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	0.865	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	0.574	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	0.926	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	0.963	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	0.754	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.049	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.236	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	0.611	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	0.486	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	0.934	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.114	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.444	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.021	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	0.942	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	1.236	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	0.906	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	1.013	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	1.017	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	0.925	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	0.754	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.316	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	0.789	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.708	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.593	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.401	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	1.685	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	0.56	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	0.476	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	0.462	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	0.688	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	0.658	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	0.949	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.134	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	0.783	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	0.802	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.134	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	0.739	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	0.904	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	0.775	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	1.332	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	0.87	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	0.772	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	0.943	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.064	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	0.719	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.033	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.21	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	0.864	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.104	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	0.986	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.143	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	0.537	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	0.479	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	0.952	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	0.611	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	0.692	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.124	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.1	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	0.989	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.312	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.365	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.386	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.444	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.134	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	1.246	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.204	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	1.255	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.21	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.35	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.004	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.453	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	0.823	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.36	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	0.556	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.453	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.173	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	1.816	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	2.708	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	2.386	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	2.865	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	2.382	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	2.369	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	2.14	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	1.954	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	1.913	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	2.591	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	2.841	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	2.79	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.173	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	1.815	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	3.019	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	2.841	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.625	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	2.029	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	1.777	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	3.436	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	3.788	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	3.055	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	2.928	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	2.833	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.288	2.961	0	0	1	0	0	0	0	2.961	0	0
