Species_TTOL	SCH	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.156	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.047	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.173	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.321	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.329	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	0.819	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.122	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	0.752	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	0.852	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	0.767	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	0.795	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	0.984	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.213	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.12	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.298	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.13	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.461	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.651	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.305	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.464	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	1.832	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.712	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.561	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.211	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.354	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.517	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.571	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	0.918	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.079	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.039	1.182	0	0	0	1	0	0	0	0	1.182	0
