Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-fab-002.txt
Log File Name:                   HIP_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2427418787
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	470.386726	1	-0.833820292133	0.932086347590	0.003314170991	-0.006342620628	0.000013754858	0.965638761284	N\A	0.035836406877	0.031026116634	0.004292767442	41	8	
1050000	465.761445	1	-0.682141137106	0.824659652852	0.106343703874	-0.018581933060	0.000041800027	0.953787944702	N\A	0.038764044127	0.034418390940	0.004441557108	57	10	
1100000	457.179814	1	-0.730428817312	0.856438451513	0.061887552849	-0.008787650180	0.000081631575	0.955563808064	N\A	0.040677128363	0.035905102908	0.004798516994	31	6	
1150000	469.515262	1	-0.845490413541	0.921972551031	-0.002900155265	-0.005829906343	0.000093145267	0.957754402187	N\A	0.036192859647	0.032011112633	0.004316239933	46	7	
1200000	469.623426	1	-0.785056310024	0.881543706939	0.034121139999	-0.006072202256	0.000134085283	0.961978774550	N\A	0.039171478391	0.031364089069	0.004129719241	40	8	
1250000	471.522511	1	-0.839079049808	0.915378342926	0.045820252737	-0.020971929739	0.000092685955	0.963783817240	N\A	0.033020808591	0.031021898558	0.004395684196	52	12	
1300000	475.728354	1	-0.749153993455	0.853648299861	0.084358271904	-0.015897362299	0.000079478466	0.967258771001	N\A	0.033682169431	0.028543654856	0.004009345184	39	12	
1350000	489.301847	1	-0.749998290203	0.871799764321	0.064912285506	-0.013774827723	0.000075331356	0.963372615111	N\A	0.032777036804	0.029438534267	0.004213203830	35	10	
1400000	468.389370	1	-0.805724534883	0.897460554886	0.024676859554	-0.006118069620	0.000152836084	0.958233872079	N\A	0.037304333405	0.033883339312	0.004660106826	41	6	
1450000	461.365984	1	-0.852512862323	0.909274308030	0.049372152323	-0.016137005094	0.000055183709	0.960146643334	N\A	0.036403058654	0.032724734851	0.004590026290	44	5	
1500000	461.920618	1	-0.812567639764	0.914969129634	0.019608980317	-0.011516189488	0.000086010664	0.956707526449	N\A	0.039444926102	0.035411960037	0.004706598353	36	6	
1550000	449.944568	1	-0.846233078326	0.901149630183	0.042598543622	-0.009442690156	0.000155662364	0.957257495318	N\A	0.036556211794	0.033462308577	0.004296001364	43	3	
1600000	465.314828	1	-0.992282017760	0.979127733628	-0.016813934415	-0.008569833186	0.000086533337	0.964532990437	N\A	0.030826626665	0.026638127344	0.004158319040	40	6	
1650000	472.959680	1	-0.858237507644	0.941620225638	-0.017492873811	-0.006893022244	0.000094283980	0.978546684991	N\A	0.032943604718	0.029721969000	0.004360902077	41	7	
1700000	447.985918	1	-0.739662135754	0.879843696472	0.048002799930	-0.017523995866	0.000098859561	0.952565924601	N\A	0.038840633666	0.035474695409	0.005149178806	40	6	
1750000	461.643961	1	-0.753088148151	0.868801676737	0.078547735106	-0.014408888571	0.000013038551	0.963532265132	N\A	0.033489271400	0.029542158003	0.004109891737	41	4	
1800000	456.885252	1	-0.755666325137	0.880163941650	0.033158890581	-0.009855544431	0.000047642351	0.955783626683	N\A	0.036326863924	0.033906381101	0.004774674424	44	6	
1850000	456.652503	1	-0.960961625428	0.938517667858	0.038882894530	-0.017613556863	0.000119195260	0.958407814681	N\A	0.038732507693	0.033518885447	0.004066475388	35	4	
1900000	464.812825	1	-0.885598989649	0.929089768455	0.022975293030	-0.011107534873	0.000148742454	0.956979857362	N\A	0.036861986097	0.032625389870	0.004258529330	37	6	
1950000	461.999667	1	-0.814600506142	0.879736842430	0.080431316427	-0.016430522078	0.000107611362	0.954166289258	N\A	0.036110437739	0.033286779047	0.004287806805	38	9	
2000000	456.654567	1	-0.908340198810	0.950757707636	0.000956392311	-0.010598104113	0.000121355972	0.956081644208	N\A	0.035995093712	0.030346109088	0.004195067303	31	4	
2050000	460.529095	1	-0.853327019365	0.915876502403	0.033086442170	-0.013152043014	0.000126732614	0.962400946281	N\A	0.034195972623	0.031350232087	0.004232684535	39	6	
2100000	465.167260	1	-0.911495457469	0.949233807557	0.014592676575	-0.014747125662	0.000093736652	0.968751182729	N\A	0.028911082042	0.030343018403	0.004331295074	40	7	
2150000	469.654973	1	-0.854947544564	0.916836899976	0.021006052278	-0.008648969671	0.000097728558	0.963688759981	N\A	0.031842488100	0.029298525584	0.003895939850	31	5	
2200000	457.856296	1	-0.836894139023	0.889737378667	0.052322874252	-0.011618746301	0.000186172000	0.956382886045	N\A	0.038792153718	0.034042258184	0.004600697556	41	5	
2250000	467.146436	1	-0.786752785428	0.867281469619	0.090619105143	-0.020492690535	0.000130855707	0.955463205153	N\A	0.034667724805	0.030825655600	0.004317483807	33	6	
2300000	454.662261	1	-0.770625643407	0.873117557696	0.066986384456	-0.016352152658	0.000067132235	0.955271746321	N\A	0.037257480566	0.031829986437	0.004372696233	47	4	
2350000	459.949965	1	-0.891075507018	0.951145287148	0.002960958079	-0.010953264502	0.000108002974	0.958582689007	N\A	0.035885408717	0.032479941196	0.004361553128	43	7	
2400000	450.432351	1	-0.732337813113	0.854280435929	0.060077098724	-0.010058257691	0.000099115955	0.967680818591	N\A	0.035784397835	0.033268797613	0.004227012269	49	11	
2450000	446.158052	1	-0.978547161079	1.002788692202	-0.054747066172	-0.007016085893	0.000113717259	0.956808894930	N\A	0.038233584871	0.035250457731	0.004589186979	38	7	
2500000	466.685897	1	-0.932580820442	0.965929874885	0.032487860151	-0.019144061014	0.000029477876	0.961657544848	N\A	0.033848096608	0.029873820697	0.004025192198	35	10	
2550000	463.042463	1	-0.774676338948	0.863476309049	0.074804242931	-0.014527871476	0.000107616853	0.954798839114	N\A	0.035180223954	0.032483180679	0.004587871054	43	7	
2600000	473.245937	1	-0.831769606877	0.929427442494	0.053344302566	-0.022209439429	0.000037511357	0.967882402456	N\A	0.032142535286	0.027461237945	0.003519033600	49	7	
2650000	454.631851	1	-0.643180468605	0.829017346113	0.072903699961	-0.010717930330	0.000091460889	0.960588132053	N\A	0.037630622759	0.032448819653	0.004254993055	47	7	
2700000	450.019079	1	-0.753844656800	0.924934127624	0.059365748885	-0.018920281718	0.000074222685	0.959843327312	N\A	0.033246038760	0.029210873371	0.004105220215	46	8	
2750000	456.892957	1	-0.920823404055	0.929016602555	0.058489743098	-0.018158430415	0.000115699081	0.958799583225	N\A	0.033039273224	0.030330787466	0.004431438221	39	7	
2800000	453.541864	1	-0.857540576339	0.890017502301	0.099392733738	-0.024297780254	0.000111158101	0.955744870562	N\A	0.036851059865	0.032939049831	0.004194022758	31	8	
2850000	464.150076	1	-0.655100815834	0.801361523978	0.114193834754	-0.013626428995	0.000110315728	0.960059170811	N\A	0.034371203655	0.029955679502	0.004027540049	47	5	
2900000	450.559933	1	-0.730068918712	0.868705234573	0.018886765907	-0.002410610174	0.000157431636	0.950757793803	N\A	0.036772868784	0.033784473133	0.004756937636	37	7	
2950000	453.622722	1	-0.818734457298	0.874643785737	0.067139258870	-0.015307361713	0.000122341144	0.956977653206	N\A	0.038682766514	0.033889163469	0.004627200675	27	6	
3000000	469.990382	1	-0.879990441949	0.912773685487	0.050871398539	-0.015549757241	0.000118336910	0.957992735917	N\A	0.037443503270	0.033250902366	0.004291482091	39	6	
3050000	455.241186	1	-0.857209748983	0.919824253736	0.033570515032	-0.012420989350	0.000105234783	0.954777800708	N\A	0.038278459077	0.034065291049	0.004510490210	46	5	
3100000	449.485057	1	-0.821706403072	0.909452308122	0.001169625156	-0.004412647903	0.000137743913	0.959488388475	N\A	0.029967590648	0.028888032482	0.003915605283	32	3	
3150000	473.817888	1	-0.894094299182	0.918741160854	0.064517612562	-0.020513408741	0.000094798627	0.964512351720	N\A	0.030231861589	0.027303713178	0.004222759712	45	4	
3200000	468.304284	1	-0.914284740756	0.928543754797	-0.004473181082	-0.005074168824	0.000223546833	0.959644758816	N\A	0.034008689879	0.030162022510	0.004214220300	40	8	
3250000	455.604711	1	-0.977484263738	0.949522538411	0.040731468253	-0.018854513216	0.000123844747	0.964391606033	N\A	0.035697037130	0.030332549439	0.003774542550	37	4	
3300000	464.775794	1	-0.882707375708	0.922455705596	0.044100862701	-0.015626099227	0.000121684864	0.971336831686	N\A	0.021435889325	0.020194655089	0.003704313928	41	5	
3350000	466.460493	1	-0.849308889725	0.933639478700	-0.018878496888	-0.003308462426	0.000101767334	0.960478161644	N\A	0.034449380876	0.030371512714	0.004020591660	40	7	
3400000	457.873036	1	-0.998437402898	0.961194823272	0.056701184979	-0.021945835945	0.000104707344	0.962919689689	N\A	0.036091407480	0.030427776467	0.003721176729	37	9	
3450000	475.645795	1	-0.746483210635	0.871443325114	0.065360122095	-0.016204047546	0.000088283355	0.961736882666	N\A	0.031933210382	0.028304988682	0.004702631760	37	8	
3500000	472.966561	1	-0.803249178575	0.905913579998	0.031349189200	-0.010940435653	0.000098818698	0.961279879441	N\A	0.026898144802	0.027480657881	0.004376034893	38	14	
3550000	485.238869	1	-0.885809730285	0.923819188703	0.036242496781	-0.014942487491	0.000155013342	0.964674975045	N\A	0.028136007828	0.025000599348	0.003511057499	40	11	
3600000	480.854064	1	-0.775021827679	0.891035933858	0.028886816063	-0.006585648306	0.000074033587	0.959168282320	N\A	0.036592777214	0.031428583464	0.004428042672	46	10	
3650000	455.345296	1	-0.765040833739	0.869478718138	0.054900111804	-0.010685908070	0.000119149874	0.954913857357	N\A	0.037796124426	0.034524022061	0.004733729686	33	8	
3700000	449.285571	1	-0.782301524299	0.883884432735	0.041653486876	-0.012361328244	0.000111536392	0.964147982689	N\A	0.035232088030	0.031129330006	0.004280968955	37	5	
3750000	461.646870	1	-0.768269334594	0.890270652617	0.002924962416	-0.003386331917	0.000127492532	0.955657017114	N\A	0.033083785359	0.030920101644	0.004133800695	34	8	
3800000	454.265310	1	-1.071918380207	1.038303510826	-0.031579344407	-0.016806216778	0.000124804504	0.957114318485	N\A	0.036661691511	0.033039892023	0.004628025879	42	6	
3850000	457.370410	1	-0.819628655641	0.889230475756	0.052424826466	-0.012259815904	0.000114526934	0.958795200698	N\A	0.034535258753	0.031250427798	0.004036625743	40	9	
