Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-fab-001.txt
Log File Name:                   CEREB_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            555591975
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	380.204742	1	0.731746180719	0.672680246393	0.557721679001	0.426219790560	0.870029962248	0.451312044440	-0.000855643044	0.003430582713	0.050569387547	0.000533300519	-0.021863697636	-0.054408103689	0.000426630408	0.941872188951	N\A	0.070780173727	0.231775003997	0.222667352330	0.264927808083	0.230107422712	0.341159266335	0.074088023045	0.072251768254	0.078264766842	0.075940645867	0.074206974471	31	6	
1550000	393.794411	1	0.395654656991	0.799314104305	0.699405657059	0.581116739896	0.943447132205	0.541885196595	0.816127475998	-0.119905712418	-0.068739415333	-0.173599432505	-0.207561831444	-0.195877182292	0.000202830008	0.945898851199	N\A	0.070113773652	0.202375445419	0.198658849858	0.219824396583	0.208784656895	0.269769397460	0.071697453153	0.071883185056	0.076520194883	0.077157173303	0.074445469086	44	8	
1600000	402.159537	1	0.051257632767	1.072630586490	1.190947925367	1.098181349037	1.454054804507	1.149776961957	0.730780852334	-0.398996173251	-0.337753972313	-0.450892325547	-0.452357205968	-0.427688498380	0.000282381453	0.948831487773	N\A	0.066838014350	0.210663277385	0.203989861759	0.225534116540	0.219130552286	0.288350638044	0.068420373847	0.068580857247	0.072864319115	0.075319553474	0.071187509466	33	9	
1650000	376.052078	1	0.066109949624	0.963450728341	1.070203293922	0.903224921109	1.274573949126	0.959139050919	0.849983015874	-0.319904389990	-0.238702475395	-0.265342598688	-0.244109691367	-0.327763887054	0.000215924332	0.936746736596	N\A	0.053989869673	0.206570044962	0.188533098467	0.205352382212	0.206095187296	0.253381031430	0.059868057083	0.056030650326	0.062434879200	0.068335064432	0.057969954118	42	5	
1700000	399.210252	1	0.331645521248	0.945308375068	0.727176139403	0.574542665770	0.989911091468	0.620909811035	0.683854467390	-0.261959114729	-0.215497794631	-0.305492701700	-0.311319985390	-0.311491080260	0.000203895612	0.956720832583	N\A	0.045542023915	0.177055105168	0.164411246276	0.188748392516	0.176528257338	0.240288362843	0.048036531810	0.047435953147	0.052815679443	0.055761589626	0.050403403014	53	7	
1750000	391.841769	1	0.102134997556	0.927200889650	0.780249731539	0.784203439929	0.802445957978	0.999902898024	1.152743497143	-0.277276200970	-0.220825849121	-0.239944047001	-0.329529305185	-0.317758838313	0.000320497684	0.942772614712	N\A	0.058668220023	0.223838648968	0.211763683534	0.225750475118	0.220956606234	0.292236262447	0.061844794570	0.060852626258	0.065014180144	0.069129063153	0.061196984153	35	7	
1800000	399.109347	1	0.537094872841	0.856349346147	0.509826193176	0.342705931629	0.903693420591	0.439790985078	0.474594980802	-0.217572508225	-0.099707920912	-0.235916705267	-0.288454526077	-0.243171621076	0.000118870139	0.950117232636	N\A	0.058158773266	0.173608151370	0.162026648287	0.183420646116	0.170258656036	0.234864476319	0.060802105957	0.059867803021	0.064675647962	0.065804145643	0.061612402409	41	12	
1850000	385.970355	1	-0.169743416953	0.930221379369	1.109485061781	0.979126463521	1.546005533731	1.375214363510	2.259559369003	-0.271508934387	-0.191432915565	-0.307977699337	-0.382359625468	-0.322162597700	0.000262881905	0.948013661648	N\A	0.099672648168	0.274472979056	0.265090068775	0.279125509162	0.269595430657	0.343634306887	0.100754199211	0.100844965543	0.103837180332	0.104498703871	0.102178790659	40	7	
1900000	379.443345	1	0.343166003883	0.910989501222	0.664049353781	0.563579639213	0.946173161873	0.440529764367	0.760170240234	-0.286782670674	-0.213836165626	-0.249851840207	-0.229563994730	-0.291618383279	0.000237532192	0.935710399824	N\A	0.068745461464	0.210138290280	0.198346116453	0.213211911350	0.211750597317	0.266365634525	0.071589630854	0.070843909463	0.074657458653	0.080307237397	0.071810034658	47	5	
1950000	398.493552	1	0.486111820970	0.764826612451	0.511998475768	0.457296198519	0.480076005773	0.439612394412	0.281949979144	-0.117126326205	-0.063502479827	-0.047815652391	-0.152535748173	-0.131595556638	0.000167888463	0.945088508489	N\A	0.075527149714	0.221273653592	0.205147289191	0.224948404150	0.210272317999	0.250205060421	0.077219849887	0.077064607985	0.081752065421	0.081238605146	0.079202574514	34	11	
