Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-VR-003.txt
Log File Name:                   DIE_d1_m9-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            205840657
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	717.767704	1	-1.135523895816	1.053684710803	-0.020369162016	0.044414175794	-0.001443144833	0.000039996902	0.990636613846	N\A	0.055506790392	0.007909156908	0.022977844391	0.004275300182	42	25	
1050000	734.747302	1	-0.780983984308	0.786889685812	0.021057729803	0.120347751517	-0.017257669297	0.000022323928	0.993823288133	N\A	0.058933123541	0.008965357833	0.022738068481	0.004758703370	48	19	
1100000	741.282071	1	-0.828163572765	0.823660591094	0.017981422237	0.079274927796	-0.010677157801	0.000024352911	0.993366369597	N\A	0.049513793365	0.007925184586	0.018530422500	0.004228390044	41	25	
1150000	732.352471	1	-0.903817968811	0.882163277845	0.006585443787	0.067213304728	-0.004997800753	0.000023042211	0.992599315651	N\A	0.052769137288	0.008095844755	0.021696658572	0.004465419074	35	29	
1200000	716.785318	1	-1.090948011909	1.021111012733	-0.014279000864	0.042437516955	-0.000649332877	0.000023738280	0.992651625748	N\A	0.056090257169	0.008195605347	0.023599814561	0.004562216775	42	20	
1250000	733.025593	1	-1.057812559460	0.980935243140	-0.004616916005	0.053192051854	-0.007815924621	0.000025988304	0.992029116426	N\A	0.053771373083	0.008306853051	0.020917916446	0.004536424361	49	17	
1300000	737.521291	1	-0.898476904273	0.862125631605	0.008480344380	0.107957234651	-0.013985135395	0.000020424648	0.992287952898	N\A	0.051855106437	0.007920895563	0.021826110873	0.004445611651	44	29	
1350000	726.409954	1	-1.013769956813	0.952036966865	-0.004282468273	0.073830616556	-0.006850995612	0.000027640516	0.991746810856	N\A	0.055736198831	0.008540431300	0.022316113495	0.004714674930	39	14	
1400000	721.838905	1	-1.020355949544	0.973912070932	-0.009954981167	0.064245211803	-0.004000313798	0.000026857768	0.992264893100	N\A	0.050074136348	0.007401104308	0.022058601184	0.004353134376	53	27	
1450000	727.577245	1	-0.925242643980	0.894514881749	0.004258881813	0.083542259881	-0.009377900978	0.000026300597	0.993288536906	N\A	0.053051454678	0.008192346834	0.021369783682	0.004422154907	39	22	
1500000	729.748424	1	-1.039705841760	0.959494994484	-0.003014591980	0.064923418186	-0.006465666719	0.000023317201	0.993560144611	N\A	0.055160478597	0.008549657432	0.021558788353	0.004430782735	46	24	
1550000	721.464818	1	-1.055612948541	0.966783182024	-0.002623716445	0.066770472091	-0.008184552414	0.000025895415	0.991978051552	N\A	0.052629081003	0.007991181766	0.022481288742	0.004594409115	31	17	
1600000	744.855343	1	-0.936764167773	0.900191058593	0.006339425004	0.069563096542	-0.009188024056	0.000025266167	0.993151683490	N\A	0.052941186938	0.008271374860	0.020749351261	0.004318552522	43	23	
1650000	718.760621	1	-0.722286344832	0.757733662582	0.021510356151	0.114059259753	-0.012226986127	0.000023273135	0.992490401233	N\A	0.054283183454	0.008405166626	0.021968299958	0.004746209284	52	20	
1700000	730.817773	1	-0.836868321423	0.814432886132	0.015363194764	0.124450658312	-0.017316493401	0.000021430288	0.992814544814	N\A	0.056618367451	0.008440838881	0.022558922813	0.004328917426	48	28	
1750000	730.046754	1	-1.011606828978	0.948455158499	-0.004521163560	0.068162641582	-0.004601575562	0.000020636717	0.991937440133	N\A	0.048667247588	0.007569093537	0.020655489908	0.004318930429	49	18	
1800000	716.783752	1	-0.895283989515	0.826251347994	0.020475013761	0.108714270919	-0.018543348098	0.000026123622	0.991822749352	N\A	0.060252912502	0.009432889697	0.023116995263	0.004849351630	48	16	
1850000	725.821431	1	-1.017833631976	0.955609045725	0.001265165539	0.030827310454	-0.002618026056	0.000028113058	0.991961860184	N\A	0.055551580888	0.008820380863	0.021520410885	0.004554638519	43	16	
1900000	717.457298	1	-0.799568916760	0.779511203032	0.023453234838	0.123340125713	-0.018376415570	0.000022280401	0.993203733661	N\A	0.057205249189	0.009021181164	0.022631405962	0.004923166317	55	24	
1950000	735.993144	1	-1.004414529426	0.932432390093	0.004796020268	0.047758252596	-0.007316138378	0.000020020943	0.993131798832	N\A	0.052513960702	0.008252805904	0.020540354555	0.004421638532	50	27	
2000000	728.692623	1	-1.094574585345	1.019135298190	-0.013023167846	0.030736445652	0.001340694093	0.000026588992	0.991843950741	N\A	0.053118320455	0.008047108475	0.022570108498	0.004670008461	46	23	
2050000	728.469462	1	-0.971364431419	0.932043551812	-0.000736746299	0.065235209538	-0.005762983441	0.000028380043	0.992291839544	N\A	0.050398208748	0.007918452003	0.020049834912	0.004350906997	55	23	
2100000	738.558899	1	-1.000329002008	0.952623483856	-0.003542279251	0.061125714003	-0.006746506005	0.000024377768	0.992684971935	N\A	0.050802411774	0.008180979980	0.020239915017	0.004425707461	45	17	
2150000	716.209345	1	-1.032536697069	0.962938843728	-0.002983889879	0.052947545583	-0.004773896448	0.000024836257	0.993033622330	N\A	0.051346828679	0.008014526983	0.020967557333	0.004370136002	59	21	
2200000	732.184987	1	-0.890369222175	0.843798318716	0.011527925099	0.112331186619	-0.013567336093	0.000025820140	0.992057487534	N\A	0.050477400940	0.007704055299	0.020847330303	0.004158528175	37	23	
2250000	719.316685	1	-0.949453772050	0.908336767987	-0.001399850158	0.088739584326	-0.004536855986	0.000030268355	0.991686583063	N\A	0.063952565272	0.009569412983	0.025932852159	0.005350548033	43	20	
2300000	730.009126	1	-0.924387281364	0.874400600042	0.008581197180	0.090372284992	-0.009886736740	0.000022358964	0.993548443497	N\A	0.050710585082	0.007815968316	0.020059697010	0.004203053632	58	19	
2350000	728.175951	1	-0.987642966594	0.943716689612	-0.002165645702	0.055079941660	-0.004103511385	0.000021189451	0.992222360340	N\A	0.053300587432	0.008200541665	0.022078288911	0.004555655552	45	28	
2400000	738.886086	1	-0.975893756118	0.937965568921	-0.004123757820	0.068533455605	-0.004135643145	0.000026110182	0.991498042447	N\A	0.058456531868	0.008785701556	0.023324115702	0.004659409560	50	27	
2450000	728.618136	1	-0.899924236313	0.850329111169	0.012501965882	0.107960361520	-0.016264600937	0.000021840104	0.992930106705	N\A	0.052387219395	0.008197388821	0.020789164804	0.004280567506	49	25	
2500000	721.729430	1	-0.809926202132	0.779225933307	0.024830988569	0.126705143770	-0.020755118623	0.000024965700	0.991837120313	N\A	0.055241444573	0.008386115858	0.022619599756	0.004662582664	41	26	
2550000	719.242767	1	-0.935495088227	0.873763002341	0.013312904007	0.088541890671	-0.015903409546	0.000025376491	0.992627575873	N\A	0.054136344141	0.008507585122	0.021031381353	0.004664836273	38	30	
2600000	723.000230	1	-0.885063007931	0.832081715228	0.013503245906	0.130744736258	-0.016900059840	0.000024598327	0.991842466022	N\A	0.061355608025	0.009284061606	0.024176809831	0.004842479257	42	29	
2650000	728.406862	1	-0.890187212654	0.836933823083	0.010826140277	0.124054931745	-0.014434349662	0.000023396255	0.991986558473	N\A	0.062874729513	0.009754259411	0.024567447795	0.005117779565	58	22	
2700000	717.496207	1	-0.912372131585	0.876784535429	0.008275791633	0.087118144614	-0.012357667035	0.000024312610	0.990223759678	N\A	0.055560988473	0.008672283094	0.022262995233	0.004665301064	52	9	
2750000	721.735538	1	-0.922986946828	0.881657947559	0.004657689427	0.099405564082	-0.010061428327	0.000033577457	0.991976060599	N\A	0.057198063894	0.008594055323	0.022852886767	0.004574644780	38	23	
2800000	722.791229	1	-0.907151339386	0.846034507707	0.016160196181	0.110092020879	-0.018486831136	0.000025125858	0.992341067733	N\A	0.054119672059	0.008506620654	0.021525271633	0.004528233380	50	27	
2850000	712.242591	1	-0.875837092107	0.829055047825	0.021901820506	0.084705421925	-0.015878229860	0.000021901020	0.992555441839	N\A	0.054715865969	0.008722013822	0.021987550552	0.004783946578	56	19	
2900000	724.018571	1	-0.924372271966	0.864287557505	0.017407996507	0.061512489026	-0.010509799451	0.000023078265	0.992931487252	N\A	0.061805413105	0.009561628203	0.023388988386	0.005050666590	48	29	
2950000	723.447210	1	-0.879219545520	0.830843693673	0.016540435586	0.113712335230	-0.018105217419	0.000023415265	0.992186242507	N\A	0.058143249662	0.008987798042	0.023175907362	0.004851243933	46	25	
3000000	729.143127	1	-0.934039343136	0.869653311455	0.016613571017	0.070083333719	-0.012835016362	0.000021995660	0.993875817645	N\A	0.057376556378	0.008794470275	0.021961529221	0.004641665181	47	19	
3050000	718.242893	1	-0.879095633250	0.863005607968	0.006689514790	0.089013117732	-0.006891364946	0.000025684294	0.991663448063	N\A	0.054526371136	0.008531217291	0.022457236148	0.004913684329	47	18	
3100000	705.944451	1	-0.936739711717	0.877570931439	0.017033610287	0.048735780854	-0.009378307477	0.000023632407	0.991516672638	N\A	0.060388026380	0.009540092561	0.023725238850	0.005042481894	41	25	
3150000	713.428613	1	-0.920389099227	0.852058754816	0.019358128886	0.084505439090	-0.015577875699	0.000020547178	0.992637922498	N\A	0.054408168486	0.008685154044	0.021494370771	0.004728728134	48	23	
3200000	725.421695	1	-1.026072482947	0.981806814509	-0.012978636636	0.064091239893	-0.001397898927	0.000023315727	0.992087390991	N\A	0.053434122699	0.008350624855	0.021256673134	0.004395936904	40	22	
3250000	719.405812	1	-1.130506348920	1.022113413710	-0.012610347755	0.060471641846	-0.005699006921	0.000024327324	0.992270962611	N\A	0.058711686173	0.008770406138	0.023983770646	0.004701477820	37	19	
3300000	726.133361	1	-0.926754900303	0.872710155917	0.008099988710	0.093786247954	-0.009307018795	0.000020107221	0.992736665407	N\A	0.055778742614	0.008679268877	0.022802157493	0.004782068932	37	29	
3350000	718.606713	1	-0.794728118345	0.797121937936	0.017437468755	0.111196513827	-0.013609356787	0.000024821647	0.992167421907	N\A	0.059260941455	0.008951195973	0.023489402452	0.004786276796	48	26	
3400000	715.425122	1	-0.845562891544	0.831675933001	0.013404270513	0.091961507966	-0.009187804146	0.000023035100	0.992272693130	N\A	0.056750931382	0.009131689793	0.022367149259	0.004817761588	37	19	
3450000	721.112335	1	-0.932009616069	0.916233328611	0.000424053572	0.048848804848	-0.000336714112	0.000019139504	0.991854333181	N\A	0.060211479828	0.009037265537	0.024949866264	0.004987167089	36	31	
3500000	735.659406	1	-0.981652043164	0.927176187091	0.004056144369	0.044830457690	-0.004295267296	0.000021496338	0.992798142537	N\A	0.050730433430	0.008044183703	0.020509455532	0.004392971085	47	30	
3550000	730.728644	1	-0.894675201375	0.868983483668	0.012637763710	0.066120564461	-0.009787006658	0.000023875073	0.992933131824	N\A	0.053148944725	0.008158897106	0.021334824857	0.004568128006	47	14	
3600000	733.463791	1	-0.885826879789	0.860267242451	0.011583913012	0.079906103908	-0.009545035053	0.000019155272	0.992952503591	N\A	0.050945949695	0.008209385612	0.020406119414	0.004513143959	33	23	
3650000	739.221244	1	-0.828090078013	0.808841962516	0.019237400917	0.105898542524	-0.015411781744	0.000017395951	0.993259749088	N\A	0.056290049681	0.008696036665	0.021878738968	0.004557569611	37	27	
3700000	709.586588	1	-1.141355915346	1.049943825826	-0.017965265914	0.042887062635	-0.001874006296	0.000033039483	0.991136454873	N\A	0.054806351343	0.008159862228	0.023863028783	0.004688060810	54	22	
3750000	731.941463	1	-0.991364142836	0.921773361973	-0.003580723652	0.101854696446	-0.008857247118	0.000021933522	0.992287473282	N\A	0.055212499496	0.008161044848	0.023386029688	0.004581128679	43	25	
3800000	716.553600	1	-1.015692310645	0.944680534933	-0.001464722597	0.073308704501	-0.008710235338	0.000022961171	0.993923440835	N\A	0.053461498100	0.008795200149	0.020239810039	0.004762181184	50	24	
3850000	723.464233	1	-0.876014914959	0.836005342678	0.020700684562	0.073791374950	-0.012968244637	0.000022844428	0.992981183390	N\A	0.054852585095	0.008738258959	0.021235280369	0.004574716970	48	20	
3900000	722.988004	1	-0.962128883940	0.929106066626	-0.002337732126	0.065970275900	-0.004248100944	0.000026100603	0.992285632947	N\A	0.051242547568	0.007999616995	0.020727874465	0.004403537219	51	15	
3950000	719.339266	1	-1.064219419852	0.980389703394	-0.007604063092	0.075745719961	-0.007928184205	0.000029068932	0.991366199090	N\A	0.054127587203	0.008232490572	0.022184650244	0.004469132914	43	23	
4000000	735.006210	1	-1.000225240124	0.945393298672	-0.001257568107	0.071837845454	-0.010651340879	0.000033534824	0.993481769603	N\A	0.046451274620	0.007217137586	0.019185305336	0.003904955769	55	37	
4050000	728.282369	1	-0.891999961915	0.835757523221	0.020769847681	0.094079182322	-0.017731474768	0.000020174896	0.993119329259	N\A	0.049134215284	0.007847710547	0.019307770626	0.003820701074	52	29	
4100000	728.733673	1	-0.904252686720	0.858255142440	0.009461977276	0.117720145977	-0.015976208884	0.000027711228	0.991859767139	N\A	0.056016289590	0.008335540362	0.022641711451	0.004413172248	39	27	
4150000	715.254777	1	-0.721248941553	0.715198074940	0.030046178827	0.167094638473	-0.026361955681	0.000023616733	0.992023378893	N\A	0.057491357224	0.008914207192	0.022760742882	0.004647867670	44	25	
4200000	723.027636	1	-0.796258777216	0.781784933709	0.025570351356	0.106227770834	-0.017660219989	0.000025326017	0.993089251008	N\A	0.055441703985	0.008580234786	0.022625250820	0.004781761487	45	32	
4250000	719.802536	1	-1.021246921641	0.954011143682	0.000564889519	0.052629550828	-0.007183110186	0.000025594491	0.993368980266	N\A	0.054971874310	0.008742634780	0.021511016866	0.004641462982	44	21	
4300000	728.610091	1	-0.888651938381	0.856247022451	0.011581100479	0.084699959545	-0.009043455163	0.000025258878	0.993765539753	N\A	0.053336320325	0.008489379047	0.021890146694	0.004968439289	51	21	
4350000	730.308307	1	-0.976725498075	0.910315027919	0.010087953537	0.054026653822	-0.010040089460	0.000026312528	0.991743250363	N\A	0.058118601570	0.008756251525	0.022518299356	0.004296609983	39	17	
4400000	718.890483	1	-0.902907828159	0.868620374228	0.013011865043	0.063758872635	-0.009471458047	0.000024838417	0.991983678734	N\A	0.057136846129	0.009007043947	0.022606094760	0.004795378723	37	16	
4450000	734.223489	1	-0.892801341506	0.855423060517	0.012456004190	0.102330344382	-0.016293802674	0.000023431520	0.993149207584	N\A	0.052646263812	0.008167795613	0.020576272539	0.004246389686	53	27	
4500000	712.311193	1	-0.766968190883	0.761487728273	0.029574582568	0.090329424158	-0.015482337677	0.000020286972	0.990188460720	N\A	0.053408677558	0.008656935222	0.021751261697	0.004780558392	49	25	
4550000	723.289507	1	-0.988479447057	0.928906494623	0.003946344705	0.054664352011	-0.006804167820	0.000023427201	0.993415496363	N\A	0.055240816195	0.008727393244	0.021634557148	0.004623624024	44	26	
4600000	732.214390	1	-0.988326410815	0.937962203733	-0.004082154049	0.085275563545	-0.008453539942	0.000025697383	0.991760517035	N\A	0.052965765881	0.008346072370	0.021492460617	0.004631856330	30	21	
4650000	718.891485	1	-0.799932997006	0.785182514538	0.025116644962	0.098905803695	-0.015028621749	0.000024523348	0.992685766980	N\A	0.054359893208	0.008688019463	0.021124237287	0.004571834327	48	21	
4700000	727.617572	1	-0.904484668136	0.867396039609	0.008275503400	0.101663682919	-0.011947580921	0.000018748142	0.993569282952	N\A	0.048643122910	0.007056854669	0.019651914855	0.003830534670	47	30	
4750000	713.400662	1	-0.967884751489	0.940077581619	-0.008051777093	0.064017614092	0.001115090448	0.000025545755	0.991571578539	N\A	0.053759329716	0.008175155646	0.023292517496	0.004728307112	44	19	
4800000	729.779588	1	-1.073498455102	1.003039910799	-0.007174121333	0.023717994661	-0.000495556597	0.000021829371	0.992180216611	N\A	0.050327710059	0.008157823203	0.019812445530	0.004381378575	40	34	
4850000	721.253636	1	-0.900375438451	0.870555382793	0.008531237623	0.085337214568	-0.009017945305	0.000025436876	0.991594307679	N\A	0.054691446860	0.008682298864	0.022119910057	0.004796342938	49	23	
4900000	727.308043	1	-0.893204196575	0.870627213474	0.006647206660	0.101257635404	-0.013029438964	0.000025523078	0.991641657448	N\A	0.053072616329	0.008198649261	0.022210178828	0.004568366690	44	17	
4950000	728.850892	1	-0.868805663892	0.849869807939	0.012497540788	0.077295685770	-0.008853952635	0.000023766716	0.993624992973	N\A	0.049008418814	0.007460859929	0.019847637879	0.004178174989	51	26	
5000000	734.605810	1	-0.873761356580	0.834154668047	0.016870622356	0.099390944103	-0.013811254515	0.000023387340	0.992882226846	N\A	0.055544665862	0.008608434312	0.022162257029	0.004559173515	42	20	
5050000	726.799846	1	-0.910949064675	0.884732555159	0.003384867809	0.090341589322	-0.008385272677	0.000027733835	0.992474414305	N\A	0.053935844838	0.007779355303	0.022186714692	0.004323720366	24	19	
5100000	732.209423	1	-1.090527003164	1.014168092300	-0.015007704514	0.059602152210	-0.001842498340	0.000027101556	0.993240750154	N\A	0.049405050663	0.007261271073	0.021991231384	0.004243431769	44	21	
5150000	726.956230	1	-0.921580542287	0.885777294736	0.005699361243	0.083437200418	-0.008908328863	0.000022129866	0.992308979834	N\A	0.056471877397	0.008783945744	0.022246213478	0.004575440440	45	30	
5200000	728.362130	1	-0.828043050122	0.808276187777	0.019811856109	0.104681630960	-0.016222415954	0.000024310978	0.991693972067	N\A	0.054100093478	0.008327178818	0.022066050123	0.004557886200	48	24	
5250000	733.370827	1	-0.883417674161	0.838841015746	0.016617084074	0.101298349176	-0.017052556282	0.000030510011	0.991838207373	N\A	0.057788138638	0.009075650428	0.022296808239	0.004826888077	39	22	
5300000	729.087808	1	-0.960704006613	0.917517681583	-0.000301681051	0.085783717457	-0.009037855170	0.000024019550	0.991902189484	N\A	0.053914109889	0.008357978881	0.021924580773	0.004612906187	40	19	
5350000	720.087398	1	-1.105510851485	0.991327781052	-0.005693345147	0.060799858780	-0.007925844972	0.000027646332	0.992857974056	N\A	0.059730117904	0.008578556136	0.023499802617	0.004360877256	40	27	
5400000	722.495693	1	-1.080745418802	0.989008371174	-0.008236685401	0.060674541605	-0.003905951533	0.000028605885	0.992278916461	N\A	0.049991385361	0.007484684132	0.021152454752	0.004217333320	43	25	
5450000	732.578949	1	-0.956481072676	0.902699497807	0.009636142916	0.056685999075	-0.009250155389	0.000022168259	0.992675276033	N\A	0.060260645767	0.009218764639	0.022957408239	0.004733887105	56	22	
5500000	734.675082	1	-0.991734932709	0.934616771782	0.002997073782	0.049319747256	-0.006055601784	0.000022733639	0.992606168104	N\A	0.055755884036	0.008485059423	0.023162305055	0.004652938558	53	28	
5550000	721.656071	1	-0.978573412244	0.917921729769	0.004448419553	0.066973239979	-0.006828535687	0.000025161629	0.991919660373	N\A	0.053614191786	0.008330443560	0.021956084522	0.004532005892	41	19	
5600000	721.799241	1	-0.824872803976	0.824246038344	0.011167542593	0.108228644662	-0.009694777884	0.000021682704	0.992786109949	N\A	0.062490103496	0.009484335782	0.023552663111	0.004793678876	51	21	
5650000	727.409895	1	-0.944195427309	0.890587389882	0.009673548392	0.067613666496	-0.008608678361	0.000025739139	0.991810131831	N\A	0.053792128065	0.008264843490	0.022232166014	0.004548007090	52	18	
5700000	719.748918	1	-0.718340266590	0.720102679713	0.036765637988	0.120328287285	-0.023155359438	0.000038164507	0.991505195196	N\A	0.058259700518	0.009419263454	0.022982097702	0.005134561329	41	20	
