Species_TTOL	NEO	rest_of_brain	BOD
Anourosorex_squamipes	1.83	3.0789623596587	1.307
Atelerix_algirus	2.708	3.0789623596587	2.867
Blarina_brevicauda	1.837	3.0789623596587	1.267
Chrysochloris_asiatica	2.052	3.0789623596587	1.69
Chrysochloris_stuhlmanni	2.109	3.0789623596587	1.626
Crocidura_attenuata	1.403	3.0789623596587	0.968
Crocidura_flavescens	1.725	3.0789623596587	1.467
Crocidura_hildegardeae	1.415	3.0789623596587	0.996
Crocidura_denti	1.456	3.0789623596587	1.079
Crocidura_russula	1.403	3.0789623596587	1.049
Crocidura_suaveolens	1.391	3.0789623596587	1.013
Cryptotis_parvus	1.559	3.0789623596587	0.991226075692495
Desmana_moschata	2.993	3.0789623596587	2.646
Echinops_telfairi	1.713	3.0789623596587	1.942
Echinosorex_gymnura	3.035	3.0789623596587	2.921
Erinaceus_europaeus	2.72	3.0789623596587	2.929
Euroscaptor_micrura	2.196	3.0789623596587	1.617
Galemys_pyrenaicus	2.53	3.0789623596587	1.778
Geogale_aurita	0.857	3.0789623596587	1
Hemicentetes_semispinosus	1.886	3.0789623596587	2.062
Hemiechinus_auritus	2.486	3.0789623596587	2.371
Hylomys_suillus	2.25	3.0789623596587	1.756
Limnogale_mergulus	2.291	3.0789623596587	1.964
Microgale_dobsoni	1.797	3.0789623596587	1.504
Microgale_talazaci	1.949	3.0789623596587	1.683
Micropotamogale_lamottei	2.16	3.0789623596587	1.808
Micropotamogale_ruwenzorii	2.358	3.0789623596587	1.986
Myosorex_sclateri	1.656	3.0789623596587	1.23
Neomys_anomalus	1.771	3.0789623596587	1.037
Neomys_fodiens	1.753	3.0789623596587	1.182
Oryzorictes_hova	1.823	3.0789623596587	1.645
Parascalops_breweri	2.245	3.0789623596587	1.731
Potamogale_velox	3.021	3.0789623596587	2.791
Ruwenzorisorex_suncoides	1.775	3.0789623596587	1.262
Scalopus_aquaticus	2.403	3.0789623596587	2.061
Scutisorex_somereni	1.941	3.0789623596587	1.792
Setifer_setosus	2.135	3.0789623596587	2.373
Solenodon_paradoxus	2.825	3.0789623596587	2.826
Sorex_alpinus	1.658	3.0789623596587	1.033
Sorex_araneus	1.45	3.0789623596587	0.987
Sorex_cinereus	1.459	3.0789623596587	0.633
Sorex_fumeus	1.681	3.0789623596587	0.924
Sorex_hoyi	1.182	3.0789623596587	0.42
Sorex_minutus	1.201	3.0789623596587	0.633
Suncus_etruscus	0.851	3.0789623596587	0.762
Suncus_murinus	1.703	3.0789623596587	1.529
Sylvisorex_granti	1.314	3.0789623596587	0.591
Suncus_megalura	1.378	3.0789623596587	0.74
Talpa_europaea	2.258	3.0789623596587	1.908
Tenrec_ecaudatus	2.436	3.0789623596587	2.935
Aepyprymnus_rufescens	3.653213	3.0789623596587	3.392697
Antechinus_flavipes	2.015779	3.0789623596587	1.568202
Antechinus_minimus	2.112605	3.0789623596587	1.724276
Bettongia_gaimardi	3.559068	3.0789623596587	3.176091
Bettongia_penicillata	3.509606	3.0789623596587	3.079181
Burramys_parvus	2.261976	3.0789623596587	1.770852
Cercartetus_nanus	1.991226	3.0789623596587	1.278754
Dactylopsila_trivirgata	3.324899	3.0789623596587	2.643453
Dasycercus_cristicauda	2.452247	3.0789623596587	2
Dasyuroides_byrnei	2.400883	3.0789623596587	2.146128
Dasyurus_geoffroii	3.090611	3.0789623596587	2.69897
Dasyurus_hallucatus	2.810904	3.0789623596587	3.021189
Dendrolagus_lumholtzi	3.924538	3.0789623596587	3.78533
Distoechurus_pennatus	2.42111	3.0789623596587	1.633468
Dorcopsis	3.735359	3.0789623596587	3.462398
Echymipera_kalubu	2.67587	3.0789623596587	2.819544
Gymnobelideus_leadbeateri	2.825491	3.0789623596587	2.041393
Hypsiprymnodon_moschatus	3.219323	3.0789623596587	2.748188
Isoodon_macrourus	2.771734	3.0789623596587	3.033424
Isoodon_obesulus_obesulus	2.823474	3.0789623596587	3.004321
Osphranter_antilopinus	4.354185	3.0789623596587	4.537819
Macropus_giganteus	4.476817	3.0789623596587	4.563481
Notamacropus_irma	3.973359	3.0789623596587	3.819544
Notamacropus_parma	3.824386	3.0789623596587	3.536558
Notamacropus_parryi	4.144294	3.0789623596587	4.170262
Osphranter_robustus	4.347545	3.0789623596587	4.409933
Osphranter_rufus	4.360082	3.0789623596587	4.494155
Thylamys_pallidior	2.036629	3.0789623596587	1.477121
Marmosops_impavidus	2.345178	3.0789623596587	1.845098
Monodelphis_brevicaudata	2.126131	3.0789623596587	1.924279
Notoryctes_typhlops	2.064083	3.0789623596587	1.531479
Petauroides_volans	3.110253	3.0789623596587	3.09691
Petaurus_australis	3.313445	3.0789623596587	2.748188
Petaurus_breviceps	2.806655	3.0789623596587	2.113943
Petaurus_norfolcensis	2.949048	3.0789623596587	2.374748
Petrogale_inornata	3.828724	3.0789623596587	3.628389
Petrogale_lateralis	3.764251	3.0789623596587	3.556303
Petrogale_penicillata	3.91981	3.0789623596587	3.690196
Petrogale_purpureicollis	3.827305	3.0789623596587	3.740363
Petropseudes_dahli	3.178113	3.0789623596587	3.127105
Phascolarctos_cinereus	3.804071	3.0789623596587	3.968483
Planigale_ingrami	0.974972	3.0789623596587	0.826075
Planigale_maculata	1.414973	3.0789623596587	1.041393
Potorous_tridactylus_tridactylus	3.462398	3.0789623596587	3.089905
Pseudochirulus_canescens	2.769156	3.0789623596587	2.447158
