Species_TTOL	NEO	rest_of_brain	BOD
Pseudochirulus_forbesi	2.93892	3.0789623596587	2.70757
Sarcophilus_harrisii	3.581153	3.0789623596587	3.732394
Sminthopsis_crassicaudata	1.725095	3.0789623596587	1.146128
Sminthopsis_leucopus	1.864511	3.0789623596587	1.361728
Phalanger_gymnotis	3.547036	3.0789623596587	3.451786
Thylacinus_cynocephalus	4.326295	3.0789623596587	4.342423
Thylogale_billardierii	3.925776	3.0789623596587	3.845098
Thylogale_stigmatica	3.829368	3.0789623596587	3.653213
Trichosurus_vulpecula	3.523356	3.0789623596587	3.30103
Vombatus_ursinus	4.31161	3.0789623596587	4.357935
Wallabia_bicolor	4.162594	3.0789623596587	4.198657
Balionycteris_maculata	2.13	3.0789623596587	1.158
Casinycteris_argynnis	2.369	3.0789623596587	1.428
Chironax_melanocephalus	2.226	3.0789623596587	1.248
Cynopterus_brachyotis	2.459	3.0789623596587	1.53
Cynopterus_horsfieldii	2.636	3.0789623596587	1.773
Cynopterus_sphinx	2.547	3.0789623596587	1.713
Dobsonia_inermis	2.922	3.0789623596587	2.173
Dobsonia_moluccensis	3.18	3.0789623596587	2.543
Dobsonia_praedatrix	2.97	3.0789623596587	2.25
Eidolon_helvum	3.148	3.0789623596587	2.418
Eonycteris_spelaea	2.584	3.0789623596587	1.769
Epomophorus_labiatus	2.664	3.0789623596587	1.806
Epomops_franqueti	2.789	3.0789623596587	2.072
Hypsignathus_monstrosus	3.024	3.0789623596587	2.491
Macroglossus_minimus	2.192	3.0789623596587	1.164
Megaerops_ecaudatus	2.392	3.0789623596587	1.38
Megaloglossus_woermanni	2.279	3.0789623596587	1.253
Melonycteris_melanops	2.617	3.0789623596587	1.675
Melonycteris_woodfordi	2.505	3.0789623596587	1.549
Epomophorus_pusillus	2.385	3.0789623596587	1.4
Myonycteris_torquata	2.527	3.0789623596587	1.561
Notopteris_macdonaldi	2.623	3.0789623596587	1.841
Nyctimene_albiventer	2.341	3.0789623596587	1.473
Nyctimene_robinsoni	2.525	3.0789623596587	1.673
Nyctimene_vizcaccia	2.41	3.0789623596587	1.549
Paranyctimene_raptor	2.297	3.0789623596587	1.417
Pteropus_alecto	3.434	3.0789623596587	2.775
Pteropus_conspicillatus	3.524	3.0789623596587	2.875
Pteropus_hypomelanus	3.28	3.0789623596587	2.591
Pteropus_lylei	3.378	3.0789623596587	2.497
Pteropus_neohibernicus	3.565	3.0789623596587	2.924
Pteropus_poliocephalus	3.433	3.0789623596587	2.842
Pteropus_samoensis	3.331	3.0789623596587	2.491
Pteropus_scapulatus	3.318	3.0789623596587	2.574
Pteropus_temminckii	3.259	3.0789623596587	2.398
Pteropus_tonganus	3.35	3.0789623596587	2.652
Pteropus_vampyrus	3.558	3.0789623596587	3.027
Rousettus_aegyptiacus	2.837	3.0789623596587	2.111
Rousettus_amplexicaudatus	2.636	3.0789623596587	1.856
Scotonycteris_zenkeri	2.261	3.0789623596587	1.328
Sphaerias_blanfordi	2.35	3.0789623596587	1.47
Syconycteris_australis	2.243	3.0789623596587	1.207
Anoura_caudifer	2.005	3.0789623596587	1.025
Anoura_geoffroyi	2.165	3.0789623596587	1.204
Ardops_nichollsi	2.172	3.0789623596587	1.352
Artibeus_cinereus	2.081	3.0789623596587	1.1
Artibeus_concolor	2.183	3.0789623596587	1.288
Artibeus_jamaicensis	2.449	3.0789623596587	1.613
Artibeus_lituratus	2.513	3.0789623596587	1.748
Aselliscus_stoliczkanus	1.352	3.0789623596587	0.69
Aselliscus_tricuspidatus	1.346	3.0789623596587	0.643
Brachyphylla_cavernarum	2.509	3.0789623596587	1.648
Cardioderma_cor	2.27	3.0789623596587	1.415
Carollia_perspicillata	2.111	3.0789623596587	1.25
Chalinolobus_gouldii	1.572	3.0789623596587	1.068
Chalinolobus_morio	1.449	3.0789623596587	0.919
Chiroderma_salvini	2.323	3.0789623596587	1.417
Chiroderma_trinitatum	2.182	3.0789623596587	1.137
Chiroderma_villosum	2.273	3.0789623596587	1.394
Choeroniscus_minor	1.98	3.0789623596587	0.982
Coleura_afra	1.72	3.0789623596587	1.061
Cormura_brevirostris	1.635	3.0789623596587	0.914
Craseonycteris_thonglongyai	1.243	3.0789623596587	0.408
Desmodus_rotundus	2.495	3.0789623596587	1.56
Diphylla_ecaudata	2.364	3.0789623596587	1.49
Emballonura_monticola	1.507	3.0789623596587	0.724
Emballonura_raffrayana	1.538	3.0789623596587	0.771
Eptesicus_brasiliensis	1.542	3.0789623596587	0.964
Eptesicus_fuscus_bahamensis	1.636	3.0789623596587	1.134
Eumops_auripendulus	2.071	3.0789623596587	1.529
Eumops_glaucinus	2.111	3.0789623596587	1.562
Furipterus_horrens	1.367	3.0789623596587	0.535
Glischropus_tylopus	1.155	3.0789623596587	0.69
Glossophaga_longirostris	1.968	3.0789623596587	1.053
Glossophaga_soricina	1.944	3.0789623596587	0.996
Harpiocephalus_harpia	1.91	3.0789623596587	1.13
Hesperoptenus_blanfordi	1.41	3.0789623596587	0.863
Hipposideros_armiger	2.227	3.0789623596587	1.748
Hipposideros_ater	1.587	3.0789623596587	0.839
Hipposideros_caffer	1.785	3.0789623596587	1.041
Macronycteris_commersoni	2.235	3.0789623596587	1.997
Hipposideros_diadema	2.189	3.0789623596587	1.622
Hipposideros_fulvus	1.649	3.0789623596587	0.845
Hipposideros_lankadiva	2.189	3.0789623596587	1.686
Hipposideros_larvatus	1.931	3.0789623596587	1.312
Hipposideros_ridleyi	1.702	3.0789623596587	0.982
Hipposideros_speoris	1.76	3.0789623596587	1.061
Hipposideros_turpis	2.11	3.0789623596587	1.542
Ia_io	2.15	3.0789623596587	1.727
Kerivoula_papillosa	1.839	3.0789623596587	1.004
Lasiurus_borealis	1.446	3.0789623596587	0.892
Leptonycteris_curasoae	2.147	3.0789623596587	1.389
Leptonycteris_nivalis	2.159	3.0789623596587	1.358
Lonchophylla_mordax	1.989	3.0789623596587	1.029
Hsunycteris_thomasi	1.885	3.0789623596587	0.839
Lophostoma_silvicolum	2.381	3.0789623596587	1.509
Macroderma_gigas	2.708	3.0789623596587	2.078
Macrophyllum_macrophyllum	1.905	3.0789623596587	0.934
Megaderma_lyra	2.388	3.0789623596587	1.587
Megaderma_spasma	2.238	3.0789623596587	1.354
Mesophylla_macconnelli	1.939	3.0789623596587	0.875
Micronycteris_brachyotis	1.944	3.0789623596587	1.167
Micronycteris_megalotis	1.776	3.0789623596587	0.813
Micronycteris_minuta	1.817	3.0789623596587	0.839
Micronycteris_schmidtorum	1.881	3.0789623596587	0.892
Gardnerycteris_crenulatum	1.94	3.0789623596587	1.072
Miniopterus_australis	1.575	3.0789623596587	0.851
Miniopterus_inflatus	1.747	3.0789623596587	1.173
Miniopterus_magnater	1.776	3.0789623596587	1.176
Miniopterus_pusillus	1.571	3.0789623596587	0.934
Miniopterus_tristis	1.794	3.0789623596587	1.193
Molossus_molossus	1.797	3.0789623596587	1.137
Molossus_rufus	2.056	3.0789623596587	1.526
Monophyllus_plethodon	1.984	3.0789623596587	1.176
Mormoops_megalophylla	1.827	3.0789623596587	1.196
Murina_cyclotis	1.647	3.0789623596587	0.851
Murina_huttoni	1.695	3.0789623596587	0.944
Myotis_adversus	1.668	3.0789623596587	1.049
Myotis_albescens	1.312	3.0789623596587	0.602
Myotis_annectans	1.572	3.0789623596587	0.991
Myotis_bechsteinii	1.56	3.0789623596587	0.978
Myotis_bocagii	1.556	3.0789623596587	0.845
Myotis_dasycneme	1.667	3.0789623596587	1.176
Myotis_myotis	1.894	3.0789623596587	1.408
Myotis_nigricans	1.362	3.0789623596587	0.663
Myotis_siligorensis	1.21	3.0789623596587	0.539
Natalus_tumidirostris	1.741	3.0789623596587	0.839
Noctilio_albiventris	2.265	3.0789623596587	1.515
Noctilio_leporinus	2.558	3.0789623596587	1.763
Nyctalus_noctula	1.74	3.0789623596587	1.431
Nycteris_arge	1.953	3.0789623596587	1.025
Nycteris_grandis	2.272	3.0789623596587	1.474
Nycteris_hispida	1.843	3.0789623596587	0.892
Nycteris_javanica	2.089	3.0789623596587	1.265
Nycteris_macrotis	2.009	3.0789623596587	1.161
Nycteris_thebaica	1.933	3.0789623596587	0.949
Nyctophilus_geoffroyi	1.502	3.0789623596587	0.857
Otomops_martiensseni	2.186	3.0789623596587	1.618
Peropteryx_macrotis	1.486	3.0789623596587	0.748
Phylloderma_stenops	2.542	3.0789623596587	1.664
Phyllostomus_discolor	2.495	3.0789623596587	1.563
Phyllostomus_elongatus	2.355	3.0789623596587	1.652
Phyllostomus_hastatus	2.642	3.0789623596587	1.963
Pipistrellus_javanicus	1.265	3.0789623596587	0.653
Pipistrellus_tenuis	1.158	3.0789623596587	0.591
Afronycteris_nana	1.196	3.0789623596587	0.591
Hypsugo_pulveratus	1.354	3.0789623596587	0.724
Perimyotis_subflavus	1.22	3.0789623596587	0.724
Pteronotus_gymnonotus	1.89	3.0789623596587	1.134
Pteronotus_parnellii_mesoamericanus	2.078	3.0789623596587	1.305
Pteronotus_personatus	1.699	3.0789623596587	0.908
Rhinolophus_cornutus	1.574	3.0789623596587	0.82
Rhinolophus_eloquens	1.884	3.0789623596587	1.281
Rhinolophus_hipposideros	1.279	3.0789623596587	0.663
Rhinolophus_landeri	1.704	3.0789623596587	0.987
Rhinolophus_lepidus	1.513	3.0789623596587	0.778
Rhinolophus_luctus	2.132	3.0789623596587	1.516
Rhinolophus_macrotis	1.511	3.0789623596587	0.799
Rhinolophus_malayanus	1.538	3.0789623596587	0.806
Rhinolophus_megaphyllus	1.695	3.0789623596587	0.991
Rhinolophus_pearsonii	1.851	3.0789623596587	1.143
Rhinolophus_pusillus	1.471	3.0789623596587	0.672
Rhinolophus_trifoliatus	1.855	3.0789623596587	1.164
Rhinolophus_yunnanensis	1.957	3.0789623596587	1.371
Rhinonicteris_aurantia	1.675	3.0789623596587	0.934
Rhinophylla_pumilio	1.932	3.0789623596587	0.949
Rhinopoma_hardwickii	1.732	3.0789623596587	1.111
Rhinopoma_microphyllum	1.889	3.0789623596587	1.468
Rhogeessa_parvula	1.26	3.0789623596587	0.653
Rhynchonycteris_naso	1.344	3.0789623596587	0.58
Saccopteryx_bilineata	1.642	3.0789623596587	0.924
Saccopteryx_canescens	1.375	3.0789623596587	0.531
Saccopteryx_leptura	1.477	3.0789623596587	0.708
Scotomanes_ornatus	1.813	3.0789623596587	1.338
Scotophilus_dinganii	1.941	3.0789623596587	1.386
Scotophilus_kuhlii	1.825	3.0789623596587	1.31
Sphaeronycteris_toxophyllum	2.131	3.0789623596587	1.265
Sturnira_lilium	2.208	3.0789623596587	1.305
Sturnira_ludovici	2.203	3.0789623596587	1.413
Sturnira_tildae	2.279	3.0789623596587	1.387
Tadarida_aegyptiaca	1.888	3.0789623596587	1.248
Taphozous_australis	2.008	3.0789623596587	1.38
Taphozous_hildegardeae	2.046	3.0789623596587	1.438
Taphozous_mauritianus	2.025	3.0789623596587	1.462
Taphozous_melanopogon	2.054	3.0789623596587	1.356
Tonatia_bidens	2.315	3.0789623596587	1.468
Lophostoma_schulzi	2.186	3.0789623596587	1.328
Trachops_cirrhosus	2.472	3.0789623596587	1.567
Triaenops_persicus	1.682	3.0789623596587	1.137
Tylonycteris_pachypus	1.09	3.0789623596587	0.681
Tylonycteris_robustula	1.223	3.0789623596587	0.857
Uroderma_bilobatum	2.193	3.0789623596587	1.21
Vampyressa_pusilla	1.993	3.0789623596587	0.934
Vampyrum_spectrum	2.879	3.0789623596587	2.238
Alouatta_seniculus	4.501	3.0789623596587	3.806
Aotus_trivirgatus	3.998	3.0789623596587	2.919
Ateles_geoffroyi	4.85	3.0789623596587	3.903
Avahi_laniger	3.682	3.0789623596587	3.109
Plecturocebus_moloch	4.048	3.0789623596587	2.954
Callimico_goeldii	3.811	3.0789623596587	2.681
Callithrix_jacchus	3.641	3.0789623596587	2.447
Cebuella_pygmaea	3.404	3.0789623596587	2.146
Cebus_albifrons	4.667	3.0789623596587	3.491
Cercopithecus_ascanius	4.655	3.0789623596587	3.531
Cercopithecus_mitis_mitis	4.698	3.0789623596587	3.799
Cheirogaleus_major	3.468	3.0789623596587	2.653
Cheirogaleus_medius	3.087	3.0789623596587	2.248
Daubentonia_madagascariensis	4.345	3.0789623596587	3.447
Erythrocebus_patas	4.887	3.0789623596587	3.892
Eulemur_fulvus_fulvus	4.087	3.0789623596587	3.146
Galago_senegalensis	3.33	3.0789623596587	2.27
Galagoides_demidoff	3.195	3.0789623596587	1.908
Gorilla_gorilla	5.533	3.0789623596587	5.021
Homo_sapiens	6.003	3.0789623596587	4.813
Hylobates_lar	4.818	3.0789623596587	3.756
Indri_indri	4.303	3.0789623596587	3.796
Lagothrix_lagotricha	4.819	3.0789623596587	3.716
Lepilemur_mustelinus	3.516	3.0789623596587	2.961
Lophocebus_albigena	4.837	3.0789623596587	3.898
Loris_tardigradus_tardigradus	3.547	3.0789623596587	2.508
Macaca_mulatta	4.803	3.0789623596587	3.892
Microcebus_murinus	2.869	3.0789623596587	1.732
Miopithecus_talapoin	4.422	3.0789623596587	3.079
Nasalis_larvatus	4.804	3.0789623596587	4.146
Nycticebus_coucang	3.792	3.0789623596587	2.903
Otolemur_crassicaudatus	3.674	3.0789623596587	2.929
Pan_troglodytes	5.465	3.0789623596587	4.663
Papio_cynocephalus	5.147	3.0789623596587	4.398
Perodicticus_potto	3.825	3.0789623596587	3.061
Pithecia_monachus	4.323	3.0789623596587	3.176
Piliocolobus_badius	4.707	3.0789623596587	3.845
Propithecus_verreauxi	4.12	3.0789623596587	3.542
Pygathrix_nemaeus	4.688	3.0789623596587	3.875
Saguinus_midas	3.77	3.0789623596587	2.531
Saguinus_oedipus	3.77	3.0789623596587	2.58
Saimiri_sciureus_sciureus	4.191	3.0789623596587	2.82
Tarsius_tarsier	3.247	3.0789623596587	2.097
Varecia_variegata	4.184	3.0789623596587	3.477
