Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-VR-005.txt
Log File Name:                   NEO_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3070615370
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	311.531458	1	0.573894873744	0.869045019912	0.766455051680	0.563428846531	1.326511333548	0.490377914862	0.362060262220	-0.098866970513	-0.154715366691	-0.210979482284	-0.216197822625	-0.173737113780	0.001045331932	0.939990341959	N\A	0.099415381992	0.382912404040	0.375638018622	0.549150758527	0.412186142495	0.548628116268	0.100903209696	0.100682221469	0.110681563481	0.106630428093	0.105092603915	41	22	
1550000	320.623977	1	0.552633718453	0.887713764600	1.074096214699	0.837952106139	1.313174234624	0.838655856303	0.226072905064	-0.159819638785	-0.181755684162	-0.177721350969	-0.333983137279	-0.200282943512	0.000473180353	0.936140622313	N\A	0.141990877272	0.345821038937	0.336830881481	0.364631162987	0.357130432341	0.430648433068	0.143267287140	0.142930418857	0.147203045687	0.149666801532	0.144636163173	43	31	
1600000	309.763628	1	0.667798768022	0.793480773469	0.689972389664	0.173689430209	1.623748735638	-0.068229624172	0.474424964114	-0.095232826668	-0.014136918906	-0.190863462801	-0.136155038698	-0.169250930883	0.000632119279	0.951139162820	N\A	0.085062284440	0.298181240106	0.291009850102	0.329820468612	0.358267279827	0.426793643996	0.085885189324	0.087130217732	0.093301819052	0.098455265445	0.090169074039	42	24	
1650000	316.807269	1	0.691528507030	0.800259614440	0.625961549004	0.311790497132	1.185624734772	0.490931636850	0.244107605686	-0.017331579585	-0.054415472536	-0.109525879080	-0.198900139629	-0.071755340294	0.000230399003	0.937276847301	N\A	0.134200953961	0.377248579956	0.372103494799	0.396634515609	0.385447398169	0.408672560714	0.136035221324	0.135338207021	0.140089755188	0.140027061100	0.136037788468	44	27	
1700000	316.858210	1	0.216203904717	0.937439694719	1.221292390125	0.735271900392	1.581540278317	0.450351957141	1.195526555497	-0.256293312472	-0.246429702343	-0.263554943164	-0.281075421446	-0.309060260219	0.000533707386	0.932104458169	N\A	0.070087079402	0.271664142975	0.254475756461	0.288412010877	0.278698170022	0.377960836143	0.074601534439	0.071561255505	0.078794198087	0.082307191407	0.075438921582	52	23	
1750000	328.461643	1	0.580232445747	0.770003492072	0.796076314236	0.373370807416	1.022051608928	0.536788265245	0.880336770052	-0.003953987291	-0.026176331882	-0.079967899810	-0.236966574028	-0.135945792603	0.000912004464	0.933902042625	N\A	0.092461024365	0.356280896098	0.361153937745	0.353364254471	0.348425064757	0.481947934196	0.094387443287	0.094214227109	0.100716286356	0.104537646324	0.095035421583	51	24	
1800000	333.208503	1	0.349432817955	0.983978157742	1.110656238463	0.629182554559	1.704083431105	0.829232041823	0.667622657834	-0.225674939107	-0.237791294303	-0.340055807009	-0.324299327010	-0.333024056568	0.000318311461	0.943248016632	N\A	0.094860918935	0.277344204644	0.271905867304	0.317183533835	0.338784284561	0.352696623768	0.096732968710	0.095924121607	0.104870086714	0.104587548699	0.098485055127	42	27	
1850000	322.641925	1	0.357336332268	1.017121848314	1.206728676925	0.712626215878	1.463688206281	0.918058024939	0.607262279233	-0.349979577479	-0.235232240890	-0.250800814117	-0.401010796415	-0.345954694339	0.001005643135	0.945897898775	N\A	0.098719330913	0.346242957039	0.338695159836	0.399169366971	0.370785734997	0.508222889362	0.100669906941	0.099682375322	0.105240161586	0.111584613036	0.102660422353	41	27	
1900000	338.031777	1	0.049121241446	1.061454976157	1.346195443548	0.872162249075	1.202072540605	1.218072153767	1.098258640093	-0.375638707533	-0.304145265565	-0.242037818589	-0.451553992357	-0.380166274946	0.000415766305	0.934299953352	N\A	0.078245616076	0.254953375254	0.246926155724	0.381100378636	0.273180877319	0.353730007894	0.080934956611	0.079798405093	0.088121313881	0.088263122659	0.082904881980	48	25	
1950000	337.552452	1	0.345647872139	0.976346858578	1.345785679381	0.993412131400	1.565177664008	0.953929747533	0.616397419217	-0.271447621407	-0.230308177880	-0.238746461490	-0.406139166039	-0.324658734171	0.000478769513	0.940039713902	N\A	0.095236223890	0.329403847718	0.321562515241	0.297788375813	0.289961839046	0.377918624728	0.097153018552	0.096399307486	0.102053100243	0.104713331374	0.099987178181	36	19	
