Species_TTOL	MED	BOD	BOD2
Cynopterus_horsfieldii	1.968	1.773	3.143529
Cynopterus_sphinx	1.924	1.713	2.934369
Dobsonia_inermis	2.238	2.173	4.721929
Dobsonia_moluccensis	2.431	2.543	6.466849
Dobsonia_praedatrix	2.286	2.25	5.0625
Eidolon_helvum	2.437	2.418	5.846724
Eonycteris_spelaea	1.981	1.769	3.129361
Epomophorus_labiatus	2.061	1.806	3.261636
Epomops_franqueti	2.241	2.072	4.293184
Hypsignathus_monstrosus	2.451	2.491	6.205081
Macroglossus_minimus	1.616	1.164	1.354896
Megaerops_ecaudatus	1.732	1.38	1.9044
Megaloglossus_woermanni	1.709	1.253	1.570009
Melonycteris_melanops	1.92	1.675	2.805625
Melonycteris_woodfordi	1.853	1.549	2.399401
Epomophorus_pusillus	1.803	1.4	1.96
Myonycteris_torquata	1.915	1.561	2.436721
Notopteris_macdonaldi	2.027	1.841	3.389281
Nyctimene_albiventer	1.787	1.473	2.169729
Nyctimene_robinsoni	1.923	1.673	2.798929
Nyctimene_vizcaccia	1.851	1.549	2.399401
Paranyctimene_raptor	1.713	1.417	2.007889
Pteropus_alecto	2.593	2.775	7.700625
Pteropus_conspicillatus	2.616	2.875	8.265625
Pteropus_hypomelanus	2.502	2.591	6.713281
Pteropus_lylei	2.513	2.497	6.235009
Pteropus_neohibernicus	2.679	2.924	8.549776
Pteropus_poliocephalus	2.635	2.842	8.076964
Pteropus_samoensis	2.513	2.491	6.205081
Pteropus_scapulatus	2.454	2.574	6.625476
Pteropus_temminckii	2.436	2.398	5.750404
Pteropus_tonganus	2.56	2.652	7.033104
Pteropus_vampyrus	2.652	3.027	9.162729
Rousettus_aegyptiacus	2.182	2.111	4.456321
Rousettus_amplexicaudatus	2.042	1.856	3.444736
Scotonycteris_zenkeri	1.748	1.328	1.763584
Sphaerias_blanfordi	1.839	1.47	2.1609
Syconycteris_australis	1.623	1.207	1.456849
Anoura_caudifer	1.591	1.025	1.050625
Anoura_geoffroyi	1.716	1.204	1.449616
Ardops_nichollsi	1.696	1.352	1.827904
Artibeus_cinereus	1.618	1.1	1.21
Artibeus_concolor	1.742	1.288	1.658944
Artibeus_jamaicensis	1.923	1.613	2.601769
Artibeus_lituratus	1.976	1.748	3.055504
Aselliscus_stoliczkanus	1.356	0.69	0.4761
Aselliscus_tricuspidatus	1.294	0.643	0.413449
Brachyphylla_cavernarum	2.026	1.648	2.715904
Cardioderma_cor	1.854	1.415	2.002225
Carollia_perspicillata	1.691	1.25	1.5625
Chalinolobus_gouldii	1.528	1.068	1.140624
Chalinolobus_morio	1.447	0.919	0.844561
Chiroderma_salvini	1.851	1.417	2.007889
Chiroderma_trinitatum	1.66	1.137	1.292769
Chiroderma_villosum	1.794	1.394	1.943236
Choeroniscus_minor	1.547	0.982	0.964324
Coleura_afra	1.52	1.061	1.125721
Cormura_brevirostris	1.438	0.914	0.835396
Craseonycteris_thonglongyai	1.127	0.408	0.166464
Desmodus_rotundus	1.903	1.56	2.4336
Diphylla_ecaudata	1.8	1.49	2.2201
Emballonura_monticola	1.322	0.724	0.524176
Emballonura_raffrayana	1.364	0.771	0.594441
Eptesicus_brasiliensis	1.417	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.493	1.134	1.285956
Eumops_auripendulus	1.904	1.529	2.337841
Eumops_glaucinus	1.915	1.562	2.439844
Furipterus_horrens	1.212	0.535	0.286225
Glischropus_tylopus	1.212	0.69	0.4761
Glossophaga_longirostris	1.624	1.053	1.108809
Glossophaga_soricina	1.579	0.996	0.992016
Harpiocephalus_harpia	1.634	1.13	1.2769
Hesperoptenus_blanfordi	1.394	0.863	0.744769
Hipposideros_armiger	2.024	1.748	3.055504
Hipposideros_ater	1.455	0.839	0.703921
Hipposideros_caffer	1.592	1.041	1.083681
Macronycteris_commersoni	1.937	1.997	3.988009
Hipposideros_diadema	1.943	1.622	2.630884
Hipposideros_fulvus	1.529	0.845	0.714025
Hipposideros_lankadiva	1.968	1.686	2.842596
Hipposideros_larvatus	1.703	1.312	1.721344
Hipposideros_ridleyi	1.559	0.982	0.964324
Hipposideros_speoris	1.62	1.061	1.125721
Hipposideros_turpis	1.865	1.542	2.377764
Ia_io	1.979	1.727	2.982529
Kerivoula_papillosa	1.534	1.004	1.008016
Lasiurus_borealis	1.369	0.892	0.795664
Leptonycteris_curasoae	1.794	1.389	1.929321
Leptonycteris_nivalis	1.748	1.358	1.844164
Lonchophylla_mordax	1.656	1.029	1.058841
Hsunycteris_thomasi	1.494	0.839	0.703921
Lophostoma_silvicolum	1.935	1.509	2.277081
Macroderma_gigas	2.271	2.078	4.318084
Macrophyllum_macrophyllum	1.59	0.934	0.872356
Megaderma_lyra	2.022	1.587	2.518569
Megaderma_spasma	1.824	1.354	1.833316
Mesophylla_macconnelli	1.524	0.875	0.765625
Micronycteris_brachyotis	1.643	1.167	1.361889
Micronycteris_megalotis	1.493	0.813	0.660969
Micronycteris_minuta	1.453	0.839	0.703921
Micronycteris_schmidtorum	1.479	0.892	0.795664
Gardnerycteris_crenulatum	1.549	1.072	1.149184
Miniopterus_australis	1.435	0.851	0.724201
Miniopterus_inflatus	1.641	1.173	1.375929
Miniopterus_magnater	1.619	1.176	1.382976
Miniopterus_pusillus	1.456	0.934	0.872356
Miniopterus_tristis	1.645	1.193	1.423249
Molossus_molossus	1.629	1.137	1.292769
Molossus_rufus	1.82	1.526	2.328676
Monophyllus_plethodon	1.655	1.176	1.382976
Mormoops_megalophylla	1.663	1.196	1.430416
Murina_cyclotis	1.459	0.851	0.724201
Murina_huttoni	1.431	0.944	0.891136
Myotis_adversus	1.548	1.049	1.100401
Myotis_albescens	1.258	0.602	0.362404
Myotis_annectans	1.489	0.991	0.982081
Myotis_bechsteinii	1.595	0.978	0.956484
Myotis_bocagii	1.394	0.845	0.714025
Myotis_dasycneme	1.693	1.176	1.382976
Myotis_myotis	1.847	1.408	1.982464
Myotis_nigricans	1.233	0.663	0.439569
Myotis_siligorensis	1.185	0.539	0.290521
Natalus_tumidirostris	1.425	0.839	0.703921
Noctilio_albiventris	1.82	1.515	2.295225
Noctilio_leporinus	2.095	1.763	3.108169
Nyctalus_noctula	1.76	1.431	2.047761
Nycteris_arge	1.612	1.025	1.050625
Nycteris_grandis	1.905	1.474	2.172676
Nycteris_hispida	1.484	0.892	0.795664
Nycteris_javanica	1.744	1.265	1.600225
Nycteris_macrotis	1.679	1.161	1.347921
Nycteris_thebaica	1.598	0.949	0.900601
Nyctophilus_geoffroyi	1.334	0.857	0.734449
Otomops_martiensseni	1.952	1.618	2.617924
Peropteryx_macrotis	1.307	0.748	0.559504
Phylloderma_stenops	1.995	1.664	2.768896
Phyllostomus_discolor	1.96	1.563	2.442969
Phyllostomus_elongatus	1.963	1.652	2.729104
Phyllostomus_hastatus	2.147	1.963	3.853369
Pipistrellus_javanicus	1.26	0.653	0.426409
Pipistrellus_tenuis	1.179	0.591	0.349281
Afronycteris_nana	1.182	0.591	0.349281
Hypsugo_pulveratus	1.318	0.724	0.524176
Perimyotis_subflavus	1.262	0.724	0.524176
Pteronotus_gymnonotus	1.648	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.797	1.305	1.703025
Pteronotus_personatus	1.458	0.908	0.824464
Rhinolophus_cornutus	1.377	0.82	0.6724
Rhinolophus_eloquens	1.699	1.281	1.640961
Rhinolophus_hipposideros	1.362	0.663	0.439569
Rhinolophus_landeri	1.548	0.987	0.974169
Rhinolophus_lepidus	1.403	0.778	0.605284
Rhinolophus_luctus	1.829	1.516	2.298256
Rhinolophus_macrotis	1.456	0.799	0.638401
Rhinolophus_malayanus	1.436	0.806	0.649636
Rhinolophus_megaphyllus	1.505	0.991	0.982081
Rhinolophus_pearsonii	1.59	1.143	1.306449
Rhinolophus_pusillus	1.336	0.672	0.451584
Rhinolophus_trifoliatus	1.631	1.164	1.354896
Rhinolophus_yunnanensis	1.712	1.371	1.879641
Rhinonicteris_aurantia	1.493	0.934	0.872356
Rhinophylla_pumilio	1.502	0.949	0.900601
Rhinopoma_hardwickii	1.554	1.111	1.234321
Rhinopoma_microphyllum	1.71	1.468	2.155024
Rhogeessa_parvula	1.238	0.653	0.426409
Rhynchonycteris_naso	1.196	0.58	0.3364
Saccopteryx_bilineata	1.435	0.924	0.853776
Saccopteryx_canescens	1.238	0.531	0.281961
Saccopteryx_leptura	1.324	0.708	0.501264
Scotomanes_ornatus	1.74	1.338	1.790244
Scotophilus_dinganii	1.765	1.386	1.920996
Scotophilus_kuhlii	1.688	1.31	1.7161
Sphaeronycteris_toxophyllum	1.823	1.265	1.600225
Sturnira_lilium	1.707	1.305	1.703025
Sturnira_ludovici	1.802	1.413	1.996569
Sturnira_tildae	1.734	1.387	1.923769
Tadarida_aegyptiaca	1.732	1.248	1.557504
Taphozous_australis	1.818	1.38	1.9044
Taphozous_hildegardeae	1.836	1.438	2.067844
Taphozous_mauritianus	1.848	1.462	2.137444
Taphozous_melanopogon	1.826	1.356	1.838736
Tonatia_bidens	1.897	1.468	2.155024
Lophostoma_schulzi	1.775	1.328	1.763584
Trachops_cirrhosus	1.989	1.567	2.455489
Triaenops_persicus	1.588	1.137	1.292769
Tylonycteris_pachypus	1.173	0.681	0.463761
Tylonycteris_robustula	1.297	0.857	0.734449
Uroderma_bilobatum	1.707	1.21	1.4641
Vampyressa_pusilla	1.511	0.934	0.872356
Vampyrum_spectrum	2.368	2.238	5.008644
Alouatta_seniculus	3.202	3.806	14.485636
Aotus_trivirgatus	2.836	2.919	8.520561
Ateles_geoffroyi	3.263	3.903	15.233409
Avahi_laniger	2.743	3.109	9.665881
Plecturocebus_moloch	2.896	2.954	8.726116
Callimico_goeldii	2.663	2.681	7.187761
Callithrix_jacchus	2.502	2.447	5.987809
Cebuella_pygmaea	2.303	2.146	4.605316
Cebus_albifrons	3.24	3.491	12.187081
Cercopithecus_ascanius	3.213	3.531	12.467961
Cercopithecus_mitis_mitis	3.301	3.799	14.432401
Cheirogaleus_major	2.582	2.653	7.038409
Cheirogaleus_medius	2.305	2.248	5.053504
Daubentonia_madagascariensis	3.181	3.447	11.881809
Erythrocebus_patas	3.418	3.892	15.147664
Eulemur_fulvus_fulvus	2.959	3.146	9.897316
Galago_senegalensis	2.405	2.27	5.1529
Galagoides_demidoff	2.228	1.908	3.640464
Gorilla_gorilla	3.876	5.021	25.210441
Homo_sapiens	3.983	4.813	23.164969
Hylobates_lar	3.352	3.756	14.107536
Indri_indri	3.128	3.796	14.409616
Lagothrix_lagotricha	3.324	3.716	13.808656
Lepilemur_mustelinus	2.652	2.961	8.767521
Lophocebus_albigena	3.433	3.898	15.194404
Loris_tardigradus_tardigradus	2.367	2.508	6.290064
Macaca_mulatta	3.299	3.892	15.147664
Microcebus_murinus	1.996	1.732	2.999824
Miopithecus_talapoin	3.015	3.079	9.480241
Nasalis_larvatus	3.469	4.146	17.189316
Nycticebus_coucang	2.723	2.903	8.427409
Otolemur_crassicaudatus	2.732	2.929	8.579041
Pan_troglodytes	3.765	4.663	21.743569
Papio_cynocephalus	3.724	4.398	19.342404
Perodicticus_potto	2.833	3.061	9.369721
Pithecia_monachus	3.004	3.176	10.086976
Piliocolobus_badius	3.303	3.845	14.784025
Propithecus_verreauxi	3.087	3.542	12.545764
Pygathrix_nemaeus	3.344	3.875	15.015625
Saguinus_midas	2.631	2.531	6.405961
Saguinus_oedipus	2.616	2.58	6.6564
Saimiri_sciureus_sciureus	2.859	2.82	7.9524
Tarsius_tarsier	2.316	2.097	4.397409
Varecia_variegata	3.152	3.477	12.089529
