Species_TTOL	SEP	BOD
Cynopterus_brachyotis	1.164	1.53
Cynopterus_horsfieldii	1.267	1.773
Cynopterus_sphinx	1.238	1.713
Dobsonia_inermis	1.593	2.173
Dobsonia_moluccensis	1.786	2.543
Dobsonia_praedatrix	1.621	2.25
Eidolon_helvum	1.79	2.418
Eonycteris_spelaea	1.299	1.769
Epomophorus_labiatus	1.33	1.806
Epomops_franqueti	1.461	2.072
Hypsignathus_monstrosus	1.659	2.491
Macroglossus_minimus	0.911	1.164
Megaerops_ecaudatus	1.061	1.38
Megaloglossus_woermanni	1.009	1.253
Melonycteris_melanops	1.248	1.675
Melonycteris_woodfordi	1.155	1.549
Epomophorus_pusillus	1.053	1.4
Myonycteris_torquata	1.243	1.561
Notopteris_macdonaldi	1.373	1.841
Nyctimene_albiventer	1.072	1.473
Nyctimene_robinsoni	1.236	1.673
Nyctimene_vizcaccia	1.146	1.549
Paranyctimene_raptor	0.975	1.417
Pteropus_alecto	1.956	2.775
Pteropus_conspicillatus	1.987	2.875
Pteropus_hypomelanus	1.844	2.591
Pteropus_lylei	1.845	2.497
Pteropus_neohibernicus	1.986	2.924
Pteropus_poliocephalus	1.955	2.842
Pteropus_samoensis	1.827	2.491
Pteropus_scapulatus	1.829	2.574
Pteropus_temminckii	1.808	2.398
Pteropus_tonganus	1.87	2.652
Pteropus_vampyrus	2.055	3.027
Rousettus_aegyptiacus	1.505	2.111
Rousettus_amplexicaudatus	1.36	1.856
Scotonycteris_zenkeri	0.965	1.328
Sphaerias_blanfordi	1.161	1.47
Syconycteris_australis	0.991	1.207
Anoura_caudifer	0.76	1.025
Anoura_geoffroyi	0.93	1.204
Ardops_nichollsi	0.87	1.352
Artibeus_cinereus	0.79	1.1
Artibeus_concolor	0.88	1.288
Artibeus_jamaicensis	1.08	1.613
Artibeus_lituratus	1.18	1.748
Aselliscus_stoliczkanus	0.22	0.69
Aselliscus_tricuspidatus	0.24	0.643
Brachyphylla_cavernarum	1.24	1.648
Cardioderma_cor	0.84	1.415
Carollia_perspicillata	0.85	1.25
Chalinolobus_gouldii	0.53	1.068
Chalinolobus_morio	0.43	0.919
Chiroderma_salvini	0.96	1.417
Chiroderma_trinitatum	0.78	1.137
Chiroderma_villosum	0.88	1.394
Choeroniscus_minor	0.68	0.982
Coleura_afra	0.44	1.061
Cormura_brevirostris	0.38	0.914
Craseonycteris_thonglongyai	0.07	0.408
Desmodus_rotundus	1.04	1.56
Diphylla_ecaudata	0.94	1.49
Emballonura_monticola	0.25	0.724
Emballonura_raffrayana	0.34	0.771
Eptesicus_brasiliensis	0.48	0.964
Eptesicus_fuscus_bahamensis	0.53	1.134
Eumops_auripendulus	0.79	1.529
Eumops_glaucinus	0.9	1.562
Furipterus_horrens	0.12	0.535
Glischropus_tylopus	0.1	0.69
Glossophaga_longirostris	0.78	1.053
Glossophaga_soricina	0.76	0.996
Harpiocephalus_harpia	0.85	1.13
Hesperoptenus_blanfordi	0.32	0.863
Hipposideros_armiger	0.93	1.748
Hipposideros_ater	0.43	0.839
Hipposideros_caffer	0.55	1.041
Macronycteris_commersoni	0.94	1.997
Hipposideros_diadema	0.93	1.622
Hipposideros_fulvus	0.44	0.845
Hipposideros_lankadiva	0.94	1.686
Hipposideros_larvatus	0.72	1.312
Hipposideros_ridleyi	0.52	0.982
Hipposideros_speoris	0.53	1.061
Hipposideros_turpis	0.84	1.542
Ia_io	0.99	1.727
Kerivoula_papillosa	0.45	1.004
Lasiurus_borealis	0.32	0.892
Leptonycteris_curasoae	0.92	1.389
Leptonycteris_nivalis	0.95	1.358
Lonchophylla_mordax	0.82	1.029
Hsunycteris_thomasi	0.67	0.839
Lophostoma_silvicolum	0.75	1.509
Macroderma_gigas	1.18	2.078
Macrophyllum_macrophyllum	0.48	0.934
Megaderma_lyra	0.9	1.587
Megaderma_spasma	0.79	1.354
Mesophylla_macconnelli	0.63	0.875
Micronycteris_brachyotis	0.64	1.167
Micronycteris_megalotis	0.39	0.813
Micronycteris_minuta	0.47	0.839
Micronycteris_schmidtorum	0.45	0.892
Gardnerycteris_crenulatum	0.47	1.072
Miniopterus_australis	0.43	0.851
Miniopterus_inflatus	0.59	1.173
Miniopterus_magnater	0.57	1.176
Miniopterus_pusillus	0.42	0.934
Miniopterus_tristis	0.57	1.193
Molossus_molossus	0.61	1.137
Molossus_rufus	0.79	1.526
Monophyllus_plethodon	0.77	1.176
Mormoops_megalophylla	0.68	1.196
Murina_cyclotis	0.52	0.851
Murina_huttoni	0.55	0.944
Myotis_adversus	0.54	1.049
Myotis_albescens	0.22	0.602
Myotis_annectans	0.51	0.991
Myotis_bechsteinii	0.67	0.978
Myotis_bocagii	0.4	0.845
Myotis_dasycneme	0.67	1.176
Myotis_myotis	0.83	1.408
Myotis_nigricans	0.31	0.663
Myotis_siligorensis	0.15	0.539
Natalus_tumidirostris	0.49	0.839
Noctilio_albiventris	0.72	1.515
Noctilio_leporinus	1.03	1.763
Nyctalus_noctula	0.66	1.431
Nycteris_arge	0.55	1.025
Nycteris_grandis	0.8	1.474
Nycteris_hispida	0.47	0.892
Nycteris_javanica	0.55	1.265
Nycteris_macrotis	0.54	1.161
Nycteris_thebaica	0.46	0.949
Nyctophilus_geoffroyi	0.33	0.857
Otomops_martiensseni	0.85	1.618
Peropteryx_macrotis	0.3	0.748
Phylloderma_stenops	1.2	1.664
Phyllostomus_discolor	1.12	1.563
Phyllostomus_elongatus	0.94	1.652
Phyllostomus_hastatus	1.17	1.963
Pipistrellus_javanicus	0.21	0.653
Pipistrellus_tenuis	0.12	0.591
Afronycteris_nana	0.16	0.591
Hypsugo_pulveratus	0.32	0.724
Perimyotis_subflavus	0.36	0.724
Pteronotus_gymnonotus	0.54	1.134
Pteronotus_parnellii_mesoamericanus	0.77	1.305
Pteronotus_personatus	0.42	0.908
Rhinolophus_cornutus	0.37	0.82
Rhinolophus_eloquens	0.71	1.281
Rhinolophus_hipposideros	0.31	0.663
Rhinolophus_landeri	0.56	0.987
Rhinolophus_lepidus	0.36	0.778
Rhinolophus_luctus	0.76	1.516
Rhinolophus_macrotis	0.43	0.799
Rhinolophus_malayanus	0.44	0.806
Rhinolophus_megaphyllus	0.49	0.991
Rhinolophus_pearsonii	0.58	1.143
Rhinolophus_pusillus	0.27	0.672
Rhinolophus_trifoliatus	0.52	1.164
Rhinolophus_yunnanensis	0.68	1.371
Rhinonicteris_aurantia	0.5	0.934
Rhinophylla_pumilio	0.65	0.949
Rhinopoma_hardwickii	0.59	1.111
Rhinopoma_microphyllum	0.7	1.468
Rhogeessa_parvula	0.21	0.653
Rhynchonycteris_naso	0.15	0.58
Saccopteryx_bilineata	0.43	0.924
Saccopteryx_canescens	0.21	0.531
Saccopteryx_leptura	0.23	0.708
Scotomanes_ornatus	0.78	1.338
Scotophilus_dinganii	0.65	1.386
Scotophilus_kuhlii	0.61	1.31
Sphaeronycteris_toxophyllum	0.82	1.265
Sturnira_lilium	0.95	1.305
Sturnira_ludovici	0.94	1.413
Sturnira_tildae	0.95	1.387
Tadarida_aegyptiaca	0.75	1.248
Taphozous_australis	0.83	1.38
Taphozous_hildegardeae	0.8	1.438
Taphozous_mauritianus	0.8	1.462
Taphozous_melanopogon	0.75	1.356
Tonatia_bidens	0.91	1.468
Lophostoma_schulzi	0.56	1.328
Trachops_cirrhosus	0.94	1.567
Triaenops_persicus	0.42	1.137
Tylonycteris_pachypus	0.06	0.681
Tylonycteris_robustula	0.16	0.857
Uroderma_bilobatum	0.93	1.21
Vampyressa_pusilla	0.72	0.934
Vampyrum_spectrum	1.3	2.238
Alouatta_seniculus	2.301	3.806
Aotus_trivirgatus	1.923	2.919
Ateles_geoffroyi	2.511	3.903
Avahi_laniger	1.843	3.109
Plecturocebus_moloch	1.937	2.954
Callimico_goeldii	1.803	2.681
Callithrix_jacchus	1.697	2.447
Cebuella_pygmaea	1.465	2.146
Cebus_albifrons	2.241	3.491
Cercopithecus_ascanius	2.4	3.531
Cercopithecus_mitis_mitis	2.391	3.799
Cheirogaleus_major	1.77	2.653
Cheirogaleus_medius	1.512	2.248
Daubentonia_madagascariensis	2.405	3.447
Erythrocebus_patas	2.519	3.892
Eulemur_fulvus_fulvus	2.076	3.146
Galago_senegalensis	1.553	2.27
Galagoides_demidoff	1.41	1.908
Gorilla_gorilla	3.069	5.021
Homo_sapiens	3.417	4.813
Hylobates_lar	2.48	3.756
Indri_indri	2.312	3.796
Lagothrix_lagotricha	2.425	3.716
Lepilemur_mustelinus	1.754	2.961
Lophocebus_albigena	2.468	3.898
Loris_tardigradus_tardigradus	1.614	2.508
Macaca_mulatta	2.433	3.892
Microcebus_murinus	1.185	1.732
Miopithecus_talapoin	2.124	3.079
Nasalis_larvatus	2.522	4.146
Nycticebus_coucang	1.964	2.903
Otolemur_crassicaudatus	1.845	2.929
Pan_troglodytes	2.93	4.663
Papio_cynocephalus	2.747	4.398
Perodicticus_potto	2.057	3.061
Pithecia_monachus	2.146	3.176
Piliocolobus_badius	2.459	3.845
Propithecus_verreauxi	2.201	3.542
Pygathrix_nemaeus	2.462	3.875
Saguinus_midas	1.612	2.531
Saguinus_oedipus	1.782	2.58
Saimiri_sciureus_sciureus	1.957	2.82
Tarsius_tarsier	1.367	2.097
Varecia_variegata	2.314	3.477
