Species_TTOL	SEP	BOD
Anourosorex_squamipes	0.786	1.307
Atelerix_algirus	1.641	2.867
Blarina_brevicauda	0.832	1.267
Chrysochloris_asiatica	1.084	1.69
Chrysochloris_stuhlmanni	1.053	1.626
Crocidura_attenuata	0.486	0.968
Crocidura_flavescens	0.779	1.467
Crocidura_hildegardeae	0.52	0.996
Crocidura_denti	0.534	1.079
Crocidura_russula	0.508	1.049
Crocidura_suaveolens	0.461	1.013
Cryptotis_parvus	0.614	0.991226075692495
Desmana_moschata	1.63	2.646
Echinops_telfairi	1.062	1.942
Echinosorex_gymnura	1.885	2.921
Erinaceus_europaeus	1.716	2.929
Euroscaptor_micrura	1.124	1.617
Galemys_pyrenaicus	1.303	1.778
Geogale_aurita	0.31	1
Hemicentetes_semispinosus	1.125	2.062
Hemiechinus_auritus	1.448	2.371
Hylomys_suillus	1.243	1.756
Limnogale_mergulus	1.291	1.964
Microgale_dobsoni	0.979	1.504
Microgale_talazaci	1.056	1.683
Micropotamogale_lamottei	1.178	1.808
Micropotamogale_ruwenzorii	1.237	1.986
Myosorex_sclateri	0.747	1.23
Neomys_anomalus	0.632	1.037
Neomys_fodiens	0.757	1.182
Oryzorictes_hova	1.002	1.645
Parascalops_breweri	1.128	1.731
Potamogale_velox	1.693	2.791
Ruwenzorisorex_suncoides	0.78	1.262
Scalopus_aquaticus	1.239	2.061
Scutisorex_somereni	1.036	1.792
Setifer_setosus	1.394	2.373
Solenodon_paradoxus	1.821	2.826
Sorex_alpinus	0.604	1.033
Sorex_araneus	0.53	0.987
Sorex_cinereus	0.42	0.633
Sorex_fumeus	0.573	0.924
Sorex_hoyi	0.228	0.42
Sorex_minutus	0.26	0.633
Suncus_etruscus	0.017	0.762
Suncus_murinus	0.777	1.529
Sylvisorex_granti	0.428	0.591
Suncus_megalura	0.467	0.74
Talpa_europaea	1.178	1.908
Tenrec_ecaudatus	1.57	2.935
Aepyprymnus_rufescens	2.074816	3.392697
Antechinus_flavipes	0.949878	1.568202
Antechinus_minimus	1.041393	1.724276
Bettongia_gaimardi	2.088136	3.176091
Bettongia_penicillata	2.038223	3.079181
Burramys_parvus	1.152288	1.770852
Cercartetus_nanus	0.900913	1.278754
Dactylopsila_trivirgata	1.778151	2.643453
Dasycercus_cristicauda	1.305351	2
Dasyuroides_byrnei	1.338456	2.146128
Dasyurus_geoffroii	1.775246	2.69897
Dasyurus_hallucatus	1.583199	3.021189
Dendrolagus_lumholtzi	2.280123	3.78533
Distoechurus_pennatus	1.170262	1.633468
Dorcopsis	2.163161	3.462398
Echymipera_kalubu	1.701568	2.819544
Gymnobelideus_leadbeateri	1.488551	2.041393
Hypsiprymnodon_moschatus	1.800717	2.748188
Isoodon_macrourus	1.769377	3.033424
Isoodon_obesulus_obesulus	1.816241	3.004321
Osphranter_antilopinus	2.608205	4.537819
Macropus_giganteus	2.591176	4.563481
Notamacropus_irma	2.356599	3.819544
Notamacropus_parma	2.13226	3.536558
Notamacropus_parryi	2.504199	4.170262
Osphranter_robustus	2.533899	4.409933
Osphranter_rufus	2.644832	4.494155
Thylamys_pallidior	0.910624	1.477121
Marmosops_impavidus	1.227887	1.845098
Monodelphis_brevicaudata	1.117271	1.924279
Notoryctes_typhlops	1.190332	1.531479
Petauroides_volans	1.633468	3.09691
Petaurus_australis	1.767156	2.748188
Petaurus_breviceps	1.437751	2.113943
Petaurus_norfolcensis	1.561101	2.374748
Petrogale_inornata	2.200577	3.628389
Petrogale_lateralis	2.130012	3.556303
Petrogale_penicillata	2.299071	3.690196
Petrogale_purpureicollis	2.215109	3.740363
Petropseudes_dahli	1.752816	3.127105
Phascolarctos_cinereus	2.223496	3.968483
Planigale_ingrami	0.158362	0.826075
Planigale_maculata	0.535294	1.041393
Potorous_tridactylus_tridactylus	2.071145	3.089905
Pseudochirulus_canescens	1.469822	2.447158
Pseudochirulus_forbesi	1.603144	2.70757
Sarcophilus_harrisii	2.240549	3.732394
Sminthopsis_crassicaudata	0.774517	1.146128
Sminthopsis_leucopus	0.840106	1.361728
Phalanger_gymnotis	2.186108	3.451786
Thylacinus_cynocephalus	2.554489	4.342423
Thylogale_billardierii	2.319314	3.845098
Thylogale_stigmatica	2.231215	3.653213
Trichosurus_vulpecula	2.114611	3.30103
Vombatus_ursinus	2.571243	4.357935
Wallabia_bicolor	2.491362	4.198657
Balionycteris_maculata	0.926	1.158
Casinycteris_argynnis	1.086	1.428
Chironax_melanocephalus	0.979	1.248
