Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-VR-003.txt
Log File Name:                   CEREB_d1_m9-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4026319243
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	558.479017	1	-1.267883033271	1.270980098790	-0.035346782893	-0.085085275805	0.020692746593	0.000084540487	0.985161228972	N\A	0.077815204168	0.009652206131	0.038041504208	0.006237922187	56	23	
1050000	565.060025	1	-1.235603612172	1.241602848109	-0.031918092808	-0.068341286045	0.015213020268	0.000069510505	0.983798513153	N\A	0.073865073937	0.009888929260	0.034201167961	0.006210071441	44	18	
1100000	561.055014	1	-1.366869274656	1.364044489519	-0.047435487604	-0.142016577624	0.029811605373	0.000079413373	0.983319274909	N\A	0.069702343490	0.008739435238	0.034759647506	0.005869990543	52	21	
1150000	567.994968	1	-1.280388086773	1.277106989410	-0.036001672168	-0.081516899311	0.017405517723	0.000085479087	0.986735439089	N\A	0.070368840696	0.008606132887	0.035242933766	0.005775939865	47	22	
1200000	553.114898	1	-0.827056205094	0.968054974643	-0.004381740530	0.065077209684	0.000142283618	0.000086763530	0.981072392416	N\A	0.071313031357	0.008641244001	0.036035440948	0.005742831900	55	31	
1250000	572.527537	1	-1.176244044810	1.197787932078	-0.027707679451	-0.018857798428	0.006658149391	0.000084264648	0.985910108268	N\A	0.070030634971	0.008679880092	0.034492990164	0.005725291896	29	19	
1300000	568.920432	1	-1.237784592060	1.262418965288	-0.034188048138	-0.097784852771	0.020901919582	0.000077050566	0.984173899334	N\A	0.066214656654	0.008457435294	0.033113282891	0.005673293377	47	27	
1350000	561.616695	1	-1.273773611514	1.255761672169	-0.032500489550	-0.054194191607	0.011371152056	0.000111201268	0.981293450533	N\A	0.071654842039	0.009372754710	0.034397732214	0.006090994268	45	19	
1400000	565.974614	1	-1.224113619482	1.265005050783	-0.034347439768	-0.087822766398	0.016844373526	0.000089844716	0.984501641170	N\A	0.072790538593	0.008913762246	0.034391906710	0.005694630383	41	21	
1450000	555.810545	1	-1.369709341148	1.336501200725	-0.042095876906	-0.087834452569	0.016293478783	0.000068231561	0.983013018845	N\A	0.069725818360	0.009270753264	0.034202535303	0.006023743687	46	20	
1500000	567.695217	1	-0.876375678439	1.019119726679	-0.009713783934	0.019444643353	0.005951722122	0.000056264871	0.984666565333	N\A	0.070046796517	0.008310033858	0.035180913019	0.005705654272	48	28	
1550000	572.677952	1	-1.085178889211	1.165398728018	-0.025178199957	-0.034000013462	0.012033317940	0.000046068415	0.987653744984	N\A	0.073481147825	0.009686764087	0.033303263581	0.005982772463	51	25	
1600000	570.542462	1	-1.279797038124	1.279254738070	-0.041531396231	-0.065288817424	0.019707921531	0.000023522058	0.981371979998	N\A	0.072570153215	0.010147422026	0.034298454537	0.006510827755	46	29	
1650000	565.007286	1	-1.047781371142	1.132384354346	-0.023424388337	-0.027010258130	0.014589035548	0.000073423999	0.987487382208	N\A	0.067286086728	0.008404308836	0.032488558600	0.005524741694	41	25	
1700000	567.858937	1	-1.084159644826	1.128349848447	-0.019439095272	0.002733866155	0.004025912826	0.000086913873	0.983669194376	N\A	0.069781487772	0.008710519317	0.034271837899	0.005736015480	49	27	
1750000	563.320009	1	-1.362806086248	1.342691525070	-0.050632785623	-0.077966771813	0.023290340565	0.000078358222	0.982777425953	N\A	0.081188816474	0.011228754975	0.036017256712	0.006581808315	43	26	
1800000	559.748406	1	-1.120278154999	1.192923701154	-0.031356879448	-0.046878257236	0.016377447138	0.000086528335	0.984779553111	N\A	0.049785485465	0.007098524381	0.029146791596	0.005283872001	34	25	
1850000	575.985361	1	-1.143628273391	1.202486652850	-0.032731753350	-0.046446307161	0.016339919441	0.000082333330	0.982489952734	N\A	0.070354871996	0.008681283771	0.035052694175	0.005736722485	35	28	
1900000	565.290402	1	-1.316891244782	1.320041473317	-0.046292830741	-0.081276140526	0.020092202245	0.000053596185	0.983676507695	N\A	0.071935132633	0.010261520894	0.033029803923	0.006243232542	57	21	
1950000	554.072452	1	-1.302064964067	1.315566210346	-0.042090470831	-0.098301125843	0.019514540886	0.000107861820	0.981918130813	N\A	0.081689390160	0.010014689241	0.038434887596	0.006326343952	45	19	
2000000	559.388696	1	-0.944430613848	1.054576662690	-0.013895396730	0.040622414647	0.000374499698	0.000079968223	0.985415805130	N\A	0.064980537158	0.008127076229	0.032796477311	0.005526117734	46	21	
2050000	556.966474	1	-1.057941330816	1.111364346017	-0.019569142182	0.009663894313	0.006375512978	0.000077815576	0.983806531565	N\A	0.070883094828	0.008511412994	0.035270652695	0.005615447361	43	21	
2100000	560.626303	1	-1.300514490766	1.289275671065	-0.036420760823	-0.087626137663	0.018581236864	0.000032039082	0.986253812851	N\A	0.069550358148	0.008663616378	0.034402858327	0.005601727149	48	22	
2150000	578.193290	1	-1.156230316634	1.225584928449	-0.031017971671	-0.094253278580	0.021901104945	0.000081732682	0.982214367275	N\A	0.059947626630	0.007749113604	0.031301258596	0.005272716435	45	22	
2200000	565.424071	1	-0.986698132262	1.071310014102	-0.013873096797	0.011605954464	0.005772266809	0.000083950055	0.985848890640	N\A	0.079834580859	0.010411006552	0.036577887813	0.006411586714	37	16	
2250000	549.461571	1	-1.059573969371	1.156909329224	-0.026720778685	-0.023953277724	0.014785781043	0.000067305416	0.982377612263	N\A	0.077155527396	0.008940147308	0.037644574563	0.005726908148	53	23	
2300000	568.193368	1	-1.200927412337	1.226329269261	-0.028100134784	-0.068313889916	0.013698502364	0.000069101679	0.982830451524	N\A	0.067062693865	0.008310520724	0.033955579215	0.005618133622	30	23	
2350000	553.067254	1	-1.279669729926	1.276455967521	-0.033980221648	-0.066853480438	0.012599609528	0.000084205902	0.978668897730	N\A	0.079998953733	0.010887847293	0.037419739818	0.006664801249	50	24	
2400000	560.395630	1	-1.091680122250	1.172524445678	-0.023949804399	-0.061318729165	0.015402623205	0.000076255881	0.984515768910	N\A	0.073982934245	0.008705095807	0.037177027835	0.005853974992	46	26	
2450000	571.647705	1	-1.057341016009	1.111162655639	-0.017444138249	-0.006517346159	0.008375756213	0.000079767595	0.981398837300	N\A	0.070242128847	0.008571635948	0.035188011514	0.005653896816	33	24	
2500000	572.363672	1	-1.064000233681	1.121495625916	-0.019072731296	-0.013269656890	0.009600251631	0.000073139003	0.986661880863	N\A	0.067265407240	0.008030120922	0.033440839561	0.005390635929	45	25	
2550000	561.670390	1	-1.162775419371	1.177781533074	-0.021237595589	-0.022091113491	0.004350123487	0.000088604653	0.984672387770	N\A	0.080060879249	0.010353539379	0.037003705092	0.006256584379	37	19	
2600000	572.185153	1	-1.174573355761	1.239570045322	-0.039323520439	-0.067081585064	0.024257507256	0.000075951113	0.984394832548	N\A	0.066157554920	0.008023091451	0.033402937497	0.005140322363	41	23	
2650000	559.381118	1	-1.123833398464	1.189547094582	-0.033761880760	-0.027958655411	0.018136604283	0.000081284551	0.988036135685	N\A	0.069887631716	0.008522432939	0.034401316482	0.005648688204	47	28	
2700000	571.041432	1	-1.192638199298	1.234874402955	-0.033486345939	-0.047415996930	0.012476905306	0.000083261447	0.987490637454	N\A	0.070042247610	0.008930128390	0.033326824958	0.005904310179	51	21	
2750000	556.156813	1	-1.050997271959	1.130265413431	-0.024514046117	-0.013979449438	0.014100749706	0.000096494747	0.980367936800	N\A	0.069598378702	0.008141511609	0.035330798371	0.005433923292	53	24	
2800000	573.378554	1	-1.318224996021	1.291522680368	-0.037785346880	-0.082802637856	0.018718607405	0.000077490863	0.987788265385	N\A	0.063908653039	0.008137724002	0.032367482354	0.005434703744	39	24	
2850000	573.459659	1	-1.197432887068	1.201605756291	-0.023556981441	-0.039609766456	0.006973436628	0.000093210474	0.985862489921	N\A	0.080872079956	0.010565059257	0.036717701611	0.006558354559	46	25	
2900000	574.730025	1	-1.176773459616	1.203811905981	-0.026977346230	-0.067314897660	0.015769671722	0.000063722992	0.982251393148	N\A	0.070990453879	0.008329178597	0.035595234156	0.005518452955	46	22	
2950000	576.048676	1	-1.028804401905	1.114802504137	-0.019882779736	-0.012587237401	0.009734794705	0.000080742187	0.990146185455	N\A	0.069972852246	0.008799000347	0.032857035714	0.005630858523	43	25	
3000000	573.720794	1	-1.275220293403	1.269755105371	-0.034450861563	-0.073775469332	0.015957907828	0.000079870443	0.984164080015	N\A	0.071720346295	0.009408348183	0.034152071267	0.005869859436	44	18	
3050000	563.307242	1	-1.106450964164	1.166429648371	-0.021464264715	-0.041217004254	0.009629021408	0.000077638399	0.982065278965	N\A	0.071803144800	0.009090866304	0.034345481213	0.005719516539	51	23	
3100000	557.231814	1	-1.126239895674	1.188770733258	-0.022924264204	-0.077568770658	0.015178088364	0.000072830914	0.982430912855	N\A	0.072460457338	0.008993164790	0.036013187773	0.005884996134	42	28	
3150000	565.022478	1	-1.354013344496	1.357776065454	-0.050697599491	-0.122077995885	0.030028203447	0.000070121503	0.984503430852	N\A	0.071849438738	0.009624975861	0.035501134168	0.006306036928	52	25	
3200000	556.279943	1	-1.135136244457	1.226011713111	-0.035842586358	-0.063289005656	0.021789529949	0.000071639334	0.984656126476	N\A	0.069047192207	0.008330926774	0.034918638566	0.005690807771	43	21	
3250000	565.258822	1	-1.194316634094	1.207575156071	-0.023425939986	-0.044102616044	0.005899630389	0.000073501150	0.986261087368	N\A	0.055732141309	0.007632564430	0.029569987647	0.005527039785	40	23	
3300000	580.182335	1	-1.059476783439	1.157310528308	-0.026454980367	-0.050859772264	0.019821492361	0.000086641414	0.988018034109	N\A	0.053611685212	0.007032974300	0.027831415670	0.004750955957	42	30	
3350000	580.674757	1	-1.164738234184	1.212555162289	-0.033796206828	-0.041098432717	0.015580249935	0.000072462655	0.988526086127	N\A	0.072358591279	0.009488559043	0.033267450435	0.005941347430	57	32	
3400000	566.571363	1	-1.125651979813	1.158365940199	-0.024780722366	-0.012277089891	0.012012540328	0.000096959390	0.988289657273	N\A	0.068686710858	0.008881149330	0.032801073009	0.005598005133	48	27	
3450000	556.866967	1	-1.079670178339	1.141968301713	-0.023378290553	-0.007835928401	0.007876641055	0.000079610189	0.984300175106	N\A	0.058355119332	0.007852028418	0.030685288269	0.005644507177	41	28	
3500000	558.977656	1	-1.321654619726	1.323250906143	-0.044787677962	-0.089715945498	0.020326663716	0.000100427781	0.984740494486	N\A	0.087156671670	0.012542467165	0.037030542144	0.006977262448	70	27	
3550000	562.892558	1	-1.097457562694	1.154722077692	-0.024812137669	-0.029212976545	0.013438731663	0.000073268529	0.980161615608	N\A	0.069401717753	0.008365058626	0.035157391284	0.005559876304	44	22	
3600000	566.484350	1	-1.202287850137	1.240400069107	-0.028965372860	-0.088646543911	0.016389949012	0.000075281997	0.983129159925	N\A	0.065579427758	0.009405849144	0.031086879072	0.005848317704	38	25	
3650000	572.994576	1	-1.195329767538	1.228298095967	-0.032059260312	-0.046065459458	0.014123614213	0.000070613277	0.984815308070	N\A	0.070337022579	0.008424364041	0.034599092191	0.005513127855	52	22	
3700000	554.969732	1	-1.259743839119	1.244032571819	-0.028459943842	-0.070337753426	0.013146624412	0.000081697751	0.978488381778	N\A	0.070628260749	0.008680451556	0.035937792844	0.005892482824	47	19	
3750000	574.697916	1	-1.007580819117	1.105736122015	-0.021344488434	-0.003010610362	0.010237039612	0.000079242993	0.982976759231	N\A	0.075312225301	0.009967764843	0.035500545941	0.006302441004	46	24	
3800000	569.751492	1	-1.302355846970	1.306754325841	-0.045543678387	-0.078769261064	0.023881852752	0.000070101835	0.984299263862	N\A	0.076659004121	0.010598186020	0.034694545641	0.006459992964	45	27	
3850000	562.849922	1	-1.003254599420	1.070396796488	-0.009717764848	0.005066451934	0.001465868708	0.000093087720	0.984062886672	N\A	0.077843943002	0.010144065259	0.035916385403	0.006204932509	43	14	
3900000	566.758569	1	-1.207713760026	1.260016995726	-0.036998206333	-0.093521664910	0.023287064934	0.000070369074	0.981531220206	N\A	0.080302389065	0.009875818064	0.038515281078	0.006335489489	36	26	
3950000	576.926038	1	-1.035646577355	1.097767453436	-0.015821402777	-0.002952044311	0.007647994953	0.000097645430	0.991046610405	N\A	0.035048828526	0.006277345694	0.022927770985	0.004958935022	39	26	
