Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	0.786	2.5613393948666	1.86328760196422	3.47184068763358
Atelerix_algirus	1.641	3.45937494595256	1.86328760196422	3.47184068763358
Blarina_brevicauda	0.832	2.56526016953364	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.084	2.8124927980164	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.053	2.83356529108882	1.86328760196422	3.47184068763358
Crocidura_attenuata	0.486	2.29369840905507	1.86328760196422	3.47184068763358
Crocidura_flavescens	0.779	2.58207746336137	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	0.52	2.30064063157812	1.86328760196422	3.47184068763358
Crocidura_denti	0.534	2.36479451634544	1.86328760196422	3.47184068763358
Crocidura_russula	0.508	2.26471093422473	1.86328760196422	3.47184068763358
Crocidura_suaveolens	0.461	2.25063238800831	1.86328760196422	3.47184068763358
Cryptotis_parvus	0.614	2.36248471949945	1.86328760196422	3.47184068763358
Desmana_moschata	1.63	3.55635615102067	1.86328760196422	3.47184068763358
Echinops_telfairi	1.062	2.74834886210844	1.86328760196422	3.47184068763358
Echinosorex_gymnura	1.885	3.7443098228403	1.86328760196422	3.47184068763358
Erinaceus_europaeus	1.716	3.47896517613914	1.86328760196422	3.47184068763358
Euroscaptor_micrura	1.124	2.88161190363473	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	1.303	3.0873915761491	1.86328760196422	3.47184068763358
Geogale_aurita	0.31	2.08153227068238	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	1.125	2.87971667978679	1.86328760196422	3.47184068763358
Hemiechinus_auritus	1.448	3.22302557506589	1.86328760196422	3.47184068763358
Hylomys_suillus	1.243	3.04265473490601	1.86328760196422	3.47184068763358
Limnogale_mergulus	1.291	3.01708868959485	1.86328760196422	3.47184068763358
Microgale_dobsoni	0.979	2.70344201843958	1.86328760196422	3.47184068763358
Microgale_talazaci	1.056	2.85130596152045	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.178	2.86835860528116	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	1.237	3.0239960099372	1.86328760196422	3.47184068763358
Myosorex_sclateri	0.747	2.52863027572128	1.86328760196422	3.47184068763358
Neomys_anomalus	0.632	2.4253493121911	1.86328760196422	3.47184068763358
Neomys_fodiens	0.757	2.4844525337294	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.002	2.72555444984195	1.86328760196422	3.47184068763358
