Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-bm-003.txt
Log File Name:                   SEP_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1081257119
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	303.606254	1	-0.003277937111	0.597696067606	0.021951915613	-0.317254913141	0.286825307248	0.074997249814	0.167075280821	-0.025147375857	0.026009901370	-0.042412711499	0.050139665615	-0.032960574999	0.000429272101	0.874590583483	N\A	0.063434650369	0.270718705638	0.244871772335	0.256674143209	0.248764987768	0.337298268569	0.070583061990	0.068117303465	0.070811045577	0.073587338924	0.067258882822	
1600000	301.481695	1	0.064948088411	0.711105443426	0.364419393021	-0.082101628607	0.178976526157	-0.014153251245	0.015441285697	-0.050895644667	-0.045300392118	-0.116086821858	-0.071361505312	-0.202442281997	0.000434607391	0.873031908763	N\A	0.063827637852	0.272395849945	0.246388790887	0.258264279276	0.250306125392	0.339387883579	0.071020334990	0.068539300709	0.071249730970	0.074043223885	0.067675562017	
1650000	303.701274	1	0.509430851883	0.580666402305	0.020154761036	-0.401871369532	-0.183851816827	-0.334446763340	-0.583020359143	0.022238284255	0.027602619173	0.015375609406	-0.000468191252	-0.054728822366	0.000429035019	0.874659845742	N\A	0.063417130815	0.270643937813	0.244804142986	0.256603254249	0.248696283180	0.337205112620	0.070563568169	0.068098490643	0.070791488791	0.073567015373	0.067240307082	
1700000	306.206355	1	0.217188020072	0.613442973991	0.018217157412	-0.280539674235	0.229163648309	-0.021248128189	-0.204298710393	0.025300643187	0.037613199062	-0.100140102493	-0.007007192631	-0.065934097156	0.000422831654	0.876472123649	N\A	0.062956991228	0.268680209902	0.243027902468	0.254741402192	0.246891802220	0.334758432688	0.070051575735	0.067604384225	0.070277842620	0.073033230643	0.066752427439	
1750000	303.051890	1	0.182056158128	0.672317244970	0.258699964369	-0.389962345774	0.088797899854	-0.247209772490	-0.007657760211	-0.084208092582	-0.037183761028	-0.088351097333	-0.035423227252	-0.166524126704	0.000430657897	0.874185730969	N\A	0.063536959211	0.271155326904	0.245266707080	0.257088113086	0.249166201580	0.337842270863	0.070696899952	0.068227164596	0.070925251237	0.073706022252	0.067367359473	
1800000	304.990660	1	-0.150240912704	0.726884412879	0.327414777251	-0.070446134647	0.488695533531	0.337241445440	0.387065053784	-0.091654307800	-0.136604006552	-0.185098164958	-0.168996649973	-0.209052118284	0.000425830812	0.875595936642	N\A	0.063179874630	0.269631404644	0.243888281664	0.255643250090	0.247765860583	0.335943560768	0.070299575730	0.067843720553	0.070526643655	0.073291786437	0.066988747628	
1850000	304.793216	1	0.160103873205	0.569653942288	0.030862891938	-0.284649199897	0.339456892736	-0.217478939640	0.024723750577	-0.008985930083	0.047987559430	-0.033149724223	0.074662368924	-0.055727210401	0.000426319918	0.875453047063	N\A	0.063216148183	0.269786208515	0.244028305598	0.255790022921	0.247908110756	0.336136436533	0.070339936927	0.067882671767	0.070567135219	0.073333865557	0.067027207975	
1900000	301.599578	1	-0.272875105429	0.671352691074	-0.012704989329	-0.103288701945	0.326480057549	0.429463962851	0.735193404511	-0.011538789127	-0.074038463520	-0.141579902759	-0.115329611619	-0.137626518878	0.000434309628	0.873118898340	N\A	0.063805769009	0.272302520748	0.246304372318	0.258175791887	0.250220364653	0.339271601343	0.070996001760	0.068515817539	0.071225319144	0.074017854943	0.067652374785	
1950000	305.324644	1	0.370301290557	0.588195654579	-0.082978930315	-0.606927190229	-0.157986023794	-0.202921883174	-0.278436518334	0.031700994415	0.045457533919	-0.003357121229	0.008038398184	-0.059744287281	0.000425004750	0.875837265987	N\A	0.063118564095	0.269369750981	0.243651609447	0.255395170705	0.247525425514	0.335617556964	0.070231356148	0.067777884164	0.070458203724	0.073220663177	0.066923740915	
2000000	305.828545	1	-0.054246068995	0.669177730962	0.178925641925	-0.043850410641	0.355390818429	0.086609057711	0.372130639128	-0.047864777497	-0.062311611581	-0.139181242093	-0.050330536551	-0.179678278175	0.000423761454	0.876200487852	N\A	0.063026173918	0.268975459391	0.243294962941	0.255021334491	0.247163108687	0.335126294751	0.070128554579	0.067678673879	0.070355070105	0.073113485992	0.066825780888	
