Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m6-glob-006.txt
Log File Name:                   MES_d1_m6-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1239101830
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m6-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	557.056777	1	-0.706687960910	0.832866896428	0.037820646931	0.000036387006	0.976427192452	N\A	0.025060895908	0.017327515434	41	2	-0.000178573427	Global Trend	
1050000	562.820911	1	-0.771030156081	0.842687268574	0.034772196078	0.000136918802	0.978059146338	N\A	0.024821648308	0.017288557002	38	5	-0.000905701912	Global Trend	
1100000	555.249243	1	-0.701179283500	0.802794911091	0.053905773491	0.000098770873	0.971364609398	N\A	0.027919609331	0.019483243654	43	2	-0.000005736266	Global Trend	
1150000	554.136236	1	-0.593280305920	0.773476272240	0.065603054577	0.000082892882	0.974969708046	N\A	0.025223454385	0.017374555541	42	3	-0.001265423254	Global Trend	
1200000	574.310523	1	-0.649368105594	0.784282595270	0.052679157848	0.000168914838	0.975203914650	N\A	0.027947037478	0.019313585816	43	8	0.000201664002	Global Trend	
1250000	568.452166	1	-0.681792101206	0.785771908251	0.062664892126	0.000172346393	0.973014221722	N\A	0.027694246300	0.019148735927	28	3	0.001507505686	Global Trend	
1300000	564.987835	1	-0.613133650997	0.762183629087	0.084890287275	0.000054334209	0.973440061954	N\A	0.029720836891	0.020626884059	35	7	0.000466239598	Global Trend	
1350000	553.633142	1	-0.722791352732	0.823049422289	0.040519477142	0.000067765382	0.974773137870	N\A	0.025639327660	0.017860941331	38	2	-0.000520632909	Global Trend	
1400000	548.562222	1	-0.703776732025	0.815899515502	0.037373864651	0.000086029969	0.970834586836	N\A	0.026930898637	0.019300198913	30	4	-0.000525922129	Global Trend	
1450000	557.982690	1	-0.717957241978	0.795995656385	0.056919892569	0.000078709452	0.975632489812	N\A	0.026383048404	0.018634833885	38	2	0.001445424638	Global Trend	
1500000	563.697134	1	-0.731679810429	0.800508823307	0.043306739751	0.000083105451	0.974955104295	N\A	0.025847183370	0.017860212257	41	4	0.002026175769	Global Trend	
1550000	577.975452	1	-0.803861801727	0.852394859403	0.020830309278	0.000057696570	0.981426287255	N\A	0.023333381543	0.016333612063	40	5	0.000323744301	Global Trend	
1600000	565.663404	1	-0.589020739490	0.772547054487	0.072896065371	0.000062295840	0.978667795865	N\A	0.026112272751	0.018127599169	31	4	-0.001145943589	Global Trend	
1650000	555.194804	1	-0.659157392289	0.835203026688	0.029151841424	0.000143491316	0.977451437096	N\A	0.023459356046	0.016802042400	31	1	-0.003251627802	Global Trend	
1700000	554.143981	1	-0.737331376564	0.803062712391	0.065388131825	0.000084225465	0.971692951755	N\A	0.027700596808	0.018917910844	39	4	0.000112233702	Global Trend	
1750000	554.296823	1	-0.794234316883	0.801665640670	0.045043715617	0.000110528693	0.972334535296	N\A	0.026107660362	0.018874159149	45	3	0.005454048496	Global Trend	
1800000	556.883886	1	-0.854971562971	0.848348927188	0.030004077221	0.000072200313	0.977565673809	N\A	0.024649189719	0.017339588778	30	2	0.002553874591	Global Trend	
1850000	543.196908	1	-0.931098467124	0.773241475138	0.087002865141	0.000227614197	0.973145520415	N\A	0.025595873752	0.018223560544	32	3	0.011935765755	Global Trend	
1900000	554.469409	1	-0.519948416031	0.785534423197	0.059183561150	0.000075353688	0.970923071586	N\A	0.028920683376	0.020010379905	39	2	-0.003142154676	Global Trend	
1950000	543.112940	1	-0.700211308525	0.816253869909	0.035154486181	0.000078861761	0.968963852671	N\A	0.028739963585	0.019703525936	26	0	0.001371375711	Global Trend	
2000000	552.406365	1	-0.654571650886	0.834971976828	0.026175119839	0.000070692390	0.976066670715	N\A	0.026987377511	0.018816796074	34	2	-0.001384983523	Global Trend	
2050000	556.268110	1	-0.650048249002	0.810947321141	0.036251398536	0.000024235889	0.971516133174	N\A	0.026918289257	0.019056079677	38	5	0.000002646569	Global Trend	
2100000	558.862270	1	-0.547654103594	0.856109201687	0.016130310851	0.000197123332	0.979801113373	N\A	0.023847806461	0.017596976778	38	5	-0.010291696446	Global Trend	
2150000	541.345335	1	-0.827093674491	0.852727027786	0.023717889265	0.000110814167	0.975484973951	N\A	0.024458312390	0.017463205450	47	1	0.002455488283	Global Trend	
2200000	552.772202	1	-0.628370067513	0.807634464732	0.052448128605	0.000117982743	0.974212271811	N\A	0.029049339463	0.020325933159	42	2	-0.001751732232	Global Trend	
2250000	548.528179	1	-0.602883131201	0.753923632830	0.086013594989	0.000066974607	0.971931743930	N\A	0.027280781414	0.019012337258	24	1	0.000644464244	Global Trend	
2300000	552.977261	1	-0.810171272701	0.844614634415	0.028610566897	0.000102531563	0.974566655201	N\A	0.026487489822	0.018366152873	38	4	0.001090618021	Global Trend	
2350000	540.212867	1	-0.401240071960	0.756084638338	0.085323875015	0.000103674101	0.970810125958	N\A	0.030069304529	0.020732049523	32	0	-0.004247781890	Global Trend	
2400000	568.096989	1	-0.674653957777	0.797122263348	0.058950844540	0.000077982419	0.972031671913	N\A	0.026957578783	0.018942743557	45	5	0.000718991048	Global Trend	
2450000	573.485660	1	-0.680040454078	0.794512949939	0.055045964613	0.000087556153	0.975347931189	N\A	0.027489670811	0.018854650399	40	4	0.000879630417	Global Trend	
2500000	560.525261	1	-0.702492485315	0.832888780347	0.036970455372	0.000403216959	0.980403317246	N\A	0.021669546835	0.015932701017	47	3	-0.011016384348	Global Trend	
2550000	562.295658	1	-0.770111728092	0.826075785212	0.027183953131	0.000104014701	0.974487330644	N\A	0.023541209814	0.016319539769	38	6	0.001654585551	Global Trend	
2600000	562.226575	1	-0.800025806248	0.821474583050	0.030486078951	0.000125087135	0.976995265275	N\A	0.025622604394	0.017515474307	34	4	0.003262439613	Global Trend	
2650000	559.529344	1	-0.679073884820	0.738525689258	0.096124393964	0.000071822284	0.973227305745	N\A	0.026112516523	0.018161813102	37	4	0.001846154895	Global Trend	
2700000	555.628780	1	-0.847096928303	0.842398243036	0.016165836903	0.000137867992	0.971005539216	N\A	0.027139572071	0.018873588146	36	4	0.004909418417	Global Trend	
2750000	569.194526	1	-0.766606028991	0.866999957521	0.002090454731	0.000111711160	0.975399855097	N\A	0.027227736377	0.018411821504	45	2	-0.000152239411	Global Trend	
2800000	536.099136	1	-0.522368455503	0.762299565336	0.076930956437	0.000066103580	0.971440756524	N\A	0.028268274292	0.019418184627	31	1	-0.002090730482	Global Trend	
2850000	551.255777	1	-0.439904204439	0.758040402477	0.077987456659	0.000112251712	0.971835779337	N\A	0.026764589990	0.019030917415	34	3	-0.005063862926	Global Trend	
2900000	578.638585	1	-0.755445011894	0.826738860486	0.040437558572	0.000069038255	0.981506024592	N\A	0.023767261343	0.017161571790	42	5	0.000371055272	Global Trend	
2950000	553.281872	1	-0.593206269628	0.717938952636	0.119746020415	0.000062462478	0.972411897868	N\A	0.026495653620	0.018504691425	39	4	-0.000062450313	Global Trend	
3000000	543.764779	1	-0.591341053478	0.749337540932	0.099634840856	0.000091311427	0.974529906059	N\A	0.030032387497	0.020737718421	44	2	-0.001303220648	Global Trend	
3050000	563.918830	1	-0.701921933761	0.809110109611	0.051752739122	0.000096419156	0.975341943502	N\A	0.026994423516	0.018882336098	40	4	-0.000014486719	Global Trend	
3100000	552.177778	1	-0.620651171958	0.768551794820	0.069380848512	0.000095369209	0.971428216376	N\A	0.028068013992	0.019251980937	36	4	0.000671246504	Global Trend	
3150000	556.454132	1	-0.744876594615	0.881345527346	-0.015780036752	0.000101939197	0.977755844361	N\A	0.025722530615	0.017702911881	38	1	-0.001401690400	Global Trend	
3200000	542.874781	1	-0.697561894497	0.810165007250	0.052117612721	0.000093176712	0.975996517113	N\A	0.025719956327	0.018056990452	40	2	-0.000591043196	Global Trend	
3250000	573.073621	1	-0.817625602967	0.862975933488	0.006884260358	0.000067392348	0.977125419189	N\A	0.025802303440	0.017476606096	39	9	0.001454742725	Global Trend	
3300000	560.933355	1	-0.733722873367	0.838255880568	0.026399951967	0.000097563698	0.982410807061	N\A	0.024145836172	0.017849933954	33	1	0.001427855156	Global Trend	
3350000	562.352045	1	-0.915089090831	0.874165322086	0.013984628534	0.000090424922	0.979681589787	N\A	0.022497853561	0.015721757751	42	4	0.003388886620	Global Trend	
3400000	555.297340	1	-0.657154270942	0.806673603561	0.048377833513	0.000081293155	0.976770962959	N\A	0.026371819978	0.018033503132	36	4	-0.002007682229	Global Trend	
3450000	558.606138	1	-0.693930451183	0.819830825897	0.035548176851	0.000081344113	0.978334550424	N\A	0.026194964558	0.018567064125	46	5	-0.001168496641	Global Trend	
3500000	543.847035	1	-0.523669924715	0.714055461087	0.097672424361	0.000078198437	0.969642633350	N\A	0.028621017428	0.019896277733	41	3	0.001139723440	Global Trend	
3550000	536.416671	1	-0.721350432192	0.792544386054	0.061800164291	0.000216757799	0.965938295947	N\A	0.030435513080	0.021062467990	40	2	0.004487515304	Global Trend	
3600000	562.064002	1	-0.641819727315	0.841830685733	0.023831756571	0.000060534420	0.979833762118	N\A	0.024907926256	0.017455454364	39	4	-0.003352858036	Global Trend	
3650000	545.323348	1	-0.483691771167	0.723088609060	0.101147158895	0.000070394755	0.974405947020	N\A	0.025803032737	0.018115324604	36	3	-0.000687073921	Global Trend	
3700000	557.314346	1	-0.716609497219	0.843655501950	0.026267925517	0.000080758537	0.974879098245	N\A	0.028147798435	0.019824762088	41	2	-0.001817373917	Global Trend	
3750000	573.859931	1	-0.663820269241	0.792125926379	0.058090840216	0.000077480838	0.987103022273	N\A	0.019306515054	0.013641021206	39	2	0.001209758821	Global Trend	
3800000	555.264866	1	-0.784235536874	0.851096419712	0.026881842844	0.000104207343	0.974951566967	N\A	0.023421581853	0.016777000504	35	3	0.000835383313	Global Trend	
3850000	564.603759	1	-0.723161088413	0.790619980446	0.063130162033	0.000072030743	0.983421498495	N\A	0.025134340385	0.016586862804	36	3	0.001606180278	Global Trend	
3900000	574.313519	1	-0.781229278833	0.914168701112	-0.023495058557	0.000125392235	0.981486063977	N\A	0.020934391462	0.014851258144	36	6	-0.005983112338	Global Trend	
3950000	572.495261	1	-0.679851650588	0.818513543886	0.043245843306	0.000131621038	0.976652101851	N\A	0.025256330335	0.017522586685	37	7	-0.002075207277	Global Trend	
4000000	575.420284	1	-0.590841764026	0.825839732396	0.041061502007	0.000126888708	0.977665402009	N\A	0.027525579055	0.019148897832	41	5	-0.003756687066	Global Trend	
4050000	568.594898	1	-0.738511124219	0.845117867939	0.019585791657	0.000117044566	0.978417802293	N\A	0.026343528194	0.018661826028	43	6	-0.000808240020	Global Trend	
4100000	571.356918	1	-0.708531702500	0.881133238722	0.002144336270	0.000066661355	0.979475610141	N\A	0.022755449712	0.015772956454	32	6	-0.002656989991	Global Trend	
4150000	549.661675	1	-0.527506495268	0.772112155539	0.072731115213	0.000093093991	0.971948721820	N\A	0.027947635847	0.019710777730	32	5	-0.002031728629	Global Trend	
4200000	558.413389	1	-0.703863118578	0.815548353191	0.036881276588	0.000066749951	0.979622701344	N\A	0.025287107496	0.017147257053	45	3	-0.000057172124	Global Trend	
4250000	564.081146	1	-0.703683219404	0.783693175526	0.063298083861	0.000083958833	0.973712166951	N\A	0.028489712968	0.020025466658	30	3	0.001632090805	Global Trend	
4300000	557.434947	1	-0.856660882437	0.827873219339	0.049857963965	0.000098190130	0.979815183678	N\A	0.027150303903	0.018447696560	37	3	0.004252325612	Global Trend	
4350000	569.424891	1	-0.796432172903	0.837464893181	0.026889297897	0.000160640402	0.974754362809	N\A	0.025368909006	0.017850271612	46	3	0.002216006490	Global Trend	
4400000	566.759145	1	-0.611618037516	0.827951363827	0.042035136124	0.000150703479	0.977854457780	N\A	0.021589800130	0.013310492891	34	7	0.000816605119	Global Trend	
4450000	553.235576	1	-0.452728539608	0.741193440125	0.101894284594	0.000109902143	0.975905030470	N\A	0.026029145343	0.018592981914	34	3	-0.004476500351	Global Trend	
4500000	557.428972	1	-0.612479422334	0.777807260573	0.065276063051	0.000104216544	0.976219932892	N\A	0.024079435889	0.017413315343	36	6	-0.000872387659	Global Trend	
4550000	560.658108	1	-0.794684023450	0.846121636509	0.023410516844	0.000123103491	0.980892485036	N\A	0.023168125601	0.016240500125	33	2	0.000977415265	Global Trend	
4600000	561.748965	1	-0.767942848611	0.788486207778	0.059396822372	0.000104886994	0.978196276567	N\A	0.025041376185	0.017086530507	31	5	0.003854595001	Global Trend	
4650000	551.892536	1	-0.580084210502	0.730189506396	0.090161675912	0.000059145166	0.972080326259	N\A	0.028036649223	0.019624379960	36	2	0.001299027353	Global Trend	
4700000	556.387615	1	-0.743997341088	0.876417673232	0.009868214630	0.000101795677	0.978634406873	N\A	0.027368321847	0.018982513076	49	2	-0.002598523966	Global Trend	
4750000	560.896944	1	-0.708208088591	0.807748174513	0.054423887613	0.000059175847	0.976525168506	N\A	0.026191432883	0.018599519494	37	3	0.000375443544	Global Trend	
4800000	553.276026	1	-0.716296108363	0.819350368160	0.037321630596	0.000059512821	0.978492738186	N\A	0.025213777495	0.017619024484	33	4	0.000277395874	Global Trend	
4850000	559.852442	1	-0.553731598010	0.735523246641	0.092492117993	0.000086822211	0.975523012146	N\A	0.027430338475	0.018828198798	38	3	-0.000722239105	Global Trend	
4900000	573.446575	1	-0.496882942532	0.839275188599	0.032636348528	0.000162160618	0.979088556439	N\A	0.024988294278	0.017745776064	27	6	-0.010749136557	Global Trend	
4950000	548.684187	1	-0.476934074201	0.771961879804	0.075052009578	0.000056145197	0.978931485397	N\A	0.020981420914	0.015656795056	45	2	-0.002471525677	Global Trend	
5000000	564.961783	1	-0.760819092125	0.857387288062	0.009104075022	0.000129505817	0.977322226320	N\A	0.022377671397	0.016659223930	33	3	-0.001370308096	Global Trend	
5050000	566.789261	1	-0.666651553322	0.779515092002	0.063513390516	0.000059768387	0.976321216742	N\A	0.028661524400	0.020171999084	34	4	-0.000072427341	Global Trend	
5100000	576.154905	1	-0.539377853209	0.870766906450	0.011558604120	0.000188891243	0.982148686659	N\A	0.021770697123	0.015768060325	35	3	-0.013829032724	Global Trend	
5150000	559.164457	1	-0.652156298859	0.768265531415	0.073232931144	0.000102632882	0.976046589054	N\A	0.025199311776	0.017589500443	32	3	0.000784555393	Global Trend	
5200000	564.071113	1	-0.810747283464	0.840005111875	0.021226768840	0.000122834634	0.974657390946	N\A	0.028846984750	0.019559662533	33	4	0.002788254139	Global Trend	
5250000	566.876781	1	-0.642935845232	0.800207280671	0.063302534201	0.000097453140	0.976406464224	N\A	0.024840062013	0.017732881270	37	4	-0.002410888643	Global Trend	
5300000	570.606477	1	-0.771712464819	0.834684306750	0.028087814349	0.000066212106	0.979526269928	N\A	0.024982613218	0.017141243878	38	4	0.000409730499	Global Trend	
5350000	558.067042	1	-0.708432816680	0.730303329846	0.101555609282	0.000144411726	0.969754117379	N\A	0.030585990034	0.021197169386	40	4	0.004985004821	Global Trend	
5400000	557.051605	1	-0.668481317278	0.771336448722	0.074567191793	0.000065644330	0.971801983280	N\A	0.026867159761	0.018978066907	35	3	0.001088926288	Global Trend	
5450000	552.175456	1	-0.728193584626	0.791551366151	0.070199773483	0.000145360127	0.974425935084	N\A	0.026954670780	0.018985555619	39	6	0.000333891435	Global Trend	
5500000	562.026233	1	-0.696595301701	0.838286728172	0.033461569417	0.000083012687	0.977305468478	N\A	0.027550593819	0.018794517650	38	3	-0.002222491687	Global Trend	
5550000	544.082113	1	-0.571536328871	0.747691019130	0.080571383961	0.000152816786	0.973149107724	N\A	0.029819588478	0.020219958880	36	3	0.000617633085	Global Trend	
5600000	559.235280	1	-0.673665686085	0.821772512861	0.035724702115	0.000057243746	0.982077983890	N\A	0.023367304628	0.016488182740	42	4	-0.000893759453	Global Trend	
5650000	572.449908	1	-0.811017043186	0.856407943264	0.029683193939	0.000083546621	0.977669730752	N\A	0.026161859955	0.018412466801	38	3	0.000085975433	Global Trend	
5700000	568.346750	1	-0.776171748380	0.863397803573	0.010611930213	0.000086028965	0.978006672730	N\A	0.024999622372	0.017521195124	45	5	-0.001080867333	Global Trend	
5750000	572.282895	1	-0.749117948371	0.788858113796	0.066109835115	0.000098404546	0.976204016633	N\A	0.027408064444	0.019232521071	45	5	0.002946262246	Global Trend	
5800000	549.370390	1	-0.692142156436	0.857920181823	0.000880330169	0.000081227957	0.967055379102	N\A	0.028092146407	0.019577492003	31	4	-0.000464233687	Global Trend	
5850000	556.495222	1	-0.767477166530	0.822556168665	0.036874195507	0.000070395809	0.969784110715	N\A	0.027519056159	0.018922957682	34	0	0.001886009691	Global Trend	
5900000	548.388869	1	-0.611061675685	0.770181486893	0.067579402806	0.000080829468	0.977806681763	N\A	0.019718298866	0.014754660054	48	3	0.000587909353	Global Trend	
5950000	543.294214	1	-0.687580170251	0.786694043007	0.053056822970	0.000069499489	0.973012972363	N\A	0.026412471972	0.018381168759	31	2	0.003108234992	Global Trend	
