Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-fab-005.txt
Log File Name:                   SCH_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            68364231
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	475.132902	1	-1.994437244436	1.375467887558	-0.054024304298	-0.081561165306	0.005965012873	0.000096154030	0.964781609692	N\A	0.113793008739	0.016057034809	0.048776152840	0.008592432725	38	1	
2200000	484.887771	1	-2.278640864945	1.622642400631	-0.093010596748	-0.163108905393	0.024853589844	0.000103633668	0.985036283679	N\A	0.105599083299	0.014502468744	0.044801134964	0.007755166677	28	3	
2250000	483.154511	1	-2.142216860928	1.554624977460	-0.097158898625	-0.123298341491	0.031079235577	0.000103521064	0.964296478007	N\A	0.111412237498	0.015527727164	0.047258386066	0.008017782194	39	1	
2300000	473.042146	1	-2.301553287382	1.625709784079	-0.097014435630	-0.130601773254	0.022140845453	0.000063133242	0.962691630649	N\A	0.105955737997	0.014927659677	0.047057236710	0.008403030936	33	3	
2350000	462.199148	1	-2.086168534077	1.473974752898	-0.075807113755	-0.100333646293	0.017949022451	0.000113239874	0.960317286873	N\A	0.120222071639	0.017019603830	0.051203246882	0.009184454023	33	3	
2400000	466.023003	1	-2.288756719848	1.628017312401	-0.084089035646	-0.240211823092	0.035679734849	0.000084669751	0.964430760888	N\A	0.109354198049	0.014466646998	0.046876669778	0.006910407173	38	0	
2450000	480.888924	1	-2.039316158280	1.473044214095	-0.080043337777	-0.099508434243	0.022883247092	0.000014564622	0.964739685861	N\A	0.115204090975	0.017196387099	0.047334963230	0.009025051384	40	4	
2500000	470.816794	1	-2.305283564658	1.669742134878	-0.100165363028	-0.190124626169	0.035881592958	0.000008356104	0.966008374185	N\A	0.126199015976	0.018549397424	0.048458754079	0.008486679114	44	4	
2550000	480.149975	1	-2.140531534608	1.500965346931	-0.069751540583	-0.150253203795	0.021904331802	0.000049621242	0.968278636587	N\A	0.109796387978	0.017132815777	0.044034627163	0.008311292264	39	2	
2600000	481.696348	1	-2.062390664069	1.460137772115	-0.064386866401	-0.133844958221	0.016786765311	0.000054359726	0.967118096750	N\A	0.101316340085	0.013690287195	0.045982755197	0.007709975576	36	6	
2650000	481.784386	1	-2.290060836283	1.632368480999	-0.095493459246	-0.180884260547	0.030974175902	0.000263965850	0.962742750920	N\A	0.105672679623	0.013573526675	0.048565546170	0.008079252193	38	6	
2700000	482.920601	1	-1.852024998961	1.318251929650	-0.060620138857	-0.044305185129	0.014494433981	0.000103646596	0.962938377142	N\A	0.121488084375	0.017540644448	0.049607527035	0.008854260752	30	8	
2750000	469.622951	1	-2.164888564891	1.488309057568	-0.065312196915	-0.148624954474	0.020292773906	0.000121531815	0.958767538653	N\A	0.117398275295	0.015962907058	0.049002755652	0.008097481509	29	3	
2800000	477.891774	1	-2.046336171279	1.439440146347	-0.070591740895	-0.087773355552	0.014440070922	0.000156484265	0.965657485858	N\A	0.120026784911	0.017129025911	0.049480794758	0.008796533234	45	1	
2850000	470.908640	1	-1.796592019737	1.248582444374	-0.035349904962	-0.080447362482	0.006943427328	0.000112912158	0.967405026854	N\A	0.104045200494	0.014701507977	0.045161657600	0.008056930020	39	3	
