Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-fab-005.txt
Log File Name:                   AMY_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1081939161
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2350000	498.486884	1	-0.757077165445	0.628002636241	0.251620843264	-0.026717104290	0.000110148339	0.956196487242	N\A	0.031177651447	0.028096097374	0.003696631378	28	3	
2400000	506.293602	1	-1.067750168022	0.793097683822	0.137478315563	-0.023034807514	0.000169437942	0.962117027185	N\A	0.028291728020	0.027941309892	0.003636692390	37	7	
2450000	504.361257	1	-1.105701031845	0.808981905591	0.142841401403	-0.028646242099	0.000042227859	0.964924368926	N\A	0.034236419454	0.029501738357	0.003604682733	41	2	
2500000	489.828360	1	-0.958314823426	0.744838739101	0.166367409732	-0.022687086656	0.000116278409	0.959971345850	N\A	0.033771540944	0.027666555751	0.003430777765	42	5	
2550000	512.036728	1	-1.068077437658	0.780475230446	0.178279073625	-0.032518575130	0.000090336595	0.957861492238	N\A	0.026572639681	0.025926715903	0.003572250756	39	5	
2600000	510.239979	1	-1.009098600248	0.764497669822	0.159284959135	-0.024514473273	0.000108565475	0.958870490476	N\A	0.033706881716	0.029315926523	0.003529108644	23	5	
2650000	511.038367	1	-0.883844009020	0.690826647929	0.213110233243	-0.026734632986	0.000080565589	0.964112749707	N\A	0.028617345094	0.026113974306	0.003203985637	39	6	
2700000	497.723592	1	-1.026799427015	0.759550783026	0.161307101248	-0.020332207972	0.000098621469	0.958782126415	N\A	0.033296174495	0.030442969228	0.003591700660	38	6	
2750000	515.825007	1	-0.993593355721	0.729050908018	0.166520674385	-0.021906098035	0.000108221886	0.966858038834	N\A	0.028278944892	0.021755276276	0.003130801819	26	5	
2800000	506.125308	1	-0.932282046558	0.730044616860	0.204957318255	-0.035258244416	0.000096456935	0.968477602853	N\A	0.026885419704	0.024854730571	0.003599290353	30	4	
2850000	514.039119	1	-0.797339019705	0.644440184233	0.258159625105	-0.030633240688	0.000084503124	0.960273197088	N\A	0.027955632970	0.025145205011	0.003300146594	32	6	
2900000	509.514668	1	-0.961913114479	0.737534011013	0.186703018496	-0.027955054448	0.000086303114	0.957982362942	N\A	0.032148126023	0.028475397350	0.003310765764	40	6	
2950000	489.590372	1	-0.816326951446	0.660154617674	0.223952831902	-0.022599407946	0.000107912220	0.956070158472	N\A	0.030966455891	0.027581991440	0.003487513946	35	4	
3000000	504.132363	1	-1.106247048243	0.808748519800	0.112477183403	-0.018825269766	0.000120640360	0.962535379007	N\A	0.030711373255	0.027350107671	0.003262302879	35	4	
3050000	486.773133	1	-1.022374798448	0.733815727928	0.229392622998	-0.032346308283	0.000126788442	0.954391893616	N\A	0.037111246017	0.032345511528	0.003730244559	34	4	
3100000	509.796894	1	-0.895022190067	0.702657134717	0.199344792928	-0.025691938915	0.000099545844	0.960200266880	N\A	0.032761724532	0.029574151785	0.003760885782	25	7	
3150000	504.499596	1	-0.802822960635	0.654901832448	0.248349595920	-0.031009785674	0.000085267545	0.958757922708	N\A	0.029399119278	0.027134949367	0.003564203521	29	4	
3200000	511.744010	1	-0.959546743981	0.736781793478	0.165058615753	-0.020744707047	0.000118917292	0.965845916336	N\A	0.025088250970	0.023115497190	0.003125080796	33	5	
3250000	516.346740	1	-1.033034880492	0.766475005622	0.188040337251	-0.034012532563	0.000095418380	0.965305830215	N\A	0.027943565191	0.024586174831	0.003181083377	26	8	
3300000	513.552676	1	-0.929880444391	0.695572837819	0.215285900849	-0.026896401879	0.000067271121	0.965065305664	N\A	0.031588732632	0.028279502567	0.003739863928	35	8	
3350000	506.436678	1	-0.961140071124	0.741768789833	0.164544452699	-0.021745010044	0.000044036681	0.966072509648	N\A	0.028418157284	0.026181872174	0.003243561687	50	5	
3400000	514.083992	1	-0.833604011251	0.656107163622	0.239071351679	-0.024656625412	0.000128527304	0.960642422383	N\A	0.026344289209	0.024152631439	0.003069748795	41	7	
3450000	510.520926	1	-1.001630421568	0.732074021141	0.175937802634	-0.021613434607	0.000101792527	0.965244459608	N\A	0.029992630004	0.027254696361	0.003563721867	37	6	
3500000	504.665214	1	-0.912117040467	0.733477034912	0.170416430770	-0.021418872421	0.000075682374	0.964874756637	N\A	0.031206299268	0.027590833931	0.003440492603	40	8	
3550000	501.479146	1	-0.912625493537	0.699063971754	0.211746013992	-0.025513931418	0.000094951164	0.960536712810	N\A	0.032288813281	0.029655051592	0.003901896536	32	8	
3600000	504.040289	1	-0.911233797753	0.704251160862	0.209051871246	-0.026299213976	0.000080040675	0.969257107785	N\A	0.025813279068	0.023890238162	0.003455453451	44	7	
