Species_TTOL	HIP	rest_of_brain	rest_of_brain2	BOD
Neomys_anomalus	1.401	3.0789623596587	9.48000921219507	1.037
Neomys_fodiens	1.537	3.0789623596587	9.48000921219507	1.182
Oryzorictes_hova	1.808	3.0789623596587	9.48000921219507	1.645
Parascalops_breweri	1.919	3.0789623596587	9.48000921219507	1.731
Potamogale_velox	2.508	3.0789623596587	9.48000921219507	2.791
Ruwenzorisorex_suncoides	1.597	3.0789623596587	9.48000921219507	1.262
Scalopus_aquaticus	2.041	3.0789623596587	9.48000921219507	2.061
Scutisorex_somereni	1.759	3.0789623596587	9.48000921219507	1.792
Setifer_setosus	1.985	3.0789623596587	9.48000921219507	2.373
Solenodon_paradoxus	2.477	3.0789623596587	9.48000921219507	2.826
Sorex_alpinus	1.461	3.0789623596587	9.48000921219507	1.033
Sorex_araneus	1.358	3.0789623596587	9.48000921219507	0.987
Sorex_cinereus	1.29	3.0789623596587	9.48000921219507	0.633
Sorex_fumeus	1.444	3.0789623596587	9.48000921219507	0.924
Sorex_hoyi	1.068	3.0789623596587	9.48000921219507	0.42
Sorex_minutus	1.093	3.0789623596587	9.48000921219507	0.633
Suncus_etruscus	0.792	3.0789623596587	9.48000921219507	0.762
Suncus_murinus	1.524	3.0789623596587	9.48000921219507	1.529
Sylvisorex_granti	1.199	3.0789623596587	9.48000921219507	0.591
Suncus_megalura	1.079	3.0789623596587	9.48000921219507	0.74
Talpa_europaea	1.94	3.0789623596587	9.48000921219507	1.908
Tenrec_ecaudatus	2.168	3.0789623596587	9.48000921219507	2.935
Aepyprymnus_rufescens	2.990028	3.0789623596587	9.48000921219507	3.392697
Antechinus_flavipes	1.564666	3.0789623596587	9.48000921219507	1.568202
Antechinus_minimus	1.746634	3.0789623596587	9.48000921219507	1.724276
Bettongia_gaimardi	3.053463	3.0789623596587	9.48000921219507	3.176091
Bettongia_penicillata	2.955255	3.0789623596587	9.48000921219507	3.079181
Burramys_parvus	1.996074	3.0789623596587	9.48000921219507	1.770852
Cercartetus_nanus	1.645422	3.0789623596587	9.48000921219507	1.278754
Dactylopsila_trivirgata	2.579441	3.0789623596587	9.48000921219507	2.643453
Dasycercus_cristicauda	2.106191	3.0789623596587	9.48000921219507	2
Dasyuroides_byrnei	2.017033	3.0789623596587	9.48000921219507	2.146128
Dasyurus_geoffroii	2.472171	3.0789623596587	9.48000921219507	2.69897
Dasyurus_hallucatus	2.241546	3.0789623596587	9.48000921219507	3.021189
Dendrolagus_lumholtzi	3.117943	3.0789623596587	9.48000921219507	3.78533
Distoechurus_pennatus	1.924796	3.0789623596587	9.48000921219507	1.633468
Dorcopsis	3.076276	3.0789623596587	9.48000921219507	3.462398
Echymipera_kalubu	2.469822	3.0789623596587	9.48000921219507	2.819544
Gymnobelideus_leadbeateri	2.234011	3.0789623596587	9.48000921219507	2.041393
Hypsiprymnodon_moschatus	2.73448	3.0789623596587	9.48000921219507	2.748188
Isoodon_macrourus	2.583992	3.0789623596587	9.48000921219507	3.033424
Isoodon_obesulus_obesulus	2.671451	3.0789623596587	9.48000921219507	3.004321
Osphranter_antilopinus	3.606381	3.0789623596587	9.48000921219507	4.537819
Macropus_giganteus	3.543571	3.0789623596587	9.48000921219507	4.563481
Notamacropus_irma	3.277151	3.0789623596587	9.48000921219507	3.819544
Notamacropus_parma	3.051538	3.0789623596587	9.48000921219507	3.536558
Notamacropus_parryi	3.427648	3.0789623596587	9.48000921219507	4.170262
Osphranter_robustus	3.460898	3.0789623596587	9.48000921219507	4.409933
Osphranter_rufus	3.427324	3.0789623596587	9.48000921219507	4.494155
Thylamys_pallidior	1.728354	3.0789623596587	9.48000921219507	1.477121
Marmosops_impavidus	2.021189	3.0789623596587	9.48000921219507	1.845098
Monodelphis_brevicaudata	1.91803	3.0789623596587	9.48000921219507	1.924279
Notoryctes_typhlops	1.888179	3.0789623596587	9.48000921219507	1.531479
Petauroides_volans	2.432328	3.0789623596587	9.48000921219507	3.09691
Petaurus_australis	2.566437	3.0789623596587	9.48000921219507	2.748188
Petaurus_breviceps	2.118265	3.0789623596587	9.48000921219507	2.113943
Petaurus_norfolcensis	2.229426	3.0789623596587	9.48000921219507	2.374748
Petrogale_inornata	3.176091	3.0789623596587	9.48000921219507	3.628389
Petrogale_lateralis	3.092721	3.0789623596587	9.48000921219507	3.556303
Petrogale_penicillata	3.187803	3.0789623596587	9.48000921219507	3.690196
Petrogale_purpureicollis	3.185542	3.0789623596587	9.48000921219507	3.740363
Petropseudes_dahli	2.507721	3.0789623596587	9.48000921219507	3.127105
Phascolarctos_cinereus	2.884455	3.0789623596587	9.48000921219507	3.968483
Planigale_ingrami	0.926342	3.0789623596587	9.48000921219507	0.826075
Planigale_maculata	1.155336	3.0789623596587	9.48000921219507	1.041393
Potorous_tridactylus_tridactylus	2.994669	3.0789623596587	9.48000921219507	3.089905
Pseudochirulus_canescens	2.284205	3.0789623596587	9.48000921219507	2.447158
Pseudochirulus_forbesi	2.423901	3.0789623596587	9.48000921219507	2.70757
Sarcophilus_harrisii	2.875351	3.0789623596587	9.48000921219507	3.732394
Sminthopsis_crassicaudata	1.485721	3.0789623596587	9.48000921219507	1.146128
Sminthopsis_leucopus	1.62634	3.0789623596587	9.48000921219507	1.361728
Phalanger_gymnotis	2.940018	3.0789623596587	9.48000921219507	3.451786
Thylacinus_cynocephalus	3.281942	3.0789623596587	9.48000921219507	4.342423
Thylogale_billardierii	3.256237	3.0789623596587	9.48000921219507	3.845098
Thylogale_stigmatica	3.130977	3.0789623596587	9.48000921219507	3.653213
Trichosurus_vulpecula	2.81644	3.0789623596587	9.48000921219507	3.30103
Vombatus_ursinus	3.428021	3.0789623596587	9.48000921219507	4.357935
Wallabia_bicolor	3.412629	3.0789623596587	9.48000921219507	4.198657
Balionycteris_maculata	1.738	3.0789623596587	9.48000921219507	1.158
Casinycteris_argynnis	1.857	3.0789623596587	9.48000921219507	1.428
Chironax_melanocephalus	1.755	3.0789623596587	9.48000921219507	1.248
Cynopterus_brachyotis	1.908	3.0789623596587	9.48000921219507	1.53
Cynopterus_horsfieldii	2.043	3.0789623596587	9.48000921219507	1.773
Cynopterus_sphinx	1.978	3.0789623596587	9.48000921219507	1.713
Dobsonia_inermis	2.271	3.0789623596587	9.48000921219507	2.173
Dobsonia_moluccensis	2.451	3.0789623596587	9.48000921219507	2.543
Dobsonia_praedatrix	2.258	3.0789623596587	9.48000921219507	2.25
Eidolon_helvum	2.412	3.0789623596587	9.48000921219507	2.418
Eonycteris_spelaea	1.99	3.0789623596587	9.48000921219507	1.769
Epomophorus_labiatus	2.058	3.0789623596587	9.48000921219507	1.806
Epomops_franqueti	2.204	3.0789623596587	9.48000921219507	2.072
Hypsignathus_monstrosus	2.348	3.0789623596587	9.48000921219507	2.491
Macroglossus_minimus	1.672	3.0789623596587	9.48000921219507	1.164
Megaerops_ecaudatus	1.854	3.0789623596587	9.48000921219507	1.38
Megaloglossus_woermanni	1.809	3.0789623596587	9.48000921219507	1.253
Melonycteris_melanops	1.9	3.0789623596587	9.48000921219507	1.675
Melonycteris_woodfordi	1.825	3.0789623596587	9.48000921219507	1.549
Epomophorus_pusillus	1.755	3.0789623596587	9.48000921219507	1.4
Myonycteris_torquata	1.933	3.0789623596587	9.48000921219507	1.561
Notopteris_macdonaldi	1.985	3.0789623596587	9.48000921219507	1.841
Nyctimene_albiventer	1.836	3.0789623596587	9.48000921219507	1.473
Nyctimene_robinsoni	2.012	3.0789623596587	9.48000921219507	1.673
Nyctimene_vizcaccia	1.863	3.0789623596587	9.48000921219507	1.549
Paranyctimene_raptor	1.795	3.0789623596587	9.48000921219507	1.417
Pteropus_alecto	2.553	3.0789623596587	9.48000921219507	2.775
Pteropus_conspicillatus	2.596	3.0789623596587	9.48000921219507	2.875
Pteropus_hypomelanus	2.453	3.0789623596587	9.48000921219507	2.591
Pteropus_lylei	2.46	3.0789623596587	9.48000921219507	2.497
Pteropus_neohibernicus	2.602	3.0789623596587	9.48000921219507	2.924
Pteropus_poliocephalus	2.554	3.0789623596587	9.48000921219507	2.842
Pteropus_samoensis	2.51	3.0789623596587	9.48000921219507	2.491
Pteropus_scapulatus	2.428	3.0789623596587	9.48000921219507	2.574
Pteropus_temminckii	2.443	3.0789623596587	9.48000921219507	2.398
Pteropus_tonganus	2.485	3.0789623596587	9.48000921219507	2.652
Pteropus_vampyrus	2.647	3.0789623596587	9.48000921219507	3.027
Rousettus_aegyptiacus	2.163	3.0789623596587	9.48000921219507	2.111
Rousettus_amplexicaudatus	2.066	3.0789623596587	9.48000921219507	1.856
Scotonycteris_zenkeri	1.868	3.0789623596587	9.48000921219507	1.328
Sphaerias_blanfordi	1.836	3.0789623596587	9.48000921219507	1.47
Syconycteris_australis	1.725	3.0789623596587	9.48000921219507	1.207
Anoura_caudifer	1.529	3.0789623596587	9.48000921219507	1.025
Anoura_geoffroyi	1.69	3.0789623596587	9.48000921219507	1.204
Ardops_nichollsi	1.558	3.0789623596587	9.48000921219507	1.352
Artibeus_cinereus	1.517	3.0789623596587	9.48000921219507	1.1
Artibeus_concolor	1.638	3.0789623596587	9.48000921219507	1.288
Artibeus_jamaicensis	1.805	3.0789623596587	9.48000921219507	1.613
Artibeus_lituratus	1.9	3.0789623596587	9.48000921219507	1.748
Aselliscus_stoliczkanus	1.104	3.0789623596587	9.48000921219507	0.69
Aselliscus_tricuspidatus	1.021	3.0789623596587	9.48000921219507	0.643
Brachyphylla_cavernarum	1.897	3.0789623596587	9.48000921219507	1.648
Cardioderma_cor	1.509	3.0789623596587	9.48000921219507	1.415
Carollia_perspicillata	1.632	3.0789623596587	9.48000921219507	1.25
Chalinolobus_gouldii	1.246	3.0789623596587	9.48000921219507	1.068
Chalinolobus_morio	1.253	3.0789623596587	9.48000921219507	0.919
Chiroderma_salvini	1.75	3.0789623596587	9.48000921219507	1.417
Chiroderma_trinitatum	1.526	3.0789623596587	9.48000921219507	1.137
Chiroderma_villosum	1.646	3.0789623596587	9.48000921219507	1.394
Choeroniscus_minor	1.538	3.0789623596587	9.48000921219507	0.982
Coleura_afra	1.093	3.0789623596587	9.48000921219507	1.061
Cormura_brevirostris	1.049	3.0789623596587	9.48000921219507	0.914
Craseonycteris_thonglongyai	0.681	3.0789623596587	9.48000921219507	0.408
Desmodus_rotundus	1.627	3.0789623596587	9.48000921219507	1.56
Diphylla_ecaudata	1.613	3.0789623596587	9.48000921219507	1.49
Emballonura_monticola	0.881	3.0789623596587	9.48000921219507	0.724
Emballonura_raffrayana	0.958	3.0789623596587	9.48000921219507	0.771
Eptesicus_brasiliensis	1.076	3.0789623596587	9.48000921219507	0.964
Eptesicus_fuscus_bahamensis	1.294	3.0789623596587	9.48000921219507	1.134
Eumops_auripendulus	1.398	3.0789623596587	9.48000921219507	1.529
Eumops_glaucinus	1.461	3.0789623596587	9.48000921219507	1.562
Furipterus_horrens	0.976	3.0789623596587	9.48000921219507	0.535
Glischropus_tylopus	0.809	3.0789623596587	9.48000921219507	0.69
Glossophaga_longirostris	1.587	3.0789623596587	9.48000921219507	1.053
Glossophaga_soricina	1.497	3.0789623596587	9.48000921219507	0.996
Harpiocephalus_harpia	1.554	3.0789623596587	9.48000921219507	1.13
Hesperoptenus_blanfordi	0.97	3.0789623596587	9.48000921219507	0.863
Hipposideros_armiger	1.759	3.0789623596587	9.48000921219507	1.748
Hipposideros_ater	1.204	3.0789623596587	9.48000921219507	0.839
Hipposideros_caffer	1.303	3.0789623596587	9.48000921219507	1.041
Macronycteris_commersoni	1.679	3.0789623596587	9.48000921219507	1.997
Hipposideros_diadema	1.68	3.0789623596587	9.48000921219507	1.622
Hipposideros_fulvus	1.179	3.0789623596587	9.48000921219507	0.845
Hipposideros_lankadiva	1.688	3.0789623596587	9.48000921219507	1.686
Hipposideros_larvatus	1.447	3.0789623596587	9.48000921219507	1.312
Hipposideros_ridleyi	1.272	3.0789623596587	9.48000921219507	0.982
Hipposideros_speoris	1.225	3.0789623596587	9.48000921219507	1.061
Hipposideros_turpis	1.615	3.0789623596587	9.48000921219507	1.542
Ia_io	1.673	3.0789623596587	9.48000921219507	1.727
Kerivoula_papillosa	1.56	3.0789623596587	9.48000921219507	1.004
Lasiurus_borealis	0.954	3.0789623596587	9.48000921219507	0.892
Leptonycteris_curasoae	1.679	3.0789623596587	9.48000921219507	1.389
Leptonycteris_nivalis	1.625	3.0789623596587	9.48000921219507	1.358
Lonchophylla_mordax	1.584	3.0789623596587	9.48000921219507	1.029
Hsunycteris_thomasi	1.52	3.0789623596587	9.48000921219507	0.839
Lophostoma_silvicolum	1.433	3.0789623596587	9.48000921219507	1.509
Macroderma_gigas	1.838	3.0789623596587	9.48000921219507	2.078
Macrophyllum_macrophyllum	1.292	3.0789623596587	9.48000921219507	0.934
Megaderma_lyra	1.609	3.0789623596587	9.48000921219507	1.587
Megaderma_spasma	1.493	3.0789623596587	9.48000921219507	1.354
Mesophylla_macconnelli	1.42	3.0789623596587	9.48000921219507	0.875
Micronycteris_brachyotis	1.354	3.0789623596587	9.48000921219507	1.167
Micronycteris_megalotis	1.149	3.0789623596587	9.48000921219507	0.813
Micronycteris_minuta	1.238	3.0789623596587	9.48000921219507	0.839
Micronycteris_schmidtorum	1.158	3.0789623596587	9.48000921219507	0.892
Gardnerycteris_crenulatum	1.26	3.0789623596587	9.48000921219507	1.072
Miniopterus_australis	1.176	3.0789623596587	9.48000921219507	0.851
Miniopterus_inflatus	1.279	3.0789623596587	9.48000921219507	1.173
Miniopterus_magnater	1.305	3.0789623596587	9.48000921219507	1.176
Miniopterus_pusillus	1.176	3.0789623596587	9.48000921219507	0.934
Miniopterus_tristis	1.265	3.0789623596587	9.48000921219507	1.193
Molossus_molossus	1.182	3.0789623596587	9.48000921219507	1.137
Molossus_rufus	1.387	3.0789623596587	9.48000921219507	1.526
Monophyllus_plethodon	1.535	3.0789623596587	9.48000921219507	1.176
Mormoops_megalophylla	1.439	3.0789623596587	9.48000921219507	1.196
Murina_cyclotis	1.201	3.0789623596587	9.48000921219507	0.851
Murina_huttoni	1.233	3.0789623596587	9.48000921219507	0.944
Myotis_adversus	1.121	3.0789623596587	9.48000921219507	1.049
Myotis_albescens	0.88	3.0789623596587	9.48000921219507	0.602
Myotis_annectans	1.248	3.0789623596587	9.48000921219507	0.991
Myotis_bechsteinii	1.407	3.0789623596587	9.48000921219507	0.978
Myotis_bocagii	0.989	3.0789623596587	9.48000921219507	0.845
Myotis_dasycneme	1.401	3.0789623596587	9.48000921219507	1.176
Myotis_myotis	1.551	3.0789623596587	9.48000921219507	1.408
Myotis_nigricans	0.956	3.0789623596587	9.48000921219507	0.663
Myotis_siligorensis	0.854	3.0789623596587	9.48000921219507	0.539
Natalus_tumidirostris	1.433	3.0789623596587	9.48000921219507	0.839
Noctilio_albiventris	1.332	3.0789623596587	9.48000921219507	1.515
Noctilio_leporinus	1.703	3.0789623596587	9.48000921219507	1.763
Nyctalus_noctula	1.283	3.0789623596587	9.48000921219507	1.431
Nycteris_arge	1.253	3.0789623596587	9.48000921219507	1.025
Nycteris_grandis	1.559	3.0789623596587	9.48000921219507	1.474
Nycteris_hispida	1.238	3.0789623596587	9.48000921219507	0.892
Nycteris_javanica	1.436	3.0789623596587	9.48000921219507	1.265
Nycteris_macrotis	1.267	3.0789623596587	9.48000921219507	1.161
Nycteris_thebaica	1.241	3.0789623596587	9.48000921219507	0.949
Nyctophilus_geoffroyi	1.09	3.0789623596587	9.48000921219507	0.857
Otomops_martiensseni	1.486	3.0789623596587	9.48000921219507	1.618
Peropteryx_macrotis	0.91	3.0789623596587	9.48000921219507	0.748
Phylloderma_stenops	1.962	3.0789623596587	9.48000921219507	1.664
Phyllostomus_discolor	1.832	3.0789623596587	9.48000921219507	1.563
Phyllostomus_elongatus	1.691	3.0789623596587	9.48000921219507	1.652
Phyllostomus_hastatus	1.902	3.0789623596587	9.48000921219507	1.963
Pipistrellus_javanicus	0.918	3.0789623596587	9.48000921219507	0.653
Pipistrellus_tenuis	0.797	3.0789623596587	9.48000921219507	0.591
Afronycteris_nana	0.797	3.0789623596587	9.48000921219507	0.591
Hypsugo_pulveratus	0.999	3.0789623596587	9.48000921219507	0.724
Perimyotis_subflavus	1.037	3.0789623596587	9.48000921219507	0.724
Pteronotus_gymnonotus	1.283	3.0789623596587	9.48000921219507	1.134
Pteronotus_parnellii_mesoamericanus	1.539	3.0789623596587	9.48000921219507	1.305
Pteronotus_personatus	1.111	3.0789623596587	9.48000921219507	0.908
Rhinolophus_cornutus	1.161	3.0789623596587	9.48000921219507	0.82
Rhinolophus_eloquens	1.459	3.0789623596587	9.48000921219507	1.281
Rhinolophus_hipposideros	1.134	3.0789623596587	9.48000921219507	0.663
Rhinolophus_landeri	1.281	3.0789623596587	9.48000921219507	0.987
Rhinolophus_lepidus	1.104	3.0789623596587	9.48000921219507	0.778
Rhinolophus_luctus	1.534	3.0789623596587	9.48000921219507	1.516
Rhinolophus_macrotis	1.286	3.0789623596587	9.48000921219507	0.799
Rhinolophus_malayanus	1.155	3.0789623596587	9.48000921219507	0.806
Rhinolophus_megaphyllus	1.322	3.0789623596587	9.48000921219507	0.991
Rhinolophus_pearsonii	1.405	3.0789623596587	9.48000921219507	1.143
Rhinolophus_pusillus	1.097	3.0789623596587	9.48000921219507	0.672
Rhinolophus_trifoliatus	1.362	3.0789623596587	9.48000921219507	1.164
Rhinolophus_yunnanensis	1.515	3.0789623596587	9.48000921219507	1.371
Rhinonicteris_aurantia	1.283	3.0789623596587	9.48000921219507	0.934
Rhinophylla_pumilio	1.481	3.0789623596587	9.48000921219507	0.949
Rhinopoma_hardwickii	1.207	3.0789623596587	9.48000921219507	1.111
Rhinopoma_microphyllum	1.412	3.0789623596587	9.48000921219507	1.468
Rhogeessa_parvula	0.812	3.0789623596587	9.48000921219507	0.653
Rhynchonycteris_naso	0.739	3.0789623596587	9.48000921219507	0.58
Saccopteryx_bilineata	1.086	3.0789623596587	9.48000921219507	0.924
Saccopteryx_canescens	0.832	3.0789623596587	9.48000921219507	0.531
Saccopteryx_leptura	0.937	3.0789623596587	9.48000921219507	0.708
Scotomanes_ornatus	1.438	3.0789623596587	9.48000921219507	1.338
Scotophilus_dinganii	1.356	3.0789623596587	9.48000921219507	1.386
Scotophilus_kuhlii	1.27	3.0789623596587	9.48000921219507	1.31
Sphaeronycteris_toxophyllum	1.509	3.0789623596587	9.48000921219507	1.265
Sturnira_lilium	1.66	3.0789623596587	9.48000921219507	1.305
Sturnira_ludovici	1.694	3.0789623596587	9.48000921219507	1.413
Sturnira_tildae	1.733	3.0789623596587	9.48000921219507	1.387
Tadarida_aegyptiaca	1.36	3.0789623596587	9.48000921219507	1.248
Taphozous_australis	1.407	3.0789623596587	9.48000921219507	1.38
Taphozous_hildegardeae	1.405	3.0789623596587	9.48000921219507	1.438
Taphozous_mauritianus	1.405	3.0789623596587	9.48000921219507	1.462
Taphozous_melanopogon	1.375	3.0789623596587	9.48000921219507	1.356
Tonatia_bidens	1.62	3.0789623596587	9.48000921219507	1.468
Lophostoma_schulzi	1.207	3.0789623596587	9.48000921219507	1.328
Trachops_cirrhosus	1.704	3.0789623596587	9.48000921219507	1.567
Triaenops_persicus	1.241	3.0789623596587	9.48000921219507	1.137
Tylonycteris_pachypus	0.643	3.0789623596587	9.48000921219507	0.681
Tylonycteris_robustula	0.793	3.0789623596587	9.48000921219507	0.857
Uroderma_bilobatum	1.63	3.0789623596587	9.48000921219507	1.21
Vampyressa_pusilla	1.438	3.0789623596587	9.48000921219507	0.934
Vampyrum_spectrum	2.043	3.0789623596587	9.48000921219507	2.238
Alouatta_seniculus	3.121	3.0789623596587	9.48000921219507	3.806
Aotus_trivirgatus	2.732	3.0789623596587	9.48000921219507	2.919
Ateles_geoffroyi	3.135	3.0789623596587	9.48000921219507	3.903
Avahi_laniger	2.721	3.0789623596587	9.48000921219507	3.109
Plecturocebus_moloch	2.769	3.0789623596587	9.48000921219507	2.954
Callimico_goeldii	2.449	3.0789623596587	9.48000921219507	2.681
Callithrix_jacchus	2.344	3.0789623596587	9.48000921219507	2.447
Cebuella_pygmaea	2.124	3.0789623596587	9.48000921219507	2.146
Cebus_albifrons	2.949	3.0789623596587	9.48000921219507	3.491
Cercopithecus_ascanius	3.075	3.0789623596587	9.48000921219507	3.531
Cercopithecus_mitis_mitis	3.135	3.0789623596587	9.48000921219507	3.799
Cheirogaleus_major	2.54	3.0789623596587	9.48000921219507	2.653
Cheirogaleus_medius	2.241	3.0789623596587	9.48000921219507	2.248
Daubentonia_madagascariensis	3.249	3.0789623596587	9.48000921219507	3.447
Erythrocebus_patas	3.202	3.0789623596587	9.48000921219507	3.892
Eulemur_fulvus_fulvus	2.876	3.0789623596587	9.48000921219507	3.146
Galago_senegalensis	2.417	3.0789623596587	9.48000921219507	2.27
Galagoides_demidoff	2.182	3.0789623596587	9.48000921219507	1.908
Gorilla_gorilla	3.68	3.0789623596587	9.48000921219507	5.021
Homo_sapiens	4.012	3.0789623596587	9.48000921219507	4.813
Hylobates_lar	3.427	3.0789623596587	9.48000921219507	3.756
Indri_indri	3.182	3.0789623596587	9.48000921219507	3.796
Lagothrix_lagotricha	3.2	3.0789623596587	9.48000921219507	3.716
Lepilemur_mustelinus	2.593	3.0789623596587	9.48000921219507	2.961
Lophocebus_albigena	3.172	3.0789623596587	9.48000921219507	3.898
Loris_tardigradus_tardigradus	2.281	3.0789623596587	9.48000921219507	2.508
Macaca_mulatta	3.131	3.0789623596587	9.48000921219507	3.892
Microcebus_murinus	2	3.0789623596587	9.48000921219507	1.732
Miopithecus_talapoin	2.848	3.0789623596587	9.48000921219507	3.079
Nasalis_larvatus	3.294	3.0789623596587	9.48000921219507	4.146
Nycticebus_coucang	2.753	3.0789623596587	9.48000921219507	2.903
Otolemur_crassicaudatus	2.664	3.0789623596587	9.48000921219507	2.929
Pan_troglodytes	3.577	3.0789623596587	9.48000921219507	4.663
Papio_cynocephalus	3.531	3.0789623596587	9.48000921219507	4.398
Perodicticus_potto	2.783	3.0789623596587	9.48000921219507	3.061
Pithecia_monachus	2.921	3.0789623596587	9.48000921219507	3.176
Piliocolobus_badius	3.223	3.0789623596587	9.48000921219507	3.845
Propithecus_verreauxi	3.018	3.0789623596587	9.48000921219507	3.542
Pygathrix_nemaeus	3.361	3.0789623596587	9.48000921219507	3.875
Saguinus_midas	2.447	3.0789623596587	9.48000921219507	2.531
Saguinus_oedipus	2.418	3.0789623596587	9.48000921219507	2.58
Saimiri_sciureus_sciureus	2.547	3.0789623596587	9.48000921219507	2.82
Tarsius_tarsier	2.185	3.0789623596587	9.48000921219507	2.097
Varecia_variegata	3.147	3.0789623596587	9.48000921219507	3.477
