Species_TTOL	HIP	rest_of_brain	rest_of_brain2	BOD
Anourosorex_squamipes	1.531	3.0789623596587	9.48000921219507	1.307
Atelerix_algirus	2.365	3.0789623596587	9.48000921219507	2.867
Blarina_brevicauda	1.65	3.0789623596587	9.48000921219507	1.267
Chrysochloris_asiatica	1.822	3.0789623596587	9.48000921219507	1.69
Chrysochloris_stuhlmanni	1.769	3.0789623596587	9.48000921219507	1.626
Crocidura_attenuata	1.286	3.0789623596587	9.48000921219507	0.968
Crocidura_flavescens	1.583	3.0789623596587	9.48000921219507	1.467
Crocidura_hildegardeae	1.25	3.0789623596587	9.48000921219507	0.996
Crocidura_denti	1.35	3.0789623596587	9.48000921219507	1.079
Crocidura_russula	1.253	3.0789623596587	9.48000921219507	1.049
Crocidura_suaveolens	1.236	3.0789623596587	9.48000921219507	1.013
Cryptotis_parvus	1.418	3.0789623596587	9.48000921219507	0.991226075692495
Desmana_moschata	2.427	3.0789623596587	9.48000921219507	2.646
Echinops_telfairi	1.669	3.0789623596587	9.48000921219507	1.942
Echinosorex_gymnura	2.785	3.0789623596587	9.48000921219507	2.921
Erinaceus_europaeus	2.376	3.0789623596587	9.48000921219507	2.929
Euroscaptor_micrura	1.829	3.0789623596587	9.48000921219507	1.617
Galemys_pyrenaicus	2.036	3.0789623596587	9.48000921219507	1.778
Geogale_aurita	1.037	3.0789623596587	9.48000921219507	1
Hemicentetes_semispinosus	1.8	3.0789623596587	9.48000921219507	2.062
Hemiechinus_auritus	2.108	3.0789623596587	9.48000921219507	2.371
Hylomys_suillus	2.104	3.0789623596587	9.48000921219507	1.756
Limnogale_mergulus	1.893	3.0789623596587	9.48000921219507	1.964
Microgale_dobsoni	1.824	3.0789623596587	9.48000921219507	1.504
Microgale_talazaci	1.971	3.0789623596587	9.48000921219507	1.683
Micropotamogale_lamottei	1.89	3.0789623596587	9.48000921219507	1.808
Micropotamogale_ruwenzorii	1.99	3.0789623596587	9.48000921219507	1.986
Myosorex_sclateri	1.529	3.0789623596587	9.48000921219507	1.23
