Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-VR-002.txt
Log File Name:                   MED_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3292896384
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	615.070613	1	-0.283018208008	0.715845065633	-0.020106574565	0.202704774608	0.000548551978	0.000010025935	0.980876534244	N\A	0.058986208782	0.007178380976	0.028896735515	0.004582053034	55	32	
2200000	593.070363	1	-0.620940092705	0.947416789264	-0.051697840426	0.129283151989	0.015324555955	0.000013011631	0.978775229084	N\A	0.054825518310	0.005757181527	0.029667903948	0.004440500796	59	25	
2250000	608.788049	1	-0.490783901919	0.812828683669	-0.033232481508	0.193751460486	0.002638184021	0.000009590728	0.982650070597	N\A	0.057907854833	0.007141711335	0.028856211410	0.004365566007	55	32	
2300000	618.581110	1	-0.375675582359	0.756089151826	-0.034657680186	0.258722030679	-0.002046120187	0.000005907577	0.982475770136	N\A	0.062111988488	0.007416073849	0.030241135771	0.004708032932	44	17	
2350000	596.011696	1	-0.460970600903	0.824533342662	-0.035370567232	0.187785576415	0.003588478057	0.000003714266	0.981547421984	N\A	0.057149347161	0.007243246916	0.028452943608	0.004905286640	53	31	
2400000	613.115370	1	-0.627440552495	0.929897605352	-0.052171922842	0.169857038582	0.009241662179	0.000005603334	0.982175312679	N\A	0.056863370625	0.006859412078	0.028418390383	0.004448780191	33	28	
2450000	590.956006	1	-0.202813663007	0.652343601675	-0.026409691554	0.300286541231	-0.006702507798	0.000010973661	0.980711041735	N\A	0.064764991387	0.007367042286	0.032420710941	0.004807529237	52	31	
2500000	606.766764	1	-0.633685958092	0.931483439480	-0.045326189395	0.155598296572	0.004824499975	0.000010108464	0.984603923299	N\A	0.064591257013	0.007985392438	0.030602311762	0.005127452777	50	30	
2550000	601.178006	1	-0.212106824639	0.643202673488	-0.015285962652	0.273910765753	-0.009703134247	0.000017623828	0.981410776161	N\A	0.074788239544	0.009649142827	0.033510127156	0.005152857822	41	31	
2600000	618.232248	1	-0.493396483379	0.807030107865	-0.037837951236	0.215003014717	0.001987166663	0.000024240038	0.983111938727	N\A	0.058385901740	0.006402260188	0.029704995485	0.004440682526	51	32	
2650000	592.603310	1	-0.264560226269	0.689164785236	-0.022715457165	0.250599786862	-0.003982407902	0.000075547212	0.975913354833	N\A	0.074827249738	0.009047924660	0.035954292933	0.005605743045	48	30	
2700000	600.293797	1	-0.465336182675	0.826127701712	-0.037406141230	0.179990565604	0.007682145910	0.000067219778	0.981733424998	N\A	0.064365650187	0.007775988203	0.031532727306	0.004928291395	40	33	
2750000	591.105328	1	-0.493895054532	0.849557110710	-0.047298422586	0.202160965897	0.007347984012	0.000027998492	0.980815224979	N\A	0.059120329321	0.007038015776	0.029525150490	0.004563987483	50	24	
2800000	586.434237	1	-0.635828794194	0.937699303999	-0.044237841387	0.166634297873	0.001851610313	0.000065254984	0.983707368881	N\A	0.063920289027	0.007728881847	0.030610213139	0.004678326420	52	28	
2850000	600.562812	1	-0.415665303459	0.777660352584	-0.034336987684	0.251034507029	-0.005508721637	0.000066616632	0.983940039602	N\A	0.063273595674	0.007751725243	0.030498803744	0.004878688526	38	22	
2900000	610.623858	1	-0.437648249568	0.810381954427	-0.035208462569	0.196454332446	0.002486778827	0.000087895933	0.982292163485	N\A	0.059923237477	0.007794726613	0.029108663273	0.004888920157	66	21	
2950000	592.877989	1	-0.493354389492	0.825420093007	-0.035273014503	0.217732131823	-0.003997440810	0.000071179198	0.979506435194	N\A	0.063464158440	0.007824529451	0.031122321220	0.004824528533	58	30	
3000000	589.242519	1	-0.351240834145	0.715577683478	-0.019816432121	0.235084810838	-0.003296845867	0.000052953848	0.981828692376	N\A	0.066502258430	0.009901615709	0.029177819430	0.005476466168	48	31	
3050000	586.454541	1	-0.329420861632	0.744061063276	-0.027857973594	0.209088688632	0.002384907909	0.000055054581	0.977317840960	N\A	0.064096748119	0.007544135376	0.032469775957	0.004957420249	56	29	
3100000	606.195839	1	-0.347319949139	0.724368544543	-0.026730465868	0.272417380783	-0.009041070243	0.000075094869	0.981177246986	N\A	0.056283331052	0.007256615188	0.027739606895	0.004529451900	36	29	
3150000	583.168223	1	-0.262511050087	0.653509957832	-0.014930793754	0.268537876216	-0.009135159768	0.000105562985	0.979895532735	N\A	0.067758161109	0.008770819748	0.032231022538	0.005267954555	54	31	
3200000	612.317014	1	-0.462155416436	0.832424032187	-0.044548447069	0.208331856810	0.006689519934	0.000086862616	0.983760153909	N\A	0.068982627056	0.008574297385	0.033072430470	0.005329855312	48	35	
3250000	588.774225	1	-0.668548782530	0.971242433750	-0.058817632824	0.158579294108	0.010449023071	0.000068035658	0.981242754648	N\A	0.072071451314	0.009265531780	0.033305193320	0.005324284172	52	30	
3300000	594.520938	1	-0.420024696611	0.772811470232	-0.032146252503	0.234442947348	-0.000109746073	0.000069595760	0.984109949315	N\A	0.062295449284	0.007824166722	0.030335417408	0.004850841396	42	32	
3350000	609.791825	1	-0.384411413094	0.782052797198	-0.037048709631	0.198706805501	0.009869443787	0.000049349574	0.983173810782	N\A	0.067362593066	0.007766128117	0.033232093298	0.005039125190	46	23	
3400000	604.243645	1	-0.398761493164	0.746701717494	-0.024624628599	0.240224003233	-0.007477700211	0.000094539146	0.982346811610	N\A	0.064458180152	0.008338729521	0.029498545767	0.004951292219	53	27	
3450000	598.273826	1	-0.356438149628	0.764123338106	-0.032332975109	0.227170847281	-0.000885340482	0.000105493051	0.979106390878	N\A	0.071899371330	0.009120148334	0.034124206022	0.005647710003	38	30	
3500000	602.755516	1	-0.415477701211	0.820088683759	-0.046399174513	0.204929318918	0.012719458672	0.000051971986	0.981726211980	N\A	0.066018478543	0.007750844023	0.033928785834	0.005296491539	46	30	
3550000	592.822487	1	-0.744782136747	1.028729936125	-0.057675397048	0.109620063267	0.013745035018	0.000054006061	0.978747160141	N\A	0.061789576353	0.007413866421	0.031824367133	0.005010025471	48	32	
3600000	600.450785	1	-0.340054376776	0.786587133582	-0.039731376138	0.216511939941	0.006708098220	0.000071409072	0.979601084079	N\A	0.068832153258	0.008269971241	0.032904537188	0.005101035743	50	31	
3650000	605.469989	1	-0.325610260968	0.706214194053	-0.023501831768	0.259005473069	-0.007919530619	0.000027548647	0.981880673325	N\A	0.062339771931	0.007226207466	0.031749985986	0.004956827041	53	27	
3700000	601.723801	1	-0.487686029172	0.834010478823	-0.036955553110	0.200708929583	-0.000684239657	0.000060958243	0.982332716568	N\A	0.062245980504	0.007618330315	0.030846542158	0.004888028246	44	21	
3750000	608.401608	1	-0.556294123579	0.863984804182	-0.039614767601	0.174497374943	0.005176614210	0.000066980331	0.980778740306	N\A	0.067057923100	0.008314316474	0.032701547174	0.005278038416	42	25	
3800000	596.505770	1	-0.507975630569	0.860648067776	-0.043918888921	0.198472816654	0.002879642209	0.000066475741	0.979467199484	N\A	0.063070896839	0.007700889546	0.031232516336	0.004999959922	34	28	
3850000	598.215271	1	-0.508645214731	0.849608275650	-0.043294053149	0.203706621198	0.002371623661	0.000093802951	0.980083459612	N\A	0.071286496873	0.008939933009	0.032935320459	0.005358853993	50	26	
3900000	600.021805	1	-0.416158986337	0.798859762125	-0.033198468496	0.180871649681	0.007031749076	0.000053352215	0.978623529101	N\A	0.059331126800	0.007576941638	0.028753883626	0.004728216656	41	24	
3950000	587.387135	1	-0.558434409203	0.877376942548	-0.040336869655	0.164317617184	0.006928202891	0.000071298761	0.983534215523	N\A	0.062604793685	0.007905384487	0.030543449872	0.005131341312	44	32	
4000000	587.932378	1	-0.574275478717	0.919129872979	-0.049876758314	0.136303824555	0.016192169091	0.000052748561	0.980249059296	N\A	0.059048545327	0.007146922356	0.029946447561	0.004799002329	58	27	
4050000	599.200817	1	-0.641648851678	0.936673908687	-0.051056153267	0.170729991286	0.007173627925	0.000053671683	0.986195877098	N\A	0.066970441333	0.009575542905	0.027646777023	0.005300599498	49	29	
4100000	603.330524	1	-0.564710036262	0.863888622929	-0.037488395141	0.184421138641	0.002649284396	0.000082026687	0.985207385669	N\A	0.074988916979	0.011227876055	0.030488249793	0.006086116980	51	29	
4150000	602.074651	1	-0.369709771252	0.763855412095	-0.036135212280	0.236554722770	0.003672212108	0.000051845491	0.981910895534	N\A	0.058398613769	0.007490516234	0.028698734792	0.004784137728	50	33	
4200000	605.512187	1	-0.367934173517	0.775834690275	-0.033059397030	0.194265791140	0.006529698844	0.000048824316	0.981593204135	N\A	0.065270074031	0.007475715308	0.032824600422	0.004714088930	53	28	
4250000	601.123027	1	-0.437492302981	0.793990806658	-0.037384995692	0.228466290505	0.003223723141	0.000053586303	0.981922622843	N\A	0.067879443582	0.008054741082	0.033662634677	0.005103004009	34	26	
4300000	607.079544	1	-0.461630777119	0.803314925914	-0.032365863775	0.215962942374	-0.000410798797	0.000048218273	0.979808396470	N\A	0.059250429312	0.007133744641	0.030173194067	0.004873003090	53	23	
4350000	597.303706	1	-0.492151099584	0.846560880605	-0.040182687556	0.168995101627	0.007568394864	0.000049130779	0.984877302265	N\A	0.052792599483	0.006300074286	0.027572586394	0.004638482474	35	28	
4400000	604.741326	1	-0.584270834351	0.914266638545	-0.045840577979	0.154871076423	0.007943973794	0.000044747653	0.982130218690	N\A	0.049388140524	0.006015357500	0.026121505363	0.004139684778	51	26	
4450000	612.438091	1	-0.638349772940	0.930647126382	-0.044764265358	0.154747797026	0.005128237439	0.000073297314	0.980469370181	N\A	0.061761721559	0.007735928596	0.029725171282	0.004718037435	61	21	
4500000	609.363797	1	-0.509707866760	0.866191005149	-0.044237638873	0.176838876659	0.006757707414	0.000058468505	0.983539539853	N\A	0.057964512663	0.007018647972	0.029010629494	0.004430164979	47	25	
4550000	586.146643	1	-0.375781156475	0.737435053443	-0.022430717061	0.247568471859	-0.009782416616	0.000123784531	0.981410634654	N\A	0.069145407758	0.009190716718	0.032300024732	0.005721749593	53	22	
4600000	599.704899	1	-0.425310001707	0.812118274167	-0.029689147123	0.168152681791	0.002336043740	0.000076420210	0.979219800523	N\A	0.064489176836	0.007905335144	0.032463900175	0.005072638251	43	27	
4650000	587.448962	1	-0.054122596288	0.555261917257	-0.008223033687	0.300787785368	-0.009622005094	0.000101208033	0.981877902008	N\A	0.070002918457	0.008954499496	0.032451476487	0.005476542533	49	30	
4700000	613.489710	1	-0.419617409653	0.782115105735	-0.024599735689	0.187243144323	-0.001424144494	0.000074505995	0.980145306857	N\A	0.063504646615	0.008365829444	0.030169908091	0.005034219947	40	21	
4750000	586.332537	1	-0.489542060958	0.875331214614	-0.040496378992	0.126432440318	0.010798999596	0.000084382267	0.976561429377	N\A	0.082974581191	0.011778078744	0.035782022031	0.006497204899	54	22	
4800000	597.053442	1	-0.242544032890	0.653334897976	-0.009637826489	0.246132720291	-0.008147284483	0.000150528464	0.980827564214	N\A	0.079416796874	0.011050475075	0.033724033033	0.006132940954	54	23	
4850000	597.569670	1	-0.404188609766	0.780810974983	-0.029768115708	0.201915919148	-0.000676858971	0.000054943053	0.978521382833	N\A	0.066915800304	0.007694764299	0.033357849484	0.004935282535	39	21	
4900000	606.252381	1	-0.464693392518	0.823447576922	-0.037787176368	0.198038341853	0.004337000333	0.000064837421	0.982149301431	N\A	0.070931083857	0.009019530243	0.032531538257	0.005241754120	36	34	
4950000	583.908013	1	-0.500422965059	0.865295394489	-0.042821625249	0.179004675961	0.006705437358	0.000052615737	0.978729797612	N\A	0.060583306104	0.007351806821	0.029868451047	0.004916471386	48	21	
5000000	596.842578	1	-0.565959496940	0.860868834399	-0.037102436054	0.173245018511	0.001919891011	0.000082514651	0.982493634353	N\A	0.061767923825	0.008167493927	0.029100160700	0.005016137899	47	28	
5050000	585.347397	1	-0.478849874421	0.832521348271	-0.035464047546	0.161412872580	0.009877464760	0.000076807465	0.978628806849	N\A	0.073842358945	0.010241356133	0.032417920031	0.005691007232	42	28	
5100000	590.569556	1	-0.377755231042	0.777782046834	-0.035489117044	0.208544579433	0.006126087957	0.000072384145	0.980925197334	N\A	0.053925689646	0.006594730957	0.028001511135	0.004479864790	51	26	
5150000	608.135181	1	-0.497768312152	0.868702974320	-0.049138938735	0.200755660777	0.008397909556	0.000032550080	0.981240542631	N\A	0.058202086090	0.006531901183	0.029985198699	0.004488569002	52	32	
5200000	586.971818	1	-0.424092825416	0.791590340380	-0.033972870262	0.204168072564	0.004207046152	0.000051346702	0.980431828145	N\A	0.066665637685	0.007763537426	0.034393387812	0.005167898275	51	24	
5250000	606.891816	1	-0.490853433292	0.841345147991	-0.042444222909	0.200288878140	0.005841382263	0.000073284918	0.982618822984	N\A	0.064593538402	0.008225590927	0.030218402499	0.004987282483	43	33	
5300000	596.677693	1	-0.432099477500	0.806326945378	-0.034507163716	0.192682703329	0.002448172457	0.000049613006	0.979704839017	N\A	0.071870767351	0.010300524878	0.030928693942	0.005586598324	49	27	
5350000	589.997899	1	-0.252553154351	0.676103586111	-0.019246221789	0.240813936712	-0.002971532028	0.000065732676	0.980425747487	N\A	0.068694846118	0.008697326952	0.032928919724	0.005337400293	41	26	
5400000	595.093288	1	-0.416168220765	0.783072189026	-0.028221804163	0.211913829853	-0.003080813473	0.000064316353	0.978879586796	N\A	0.065509086880	0.008468876773	0.031623683740	0.005401721216	46	39	
5450000	618.844348	1	-0.390670389821	0.791062901517	-0.034353153668	0.204246296815	0.002547398541	0.000043902017	0.980166763130	N\A	0.065249539701	0.007405622086	0.032219697854	0.004889134656	51	20	
5500000	591.739783	1	-0.399488044054	0.777211121560	-0.033129812452	0.218199038808	-0.000391628888	0.000068099876	0.978627914139	N\A	0.066230828154	0.008016995368	0.031547594261	0.004745983929	44	26	
5550000	598.916848	1	-0.638398441167	0.934547103560	-0.051701345708	0.178609275974	0.007377003689	0.000061835378	0.979379786840	N\A	0.061753052609	0.007555566425	0.030967049535	0.005017260605	44	36	
5600000	603.155952	1	-0.205830764339	0.632566747337	-0.016043216716	0.310302720870	-0.014922811170	0.000056835692	0.987113676500	N\A	0.067657578566	0.008382721312	0.031305740850	0.005087895297	50	26	
5650000	604.283496	1	-0.268309803717	0.711172989448	-0.024278151349	0.239006828043	-0.005225975295	0.000012708407	0.981343062096	N\A	0.059104578603	0.007270951893	0.029759811084	0.004911465701	51	35	
5700000	581.063888	1	-0.289682829447	0.691924680242	-0.018953046928	0.257668329044	-0.009099009239	0.000013571982	0.977208434502	N\A	0.072398209694	0.008438414641	0.036110065737	0.005448777732	44	29	
5750000	603.856885	1	-0.574176938512	0.904854603230	-0.042391314992	0.162525571666	0.003225880700	0.000011554008	0.983099817758	N\A	0.060154319526	0.007494962418	0.028718980960	0.004383154366	50	30	
5800000	607.814300	1	-0.244162925659	0.669624767631	-0.013645582349	0.238274292965	-0.006551914283	0.000002434744	0.981725638881	N\A	0.068451909821	0.009744895988	0.030596666879	0.005626327113	52	36	
5850000	612.280576	1	-0.505629573895	0.876315554938	-0.042386563695	0.156572159329	0.009507107769	0.000004732957	0.982175165970	N\A	0.053650904563	0.006976130214	0.026067866376	0.004625581976	45	32	
5900000	609.351800	1	-0.474152754631	0.810967056819	-0.035097858284	0.209033106946	-0.000368211409	0.000002897872	0.987673265143	N\A	0.051244756793	0.006715000927	0.021748980794	0.004333498102	44	34	
5950000	604.389671	1	-0.440963983792	0.804672702584	-0.023825130754	0.164260219085	0.002077664391	0.000022272616	0.982455055176	N\A	0.063106392921	0.009274717667	0.028721348846	0.005682867005	48	30	
6000000	605.572840	1	-0.495274968304	0.853782760556	-0.038157356292	0.180940878544	0.003572024446	0.000007312631	0.980926559137	N\A	0.066968738810	0.009028344543	0.029943938071	0.005164487051	49	29	
6050000	605.311989	1	-0.464155640643	0.833501708096	-0.039396782056	0.200254217186	0.001932533816	0.000005281755	0.982556429584	N\A	0.057299712078	0.006595519478	0.029286519375	0.004437960015	44	34	
6100000	597.880710	1	-0.715108212990	0.991016100233	-0.050925599379	0.117897704929	0.010677154002	0.000026300294	0.981339084451	N\A	0.062311065962	0.007807770998	0.030299710032	0.005038259668	55	29	
6150000	598.919820	1	-0.632813371618	0.957952946773	-0.053317655349	0.146101263643	0.010715182593	0.000046674408	0.979289180949	N\A	0.055098816416	0.006718706669	0.029039269112	0.004745697495	46	32	
6200000	596.938061	1	-0.276423883908	0.684356931355	-0.027031603520	0.279646064637	-0.005272670754	0.000054676624	0.980290096406	N\A	0.059218872196	0.006281657607	0.030537202679	0.004351681366	52	33	
