Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m5-glob-006.txt
Log File Name:                   SEP_d1_m5-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1803859558
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m5-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	569.839782	1	-1.759491219778	1.019579165517	-0.017745638450	0.000110337742	0.998789683872	N\A	0.002638985389	0.001456213475	35	5	-0.150261336866	Global Trend	
1050000	556.019004	1	-1.723742150531	1.027636128886	-0.017756102195	0.000046138773	0.993071412479	N\A	0.006177124137	0.001502666376	42	2	0.016753698320	Global Trend	
1100000	539.113199	1	-1.676412307735	1.006727463194	-0.019168993181	0.000070086124	0.983203961012	N\A	0.013068357407	0.002485087631	35	1	-0.012087514650	Global Trend	
1150000	569.341943	1	-1.718343247079	1.019578612678	-0.016012656885	0.000062088350	0.993587341500	N\A	0.006303016687	0.001548010412	38	3	-0.018938111282	Global Trend	
1200000	554.588216	1	-1.717600937484	1.021383124344	-0.018009610368	0.000052651841	0.980348218854	N\A	0.019475445943	0.003151790058	43	3	0.005421148299	Global Trend	
1250000	547.498846	1	-1.631107316393	1.007570701324	-0.015862957442	0.000065052570	0.997673263095	N\A	0.003670158235	0.001549719361	43	2	-0.047383131972	Global Trend	
1300000	551.709711	1	-1.698392796172	1.015569373387	-0.015441895498	0.000061110509	0.999968071088	N\A	0.001453072058	0.001399174169	35	5	-0.373380380741	Global Trend	
1350000	553.411408	1	-1.728296716689	1.016130625347	-0.014516346974	0.000086123146	0.995620605037	N\A	0.004783695424	0.001496425624	28	3	0.037141878293	Global Trend	
1400000	544.828322	1	-1.723624711720	1.028354836561	-0.022569724167	0.000068762049	0.974734293823	N\A	0.025278538733	0.003873909631	37	2	0.004037214766	Global Trend	
1450000	550.487884	1	-1.921939049989	1.194950297870	-0.048116393438	0.000038164771	0.978650977139	N\A	0.031049419745	0.004869824109	37	2	0.001510394503	Global Trend	
1500000	562.117115	1	-1.703864503682	1.098406776250	-0.027644667291	0.000057990545	0.979638731905	N\A	0.014196513042	0.002343653348	25	0	0.015240074102	Global Trend	
1550000	558.811474	1	-1.617432322907	0.980182160623	-0.011093500137	0.000067385331	0.983084158468	N\A	0.014940354762	0.002597169738	34	3	-0.010603760381	Global Trend	
1600000	567.886862	1	-1.690036740738	1.021294214148	-0.018036622612	0.000055492276	0.999061135468	N\A	0.002295057179	0.001360444659	36	1	0.067584064770	Global Trend	
1650000	554.661909	1	-1.723340292236	1.018884423125	-0.018462451978	0.000060626723	0.999703624548	N\A	0.001854392571	0.001443050219	35	2	-0.143214766829	Global Trend	
1700000	567.216531	1	-1.850398909670	1.072494801797	-0.025685014275	0.000085821070	0.975386936031	N\A	0.030927671253	0.004714111162	39	3	-0.001795734354	Global Trend	
1750000	566.510048	1	-1.659313847826	1.020055850962	-0.019304601208	0.000065522767	0.999947884611	N\A	0.001436406547	0.001370348904	35	5	0.372810672027	Global Trend	
1800000	568.224423	1	-1.764292314327	1.010713949929	-0.017117593046	0.000079670616	0.996424637914	N\A	0.004291372618	0.001411449006	29	4	0.054193757147	Global Trend	
1850000	564.829988	1	-1.853609422874	1.096978487905	-0.027179405952	0.000087810077	0.977157194563	N\A	0.031075147936	0.004522991341	33	4	0.001453125710	Global Trend	
1900000	559.063331	1	-1.676611507371	1.010385290468	-0.015257014634	0.000082461240	0.998593328265	N\A	0.003152689103	0.001660658311	37	2	-0.082419254080	Global Trend	
1950000	554.439554	1	-1.807228566618	1.016420866705	-0.017994498415	0.000079313787	0.999869282807	N\A	0.001227452214	0.001013660667	32	4	0.326595008002	Global Trend	
2000000	553.105492	1	-1.723146722799	1.006975487343	-0.014310237989	0.000072422454	0.993149967199	N\A	0.006398045718	0.001676246311	28	5	-0.028247791909	Global Trend	
2050000	547.769053	1	-1.731464461035	1.018361949926	-0.018594563960	0.000088130604	0.995582492257	N\A	0.004631753426	0.001647388904	25	3	0.068263109302	Global Trend	
2100000	546.925052	1	-1.864125260162	1.136493524491	-0.035705504024	0.000061571438	0.976742334754	N\A	0.036916762259	0.005545671876	34	3	0.001623990021	Global Trend	
2150000	573.274780	1	-1.773274609120	1.094534112802	-0.028597538057	0.000074598389	0.979692871175	N\A	0.022354738844	0.003532000787	38	3	0.005872559523	Global Trend	
2200000	542.959961	1	-1.677464554195	1.004188863327	-0.016477361975	0.000066399922	0.992128334295	N\A	0.007085710478	0.001714879036	34	1	-0.023302694745	Global Trend	
2250000	557.242031	1	-1.656704174402	1.023709000866	-0.019457518829	0.000058600091	0.998058181528	N\A	0.003113185805	0.001426755986	42	3	0.051367089201	Global Trend	
2300000	561.571018	1	-1.713838968882	1.044276993513	-0.021224313205	0.000059000798	0.987132109989	N\A	0.009692633185	0.001880374365	29	1	0.013008459895	Global Trend	
2350000	552.665155	1	-1.728192447682	1.015254759928	-0.016414746205	0.000087045676	0.997463362566	N\A	0.003738439334	0.001365096906	38	3	-0.076147944792	Global Trend	
2400000	565.200242	1	-1.949937593691	1.140768550624	-0.032482880827	0.000065411490	0.979928433045	N\A	0.034321632053	0.005358951497	35	2	0.000514550777	Global Trend	
2450000	543.752297	1	-1.797418133825	1.046893230829	-0.019071932303	0.000062401558	0.981237525112	N\A	0.030732360030	0.004931161717	41	3	0.000003120080	Global Trend	
2500000	552.956487	1	-1.811590167980	1.089168660560	-0.026083676279	0.000084071210	0.978223611896	N\A	0.026220380728	0.003952605456	30	2	0.004625927839	Global Trend	
2550000	565.762200	1	-1.864345991508	1.113169915291	-0.029779234040	0.000039939290	0.980036958846	N\A	0.024655955171	0.003912969091	45	3	0.002245650344	Global Trend	
2600000	559.340944	1	-1.699495967895	1.024443435696	-0.020015153987	0.000056731085	0.995104757488	N\A	0.005037422102	0.001510141416	31	1	0.026515316375	Global Trend	
2650000	549.723611	1	-1.702414561037	1.018799518209	-0.018655185528	0.000054127998	0.999990946607	N\A	0.001296695964	0.001287234506	43	1	0.583711042591	Global Trend	
2700000	554.367553	1	-1.735903345674	1.018707462093	-0.018363962798	0.000068165942	0.999721373702	N\A	0.001680668924	0.001319101890	28	2	0.201249652504	Global Trend	
