Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	0.786	3.0789623596587	1.307	1.708249
Atelerix_algirus	1.641	3.0789623596587	2.867	8.219689
Blarina_brevicauda	0.832	3.0789623596587	1.267	1.605289
Chrysochloris_asiatica	1.084	3.0789623596587	1.69	2.8561
Chrysochloris_stuhlmanni	1.053	3.0789623596587	1.626	2.643876
Crocidura_attenuata	0.486	3.0789623596587	0.968	0.937024
Crocidura_flavescens	0.779	3.0789623596587	1.467	2.152089
Crocidura_hildegardeae	0.52	3.0789623596587	0.996	0.992016
Crocidura_denti	0.534	3.0789623596587	1.079	1.164241
Crocidura_russula	0.508	3.0789623596587	1.049	1.100401
Crocidura_suaveolens	0.461	3.0789623596587	1.013	1.026169
Cryptotis_parvus	0.614	3.0789623596587	0.991226075692495	0.982529133132744
Desmana_moschata	1.63	3.0789623596587	2.646	7.001316
Echinops_telfairi	1.062	3.0789623596587	1.942	3.771364
Echinosorex_gymnura	1.885	3.0789623596587	2.921	8.532241
Erinaceus_europaeus	1.716	3.0789623596587	2.929	8.579041
Euroscaptor_micrura	1.124	3.0789623596587	1.617	2.614689
Galemys_pyrenaicus	1.303	3.0789623596587	1.778	3.161284
Geogale_aurita	0.31	3.0789623596587	1	1
Hemicentetes_semispinosus	1.125	3.0789623596587	2.062	4.251844
Hemiechinus_auritus	1.448	3.0789623596587	2.371	5.621641
Hylomys_suillus	1.243	3.0789623596587	1.756	3.083536
Limnogale_mergulus	1.291	3.0789623596587	1.964	3.857296
Microgale_dobsoni	0.979	3.0789623596587	1.504	2.262016
Microgale_talazaci	1.056	3.0789623596587	1.683	2.832489
Micropotamogale_lamottei	1.178	3.0789623596587	1.808	3.268864
Micropotamogale_ruwenzorii	1.237	3.0789623596587	1.986	3.944196
Myosorex_sclateri	0.747	3.0789623596587	1.23	1.5129
Neomys_anomalus	0.632	3.0789623596587	1.037	1.075369
Neomys_fodiens	0.757	3.0789623596587	1.182	1.397124
Oryzorictes_hova	1.002	3.0789623596587	1.645	2.706025
Parascalops_breweri	1.128	3.0789623596587	1.731	2.996361
Potamogale_velox	1.693	3.0789623596587	2.791	7.789681
Ruwenzorisorex_suncoides	0.78	3.0789623596587	1.262	1.592644
Scalopus_aquaticus	1.239	3.0789623596587	2.061	4.247721
Scutisorex_somereni	1.036	3.0789623596587	1.792	3.211264
Setifer_setosus	1.394	3.0789623596587	2.373	5.631129
Solenodon_paradoxus	1.821	3.0789623596587	2.826	7.986276
Sorex_alpinus	0.604	3.0789623596587	1.033	1.067089
Sorex_araneus	0.53	3.0789623596587	0.987	0.974169
Sorex_cinereus	0.42	3.0789623596587	0.633	0.400689
Sorex_fumeus	0.573	3.0789623596587	0.924	0.853776
Sorex_hoyi	0.228	3.0789623596587	0.42	0.1764
Sorex_minutus	0.26	3.0789623596587	0.633	0.400689
Suncus_etruscus	0.017	3.0789623596587	0.762	0.580644
Suncus_murinus	0.777	3.0789623596587	1.529	2.337841
Sylvisorex_granti	0.428	3.0789623596587	0.591	0.349281
Suncus_megalura	0.467	3.0789623596587	0.74	0.5476
Talpa_europaea	1.178	3.0789623596587	1.908	3.640464
Tenrec_ecaudatus	1.57	3.0789623596587	2.935	8.614225
Aepyprymnus_rufescens	2.074816	3.0789623596587	3.392697	11.510392933809
