Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-fab-006.txt
Log File Name:                   STR_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2731099695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	337.844478	1	1.344810460629	0.511233334138	0.010661152619	-0.755926469699	0.185312419156	0.220035187792	-1.116089892735	0.254879369774	0.152764305380	0.040953493158	0.051054927943	0.096324456014	0.000892701824	0.921530963682	N\A	0.091477319357	0.316576620379	0.307374886311	0.371330040006	0.311264428938	0.487443644619	0.095947637211	0.092777423925	0.102803488298	0.095548425639	0.097391531400	32	10	
1550000	349.484138	1	-0.085557301163	0.853888425337	1.406208195247	0.416966246714	0.480224300423	0.665026685714	0.883090682607	-0.132238022463	-0.213142962410	-0.096715585297	-0.240345679933	-0.265877462807	0.000447572041	0.935020779223	N\A	0.120429579962	0.393320034932	0.387617356181	0.416591330381	0.392414020085	0.467910199160	0.122043010454	0.121583329374	0.126653006284	0.124582515827	0.122586432860	38	13	
1600000	364.479679	1	-0.815776546867	0.805859945459	1.929108000136	1.159775195367	1.731531068692	1.372528221037	1.733421674988	-0.046311637072	-0.167051558361	-0.144943607224	-0.280351090759	-0.265419163480	0.000967932488	0.931264372980	N\A	0.095253896903	0.324250235529	0.315991050831	0.369417636707	0.320014527376	0.504009192347	0.098323359734	0.096359117157	0.101353892520	0.098613874998	0.099459862956	38	15	
1650000	355.689552	1	0.415255422808	0.529560693845	0.469131528584	-0.279297183437	0.305864359229	0.292913718474	0.345855670818	0.245582131207	0.109629074984	0.148913849902	0.033312099851	0.000879808372	0.000364904345	0.918798947386	N\A	0.058851368083	0.234805191114	0.219393808316	0.263826672502	0.222485035048	0.322121125660	0.063156078524	0.061498771573	0.070374952722	0.065539348780	0.064320623959	43	14	
1700000	354.206984	1	0.467235130468	0.570851663897	0.416827164279	-0.012823207298	0.447850639529	0.105790905514	0.131504423196	0.211628231897	0.081756303150	0.118039994167	0.040555525889	0.052318586671	0.000544832379	0.926037057098	N\A	0.069058206943	0.253853059965	0.241252382766	0.285878527755	0.250705089927	0.382177715089	0.073898345168	0.070519103760	0.078231611286	0.076254713932	0.076425234657	35	7	
1750000	345.573276	1	-0.306732127367	0.667348744562	0.445434280946	0.184071974405	0.740224130015	0.362507072346	0.993726015745	-0.013493316481	-0.006984510972	-0.030168033246	-0.075550428597	-0.095001551012	0.000470868163	0.943344752541	N\A	0.051730844811	0.232387145329	0.214975447871	0.287762145060	0.223946668537	0.346532666215	0.057675215523	0.052929441864	0.067007106921	0.062241650662	0.057812667754	45	11	
1800000	342.498136	1	0.330556913008	0.676162137700	0.057634402334	-0.072362153631	0.428999710875	0.345769734239	0.320908669472	0.050264476814	-0.017321079730	0.025905186346	-0.126478113855	-0.045609070435	0.000274326081	0.929412090864	N\A	0.068970929738	0.237321697706	0.216783790838	0.239683603363	0.235848040845	0.290897748700	0.073615632909	0.070202772616	0.078017888974	0.081979238483	0.073263983207	50	7	
1850000	346.200176	1	0.300314247334	0.693703998180	0.116015209706	0.159528853572	0.696085877703	0.485880278011	0.521561581518	0.062676494628	-0.026114745043	-0.079348111883	-0.173761447845	-0.145179402551	0.000358589190	0.920967044062	N\A	0.058358651492	0.217043129849	0.203163308019	0.235870199251	0.210096084690	0.312638278620	0.064491122582	0.060559815023	0.067063806120	0.064843083154	0.064870033089	49	9	
1900000	341.664123	1	0.085416909406	0.377393832212	0.519728438875	-0.372975520294	-0.029389915876	-0.233434843231	0.576823898421	0.387785779540	0.279925075396	0.189051972134	0.166693928435	0.229875023914	0.000343343681	0.924555642163	N\A	0.064921590892	0.230090603284	0.210706532708	0.238597323252	0.226639053768	0.294826727240	0.069785776214	0.066888201612	0.074613006717	0.075698154024	0.068396862818	39	9	
1950000	335.156981	1	0.560515099455	0.609205840213	0.754553778513	0.142334931738	-0.020356888648	0.363068581087	0.380975789143	0.139136602362	0.037475852107	0.101175596734	-0.067557593171	-0.017961708591	0.000681340235	0.912691150614	N\A	0.082556614408	0.290155783932	0.278009175972	0.332137607138	0.286937670595	0.432595066213	0.087208312005	0.084105414843	0.092867938714	0.089509242448	0.088785061983	28	12	
