Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.274	3.0789623596587	9.48000921219507	1.307	1.708249
Atelerix_algirus	2.194	3.0789623596587	9.48000921219507	2.867	8.219689
Blarina_brevicauda	1.274	3.0789623596587	9.48000921219507	1.267	1.605289
Chrysochloris_asiatica	1.635	3.0789623596587	9.48000921219507	1.69	2.8561
Chrysochloris_stuhlmanni	1.62	3.0789623596587	9.48000921219507	1.626	2.643876
Crocidura_attenuata	1.176	3.0789623596587	9.48000921219507	0.968	0.937024
Crocidura_flavescens	1.427	3.0789623596587	9.48000921219507	1.467	2.152089
Crocidura_hildegardeae	1.173	3.0789623596587	9.48000921219507	0.996	0.992016
Crocidura_denti	1.253	3.0789623596587	9.48000921219507	1.079	1.164241
Crocidura_russula	1.137	3.0789623596587	9.48000921219507	1.049	1.100401
Crocidura_suaveolens	1.137	3.0789623596587	9.48000921219507	1.013	1.026169
Cryptotis_parvus	1.104	3.0789623596587	9.48000921219507	0.991226075692495	0.982529133132744
Desmana_moschata	2.34	3.0789623596587	9.48000921219507	2.646	7.001316
Echinops_telfairi	1.643	3.0789623596587	9.48000921219507	1.942	3.771364
Echinosorex_gymnura	2.557	3.0789623596587	9.48000921219507	2.921	8.532241
Erinaceus_europaeus	2.18	3.0789623596587	9.48000921219507	2.929	8.579041
Euroscaptor_micrura	1.653	3.0789623596587	9.48000921219507	1.617	2.614689
Galemys_pyrenaicus	1.793	3.0789623596587	9.48000921219507	1.778	3.161284
Geogale_aurita	1.104	3.0789623596587	9.48000921219507	1	1
Hemicentetes_semispinosus	1.662	3.0789623596587	9.48000921219507	2.062	4.251844
Hemiechinus_auritus	2.037	3.0789623596587	9.48000921219507	2.371	5.621641
Hylomys_suillus	1.924	3.0789623596587	9.48000921219507	1.756	3.083536
Limnogale_mergulus	1.829	3.0789623596587	9.48000921219507	1.964	3.857296
Microgale_dobsoni	1.575	3.0789623596587	9.48000921219507	1.504	2.262016
Microgale_talazaci	1.658	3.0789623596587	9.48000921219507	1.683	2.832489
Micropotamogale_lamottei	1.768	3.0789623596587	9.48000921219507	1.808	3.268864
Micropotamogale_ruwenzorii	1.86	3.0789623596587	9.48000921219507	1.986	3.944196
Myosorex_sclateri	1.279	3.0789623596587	9.48000921219507	1.23	1.5129
Neomys_anomalus	1.204	3.0789623596587	9.48000921219507	1.037	1.075369
Neomys_fodiens	1.283	3.0789623596587	9.48000921219507	1.182	1.397124
Oryzorictes_hova	1.425	3.0789623596587	9.48000921219507	1.645	2.706025
Parascalops_breweri	1.551	3.0789623596587	9.48000921219507	1.731	2.996361
Potamogale_velox	2.415	3.0789623596587	9.48000921219507	2.791	7.789681
Ruwenzorisorex_suncoides	1.398	3.0789623596587	9.48000921219507	1.262	1.592644
Scalopus_aquaticus	1.761	3.0789623596587	9.48000921219507	2.061	4.247721
Scutisorex_somereni	1.563	3.0789623596587	9.48000921219507	1.792	3.211264
Setifer_setosus	1.884	3.0789623596587	9.48000921219507	2.373	5.631129
Solenodon_paradoxus	2.32	3.0789623596587	9.48000921219507	2.826	7.986276
Sorex_alpinus	1.097	3.0789623596587	9.48000921219507	1.033	1.067089
Sorex_araneus	1.061	3.0789623596587	9.48000921219507	0.987	0.974169
Sorex_cinereus	0.919	3.0789623596587	9.48000921219507	0.633	0.400689
Sorex_fumeus	1.045	3.0789623596587	9.48000921219507	0.924	0.853776
Sorex_hoyi	0.681	3.0789623596587	9.48000921219507	0.42	0.1764
Sorex_minutus	0.806	3.0789623596587	9.48000921219507	0.633	0.400689
Suncus_etruscus	0.672	3.0789623596587	9.48000921219507	0.762	0.580644
Suncus_murinus	1.391	3.0789623596587	9.48000921219507	1.529	2.337841
Sylvisorex_granti	1.057	3.0789623596587	9.48000921219507	0.591	0.349281
Suncus_megalura	1.152	3.0789623596587	9.48000921219507	0.74	0.5476
Talpa_europaea	1.699	3.0789623596587	9.48000921219507	1.908	3.640464
Tenrec_ecaudatus	2.125	3.0789623596587	9.48000921219507	2.935	8.614225
Aepyprymnus_rufescens	2.811106	3.0789623596587	9.48000921219507	3.392697	11.510392933809
Antechinus_flavipes	1.729165	3.0789623596587	9.48000921219507	1.568202	2.459257512804
Antechinus_minimus	1.763428	3.0789623596587	9.48000921219507	1.724276	2.973127724176
Bettongia_gaimardi	2.796505	3.0789623596587	9.48000921219507	3.176091	10.087554040281
Bettongia_penicillata	2.726972	3.0789623596587	9.48000921219507	3.079181	9.481355630761
Burramys_parvus	1.802774	3.0789623596587	9.48000921219507	1.770852	3.135916805904
Cercartetus_nanus	1.669317	3.0789623596587	9.48000921219507	1.278754	1.635211792516
Dactylopsila_trivirgata	2.436163	3.0789623596587	9.48000921219507	2.643453	6.987843763209
Dasycercus_cristicauda	2.124178	3.0789623596587	9.48000921219507	2	4
Dasyuroides_byrnei	2.148603	3.0789623596587	9.48000921219507	2.146128	4.605865392384
Dasyurus_geoffroii	2.611405	3.0789623596587	9.48000921219507	2.69897	7.2844390609
Dasyurus_hallucatus	2.367169	3.0789623596587	9.48000921219507	3.021189	9.127582973721
Dendrolagus_lumholtzi	2.977037	3.0789623596587	9.48000921219507	3.78533	14.3287232089
Distoechurus_pennatus	1.839478	3.0789623596587	9.48000921219507	1.633468	2.668217707024
Dorcopsis	2.934902	3.0789623596587	9.48000921219507	3.462398	11.988199910404
Echymipera_kalubu	2.416141	3.0789623596587	9.48000921219507	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.144263	3.0789623596587	9.48000921219507	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.50147	3.0789623596587	9.48000921219507	2.748188	7.552537283344
Isoodon_macrourus	2.417804	3.0789623596587	9.48000921219507	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.495128	3.0789623596587	9.48000921219507	3.004321	9.025944671041
Osphranter_antilopinus	3.373464	3.0789623596587	9.48000921219507	4.537819	20.591801276761
Macropus_giganteus	3.390759	3.0789623596587	9.48000921219507	4.563481	20.825358837361
Notamacropus_irma	3.071145	3.0789623596587	9.48000921219507	3.819544	14.588916367936
Notamacropus_parma	2.969882	3.0789623596587	9.48000921219507	3.536558	12.507242487364
Notamacropus_parryi	3.196176	3.0789623596587	9.48000921219507	4.170262	17.391085148644
Osphranter_robustus	3.260548	3.0789623596587	9.48000921219507	4.409933	19.447509064489
Osphranter_rufus	3.387034	3.0789623596587	9.48000921219507	4.494155	20.197429164025
