Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-fab-004.txt
Log File Name:                   STR_d1_m9-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            443766882
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	558.934346	1	-1.801333441758	1.318951553172	-0.026320496367	-0.172825561886	0.018888507456	0.000143713714	0.980651941665	N\A	0.093722189050	0.013752542030	0.037333349183	0.007240947493	40	10	
2200000	543.941291	1	-1.698963892923	1.225617016646	-0.009277784605	-0.155192773486	0.010373571154	0.000184539929	0.984149640166	N\A	0.076632826244	0.010681692259	0.034829438005	0.006425345770	34	7	
2250000	545.137785	1	-1.617606796235	1.150209789093	-0.004481396136	-0.093477000929	0.003826772069	0.000054996367	0.980370621949	N\A	0.095114677913	0.014189743473	0.038473704320	0.007692734636	39	7	
2300000	545.360981	1	-1.468378695108	1.072681412390	0.009195193793	-0.079704659078	-0.004340092239	0.000112098740	0.981235296831	N\A	0.085912403786	0.012562846905	0.036474982519	0.006801463980	37	7	
2350000	544.026126	1	-1.614273870265	1.188416427286	-0.008765269900	-0.132644851386	0.009663964272	0.000167264708	0.979913829769	N\A	0.071633916245	0.009121367135	0.035613921679	0.005972501121	38	10	
2400000	543.085629	1	-1.477421334754	1.048123908920	0.024662940305	-0.139296567841	0.003128422382	0.000171990617	0.980425319247	N\A	0.073950885809	0.009727740738	0.035344531374	0.006142652472	29	10	
2450000	549.859685	1	-1.318482948622	0.940159910863	0.029079917565	-0.042309756327	-0.010846906745	0.000138786295	0.982651442763	N\A	0.079210463696	0.010986865351	0.035459834288	0.006475144230	32	8	
2500000	534.703032	1	-1.460437112426	1.068159687878	0.013135995013	-0.087534961925	-0.003527204977	0.000158361818	0.981499785360	N\A	0.080682010826	0.010808880695	0.036815054906	0.006763642348	43	7	
2550000	535.627888	1	-1.530703097527	1.126484641636	-0.000022710576	-0.097240926558	0.004141033330	0.000100521748	0.981032873208	N\A	0.090158460897	0.013320275192	0.037361331506	0.007433488195	36	5	
2600000	523.919413	1	-1.468389351632	1.116309626325	-0.007934890077	-0.093719440507	0.010374167944	0.000201915715	0.974301590186	N\A	0.081970094913	0.012194509920	0.036481899241	0.007004169386	30	7	
2650000	523.534951	1	-1.478008817702	1.069838418414	0.010342297754	-0.067222198286	-0.004782140732	0.000133729580	0.973749016082	N\A	0.099247213133	0.014147507595	0.043861450592	0.008635565739	36	7	
2700000	527.636028	1	-1.831153373141	1.386081690996	-0.034423951421	-0.223233384515	0.023566594924	0.000202223452	0.978291639995	N\A	0.093003026672	0.013811402446	0.038957613460	0.007830565847	34	7	
2750000	539.249253	1	-1.329932797777	0.995723282254	0.009642887383	-0.019832285595	-0.003874179203	0.000088636330	0.980161876558	N\A	0.085402665127	0.011577587510	0.037425283105	0.006539901747	44	8	
2800000	540.759065	1	-1.750435431139	1.326612447470	-0.036561636364	-0.149439270840	0.019771422240	0.000459169649	0.981143334056	N\A	0.085896756581	0.012236590439	0.037232381111	0.006986259216	35	8	
2850000	542.951984	1	-1.626079375582	1.233364707667	-0.020746005318	-0.128274338011	0.012958381379	0.000113803439	0.979683362098	N\A	0.089982064383	0.013195778495	0.037840472172	0.007250488004	48	7	
2900000	540.686013	1	-1.571976650958	1.143324634988	-0.003501116777	-0.109254576604	0.005843360921	0.000072656132	0.977670273624	N\A	0.097320923953	0.013647908963	0.042648768876	0.008072402748	30	5	
2950000	522.587886	1	-1.512968639339	1.149102531915	-0.010999293499	-0.115515670119	0.014923835572	0.000103338738	0.979373796669	N\A	0.096254183182	0.013452672489	0.041188367537	0.007721652047	34	6	
3000000	544.576392	1	-1.477595831350	1.090659590214	-0.004865237627	-0.058300693120	0.003155306944	0.000037878098	0.983902921908	N\A	0.083805290476	0.012167830576	0.036365334689	0.007299517615	40	7	
3050000	552.927262	1	-1.356297104861	0.954540267565	0.024998893356	-0.025461125739	-0.012886696915	0.000074883385	0.989225009378	N\A	0.073946913206	0.009528140283	0.035021396369	0.006130836923	37	8	
3100000	545.953052	1	-1.465853092031	1.038643586773	0.008891325770	-0.056954301960	-0.001602159933	0.000064474142	0.981340452655	N\A	0.089744077639	0.012573944140	0.038562990442	0.007214587085	46	7	
3150000	538.052887	1	-1.653628660686	1.154363477158	-0.012983112075	-0.070562370284	0.005002236460	0.000015840575	0.986114690941	N\A	0.089756606340	0.013133286759	0.039059323110	0.007649224827	47	8	
3200000	538.107541	1	-1.510373780762	1.098820351314	-0.000178734045	-0.059252019198	-0.000988371951	0.000103036249	0.975228227647	N\A	0.091481464391	0.012939327285	0.039591502203	0.007123951793	33	6	
3250000	520.774177	1	-1.321792852661	0.955065159785	0.023114147581	-0.036208836176	-0.009494118030	0.000156931063	0.979351343100	N\A	0.088862706722	0.012676089865	0.040026472219	0.007403005109	42	5	
