Species_TTOL	MES	rest_of_brain	rest_of_brain2
Anourosorex_squamipes	1.274	2.5613393948666	6.56045949569562
Atelerix_algirus	2.194	3.45937494595256	11.9672750166842
Blarina_brevicauda	1.274	2.56526016953364	6.58055973739577
Chrysochloris_asiatica	1.635	2.8124927980164	7.91011573889411
Chrysochloris_stuhlmanni	1.62	2.83356529108882	8.02909225886326
Crocidura_attenuata	1.176	2.29369840905507	5.26105239170176
Crocidura_flavescens	1.427	2.58207746336137	6.66712402679868
Crocidura_hildegardeae	1.173	2.30064063157812	5.29294731566815
Crocidura_denti	1.253	2.36479451634544	5.59225310453746
Crocidura_russula	1.137	2.26471093422473	5.12891561559707
Crocidura_suaveolens	1.137	2.25063238800831	5.065346145952
Cryptotis_parvus	1.104	2.36248471949945	5.5813340498684
Desmana_moschata	2.34	3.55635615102067	12.6476690729026
Echinops_telfairi	1.643	2.74834886210844	7.55342146785276
Echinosorex_gymnura	2.557	3.7443098228403	14.0198560494184
Erinaceus_europaeus	2.18	3.47896517613914	12.1031986967888
Euroscaptor_micrura	1.653	2.88161190363473	8.30368716316934
Galemys_pyrenaicus	1.793	3.0873915761491	9.53198674447644
Geogale_aurita	1.104	2.08153227068238	4.33277659389213
Hemicentetes_semispinosus	1.662	2.87971667978679	8.29276815584225
Hemiechinus_auritus	2.037	3.22302557506589	10.3878938575288
Hylomys_suillus	1.924	3.04265473490601	9.25774783584598
Limnogale_mergulus	1.829	3.01708868959485	9.10282416088118
Microgale_dobsoni	1.575	2.70344201843958	7.30859874706469
Microgale_talazaci	1.658	2.85130596152045	8.12994568620207
Micropotamogale_lamottei	1.768	2.86835860528116	8.22748108849048
Micropotamogale_ruwenzorii	1.86	3.0239960099372	9.14455186811612
Myosorex_sclateri	1.279	2.52863027572128	6.39397107129426
Neomys_anomalus	1.204	2.4253493121911	5.88231928614584
Neomys_fodiens	1.283	2.4844525337294	6.17250439235441
Oryzorictes_hova	1.425	2.72555444984195	7.42864705905324
Parascalops_breweri	1.551	2.9176407015745	8.51262726348414
Potamogale_velox	2.415	3.58573403914356	12.8574885994728
Ruwenzorisorex_suncoides	1.398	2.54319142403048	6.4678226192622
Scalopus_aquaticus	1.761	3.09133564705225	9.55635608273596
Scutisorex_somereni	1.563	2.77648055519446	7.70884427337294
Setifer_setosus	1.884	3.13780347988815	9.84581067839821
Solenodon_paradoxus	2.32	3.63091110993978	13.1835154882841
Sorex_alpinus	1.097	2.39429748323639	5.73266043823212
Sorex_araneus	1.061	2.30376222600923	5.30732039398702
Sorex_cinereus	0.919	2.19894571979351	4.83536227859818
Sorex_fumeus	1.045	2.35557876339451	5.5487513105552
Sorex_hoyi	0.681	1.95473569737117	3.82099164657714
Sorex_minutus	0.806	2.03191366086741	4.12867312521959
Suncus_etruscus	0.672	1.76381793243763	3.11105369878857
Suncus_murinus	1.391	2.54992986543294	6.50214231862683
Sylvisorex_granti	1.057	2.19026550669	4.797262989796
Suncus_megalura	1.152	2.24721153694055	5.04995969175869
Talpa_europaea	1.699	2.9763963558453	8.85893526708917
Tenrec_ecaudatus	2.125	3.35823796436117	11.2777622252766
Aepyprymnus_rufescens	2.811106	4.0785367274352	16.6344618370378
Antechinus_flavipes	1.729165	2.78774994860876	7.77154977596817
Antechinus_minimus	1.763428	2.86153430048589	8.18837855285726
Bettongia_gaimardi	2.796505	4.04663551459762	16.3752589880027
Bettongia_penicillata	2.726972	3.98021273823091	15.8420934415756
Burramys_parvus	1.802774	2.92464113314859	8.55352575770467
Cercartetus_nanus	1.669317	2.67775290596171	7.17036062538641
Dactylopsila_trivirgata	2.436163	3.76646475332113	14.1862567380104
Dasycercus_cristicauda	2.124178	3.16814378922862	10.0371350692279
Dasyuroides_byrnei	2.148603	3.1709361619783	10.0548361433417
Dasyurus_geoffroii	2.611405	3.70221513935253	13.706396938051
Dasyurus_hallucatus	2.367169	3.45874340368618	11.9629059325426
Dendrolagus_lumholtzi	2.977037	4.32056441398414	18.6672768553861
Distoechurus_pennatus	1.839478	2.99668674974598	8.98013147610311
Dorcopsis	2.934902	4.18833195300086	17.542124548528
Echymipera_kalubu	2.416141	3.52847956017657	12.4501680065838
Gymnobelideus_leadbeateri	2.144263	3.34769853893654	11.2070855075978
Hypsiprymnodon_moschatus	2.50147	3.74212014161771	14.0034631543009
Isoodon_macrourus	2.417804	3.58290385753117	12.8372000523117
Isoodon_obesulus_obesulus	2.495128	3.62554911049539	13.1446063526139
Osphranter_antilopinus	3.373464	4.71459609027679	22.2274162944531
Macropus_giganteus	3.390759	4.77506983526938	22.8012919316995
Notamacropus_irma	3.071145	4.36841530467472	19.0830522741163
Notamacropus_parma	2.969882	4.20117855029655	17.6499012114718
Notamacropus_parryi	3.196176	4.51970786965636	20.4277592270336
Osphranter_robustus	3.260548	4.66347772236744	21.7480244670174
Osphranter_rufus	3.387034	4.6959083965357	22.0515556686545
Thylamys_pallidior	1.793092	2.76345797589405	7.63669998453245
Marmosops_impavidus	2.011993	3.05568408388292	9.33720522049542
Monodelphis_brevicaudata	1.914872	2.94537022663038	8.67520577192069
Notoryctes_typhlops	1.662758	2.91376083971985	8.49000223108495
Petauroides_volans	2.580925	3.62032345471659	13.106741916771
Petaurus_australis	2.467756	3.77024778429207	14.2147683549593
Petaurus_breviceps	2.209515	3.32467344517594	11.053453517058
Petaurus_norfolcensis	2.276002	3.45766979672993	11.9554804232184
Petrogale_inornata	2.918502	4.23497248958282	17.9349919875233
Petrogale_lateralis	2.8238	4.16786355239828	17.3710865914101
Petrogale_penicillata	3.071514	4.31879823891567	18.6520182284611
Petrogale_purpureicollis	2.959852	4.24652097310723	18.0329403750396
Petropseudes_dahli	2.574379	3.69722055952986	13.6694398658103
Phascolarctos_cinereus	2.994361	4.22355030391757	17.8383771697222
Planigale_ingrami	1.041393	1.97840863192174	3.91410071486245
Planigale_maculata	1.313867	2.30272041723985	5.30252131997327
Potorous_tridactylus_tridactylus	2.766785	3.99808497676137	15.984683481405
Pseudochirulus_canescens	2.158061	3.33597913853393	11.1287568127336
Pseudochirulus_forbesi	2.376029	3.47922966682932	12.1050390745452
Sarcophilus_harrisii	2.940516	4.14834965764349	17.2088048820708
Sminthopsis_crassicaudata	1.526339	2.53750425778387	6.43892785827126
Sminthopsis_leucopus	1.635484	2.66164229549523	7.08433970916911
Phalanger_gymnotis	2.822626	4.06032757480693	16.4862600147375
Thylacinus_cynocephalus	3.365113	4.70915133299125	22.1761062770133
Thylogale_billardierii	3.093772	4.34805949126278	18.9056213395604
Thylogale_stigmatica	3.028571	4.25065668458073	18.0680822501708
Trichosurus_vulpecula	2.769599	4.00237325530746	16.0189916748004
Vombatus_ursinus	3.280123	4.68410274637518	21.9408185385995
Wallabia_bicolor	3.234264	4.55349934894676	20.7343563208586
Balionycteris_maculata	1.477	2.68604357258994	7.21483007385172
Casinycteris_argynnis	1.732	2.89835140151989	8.40044084669229
Chironax_melanocephalus	1.491	2.75718362381577	7.60206153543787
Cynopterus_brachyotis	1.708	2.966833649282	8.80210190251193
Cynopterus_horsfieldii	1.875	3.11468350641045	9.70125334510528
Cynopterus_sphinx	1.82	3.05354966776212	9.32416557349017
Dobsonia_inermis	2.041	3.40766797562694	11.6122010321134
Dobsonia_moluccensis	2.262	3.63531672034154	13.2155276571947
Dobsonia_praedatrix	2.104	3.45265177566025	11.9208042839698
Eidolon_helvum	2.303	3.60406636908379	12.9892943927608
Eonycteris_spelaea	1.854	3.09326062869164	9.56826131701383
Epomophorus_labiatus	1.968	3.17341455082117	10.0705599113635
Epomops_franqueti	2.143	3.3178958890353	11.0084331304774
Hypsignathus_monstrosus	2.334	3.51177917774895	12.3325929932711
Macroglossus_minimus	1.528	2.72492739657078	7.42522931658202
Megaerops_ecaudatus	1.644	2.87855040696948	8.28605244546414
Megaloglossus_woermanni	1.583	2.80962194180342	7.89397545586321
Melonycteris_melanops	1.782	3.08827988670424	9.53747265862198
Melonycteris_woodfordi	1.684	2.98478330621441	8.90893138505621
Epomophorus_pusillus	1.685	2.8916991691473	8.36192408484716
Myonycteris_torquata	1.824	3.04038415947288	9.24393583717363
Notopteris_macdonaldi	1.821	3.14143861060649	9.86863654420925
Nyctimene_albiventer	1.675	2.89166094946112	8.36170304663836
Nyctimene_robinsoni	1.859	3.06521908417013	9.39556803396076
Nyctimene_vizcaccia	1.748	2.97019608506253	8.82206478372075
Paranyctimene_raptor	1.626	2.83904237199348	8.06016158997434
Pteropus_alecto	2.5	3.82069860124938	14.597737801589
Pteropus_conspicillatus	2.525	3.89493121910952	15.170489201594
Pteropus_hypomelanus	2.379	3.69716131393364	13.6690017812475
Pteropus_lylei	2.381	3.75598421253182	14.1074174047883
Pteropus_neohibernicus	2.558	3.92848620624869	15.4330038726862
Pteropus_poliocephalus	2.528	3.83016987335255	14.6702012587375
Pteropus_samoensis	2.4	3.73626675041077	13.959689230225
Pteropus_scapulatus	2.373	3.70549571470575	13.7306984917027
Pteropus_temminckii	2.353	3.66354900940771	13.4215913443322
Pteropus_tonganus	2.394	3.75825829746648	14.1245054304756
Pteropus_vampyrus	2.581	3.92972371176801	15.4427284508318
Rousettus_aegyptiacus	2.038	3.32486399626551	11.0547205936626
Rousettus_amplexicaudatus	1.914	3.1617898919156	9.99691532061967
Scotonycteris_zenkeri	1.623	2.8251361190744	7.98139409129878
