Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m6-glob-004.txt
Log File Name:                   SCH_d1_m6-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2204868767
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m6-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	481.766268	1	-1.409856696104	1.034513423895	-0.054333844137	0.000121797920	0.982051099821	N\A	0.026025170249	0.020628082139	33	6	-0.021408249881	Global Trend	
1050000	479.982809	1	-1.552630001447	1.054955689848	-0.056673896133	0.000107855909	0.972899694775	N\A	0.031663484956	0.022279047059	31	6	-0.006967910045	Global Trend	
1100000	471.698955	1	-1.547665472113	1.060662381114	-0.065658970350	0.000125248617	0.969432920756	N\A	0.033761852542	0.023751261906	35	5	0.006038871537	Global Trend	
1150000	479.290744	1	-1.430872745996	1.064983122340	-0.065453509304	0.000151108021	0.999994384902	N\A	0.018163378016	0.018158799912	44	5	-1.726755096196	Global Trend	
1200000	479.852795	1	-1.559069547432	1.080215590497	-0.081085499215	0.000099274825	0.998833936725	N\A	0.017555402264	0.017183316554	35	5	0.085711028440	Global Trend	
1250000	465.282724	1	-1.416452660158	1.013754528207	-0.037602010459	0.000089921525	0.980513946119	N\A	0.026426854890	0.020185461403	47	3	-0.008370884059	Global Trend	
1300000	476.423097	1	-1.565220767623	1.069331146408	-0.069357989047	0.000078170105	0.999986798259	N\A	0.016705632275	0.016705689920	26	6	-0.492532635190	Global Trend	
1350000	482.141745	1	-1.484989855308	1.045183273053	-0.051632977937	0.000093915670	0.995802540370	N\A	0.020156685037	0.018663897750	37	6	-0.039526701766	Global Trend	
1400000	461.262261	1	-1.524426375478	1.056122704261	-0.055013924895	0.000061250374	0.999851547034	N\A	0.017210250708	0.017197890953	45	5	0.109555632317	Global Trend	
1450000	477.358199	1	-1.454968356404	1.005059870674	-0.004552174211	0.000090629968	0.998612110051	N\A	0.017931888488	0.017540961421	32	5	0.075070574296	Global Trend	
1500000	494.538949	1	-1.518761647431	1.060830720353	-0.058883851601	0.000085571907	0.994106332408	N\A	0.018998012336	0.016964823660	36	6	-0.022821393923	Global Trend	
1550000	467.866337	1	-1.536937820002	1.083715274638	-0.079316533806	0.000038121797	0.989772781070	N\A	0.022048384362	0.018884462521	38	6	0.007844877253	Global Trend	
1600000	467.595758	1	-1.465003455765	1.047384977592	-0.049161791693	0.000027705331	0.999906790234	N\A	0.015018476676	0.014965630578	40	3	-0.098183903458	Global Trend	
1650000	476.581878	1	-1.441272851791	1.088826203652	-0.090402132615	0.000117564752	0.999936191534	N\A	0.017388974716	0.017357455783	43	4	-0.529896595953	Global Trend	
1700000	443.431507	1	-1.524764581322	1.061823139773	-0.062084944381	0.000126071011	0.999988514679	N\A	0.018979215688	0.018975768140	38	2	-0.939327378554	Global Trend	
1750000	456.648769	1	-1.540757133503	1.095434615565	-0.094987153188	0.000108704925	0.999944727858	N\A	0.017793260768	0.017775883050	35	3	0.456550909416	Global Trend	
1800000	468.442942	1	-1.566782054979	1.083205626829	-0.083690410997	0.000105780094	0.998519134228	N\A	0.016988266902	0.016563014725	44	5	0.075890124152	Global Trend	
1850000	466.290947	1	-1.495913399398	1.035290787936	-0.036335690940	0.000100994598	0.999269140836	N\A	0.017971595910	0.017762528394	32	5	0.098391241305	Global Trend	
1900000	486.331892	1	-1.536810527453	1.071391081536	-0.070908842904	0.000077834494	0.999850581474	N\A	0.016156969454	0.016093383858	35	6	0.187091268661	Global Trend	
1950000	478.096376	1	-1.506058110269	1.070362283357	-0.063789335188	0.000103230777	0.994814328158	N\A	0.019540027448	0.018270973102	27	5	0.045450334185	Global Trend	
