Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m8-glob-005.txt
Log File Name:                   AMY_d1_m8-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3476985047
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m8-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2150000	498.331531	1	-1.333944499603	1.042969333422	-0.049080107184	0.079110327407	0.000079067159	0.961335267430	N\A	0.050390545484	0.006233696827	0.020175862018	40	4	0.000169191392	Global Trend	
2200000	493.600769	1	-1.451548265195	1.078534413321	-0.047046098519	0.051776426337	0.000209495199	0.958455207423	N\A	0.053247687434	0.005905263669	0.021003501062	42	4	-0.001712415504	Global Trend	
2250000	502.920553	1	-1.522131089144	1.128931358925	-0.047958227411	0.005812957838	0.000117877994	0.960344083600	N\A	0.046158939071	0.006095374667	0.022828595097	37	2	-0.003213602910	Global Trend	
2300000	509.014977	1	-1.558189142889	1.168082621334	-0.059403701513	0.040770496125	0.000086122386	0.967804409749	N\A	0.043636608355	0.005818289868	0.017679023428	29	4	0.000385035790	Global Trend	
2350000	519.474817	1	-1.878893776781	1.274556382529	-0.064681034146	0.005995844492	0.000126358852	0.965684860090	N\A	0.047479155928	0.005438526980	0.019068134748	28	6	-0.003538850418	Global Trend	
2400000	516.806126	1	-1.725127359354	1.236587495346	-0.061177850956	0.007906758418	0.000103707662	0.979483066476	N\A	0.045882236600	0.004861598515	0.016737890446	43	6	-0.001296849244	Global Trend	
2450000	504.673975	1	-1.690906513299	1.184957604118	-0.057153355628	0.029061588343	0.000093061373	0.964519016612	N\A	0.046157642378	0.005789051282	0.019982699867	40	5	0.000083034769	Global Trend	
2500000	508.501706	1	-1.600854075574	1.203647511226	-0.059295654619	0.015069219863	0.000087589659	0.962464809009	N\A	0.045128574581	0.006109857462	0.022124806020	40	3	0.000111115472	Global Trend	
2550000	505.624607	1	-1.359049499319	1.012256747408	-0.042522713641	0.084351203535	0.000121141180	0.963680105600	N\A	0.039621907931	0.004987327955	0.021385132677	33	4	0.005185140773	Global Trend	
2600000	511.988093	1	-1.409448501424	1.096815221315	-0.046830161296	0.048554439758	0.000306168158	0.961047856961	N\A	0.047253724401	0.005765993982	0.021569740898	36	4	0.006429925213	Global Trend	
2650000	518.955897	1	-1.560284166099	1.127307742874	-0.047301111846	0.023381897212	0.000120583188	0.964727695913	N\A	0.046037406525	0.005973612503	0.018966462905	43	4	-0.000501412178	Global Trend	
2700000	504.457958	1	-1.651963278824	1.222413039716	-0.065768710050	0.035347281492	0.000096885333	0.963769574251	N\A	0.049057432990	0.006160420749	0.020882658822	32	2	-0.000539375527	Global Trend	
2750000	495.342072	1	-1.540387164671	1.175936885026	-0.056105890611	0.026014446943	0.000114821882	0.956627629873	N\A	0.048822234885	0.006314187496	0.022194818740	27	2	0.001366666851	Global Trend	
2800000	504.148706	1	-1.396003395615	1.113311876927	-0.048361240594	0.037425018582	0.000122970792	0.963829189904	N\A	0.042599357660	0.005307036866	0.020540806546	31	2	0.005565320938	Global Trend	
2850000	501.224933	1	-1.686015854473	1.232380584521	-0.066321337102	0.035121169804	0.000130868419	0.964718661352	N\A	0.044882956465	0.006285515945	0.020093513595	38	3	-0.000602665175	Global Trend	
2900000	516.339183	1	-1.287199172111	0.999496092217	-0.045201385563	0.102151828112	0.000099958002	0.968657760955	N\A	0.047701030436	0.006062212199	0.018994379126	40	5	0.000640936906	Global Trend	
2950000	517.603225	1	-1.510542950268	1.112470751246	-0.055479196414	0.073892655539	0.000078290295	0.963270950470	N\A	0.052477839960	0.006316774444	0.021998424372	35	5	-0.001230000790	Global Trend	
3000000	513.442238	1	-1.128744656026	0.908700795428	-0.039303426865	0.131096343643	0.000097161997	0.998337818420	N\A	0.019704043554	0.002217035114	0.021007345566	39	5	0.089585775728	Global Trend	
3050000	499.478204	1	-1.623919197941	1.176199076581	-0.062274903985	0.059345559529	0.000097610521	0.968385808434	N\A	0.048543705371	0.005723845635	0.018512211109	30	6	-0.001251750062	Global Trend	
3100000	502.314313	1	-1.829994370335	1.279973236169	-0.063729664678	-0.001638326605	0.000106360516	0.962111937636	N\A	0.043756788623	0.005928706315	0.020782709217	32	4	-0.001628589079	Global Trend	
3150000	511.149576	1	-1.592382280904	1.147505636273	-0.049099225640	0.013700562359	0.000080684340	0.969921687360	N\A	0.044676568074	0.005270742055	0.019890368911	30	4	-0.002457404772	Global Trend	
3200000	503.618511	1	-1.534744742385	1.127583683458	-0.052523589939	0.035735371682	0.000097303187	0.960951702555	N\A	0.046850676002	0.005446898618	0.021802030573	38	3	-0.002506687448	Global Trend	
3250000	503.047944	1	-1.382454964457	1.016133534216	-0.032546127319	0.040197353253	0.000169208668	0.969446309283	N\A	0.031159548459	0.004034247473	0.022315292282	36	5	-0.014561918002	Global Trend	
3300000	512.881758	1	-1.493752523243	1.168229155728	-0.052472680597	0.006776790173	0.000105505539	0.965677830727	N\A	0.042389469240	0.004937871160	0.017617817352	27	7	0.002854548404	Global Trend	
3350000	511.821132	1	-1.425427309188	1.090872545571	-0.052261233986	0.064104552978	0.000107062852	0.960162821094	N\A	0.050065469579	0.006813777814	0.022445163654	24	5	-0.000332706072	Global Trend	
3400000	509.482283	1	-1.342170345964	1.067000630723	-0.048127784803	0.059691203386	0.000114812614	0.962937448269	N\A	0.045102431021	0.006216343355	0.021133546604	32	6	0.002465303580	Global Trend	
3450000	508.827886	1	-1.476535134298	1.107485005262	-0.053251996372	0.050777826202	0.000112319863	0.964862024249	N\A	0.048393100749	0.005967355445	0.020770782399	38	5	-0.001490963216	Global Trend	
3500000	511.315070	1	-1.666341733722	1.185903103732	-0.052530220415	0.018941069593	0.000109759050	0.964661943840	N\A	0.043423030167	0.005252581395	0.018767010760	32	4	-0.001056143049	Global Trend	
3550000	509.171366	1	-1.605946173017	1.222961502499	-0.060744248433	0.014714365903	0.000103615419	0.963307275336	N\A	0.046993510313	0.005951726905	0.019910848338	33	3	0.001878342289	Global Trend	
3600000	511.847241	1	-1.744102704838	1.246738815367	-0.061284030354	-0.000451976229	0.000416080840	0.973231179305	N\A	0.043798803897	0.004783930688	0.017717966994	41	8	-0.004887289089	Global Trend	
3650000	505.882432	1	-1.692339903686	1.244829051127	-0.064881528008	0.012386292854	0.000108457156	0.961681492827	N\A	0.047029506287	0.007034354120	0.017613989633	27	4	-0.000484643530	Global Trend	
3700000	509.834158	1	-1.630230596865	1.279308541845	-0.062897460555	-0.009507384183	0.000092162853	0.967038857923	N\A	0.040851346996	0.005309766303	0.018828854814	39	4	0.003692191115	Global Trend	
3750000	516.536796	1	-1.457729275698	1.074052473038	-0.045247804176	0.063755222618	0.000125001165	0.972188550033	N\A	0.042362050014	0.005218195352	0.018556057295	39	5	-0.000299908584	Global Trend	
3800000	512.552455	1	-1.183344687769	0.942064790055	-0.035209678151	0.099524884858	0.000088306112	0.974074807317	N\A	0.023060941693	0.002975678075	0.018705713880	31	7	0.015466563810	Global Trend	
3850000	512.800124	1	-1.106524610082	0.918749661479	-0.040164848327	0.125455959065	0.000079717056	0.990941797784	N\A	0.019026975098	0.002210866796	0.019317783302	44	6	0.024294502911	Global Trend	
3900000	506.054744	1	-1.276825220919	0.978440060402	-0.033123960761	0.055118548183	0.000114499090	0.997202790952	N\A	0.019106792497	0.002046053504	0.020118783279	27	7	-0.071674411577	Global Trend	
3950000	509.918816	1	-1.473750681833	1.004002336555	-0.049776256189	0.102560020687	0.000125929167	0.977421013245	N\A	0.026129173739	0.003259537882	0.022452358127	31	5	-0.024103518683	Global Trend	
4000000	498.665590	1	-1.733441521268	1.248095249570	-0.063778435050	0.029409734690	0.000127348015	0.961694032468	N\A	0.047293216297	0.005612524728	0.019796191434	37	6	0.000224474161	Global Trend	
4050000	500.762719	1	-1.371522886708	1.072675672983	-0.050483279638	0.072960313852	0.000086987714	0.960288649415	N\A	0.044948982556	0.005999113051	0.021930959177	37	2	0.002100883804	Global Trend	
4100000	513.936164	1	-1.570193811397	1.183473651154	-0.055431498945	0.023712690808	0.000101494600	0.961269209865	N\A	0.046405744527	0.006197238896	0.020633981811	37	3	0.001333815108	Global Trend	
4150000	506.408877	1	-1.522599276883	1.112724594225	-0.049113518174	0.039118224366	0.000101885821	0.957483957740	N\A	0.049577066428	0.006744701712	0.021719761039	30	4	-0.000194656872	Global Trend	
4200000	507.035302	1	-1.336378347300	0.990342124544	-0.036854276137	0.052235322102	0.000118308655	0.997978699600	N\A	0.017386844517	0.002149747812	0.018167655681	35	6	-0.082622769614	Global Trend	
4250000	505.929524	1	-1.515489673637	1.103674354787	-0.042412001300	0.020360426720	0.000103843854	0.964270178914	N\A	0.045294094199	0.005185078110	0.018372126419	36	9	-0.002887325572	Global Trend	
4300000	499.361277	1	-1.773258264059	1.200458643948	-0.056876604539	0.012879861158	0.000135162039	0.961702922300	N\A	0.043846973941	0.004935805863	0.021237009082	33	7	-0.005990668040	Global Trend	
4350000	488.458651	1	-1.442806656791	1.082533728518	-0.044157347933	0.046572395357	0.000122639576	0.958125992950	N\A	0.046434322443	0.005942429587	0.017786748868	37	5	0.000934710783	Global Trend	
4400000	513.217105	1	-1.550677957393	1.145303083347	-0.049823604353	0.030056803504	0.000104417318	0.958357343746	N\A	0.047803071305	0.005892203285	0.022400435816	41	4	0.000313037543	Global Trend	
4450000	502.849016	1	-1.202642387944	0.967633201258	-0.037943233105	0.070818562949	0.000101152356	0.994750686786	N\A	0.020731957237	0.002232978592	0.021153112814	29	3	-0.045728217409	Global Trend	
4500000	516.694829	1	-1.581041063212	1.207519481474	-0.062161634633	0.030352831923	0.000162854447	0.963728162196	N\A	0.044431124719	0.006246843090	0.020616582981	34	4	0.001741113191	Global Trend	
4550000	505.727834	1	-1.483982548805	1.114236339114	-0.058079449498	0.089579043929	0.000117758135	0.961293391121	N\A	0.050559182731	0.006838647621	0.022860623001	27	5	0.000031382563	Global Trend	
4600000	500.952694	1	-1.401793304269	1.070342148528	-0.045691247908	0.049923293611	0.000087109556	0.961574205588	N\A	0.047035826574	0.006238345373	0.021151174519	41	5	0.000023006654	Global Trend	
4650000	508.830978	1	-1.661229424634	1.198758959102	-0.058257742944	0.031151151077	0.000069876502	0.969505610185	N\A	0.046860585317	0.004720643660	0.017887159521	36	7	-0.001675494796	Global Trend	
4700000	519.953753	1	-1.690629746274	1.220974852036	-0.063971101484	0.037318138432	0.000113485311	0.964111050378	N\A	0.046240319687	0.005384607399	0.019009921285	37	5	-0.000639415326	Global Trend	
4750000	496.235187	1	-1.377508497604	1.074373009676	-0.046255339039	0.050760110220	0.000103444106	0.961001281771	N\A	0.045853148208	0.005081786715	0.019922458265	23	4	0.002030742381	Global Trend	
4800000	506.151561	1	-1.545557412242	1.130106150554	-0.056805606877	0.065601890501	0.000114617892	0.956415999007	N\A	0.050351148219	0.005665731879	0.019315438126	37	4	-0.001747486003	Global Trend	
4850000	507.511980	1	-1.772029141155	1.293534971054	-0.070770806609	0.010794053570	0.000101489090	0.968862209775	N\A	0.042756045288	0.006347905284	0.020162851300	30	5	-0.000181844423	Global Trend	
4900000	517.904683	1	-1.589738025883	1.132435451897	-0.055306755855	0.051151011368	0.000129318624	0.965101287628	N\A	0.045331931175	0.005166978980	0.021333383446	41	5	-0.005753786408	Global Trend	
4950000	506.916237	1	-1.606884791770	1.194927387742	-0.061514082168	0.033196933638	0.000103659468	0.966199284233	N\A	0.049810755451	0.006793669517	0.020200944928	26	3	-0.000563205838	Global Trend	
5000000	509.779521	1	-1.404092495402	1.094013198408	-0.050201307275	0.052804733436	0.000153542405	0.959501318127	N\A	0.046240495890	0.005707280840	0.020628830578	27	5	0.001835944596	Global Trend	
5050000	501.185085	1	-1.562919434480	1.152980069956	-0.058320737627	0.061274109513	0.000125453653	0.960280540601	N\A	0.049045187462	0.005406331038	0.019572432880	32	3	0.000031257842	Global Trend	
5100000	502.215747	1	-1.564936848832	1.164465949588	-0.060123270210	0.060960770722	0.000114989478	0.960484383632	N\A	0.047398218396	0.006164988650	0.020999817967	34	2	0.000372693609	Global Trend	
