Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-VR-004.txt
Log File Name:                   MES_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            844309174
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	425.762479	1	0.654787239855	0.540978429352	0.094730000910	0.220285700216	0.688679449804	-0.084163121551	0.327877221989	0.063687181542	0.081573111668	-0.111991959924	0.009621635699	-0.016540723848	0.000225537685	0.940637355506	N\A	0.058890884312	0.193295703818	0.181653589137	0.186656056303	0.266259667683	0.257287682040	0.061628039437	0.060623167138	0.060437331896	0.065945053639	0.062315859540	50	25	
1550000	421.283617	1	0.795291759363	0.586943907751	0.209270899505	-0.052828303129	0.270128367015	-0.087971514297	0.260383190719	0.028452049985	0.013488335622	-0.102260090108	0.013139184663	-0.095407919674	0.000231155685	0.961271631964	N\A	0.049211258728	0.294533156711	0.170650163231	0.191178924584	0.208783552088	0.251187369404	0.050050774522	0.051051757620	0.054901730003	0.058410919740	0.053102866706	40	23	
1600000	444.430863	1	0.466953532994	0.536130206110	0.194267846768	0.238364410841	0.709098917389	0.203753931907	0.673516983076	0.100164589835	0.104572592033	-0.068139762344	-0.012842480995	-0.033276626353	0.000261026432	0.946877578296	N\A	0.051162535146	0.195279631845	0.187687086826	0.212643207422	0.209768188522	0.272041879896	0.053442187118	0.052576484971	0.057601341037	0.062105779503	0.054539180839	45	16	
1650000	425.413049	1	0.619344858613	0.535990426234	0.141718232143	0.342796739461	0.524023391957	0.043785722583	0.372428550487	0.133683364461	0.067736963644	-0.110627586273	0.065897760108	-0.041956221451	0.000173137331	0.939750078734	N\A	0.040328394057	0.153678497458	0.144878253666	0.271020254926	0.164118789435	0.226703277100	0.043972634404	0.042222958598	0.048352335382	0.051343196760	0.046986934056	44	26	
1700000	447.686801	1	0.888206803409	0.546608968216	-0.031071714239	-0.023339333214	0.499098258670	-0.067488381811	-0.006008936533	0.049915809208	0.074870861402	-0.079583281137	-0.026069811079	-0.061221345105	0.000299868792	0.952019057775	N\A	0.029450508650	0.155404660892	0.143287945939	0.172276568177	0.181475678165	0.278147697283	0.034268648006	0.031149005993	0.038082350858	0.047468254190	0.036375319296	44	28	
1750000	433.668299	1	0.851911310303	0.485336281147	0.061103176171	0.029675037048	0.586795807362	-0.101199137457	-0.075182622063	0.105700738696	0.149435218538	-0.040599633848	0.115689156316	0.029464602024	0.000336401069	0.948699580508	N\A	0.046418351470	0.162086255753	0.156046073963	0.213296471139	0.192566064209	0.265624272431	0.048685581109	0.047777732302	0.051390260665	0.060306425909	0.051849141361	39	24	
1800000	426.829124	1	0.638380380854	0.547137680763	0.212047776233	0.134217711470	0.642486134988	-0.042791830779	0.538450702899	0.064523281216	0.085022496980	-0.114504526349	0.022460609551	-0.076424193652	0.000198491084	0.944901783853	N\A	0.047495444640	0.169608744242	0.158669700799	0.174265190923	0.174940565381	0.236739852934	0.050072609610	0.049147695724	0.051300433499	0.055660573402	0.052526636520	46	32	
1850000	429.711380	1	0.463446107239	0.617159256384	0.126117579441	0.221292158919	0.899216062631	0.517053968369	0.686876099353	0.015568486657	-0.004724079947	-0.134815484356	-0.169877511781	-0.114040096606	0.000186125449	0.944485739764	N\A	0.063931835071	0.227944365332	0.221350186256	0.252446503612	0.268262635984	0.390168097852	0.065755785018	0.065045020834	0.069564657523	0.077831767971	0.066786468408	51	24	
1900000	430.570322	1	0.520984049678	0.643471544660	0.223571524519	0.212876164794	0.868544319485	0.075332778739	0.409400508726	-0.030924607939	-0.003676238005	-0.211465481071	-0.034944129327	-0.104736594346	0.000142580127	0.947224563492	N\A	0.036125938053	0.151287402014	0.138044813297	0.164517312441	0.151285882599	0.202961048360	0.039035974692	0.038199914256	0.044169237735	0.045936064783	0.042836273978	50	30	
1950000	433.867442	1	0.515018183703	0.598044843746	0.265355889664	0.286140068692	0.682697025006	0.098408071647	0.619231517138	0.043354716768	0.023647633649	-0.164976501552	0.001371339237	-0.111491039379	0.000175493258	0.943786647953	N\A	0.040919044937	0.158749504741	0.149242431616	0.169355431062	0.162271413908	0.217990093513	0.045768371735	0.042606397827	0.047608166215	0.049830916507	0.044753998871	49	25	
2000000	425.829829	1	0.957815907009	0.589048509109	-0.039327557700	-0.165552518178	0.201239485534	-0.422116172851	-0.008631636389	0.027553379837	0.055040723483	-0.104861517422	0.071945028980	-0.066592554360	0.000217612773	0.956587585073	N\A	0.045474992485	0.402464655594	0.398122833439	0.408350317935	0.407423077774	0.436585614959	0.048560156680	0.046487301357	0.051779886001	0.057798490679	0.049408547705	46	31	
2050000	426.005748	1	0.773836605886	0.509544872773	-0.117542082430	-0.035319420009	0.295210341368	-0.120042248238	0.287142953578	0.122922609834	0.127328553765	-0.016408869392	0.023952285471	0.019527374975	0.000245497069	0.935999721180	N\A	0.051001811832	0.190479221884	0.179764317084	0.204131287945	0.195128200124	0.268008549307	0.054424422435	0.052486508432	0.057722769663	0.058550749887	0.057236027874	47	24	
2100000	437.620396	1	0.558864424500	0.576495284074	0.121777619824	0.141562717157	0.505074770761	0.082660552698	0.589607414817	0.059583012684	0.047520801051	-0.077002666740	-0.017041945481	-0.076547368574	0.000296589514	0.949911779041	N\A	0.064999451200	0.202861128094	0.196657974487	0.226355280120	0.215700649374	0.291773055287	0.066450544798	0.066015112078	0.071073019048	0.072380125829	0.069256918269	50	22	
2150000	442.152639	1	0.949570669087	0.495784919505	-0.061022474129	-0.024280777489	0.446734524925	-0.156673050415	-0.174488354982	0.116154499555	0.144790146877	-0.055452043283	0.068344356082	0.042427457634	0.000244734315	0.941856334918	N\A	0.047218986415	0.183646260596	0.171316987860	0.183769773829	0.189528336602	0.254693631718	0.050915161681	0.048785946924	0.050803106239	0.057499245764	0.051270673112	44	31	
2200000	438.115751	1	0.842656494224	0.529440487777	-0.099515350074	-0.086257269544	0.331098062439	-0.355282977905	0.203199326861	0.107968108821	0.110383454667	-0.025879969680	0.088912956746	0.046998508112	0.000293790804	0.939777593691	N\A	0.053218172543	0.193730298618	0.185468259823	0.221262544978	0.202292209451	0.530430197358	0.056858635252	0.054556952401	0.059705282224	0.061143775256	0.058076501506	56	20	
2250000	440.441961	1	0.608428834512	0.621672348801	0.086573397916	0.202538271622	0.621533407221	-0.005914487441	0.649990399924	0.018839371649	0.013537555129	-0.156076600656	-0.076123606098	-0.092054176645	0.000238357047	0.947341268120	N\A	0.047268760758	0.171526326631	0.163075589953	0.173762362082	0.186917583477	0.423617099652	0.051942510371	0.048447590861	0.052863840889	0.062982618297	0.051209836314	54	23	
2300000	427.308999	1	0.574386433009	0.496253532812	0.048078208692	-0.022523391353	0.400418729895	-0.057654981238	0.721875138231	0.084879520830	0.146946537063	-0.034005672206	0.047932144843	0.014334893400	0.000523517419	0.949122600991	N\A	0.080943395777	0.247076279010	0.241041138435	0.271326895053	0.246299432391	0.373433947570	0.082406679598	0.081756192938	0.083370813595	0.084926062311	0.084224757289	41	30	
2350000	409.893607	1	0.197568312635	0.731378345615	0.789139626607	0.734067781875	0.938339278675	0.483664938340	0.677518462410	-0.130923015277	-0.094894013692	-0.240552945789	-0.189520974506	-0.197857299612	0.000425788821	0.943362073180	N\A	0.074742997566	0.304568216827	0.299621355832	0.333419977865	0.308402979543	0.398006636728	0.076016456508	0.075839921731	0.081430025709	0.080789947884	0.079319316406	41	34	
2400000	438.819573	1	0.409558148426	0.633916128247	0.258706375037	0.390102052503	0.700056984600	0.164656841129	0.852056012726	0.024405914604	-0.009931118145	-0.165730131196	-0.032257437511	-0.117344508460	0.000271372429	0.939828172714	N\A	0.050733150402	0.183826153382	0.175051353984	0.205342309750	0.184466669754	0.341932725106	0.053980845681	0.052182702091	0.056878440077	0.058045499818	0.055505368634	50	22	
2450000	440.111797	1	0.791114296898	0.486723558341	0.166172788196	0.086557052586	0.622668375140	-0.156680243927	0.064429233343	0.101362371127	0.129550100030	-0.047890276392	0.159236480672	0.029076870783	0.000333668437	0.946575980681	N\A	0.056566396889	0.197111654718	0.189522181773	0.212145680366	0.219688652226	0.299191789015	0.059486454772	0.057720316508	0.058710278704	0.072323567922	0.060478721589	47	30	
2500000	433.653498	1	0.583815773989	0.570128480482	0.135243971600	0.045015583688	0.512550104956	0.035532119057	0.566934052197	0.066025076334	0.076753640453	-0.063719736485	-0.030688411713	-0.064043021482	0.000174145746	0.948452480635	N\A	0.043212035543	0.158898262802	0.149834925334	0.169200945869	0.179366050213	0.225084896665	0.046225549521	0.044754205827	0.048407448803	0.058208981924	0.048587651865	51	30	
2550000	429.716131	1	0.524983463720	0.578098542644	0.303890496610	0.115557736791	0.650963457519	-0.013550543459	0.620517849593	0.010620889727	0.054859310080	-0.092655753929	0.019397370397	-0.054026454479	0.000307305980	0.934991604720	N\A	0.043066697783	0.167169900748	0.154161589893	0.171247958797	0.172950942594	0.253758606398	0.048762318816	0.044854022693	0.047792687350	0.054217998188	0.048249114951	56	19	
