Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-VR-003.txt
Log File Name:                   MED_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2161317829
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	591.775557	1	-0.261853459897	0.647503693124	0.204585506197	-0.009348609354	0.000122769571	0.978769858538	N\A	0.026231507542	0.023378486066	0.002961058628	47	23	
1050000	583.027483	1	-0.095599031098	0.532154750325	0.337570187436	-0.022628659942	0.000052427557	0.979298066437	N\A	0.028536972110	0.024973597623	0.003065076304	39	30	
1100000	587.736695	1	-0.052520766596	0.520525495525	0.319743021873	-0.014747146005	0.000047943679	0.979759966129	N\A	0.026798018113	0.023676337492	0.002945460391	44	26	
1150000	601.960420	1	-0.119723441507	0.571127637275	0.273113717706	-0.013661783230	0.000048093080	0.981362960037	N\A	0.026390923729	0.023582332590	0.002921329707	33	24	
1200000	592.684153	1	-0.128912676348	0.548390232562	0.304820549602	-0.013739874297	0.000100497335	0.984829738361	N\A	0.024494730240	0.022236826923	0.002691336638	49	30	
1250000	598.374246	1	-0.117262503873	0.566703275454	0.277292792404	-0.013210757432	0.000145979997	0.985344811988	N\A	0.026016949218	0.023044651798	0.002938440946	56	34	
1300000	597.618023	1	-0.204167982740	0.606573899629	0.235137036736	-0.008107904699	0.000043968831	0.979819199411	N\A	0.026307997571	0.023631783688	0.003248012125	57	34	
1350000	606.467363	1	-0.133754371266	0.587003935099	0.245964419627	-0.010355025284	0.000046366342	0.979045488051	N\A	0.027252578652	0.023818193737	0.003101162180	52	38	
1400000	580.038636	1	-0.142951892379	0.571487882912	0.296655165240	-0.016109856869	0.000067556705	0.983443579239	N\A	0.026313333764	0.023842835944	0.003027437418	65	29	
1450000	573.168395	1	0.012827584489	0.484329980688	0.359484523040	-0.017977142656	0.000059768513	0.981774150472	N\A	0.025184908141	0.022930216490	0.003099681024	45	24	
1500000	596.776803	1	0.012400298514	0.473962993677	0.349483745096	-0.015672792598	0.000083893214	0.988219511900	N\A	0.026323206535	0.021406007267	0.002429318852	48	34	
1550000	603.373805	1	-0.244467953262	0.622273163164	0.241894729365	-0.014706026859	0.000053117860	0.979230883782	N\A	0.025344364891	0.022508345859	0.003015856147	49	28	
1600000	569.693456	1	-0.328533328757	0.667746566664	0.231430743405	-0.017946575260	0.000100172257	0.977266429118	N\A	0.026782577751	0.023684748761	0.002868003749	52	28	
1650000	597.696894	1	-0.201155642418	0.601050449676	0.252504497125	-0.008482911479	0.000064169831	0.985301750761	N\A	0.025958289561	0.022451977489	0.002622764979	51	25	
1700000	605.281907	1	-0.179970222937	0.579901232824	0.299718205820	-0.019368551994	0.000035476741	0.982812964050	N\A	0.024571555319	0.021917655150	0.002912827338	54	45	
1750000	597.426699	1	-0.203136880824	0.609569818840	0.238801778634	-0.008982721510	0.000064545770	0.982414355169	N\A	0.025996472782	0.023175394405	0.002921470943	42	31	
1800000	613.231368	1	-0.217987318122	0.614920608230	0.236496266317	-0.009980097594	0.000045249110	0.983151968379	N\A	0.024931098708	0.021595783018	0.002390841937	44	30	
1850000	595.384624	1	-0.191294695747	0.603755449623	0.274347666493	-0.018114605661	0.000016346773	0.983989590787	N\A	0.028059841832	0.023356439911	0.002709589102	49	31	
1900000	609.243725	1	-0.197809873104	0.608510421075	0.264262255655	-0.017173675368	0.000013531799	0.987152630429	N\A	0.026045434102	0.022486521101	0.002754677485	65	29	
1950000	607.131580	1	-0.125043188758	0.582407190148	0.262207635440	-0.010353404879	0.000015478333	0.980336633361	N\A	0.026386928623	0.023800031648	0.002935821687	48	30	
2000000	589.158428	1	-0.045388293793	0.519590918647	0.309870408254	-0.012760778798	0.000009105718	0.979457473118	N\A	0.027155447176	0.023971374226	0.003317016508	41	30	
2050000	607.786364	1	-0.104483356300	0.559635417010	0.269499276066	-0.010060073772	0.000010656939	0.980801295280	N\A	0.026219156876	0.022748119943	0.002693342216	54	34	
2100000	592.961161	1	-0.215579390125	0.615222393648	0.254987338809	-0.015175547619	0.000026824371	0.981854752208	N\A	0.026659183059	0.022631254408	0.002709467558	55	30	
2150000	593.071170	1	-0.056779791994	0.523158882164	0.328134743888	-0.017187114645	0.000013513901	0.981199818721	N\A	0.025892926686	0.021926942062	0.002661961092	37	30	
2200000	578.581266	1	-0.214371898289	0.618502681060	0.234348333420	-0.011384279529	0.000034653760	0.980332028422	N\A	0.027265373412	0.024293624143	0.002959158735	49	21	
2250000	593.252288	1	-0.265695628018	0.655083106331	0.215176968588	-0.013874554156	0.000107606040	0.979364374561	N\A	0.027349212443	0.024165859283	0.002746065351	46	25	
2300000	599.224246	1	-0.055471844524	0.534998712111	0.314289535645	-0.016309445268	0.000037794641	0.982097877903	N\A	0.026132441677	0.022804864496	0.002842079409	54	28	
2350000	597.094662	1	-0.226771197771	0.646330513884	0.210523746182	-0.011059218051	0.000068549549	0.979542817334	N\A	0.026029290840	0.022513491350	0.002772063637	53	24	
2400000	597.464776	1	-0.147179513620	0.585207881712	0.265959594713	-0.013092371612	0.000067480560	0.981333915220	N\A	0.026763801124	0.023252136692	0.002837159457	50	23	
2450000	605.661596	1	-0.096245956863	0.553100961222	0.286778274568	-0.013587129906	0.000108938116	0.980279962738	N\A	0.026447288029	0.024352337254	0.002953283075	42	26	
2500000	608.827416	1	-0.139206076683	0.552991874690	0.306908106698	-0.014960743294	0.000068356474	0.983456728333	N\A	0.027456607724	0.023294631559	0.002525288526	38	33	
2550000	584.375332	1	-0.182390671915	0.585723856490	0.277233587752	-0.014831891851	0.000049950585	0.983295749544	N\A	0.026791599008	0.023045159878	0.002521982074	57	41	
2600000	580.315547	1	-0.039013081083	0.530211980701	0.293119149272	-0.012252493476	0.000045346485	0.979779069283	N\A	0.027247504423	0.024816663728	0.003311455858	56	37	
2650000	595.435233	1	-0.102746225831	0.543090560006	0.300878607921	-0.011742019558	0.000052781778	0.982581241666	N\A	0.023416350863	0.022282238293	0.003009443601	46	34	
2700000	617.184703	1	-0.147561044247	0.580605024499	0.259158062107	-0.011075248515	0.000051639169	0.983367105772	N\A	0.024380307308	0.021684976269	0.002837969601	43	32	
2750000	614.823919	1	-0.232682488988	0.628726990839	0.242982453139	-0.012102649837	0.000064454144	0.985333222526	N\A	0.023760925957	0.020018953356	0.002359803830	45	25	
2800000	602.329378	1	-0.064589432537	0.524578880675	0.330903210468	-0.021755423748	0.000075145595	0.983289933714	N\A	0.024954912728	0.022622674316	0.002864418090	46	25	
2850000	600.031730	1	-0.198942914823	0.598466859661	0.272485531807	-0.015086860928	0.000078558925	0.979409357650	N\A	0.027449966083	0.023566848055	0.002687475674	52	23	
