Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m3-glob-004.txt
Log File Name:                   CEREB_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3883840422
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	376.955423	1	0.772415922891	0.793459468274	-0.025802390201	0.000206726030	0.939894879741	N\A	0.023760894026	0.005421687309	40	7	0.000466670874	Global Trend	
1050000	408.195649	1	0.847661770924	0.758988925859	-0.022234194639	0.000311306834	0.953809185262	N\A	0.022175732570	0.005256795517	42	8	-0.000438995255	Global Trend	
1100000	399.140153	1	0.767616408390	0.790734050499	-0.030386804369	0.000308181182	0.950112551093	N\A	0.021919243499	0.004966415182	39	9	0.002840793999	Global Trend	
1150000	386.182466	1	1.097453981347	0.783329902536	-0.028283197746	0.000538888050	0.948955313515	N\A	0.021949436391	0.005423980948	40	9	-0.006524583466	Global Trend	
1200000	397.794563	1	0.889688843239	0.785936931986	-0.031561565116	0.000181184090	0.962460158686	N\A	0.019623570790	0.004577246469	46	6	-0.001720841915	Global Trend	
1250000	405.504878	1	0.951106453528	0.785582352245	-0.027383097939	0.000403517914	0.956980851871	N\A	0.020780503451	0.004713619708	44	8	-0.002689939487	Global Trend	
1300000	395.042816	1	1.048013559532	0.766771310491	-0.026656419753	0.000511251558	0.950332391637	N\A	0.021938612029	0.005355146153	33	11	-0.005381008870	Global Trend	
1350000	413.579746	1	0.777039145425	0.777657205081	-0.024002875775	0.000391595410	0.958944234590	N\A	0.020411919811	0.004922589124	49	9	0.001768012399	Global Trend	
1400000	380.639760	1	0.743675773101	0.798532342488	-0.022243618200	0.000243800316	0.941250550290	N\A	0.024651838250	0.005648529718	43	5	-0.000565049727	Global Trend	
1450000	368.292422	1	0.808267720412	0.754815375801	-0.020830747575	0.000246263259	0.937785138635	N\A	0.024325599144	0.005449823646	37	7	0.000457470274	Global Trend	
