Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-glob-002.txt
Log File Name:                   DIE_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3413952238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	443.436749	1	1.879785860809	-0.384322621466	0.014191081198	-1.242621624152	-0.480642543901	-1.104356644315	-0.827306100575	1.072069509421	1.082061245350	0.951703290656	0.958430855681	0.960202194453	0.000158194459	0.999921543651	N\A	0.093940741059	0.106815115963	0.101950737357	0.137093062382	0.118775396335	0.186787314774	0.095024568841	0.094609577992	0.096490344154	0.096526186639	0.095889628503	44	15	-0.437690202252	Global Trend	
1550000	422.733605	1	1.728473751314	-0.297864822430	-0.343105198801	-1.519467650746	-1.031374064227	-1.232550480614	-0.775402439127	0.995548765871	0.967256536191	0.909851645179	0.874236015703	0.868063672259	0.000321231176	0.950480421201	N\A	0.131212024936	0.251468885664	0.247188690831	0.257005548212	0.249444404558	0.292541523751	0.132247892644	0.131893119647	0.134080050939	0.132922773150	0.132961665109	30	16	-0.000350520989	Global Trend	
1600000	440.765063	1	1.588764532813	-0.087758008082	0.168092194986	-0.875492865913	-0.428743711665	-0.694016267467	-0.688067428071	0.784118362662	0.761833805576	0.730574996277	0.641977939966	0.687508566230	0.000114840336	0.999998264472	N\A	0.103842292600	0.108936121290	0.101713398954	0.128274955913	0.112841550172	0.175515351582	0.104727689995	0.104458742388	0.106007520039	0.106093355728	0.107287151226	36	14	1.822983277223	Global Trend	
1650000	433.653912	1	1.146139894105	0.173688658379	0.254925801172	-0.791970001962	-0.015899777020	-0.550065096534	-0.068814085234	0.506621982994	0.527926948595	0.431250205356	0.412988256302	0.402989376306	0.000260059906	0.959687764107	N\A	0.130039751147	0.138896859044	0.133581616600	0.154429479598	0.140786579961	0.192729196939	0.130810132957	0.130669150268	0.131791223403	0.131088662151	0.130907933428	37	9	-0.001051642024	Global Trend	
1700000	421.144046	1	0.877305778808	0.371093508791	0.507519875375	-0.458085508689	0.000716329505	-0.214698646931	-0.599406744990	0.316356859302	0.328211607961	0.302466732822	0.220439697610	0.226413085472	0.000293796641	0.999733059315	N\A	0.080011490753	0.109315928947	0.098399883162	0.144825011712	0.133359408941	0.191481151800	0.081511030007	0.080960116809	0.084146101450	0.087483469534	0.082985439952	33	7	0.396794484987	Global Trend	
1750000	441.357421	1	0.501324071927	0.622349095079	0.776501890619	-0.310099778609	-0.344354521839	0.016315454327	0.147948283764	0.035791332992	0.074382605598	0.034454350499	-0.064478737644	0.010983241857	0.000141564539	0.999994136622	N\A	0.046244204275	0.089093049628	0.074401943365	0.111725902878	0.091386493968	0.143363004606	0.048944538667	0.047949398194	0.053160535573	0.051437468315	0.049743627633	32	10	1.372622494158	Global Trend	
1800000	438.579925	1	0.524652710404	0.619704697480	0.961080812644	-0.059316857081	0.847437313456	0.020559333750	0.008789910601	0.053801996824	0.065558190172	-0.075743100072	-0.109837402147	-0.088194703236	0.000324166572	0.959834265996	N\A	0.051500297783	0.147378396343	0.141084397350	0.153812322991	0.139947995280	0.219148509397	0.053961735923	0.052623894769	0.058560453157	0.060798081633	0.055724197558	45	11	-0.001594296544	Global Trend	
1850000	440.315780	1	0.809076320452	0.646194518647	0.597343473020	-0.291161481804	0.426512182276	0.094387665988	0.249858572814	0.021794461839	0.049702643325	0.008577455528	-0.032148269610	-0.099280353642	0.000281464410	0.962802465762	N\A	0.063630702639	0.129936088107	0.123024198962	0.160705507046	0.156610179010	0.230174669911	0.065048550426	0.064546512073	0.066896484537	0.070064177012	0.068525372026	35	11	0.000483058335	Global Trend	
1900000	429.924426	1	1.162291894898	0.566464738248	0.709120320837	-0.271215942530	0.186714452803	0.064511131229	-0.430405084813	0.102172641907	0.125557019079	0.073271968893	-0.020192510272	0.019790566439	0.000350636281	0.958998848499	N\A	0.047869400293	0.098456105953	0.090885634094	0.146433351478	0.126226222152	0.209409458164	0.049522863249	0.049566071093	0.057864624395	0.059355523679	0.054722189084	34	7	-0.004460318763	Global Trend	
1950000	443.874854	1	1.020039099316	0.525034775485	0.406099058533	-0.362475511077	0.701385918276	-0.322743399986	-0.341787800963	0.129176156242	0.178255762769	-0.033094834833	0.055894631808	0.064969752028	0.000258957345	0.999356319639	N\A	0.045960885884	0.089758959957	0.079475281161	0.122792779234	0.111191631550	0.184076448129	0.048522435005	0.047631253418	0.051748449292	0.055044950460	0.051780749979	30	8	-0.329756120438	Global Trend	
