Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m6-glob-002.txt
Log File Name:                   NEO_d1_m6-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4245843219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m6-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	649.212254	1	-1.027883706651	1.196250265478	-0.074470958398	0.000028180431	0.991255917889	N\A	0.019459894925	0.013298673475	39	2	0.001382633500	Global Trend	
2450000	645.362205	1	-0.930136282489	1.171126667850	-0.053227168198	0.000082928425	0.991175148044	N\A	0.017040286402	0.012130762226	50	2	0.008151201733	Global Trend	
2500000	648.270465	1	-0.889715888694	1.110455274420	-0.014241353981	0.000070155257	0.993125004049	N\A	0.016815950073	0.010454672832	43	2	0.003442892286	Global Trend	
2550000	639.564095	1	-0.962527491410	1.138586125426	-0.018526216676	0.000099420523	0.990880852758	N\A	0.017642546305	0.012239332461	34	4	0.006011731576	Global Trend	
2600000	656.950523	1	-0.883177897465	1.129712967066	-0.023348924580	0.000029393502	0.992104685360	N\A	0.015308563262	0.010817756195	43	1	0.004517840107	Global Trend	
2650000	664.537645	1	-0.917152041653	1.127675389958	-0.033966302032	0.000011290738	0.993450562591	N\A	0.014888254345	0.010180169934	43	1	0.000596964030	Global Trend	
2700000	649.676229	1	-0.946132326984	1.135607643245	-0.040130198550	0.000042455746	0.993248719681	N\A	0.015555397115	0.010379891164	34	2	0.002985459122	Global Trend	
2750000	656.651913	1	-0.990547562107	1.135819055452	-0.035698234946	0.000081057280	0.991925598537	N\A	0.016699941357	0.011540517161	34	3	0.001821005438	Global Trend	
2800000	654.371602	1	-0.938043086347	1.146075294297	-0.036657150292	0.000084121163	0.990735377915	N\A	0.017935913495	0.012588314729	37	4	0.007159597496	Global Trend	
2850000	663.029533	1	-1.060474066642	1.187670168568	-0.063368483840	0.000020689257	0.991573949129	N\A	0.018075629513	0.011839225008	40	3	0.000215997184	Global Trend	
2900000	656.528766	1	-0.966296729169	1.165176634587	-0.053740797519	0.000038520323	0.992736375828	N\A	0.015947198155	0.010587494455	44	4	0.002679374959	Global Trend	
2950000	648.889791	1	-0.806780162953	1.105273424760	-0.016413212815	0.000099313974	0.992636267656	N\A	0.015287402604	0.010829786899	34	4	0.005689014068	Global Trend	
3000000	639.354605	1	-0.944527399583	1.114998439792	-0.015456590711	0.000074388134	0.990053753744	N\A	0.017559247660	0.012426625984	46	5	0.004562551434	Global Trend	
3050000	656.130590	1	-0.939887075353	1.158130794857	-0.043015959536	0.000062528729	0.992190815374	N\A	0.017392104309	0.012030496099	37	1	0.005703040898	Global Trend	
3100000	652.745675	1	-0.864106623498	1.157485278975	-0.048159605430	0.000132595666	0.991624984692	N\A	0.016528894118	0.011137890504	48	2	0.013418624407	Global Trend	
3150000	644.001692	1	-0.980778573128	1.138538505799	-0.024929590869	0.000105720526	0.991184327437	N\A	0.017263853373	0.012041419309	41	2	0.002033017086	Global Trend	
3200000	646.139774	1	-0.884711758162	1.138090699481	-0.039968527515	0.000076795746	0.991661603633	N\A	0.016664427252	0.011810952720	38	1	0.006426931173	Global Trend	
3250000	641.592929	1	-0.920133455970	1.125438887747	-0.032377033960	0.000033565289	0.993534773474	N\A	0.014405396189	0.010240954922	33	3	0.001929076370	Global Trend	
3300000	646.246347	1	-0.999621809450	1.157617212174	-0.046255064829	0.000042569944	0.991295953590	N\A	0.019582166850	0.013587672686	51	1	0.002583802859	Global Trend	
3350000	645.624496	1	-1.021343815657	1.170948532324	-0.053901920813	0.000028813334	0.992056394621	N\A	0.018794292792	0.012840458343	36	1	0.001650213133	Global Trend	
3400000	638.072252	1	-0.948781665370	1.129872010255	-0.034410107377	0.000018746639	0.991592796247	N\A	0.019128492410	0.013438440572	35	2	0.001014106905	Global Trend	
3450000	652.183748	1	-0.924389573084	1.117241833251	-0.018543352996	0.000036579228	0.991734895633	N\A	0.018077311919	0.012224512458	35	2	0.002829944235	Global Trend	
3500000	656.968884	1	-0.993831465150	1.166934620685	-0.043505936168	0.000052744708	0.992706556107	N\A	0.017313237287	0.010527448667	31	2	0.003718770667	Global Trend	
3550000	640.149789	1	-0.991249557666	1.128547135381	-0.025241504719	0.000055969436	0.991325657238	N\A	0.015169986875	0.010524477264	46	4	0.000955167572	Global Trend	
3600000	632.889601	1	-1.017637240124	1.161803199909	-0.047048857004	0.000071291045	0.991169211655	N\A	0.016829372234	0.010629304187	45	2	0.002477737922	Global Trend	
3650000	644.510894	1	-0.989512148558	1.132577501532	-0.038099451859	0.000071712643	0.993945530064	N\A	0.013641033991	0.009196639441	49	2	0.003197901279	Global Trend	
3700000	650.119703	1	-0.889468035652	1.098373279253	-0.013284593257	0.000064306842	0.996876093137	N\A	0.009506201362	0.005552335772	43	2	0.002512924747	Global Trend	
3750000	664.757984	1	-0.846581042360	1.167621241910	-0.048146043898	0.000077207262	0.992774759971	N\A	0.016201953282	0.011007020812	37	1	0.016095825744	Global Trend	
3800000	653.848663	1	-0.956183076311	1.176599356573	-0.065095424273	0.000096380483	0.993516163154	N\A	0.014348443755	0.009814097050	39	1	0.011568446589	Global Trend	
3850000	643.707357	1	-0.950146023076	1.182477820825	-0.055646361733	0.000105398024	0.991901431889	N\A	0.018789620003	0.013069425183	54	3	0.008588978755	Global Trend	
3900000	635.422946	1	-0.946456992912	1.107021079613	-0.019853877685	0.000056821159	0.990311833488	N\A	0.016302075956	0.011532288654	43	2	0.001123958244	Global Trend	
3950000	645.435073	1	-0.943649142705	1.127856830843	-0.033320705241	0.000165624330	0.991914167166	N\A	0.014860751985	0.010701769642	45	3	0.011280579624	Global Trend	
4000000	633.305756	1	-0.951020850005	1.173159282422	-0.035510013287	0.000044992799	0.992116973653	N\A	0.018370115752	0.012326817232	46	3	0.005440127404	Global Trend	
4050000	652.836305	1	-0.963473838791	1.170827343528	-0.047768113542	0.000071897154	0.992232695975	N\A	0.015693613472	0.010690578142	46	2	0.005752850070	Global Trend	
4100000	647.356935	1	-0.976402806429	1.143859165918	-0.040871812075	0.000067152969	0.992866020056	N\A	0.013529916246	0.008964261547	43	3	0.005712161464	Global Trend	
4150000	650.110663	1	-1.040695247890	1.115247531006	-0.016638497001	0.000018783604	0.993176856316	N\A	0.014607465425	0.009136664760	45	2	-0.000832870317	Global Trend	
4200000	657.236683	1	-1.094515790168	1.131143701818	-0.037881160935	0.000012247299	0.992136220336	N\A	0.016870224152	0.011872720596	33	4	-0.000840793288	Global Trend	
4250000	650.176117	1	-1.075461252020	1.131710323568	-0.042453455975	0.000013375768	0.992204763891	N\A	0.018376996910	0.012690334012	44	3	-0.000332756996	Global Trend	
4300000	645.942838	1	-1.119267549678	1.147339544428	-0.046765215938	0.000012690881	0.991822069915	N\A	0.017626675968	0.011844313453	42	2	-0.000422384984	Global Trend	
4350000	644.230889	1	-1.083339685463	1.122603709953	-0.026507466612	0.000116504102	0.992239070395	N\A	0.016184132710	0.011236471611	45	3	-0.001085446057	Global Trend	
4400000	646.513217	1	-0.875890090739	1.075792380390	0.003760232038	0.000204838203	0.992153848439	N\A	0.014714845243	0.010563146873	30	2	0.006611473144	Global Trend	
4450000	662.076763	1	-0.941897372837	1.132531001218	-0.034346076357	0.000077561679	0.992927456518	N\A	0.015875318436	0.010989141257	43	7	0.000868221129	Global Trend	
4500000	659.320916	1	-1.106642752740	1.129029697966	-0.030512869714	0.000039893580	0.991267970643	N\A	0.015627607374	0.010842401908	43	7	-0.002308165588	Global Trend	
4550000	641.300997	1	-0.963606785858	1.127919854719	-0.027729951033	0.000043356140	0.991482118278	N\A	0.014665053508	0.010451709738	41	3	0.000797468985	Global Trend	
4600000	648.314531	1	-0.838697003964	1.107262147368	-0.016358120004	0.000048943820	0.992273429508	N\A	0.015779863893	0.010943454450	42	3	0.006983510037	Global Trend	
4650000	649.974919	1	-0.804723446738	1.079136098229	0.004945709413	0.000073568368	0.991123796127	N\A	0.014950094727	0.010356500967	38	3	0.007585571104	Global Trend	
4700000	642.644827	1	-0.915804108215	1.123571269872	-0.026482985253	0.000060675968	0.992411465327	N\A	0.016324312096	0.011845343427	41	1	0.005854824970	Global Trend	
4750000	648.025196	1	-0.951280799596	1.136895289151	-0.041050840248	0.000035125768	0.991835804840	N\A	0.017716485924	0.012177203052	43	4	0.001837458032	Global Trend	
