Species_TTOL	DIE	rest_of_brain	BOD
Suncus_etruscus	0.643	1.76381793243763	0.762
Suncus_murinus	1.382	2.54992986543294	1.529
Sylvisorex_granti	1.004	2.19026550669	0.591
Suncus_megalura	1.09	2.24721153694055	0.74
Talpa_europaea	1.907	2.9763963558453	1.908
Tenrec_ecaudatus	2.187	3.35823796436117	2.935
Aepyprymnus_rufescens	3.032135	4.0785367274352	3.392697
Antechinus_flavipes	1.70927	2.78774994860876	1.568202
Antechinus_minimus	1.800029	2.86153430048589	1.724276
Bettongia_gaimardi	3.007705	4.04663551459762	3.176091
Bettongia_penicillata	2.933791	3.98021273823091	3.079181
Burramys_parvus	1.9154	2.92464113314859	1.770852
Cercartetus_nanus	1.583199	2.67775290596171	1.278754
Dactylopsila_trivirgata	2.659346	3.76646475332113	2.643453
Dasycercus_cristicauda	2.120903	3.16814378922862	2
Dasyuroides_byrnei	2.115943	3.1709361619783	2.146128
Dasyurus_geoffroii	2.60021	3.70221513935253	2.69897
Dasyurus_hallucatus	2.389343	3.45874340368618	3.021189
Dendrolagus_lumholtzi	3.272538	4.32056441398414	3.78533
Distoechurus_pennatus	1.93902	2.99668674974598	1.633468
Dorcopsis	3.171726	4.18833195300086	3.462398
Echymipera_kalubu	2.423246	3.52847956017657	2.819544
Gymnobelideus_leadbeateri	2.276002	3.34769853893654	2.041393
Hypsiprymnodon_moschatus	2.647285	3.74212014161771	2.748188
Isoodon_macrourus	2.42341	3.58290385753117	3.033424
Isoodon_obesulus_obesulus	2.516271	3.62554911049539	3.004321
Osphranter_antilopinus	3.631241	4.71459609027679	4.537819
Macropus_giganteus	3.658393	4.77506983526938	4.563481
Notamacropus_irma	3.33666	4.36841530467472	3.819544
Notamacropus_parma	3.172311	4.20117855029655	3.536558
Notamacropus_parryi	3.470704	4.51970786965636	4.170262
Osphranter_robustus	3.498999	4.66347772236744	4.409933
Osphranter_rufus	3.656577	4.6959083965357	4.494155
Thylamys_pallidior	1.678518	2.76345797589405	1.477121
Marmosops_impavidus	1.928396	3.05568408388292	1.845098
Monodelphis_brevicaudata	1.85248	2.94537022663038	1.924279
Notoryctes_typhlops	1.854306	2.91376083971985	1.531479
Petauroides_volans	2.57588	3.62032345471659	3.09691
Petaurus_australis	2.746089	3.77024778429207	2.748188
Petaurus_breviceps	2.300378	3.32467344517594	2.113943
Petaurus_norfolcensis	2.442009	3.45766979672993	2.374748
Petrogale_inornata	3.156852	4.23497248958282	3.628389
Petrogale_lateralis	3.061075	4.16786355239828	3.556303
Petrogale_penicillata	3.276002	4.31879823891567	3.690196
Petrogale_purpureicollis	3.182415	4.24652097310723	3.740363
Petropseudes_dahli	2.671636	3.69722055952986	3.127105
Phascolarctos_cinereus	3.189209	4.22355030391757	3.968483
Planigale_ingrami	0.920123	1.97840863192174	0.826075
Planigale_maculata	1.214844	2.30272041723985	1.041393
Potorous_tridactylus_tridactylus	2.932271	3.99808497676137	3.089905
Pseudochirulus_canescens	2.253096	3.33597913853393	2.447158
Pseudochirulus_forbesi	2.426023	3.47922966682932	2.70757
Sarcophilus_harrisii	3.026533	4.14834965764349	3.732394
Sminthopsis_crassicaudata	1.475671	2.53750425778387	1.146128
Sminthopsis_leucopus	1.636488	2.66164229549523	1.361728
Phalanger_gymnotis	3.023664	4.06032757480693	3.451786
Thylacinus_cynocephalus	3.60401	4.70915133299125	4.342423
Thylogale_billardierii	3.262925	4.34805949126278	3.845098
Thylogale_stigmatica	3.218536	4.25065668458073	3.653213
Trichosurus_vulpecula	2.912859	4.00237325530746	3.30103
Vombatus_ursinus	3.621124	4.68410274637518	4.357935
Wallabia_bicolor	3.471878	4.55349934894676	4.198657
Balionycteris_maculata	1.613	2.68604357258994	1.158
Casinycteris_argynnis	1.857	2.89835140151989	1.428
Chironax_melanocephalus	1.681	2.75718362381577	1.248
Cynopterus_brachyotis	1.892	2.966833649282	1.53
Cynopterus_horsfieldii	2.037	3.11468350641045	1.773
Cynopterus_sphinx	1.978	3.05354966776212	1.713
Dobsonia_inermis	2.303	3.40766797562694	2.173
Dobsonia_moluccensis	2.543	3.63531672034154	2.543
Dobsonia_praedatrix	2.38	3.45265177566025	2.25
Eidolon_helvum	2.564	3.60406636908379	2.418
Eonycteris_spelaea	2.023	3.09326062869164	1.769
Epomophorus_labiatus	2.134	3.17341455082117	1.806
Epomops_franqueti	2.283	3.3178958890353	2.072
Hypsignathus_monstrosus	2.477	3.51177917774895	2.491
Macroglossus_minimus	1.668	2.72492739657078	1.164
Megaerops_ecaudatus	1.818	2.87855040696948	1.38
Megaloglossus_woermanni	1.728	2.80962194180342	1.253
Melonycteris_melanops	2.023	3.08827988670424	1.675
Melonycteris_woodfordi	1.911	2.98478330621441	1.549
Epomophorus_pusillus	1.831	2.8916991691473	1.4
Myonycteris_torquata	1.997	3.04038415947288	1.561
Notopteris_macdonaldi	2.073	3.14143861060649	1.841
Nyctimene_albiventer	1.817	2.89166094946112	1.473
Nyctimene_robinsoni	1.977	3.06521908417013	1.673
Nyctimene_vizcaccia	1.9	2.97019608506253	1.549
Paranyctimene_raptor	1.762	2.83904237199348	1.417
Pteropus_alecto	2.759	3.82069860124938	2.775
Pteropus_conspicillatus	2.836	3.89493121910952	2.875
Pteropus_hypomelanus	2.637	3.69716131393364	2.591
Pteropus_lylei	2.711	3.75598421253182	2.497
Pteropus_neohibernicus	2.857	3.92848620624869	2.924
Pteropus_poliocephalus	2.784	3.83016987335255	2.842
Pteropus_samoensis	2.671	3.73626675041077	2.491
Pteropus_scapulatus	2.64	3.70549571470575	2.574
Pteropus_temminckii	2.622	3.66354900940771	2.398
Pteropus_tonganus	2.713	3.75825829746648	2.652
Pteropus_vampyrus	2.837	3.92972371176801	3.027
Rousettus_aegyptiacus	2.284	3.32486399626551	2.111
Rousettus_amplexicaudatus	2.093	3.1617898919156	1.856
Scotonycteris_zenkeri	1.763	2.8251361190744	1.328
Sphaerias_blanfordi	1.833	2.89058047078486	1.47
Syconycteris_australis	1.685	2.75449107699007	1.207
Anoura_caudifer	1.476	2.5806238378183	1.025
Anoura_geoffroyi	1.618	2.74657171798292	1.204
Ardops_nichollsi	1.609	2.72119019257957	1.352
Artibeus_cinereus	1.513	2.64696591916355	1.1
Artibeus_concolor	1.649	2.77277474031503	1.288
Artibeus_jamaicensis	1.861	2.98333261088124	1.613
Artibeus_lituratus	1.933	3.06496819373968	1.748
Aselliscus_stoliczkanus	0.991	2.14627742243429	0.69
Aselliscus_tricuspidatus	0.991	2.0993562087761	0.643
Brachyphylla_cavernarum	1.984	3.05292228999784	1.648
Cardioderma_cor	1.737	2.79992584642206	1.415
Carollia_perspicillata	1.577	2.71324648190518	1.25
Chalinolobus_gouldii	1.23	2.35195774032069	1.068
Chalinolobus_morio	1.137	2.24071974568802	0.919
Chiroderma_salvini	1.774	2.88624082329356	1.417
Chiroderma_trinitatum	1.584	2.70539048497075	1.137
Chiroderma_villosum	1.697	2.82351695180044	1.394
Choeroniscus_minor	1.474	2.5659450134905	0.982
Coleura_afra	1.31	2.38684133903795	1.061
Cormura_brevirostris	1.265	2.31547900333038	0.914
Craseonycteris_thonglongyai	0.875	1.91186407137902	0.408
Desmodus_rotundus	1.874	2.97496949473285	1.56
Diphylla_ecaudata	1.803	2.87975236516861	1.49
Emballonura_monticola	1.17	2.19689550326823	0.724
Emballonura_raffrayana	1.173	2.21750313113026	0.771
Eptesicus_brasiliensis	1.185	2.27704088235613	0.964
Eptesicus_fuscus_bahamensis	1.279	2.3513653086034	1.134
Eumops_auripendulus	1.668	2.75999624802448	1.529
Eumops_glaucinus	1.665	2.79101278730558	1.562
Furipterus_horrens	0.964	2.07959239815975	0.535
Glischropus_tylopus	0.892	1.97312302120491	0.69
Glossophaga_longirostris	1.502	2.6169266719764	1.053
Glossophaga_soricina	1.455	2.57354501835856	0.996
Harpiocephalus_harpia	1.501	2.62086344715862	1.13
Hesperoptenus_blanfordi	1.104	2.16984821507198	0.863
Hipposideros_armiger	1.749	2.87560056473481	1.748
Hipposideros_ater	1.193	2.30545128539469	0.839
Hipposideros_caffer	1.326	2.4627759440208	1.041
Macronycteris_commersoni	1.734	2.84697711567035	1.997
Hipposideros_diadema	1.728	2.82568898250015	1.622
Hipposideros_fulvus	1.25	2.34735841257385	0.845
Hipposideros_lankadiva	1.728	2.83381440820857	1.686
Hipposideros_larvatus	1.49	2.59070379701993	1.312
Hipposideros_ridleyi	1.324	2.40319100137588	0.982
Hipposideros_speoris	1.31	2.42782469906196	1.061
Hipposideros_turpis	1.629	2.74970813235674	1.542
Ia_io	1.774	2.85693377655639	1.727
Kerivoula_papillosa	1.33	2.47004291344843	1.004
Lasiurus_borealis	1.097	2.20786055220101	0.892
Leptonycteris_curasoae	1.643	2.76007259430502	1.389
Leptonycteris_nivalis	1.636	2.74009904764629	1.358
Lonchophylla_mordax	1.517	2.61273847911539	1.029
Hsunycteris_thomasi	1.373	2.50023862095974	0.839
Lophostoma_silvicolum	1.743	2.85331808051172	1.509
Macroderma_gigas	2.139	3.20498065502424	2.078
Macrophyllum_macrophyllum	1.384	2.4790378028068	0.934
Megaderma_lyra	1.863	2.93241161841455	1.587
Megaderma_spasma	1.679	2.78365497627165	1.354
Mesophylla_macconnelli	1.389	2.5144416036305	0.875
Micronycteris_brachyotis	1.444	2.58328686142129	1.167
Micronycteris_megalotis	1.297	2.41295245824855	0.813
Micronycteris_minuta	1.255	2.43110917339505	0.839
Micronycteris_schmidtorum	1.324	2.46261324325241	0.892
Gardnerycteris_crenulatum	1.415	2.48743694137244	1.072
Miniopterus_australis	1.164	2.28796870242141	0.851
Miniopterus_inflatus	1.34	2.48807198431177	1.173
Miniopterus_magnater	1.338	2.4849865990346	1.176
Miniopterus_pusillus	1.199	2.31097785415854	0.934
Miniopterus_tristis	1.364	2.49587912679333	1.193
Molossus_molossus	1.371	2.47483774200244	1.137
Molossus_rufus	1.611	2.69716719929339	1.526
Monophyllus_plethodon	1.501	2.62023584937206	1.176
Mormoops_megalophylla	1.387	2.56247160047249	1.196
Murina_cyclotis	1.262	2.37139315447136	0.851
Murina_huttoni	1.276	2.38592275334146	0.944
Myotis_adversus	1.299	2.3772871201093	1.049
Myotis_albescens	1	2.07780309246655	0.602
Myotis_annectans	1.253	2.31710569964846	0.991
Myotis_bechsteinii	1.354	2.39586985328546	0.978
Myotis_bocagii	1.199	2.25339686523018	0.845
Myotis_dasycneme	1.422	2.46431986810657	1.176
Myotis_myotis	1.604	2.65907694339085	1.408
Myotis_nigricans	1	2.11100026230064	0.663
Myotis_siligorensis	0.94	1.98557890358024	0.539
Natalus_tumidirostris	1.262	2.36796538095518	0.839
Noctilio_albiventris	1.665	2.74963685311494	1.515
Noctilio_leporinus	1.947	3.04342425236468	1.763
Nyctalus_noctula	1.405	2.52928534798622	1.431
Nycteris_arge	1.403	2.51972165509131	1.025
Nycteris_grandis	1.726	2.82882341601125	1.474
Nycteris_hispida	1.318	2.43216548536531	0.892
Nycteris_javanica	1.56	2.65047090615567	1.265
Nycteris_macrotis	1.484	2.56570573628551	1.161
Nycteris_thebaica	1.391	2.4880134922472	0.949
Nyctophilus_geoffroyi	1.1	2.1954325071819	0.857
Otomops_martiensseni	1.728	2.85387267955123	1.618
Peropteryx_macrotis	1.111	2.18774408447669	0.748
Phylloderma_stenops	1.953	3.10305487853701	1.664
Phyllostomus_discolor	1.916	3.01289560068157	1.563
Phyllostomus_elongatus	1.81	2.91962973558399	1.652
Phyllostomus_hastatus	2.045	3.15775224544109	1.963
Pipistrellus_javanicus	0.973	2.04743835568333	0.653
Pipistrellus_tenuis	0.881	1.94445839594312	0.591
Afronycteris_nana	0.898	1.97624949883145	0.591
Hypsugo_pulveratus	1.064	2.12583275320563	0.724
Perimyotis_subflavus	1.017	2.0689992385851	0.724
Pteronotus_gymnonotus	1.36	2.50919392843789	1.134
Pteronotus_parnellii_mesoamericanus	1.573	2.71076396835588	1.305
Pteronotus_personatus	1.193	2.33437416842607	0.908
Rhinolophus_cornutus	1.149	2.26307067478927	0.82
Rhinolophus_eloquens	1.476	2.58228368121921	1.281
Rhinolophus_hipposideros	1.093	2.14741999328989	0.663
Rhinolophus_landeri	1.324	2.41927248180996	0.987
Rhinolophus_lepidus	1.149	2.24246038366786	0.778
Rhinolophus_luctus	1.667	2.76563752486781	1.516
Rhinolophus_macrotis	1.173	2.29216841823355	0.799
Rhinolophus_malayanus	1.167	2.28065583157794	0.806
Rhinolophus_megaphyllus	1.253	2.39284327871508	0.991
Rhinolophus_pearsonii	1.407	2.49680535567541	1.143
Rhinolophus_pusillus	1.093	2.19036275728536	0.672
Rhinolophus_trifoliatus	1.449	2.51948592306197	1.164
Rhinolophus_yunnanensis	1.516	2.61598611233896	1.371
Rhinonicteris_aurantia	1.248	2.36980993185743	0.934
Rhinophylla_pumilio	1.375	2.52389337701925	0.949
Rhinopoma_hardwickii	1.391	2.41517493551946	1.111
Rhinopoma_microphyllum	1.507	2.56167523073907	1.468
Rhogeessa_parvula	0.968	2.02540404611476	0.653
Rhynchonycteris_naso	0.973	2.04732050651951	0.58
Saccopteryx_bilineata	1.27	2.33483311530367	0.924
Saccopteryx_canescens	1.041	2.08934484317686	0.531
Saccopteryx_leptura	1.124	2.18322541361085	0.708
Scotomanes_ornatus	1.519	2.55494722650546	1.338
Scotophilus_dinganii	1.544	2.6152095371468	1.386
Scotophilus_kuhlii	1.458	2.50605597481635	1.31
Sphaeronycteris_toxophyllum	1.615	2.69540272673135	1.265
Sturnira_lilium	1.657	2.7664442150746	1.305
Sturnira_ludovici	1.702	2.79971581818209	1.413
Sturnira_tildae	1.703	2.82056767486967	1.387
Tadarida_aegyptiaca	1.483	2.56759514736225	1.248
Taphozous_australis	1.566	2.68911434548403	1.38
Taphozous_hildegardeae	1.579	2.71134274302204	1.438
Taphozous_mauritianus	1.626	2.71797961523504	1.462
Taphozous_melanopogon	1.583	2.70480831622297	1.356
Tonatia_bidens	1.73	2.87212442061372	1.468
Lophostoma_schulzi	1.568	2.67681030271887	1.328
Trachops_cirrhosus	1.829	2.97719852358353	1.567
Triaenops_persicus	1.25	2.41026109600416	1.137
Tylonycteris_pachypus	0.826	1.87843900376487	0.681
Tylonycteris_robustula	0.964	2.03440793493338	0.857
Uroderma_bilobatum	1.635	2.76341624316696	1.21
Vampyressa_pusilla	1.431	2.55572901399533	0.934
Vampyrum_spectrum	2.294	3.38883839645361	2.238
Alouatta_seniculus	3.524	4.69064476860801	3.806
Aotus_trivirgatus	3.041	4.20956514451613	2.919
Ateles_geoffroyi	3.727	5.00423671459412	3.903
Avahi_laniger	2.936	3.99079117597203	3.109
Plecturocebus_moloch	3.138	4.24999973790912	2.954
Callimico_goeldii	2.869	4.02141427425862	2.681
Callithrix_jacchus	2.744	3.86010428447601	2.447
Cebuella_pygmaea	2.534	3.63358773263483	2.146
Cebus_albifrons	3.602	4.8258408678735	3.491
Cercopithecus_ascanius	3.557	4.80297404128273	3.531
Cercopithecus_mitis_mitis	3.621	4.84835244065239	3.799
Cheirogaleus_major	2.689	3.80396492768725	2.653
Cheirogaleus_medius	2.371	3.4708780230274	2.248
Daubentonia_madagascariensis	3.549	4.6294722319675	3.447
Erythrocebus_patas	3.734	5.01330305301563	3.892
Eulemur_fulvus_fulvus	3.234	4.34468914865517	3.146
Galago_senegalensis	2.582	3.65384583826705	2.27
Galagoides_demidoff	2.391	3.50526524207999	1.908
Gorilla_gorilla	4.287	5.67214160105073	5.021
Homo_sapiens	4.523	6.09769523952942	4.813
Hylobates_lar	3.757	4.98887970833346	3.756
Indri_indri	3.464	4.55944787748954	3.796
Lagothrix_lagotricha	3.757	4.980177796679	3.716
Lepilemur_mustelinus	2.773	3.85550540645094	2.961
Lophocebus_albigena	3.728	4.9893093148895	3.898
Loris_tardigradus_tardigradus	2.731	3.79701647977618	2.508
Macaca_mulatta	3.651	4.94427327976376	3.892
Microcebus_murinus	2.127	3.22499777943092	1.732
Miopithecus_talapoin	3.376	4.57720824492106	3.079
Nasalis_larvatus	3.725	4.97211427746941	4.146
Nycticebus_coucang	3.032	4.07016900764897	2.903
Otolemur_crassicaudatus	2.895	3.98509131950917	2.929
Pan_troglodytes	4.187	5.58232825551133	4.663
Papio_cynocephalus	3.968	5.28121407692444	4.398
Perodicticus_potto	3.01	4.12079897970986	3.061
Pithecia_monachus	3.359	4.51688705271499	3.176
Piliocolobus_badius	3.596	4.86832778778568	3.845
Propithecus_verreauxi	3.341	4.40135338583513	3.542
Pygathrix_nemaeus	3.675	4.86047259819674	3.875
Saguinus_midas	2.84	3.98108200720884	2.531
Saguinus_oedipus	2.877	3.97903342592802	2.58
Saimiri_sciureus_sciureus	3.155	4.35321967494396	2.82
Tarsius_tarsier	2.481	3.53020840861181	2.097
Varecia_variegata	3.403	4.47260429620756	3.477
