Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-glob-006.txt
Log File Name:                   MES_d1_m7-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4057019910
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	564.399236	1	-0.600646952970	0.754343621696	0.163660758174	-0.022393774094	0.000078299739	0.970287072978	N\A	0.025088830529	0.022168440899	0.002973915946	30	2	-0.001587634545	Global Trend	
1050000	577.318183	1	-0.602384743980	0.675234259764	0.227085692181	-0.022722912219	0.000086280611	0.975319905063	N\A	0.025436124250	0.022700084381	0.002934194708	35	3	0.003629730236	Global Trend	
1100000	581.794356	1	-0.672944293386	0.698896007857	0.208596269298	-0.022433740017	0.000061611589	0.974866501297	N\A	0.025632720973	0.023263947573	0.002859203738	33	4	0.003665348488	Global Trend	
1150000	572.107029	1	-0.734357964866	0.716803243023	0.192111447165	-0.022332671429	0.000055215180	0.973879578306	N\A	0.023342396988	0.021785664790	0.002832405630	38	5	0.002255908212	Global Trend	
1200000	594.682034	1	-0.637728169893	0.664491245330	0.230752024517	-0.025178877917	0.000093280547	0.978089823138	N\A	0.016731569200	0.016703139128	0.002295725195	33	7	0.007608418704	Global Trend	
1250000	565.540816	1	-0.606071027222	0.761897077486	0.139709408569	-0.019731255492	0.000067545535	0.975773681531	N\A	0.024787462600	0.021924023432	0.002882672918	28	4	-0.000315928745	Global Trend	
1300000	573.340994	1	-0.545497971553	0.695502902118	0.219140014885	-0.024668865816	0.000052004266	0.974522143102	N\A	0.026256257440	0.023511613700	0.002754366122	54	1	0.000277930112	Global Trend	
1350000	574.534332	1	-0.514263607866	0.692002218006	0.218512518760	-0.025559988221	0.000050217308	0.974695632775	N\A	0.025091916818	0.022368510054	0.002528711753	51	1	0.000001244179	Global Trend	
1400000	572.450245	1	-0.578800248450	0.653802853847	0.249953139439	-0.027797826542	0.000214260602	0.969192934689	N\A	0.021758764842	0.021274250003	0.002802511452	26	3	0.009544977726	Global Trend	
1450000	577.119301	1	-0.585488487085	0.701345315553	0.218806478890	-0.027029863489	0.000091307685	0.974025822971	N\A	0.024203734491	0.021757827573	0.002825167664	40	5	0.000660839401	Global Trend	
