Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-glob-001.txt
Log File Name:                   HIP_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            276987476
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	464.797417	1	-0.882167682495	1.038616547054	-0.035401220440	-0.015945888735	0.013285792601	0.000016523034	0.999952399597	N\A	0.027359945290	0.004055317681	0.029783974119	0.005351215924	50	8	-0.064208644161	Global Trend	
2050000	471.246291	1	-0.911257764146	0.996753663948	-0.019258836484	0.022805092563	-0.000345475087	0.000046364760	0.999999171014	N\A	0.031871816173	0.004343772662	0.034672369680	0.005823978668	33	8	-1.545630369126	Global Trend	
2100000	456.091015	1	-0.983947324197	1.050061927963	-0.015880378710	-0.030218205208	-0.003995146777	0.000007171780	0.999999723780	N\A	0.032676508717	0.004557142611	0.035679354024	0.006173119931	44	5	-0.313914215877	Global Trend	
2150000	469.649719	1	-0.906798451904	1.033260744332	-0.024564660902	0.013714345630	-0.003045876004	0.000098558373	0.973936827294	N\A	0.037635554116	0.005383232208	0.033193685406	0.005973122963	38	5	0.010551977472	Global Trend	
2200000	473.688043	1	-1.017848097927	1.027457516108	-0.014711340788	-0.006487815758	-0.004923486557	0.000127382017	0.998049357036	N\A	0.028184856879	0.004207762839	0.030384892508	0.005471301294	34	10	0.090811538439	Global Trend	
2250000	465.162610	1	-1.091564163389	1.071056483716	-0.017210662368	-0.048222263808	-0.003454286338	0.000165155102	0.998806952779	N\A	0.031567327294	0.004816994405	0.034779774916	0.006454075073	44	4	-0.124283665722	Global Trend	
2300000	457.378485	1	-1.032165249763	1.084693827631	-0.035992699111	0.019807252980	-0.000859846021	0.000100813826	0.955868230968	N\A	0.086501872979	0.012266234662	0.043168526728	0.008030264382	30	6	0.001443449434	Global Trend	
2350000	472.989225	1	-0.964061871526	1.051879038486	-0.023168111541	-0.024900252067	-0.001894220121	0.000074081726	0.998602476650	N\A	0.031224640732	0.004307303015	0.033804074435	0.005941652485	41	7	0.051731868410	Global Trend	
2400000	435.177433	1	-1.035488767622	1.026924456401	-0.014250732057	-0.008120835739	-0.004629826488	0.000129397205	0.999983948893	N\A	0.030782791917	0.004433901117	0.033731983175	0.005859087295	41	2	0.781295648329	Global Trend	
2450000	442.001173	1	-0.930830419315	0.991284811769	-0.017390933012	0.034814856158	-0.005704170613	0.000121600845	0.994334667210	N\A	0.036537299997	0.005047124065	0.038893131187	0.006159469367	41	6	0.035554586326	Global Trend	
2500000	472.663768	1	-1.283792757095	1.295714537313	-0.059947309075	-0.073210660439	0.014991977774	0.000112055536	0.957869022515	N\A	0.082768941679	0.011368348470	0.042692696437	0.007938762895	45	6	0.003007391229	Global Trend	
2550000	470.282982	1	-1.004875867195	1.106040343305	-0.028843075102	-0.087203904398	0.009145413501	0.000075656799	0.999742444029	N\A	0.030401826191	0.004435372784	0.033432505149	0.006036426653	36	6	-0.133252301238	Global Trend	
2600000	453.788017	1	-1.019202577623	1.057688342869	-0.015894204577	-0.045387105123	0.001379486489	0.000113921612	0.998960648106	N\A	0.032780770755	0.004529518952	0.035746863413	0.006154675603	38	3	-0.100273374874	Global Trend	
2650000	473.870410	1	-1.377599864622	1.345965967177	-0.061335981871	-0.165544607679	0.028243003719	0.000160640027	0.966720450926	N\A	0.115549884202	0.016384359638	0.044477038618	0.008211598655	38	5	-0.000573369311	Global Trend	
2700000	455.309792	1	-1.465084595826	1.386900835539	-0.079472577834	-0.080418825791	0.018201304331	0.000180766666	0.959787433209	N\A	0.126977089482	0.019599718183	0.050162842849	0.010614711721	36	5	-0.000930510830	Global Trend	
2750000	462.476073	1	-1.107213690421	1.180475502959	-0.043545687511	-0.029098527115	0.001515012460	0.000085387543	0.956866982268	N\A	0.069030342073	0.009878147244	0.040856637320	0.007439224243	38	4	0.003385242679	Global Trend	
2800000	464.230494	1	-0.837653354241	0.929353164235	-0.018702396723	0.099706986450	-0.010157513845	0.000104739294	0.999960498894	N\A	0.028650716125	0.003892171084	0.030883254810	0.005297042379	43	5	0.568841541365	Global Trend	
2850000	464.748919	1	-1.267803851463	1.230573206613	-0.048972258575	-0.031957406533	0.002305096497	0.000193313649	0.951663215186	N\A	0.101904316963	0.014872281057	0.044771744756	0.008602738053	31	5	0.000699036572	Global Trend	
2900000	474.638169	1	-1.372973047982	1.312355167694	-0.057977446388	-0.121628695726	0.018474861239	0.000128612418	0.960290201296	N\A	0.087872374494	0.012659257400	0.039220908405	0.007291160534	41	12	-0.002090179867	Global Trend	
2950000	449.467691	1	-0.928236368238	1.014631900336	-0.017500164269	-0.012681350102	0.000207069465	0.000133151750	0.970616216225	N\A	0.040699625160	0.006282708783	0.034803197577	0.006544445141	37	8	-0.010350156291	Global Trend	
3000000	474.385191	1	-0.920152519071	1.028011991471	-0.021768085627	-0.003063787901	-0.003268754746	0.000092971900	0.999979999211	N\A	0.031490537193	0.004454328059	0.034002354967	0.005653608527	40	12	-0.666173529213	Global Trend	
3050000	464.042364	1	-1.040953768300	1.065314521552	-0.022964842231	-0.025667312917	0.003323585634	0.000089374547	0.962175439174	N\A	0.115774419346	0.016737470438	0.047346225936	0.009098386599	44	8	-0.000223019987	Global Trend	
