Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m6-glob-006.txt
Log File Name:                   MED_d1_m6-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2870154510
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m6-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	613.187191	1	-0.297793109673	0.728981628481	0.127462106948	0.000031033056	0.984465547611	N\A	0.023206152392	0.016386827687	32	4	-0.002111337477	Global Trend	
1050000	616.494421	1	-0.109673183514	0.627389117438	0.184589879173	0.000087275431	0.983139050607	N\A	0.024535753802	0.017393581693	44	3	-0.002413224228	Global Trend	
1100000	613.616664	1	-0.176921502293	0.672999910370	0.166172998468	0.000129795912	0.981209928629	N\A	0.024351995435	0.016776614697	35	6	-0.003349493939	Global Trend	
1150000	609.968333	1	-0.262158232978	0.683715052721	0.151509472181	0.000055551330	0.983494168848	N\A	0.024437339840	0.016862426068	49	7	-0.000496779475	Global Trend	
1200000	619.060959	1	-0.169116738514	0.669680409603	0.157098333734	0.000030773232	0.984335934697	N\A	0.022905203265	0.015867970441	45	4	-0.000965038192	Global Trend	
1250000	617.450477	1	-0.233061018768	0.716492989266	0.126027710485	0.000069758882	0.982928591687	N\A	0.025109415975	0.017497300626	33	6	-0.002553247738	Global Trend	
1300000	644.176244	1	-0.179587702951	0.681958162865	0.158219290282	0.000075212309	0.983591984170	N\A	0.024242681057	0.017041846131	36	8	-0.003205804504	Global Trend	
1350000	619.664533	1	-0.162725615166	0.656281664142	0.180552379872	0.000079084323	0.985265874544	N\A	0.024020275365	0.016431343362	45	5	-0.002726486353	Global Trend	
1400000	620.099898	1	-0.147796196914	0.628586071944	0.188396923216	0.000110252711	0.982799608120	N\A	0.024964430280	0.017230086285	39	5	-0.001599245978	Global Trend	
1450000	613.107017	1	-0.230663645728	0.688126910116	0.149985185453	0.000123836366	0.981412049061	N\A	0.025525000491	0.017842204927	33	7	-0.000540121349	Global Trend	
1500000	594.469402	1	-0.098212365202	0.627501458483	0.184768454385	0.000111670068	0.977005747171	N\A	0.028114147914	0.019528700535	36	2	-0.002900973083	Global Trend	
1550000	619.132102	1	0.001547208499	0.687971032762	0.153786776572	0.000162804842	0.983754798859	N\A	0.023132326684	0.015860359609	44	6	-0.001048653059	Global Trend	
1600000	620.914023	1	-0.233596993612	0.700316214339	0.145229600156	0.000080894123	0.983778496647	N\A	0.024354496991	0.016883733069	39	4	-0.002898462693	Global Trend	
1650000	624.525578	1	-0.315275786987	0.727133594646	0.125058540171	0.000066249146	0.986206207328	N\A	0.024238546907	0.017082368480	36	8	-0.001641177995	Global Trend	
1700000	620.115218	1	-0.198135761147	0.662668773149	0.167408136315	0.000071126641	0.988660732480	N\A	0.025148337604	0.016977100324	41	8	-0.001643260896	Global Trend	
1750000	627.262988	1	-0.163890143161	0.633716341369	0.188379703500	0.000038212860	0.982789586439	N\A	0.024613726363	0.016956127443	46	8	-0.000716803671	Global Trend	
1800000	604.596525	1	-0.083843353214	0.645065112291	0.173295507619	0.000110439228	0.981521480985	N\A	0.026380505934	0.018822563833	40	6	-0.004414728828	Global Trend	
1850000	604.857094	1	-0.301087411251	0.705226421735	0.149601443295	0.000231072848	0.982866160520	N\A	0.025294560811	0.017723193469	57	4	-0.003250065643	Global Trend	
1900000	610.001626	1	-0.383050905532	0.789509445067	0.081136897846	0.000065003740	0.982866332812	N\A	0.023867229355	0.016822821783	39	6	-0.003117396256	Global Trend	
1950000	634.225885	1	-0.192660632017	0.640228676332	0.180831920592	0.000027005585	0.985532825157	N\A	0.023316352992	0.016331644266	42	5	-0.000016129532	Global Trend	
2000000	617.143769	1	-0.142965507733	0.636662341043	0.190370006187	0.000055134721	0.984820081465	N\A	0.024196612239	0.017045325194	32	4	-0.001742651198	Global Trend	
2050000	609.372067	1	-0.210074791788	0.658989758361	0.177947918544	0.000093354695	0.986528373427	N\A	0.023988934545	0.017384302826	44	2	-0.002599398561	Global Trend	
2100000	621.120217	1	-0.281130167197	0.738182497895	0.118670835941	0.000105615434	0.985032869454	N\A	0.021943276874	0.015460905516	42	5	-0.006084795989	Global Trend	
2150000	626.381811	1	-0.258318748750	0.705589840494	0.137145443858	0.000031129263	0.985691721425	N\A	0.024898857074	0.017251970526	44	3	-0.001508920085	Global Trend	
2200000	619.041933	1	-0.123849265845	0.639607309242	0.188268972790	0.000107999873	0.984865657368	N\A	0.024517003965	0.017269183663	37	5	-0.004825583544	Global Trend	
2250000	640.078948	1	-0.250268415403	0.745682027345	0.114554288090	0.000038878489	0.986191257561	N\A	0.022221700719	0.015641264201	42	6	-0.003978407691	Global Trend	
2300000	628.412040	1	-0.244223066685	0.678585196041	0.155892187174	0.000086818314	0.984579763284	N\A	0.025854773957	0.017881297420	44	7	-0.001961672870	Global Trend	
2350000	616.656506	1	-0.178120956665	0.622547902051	0.200868023970	0.000064280434	0.985244495024	N\A	0.024708462248	0.017365895692	44	3	-0.000802814888	Global Trend	
2400000	611.868581	1	-0.197195679157	0.669559700382	0.150928871144	0.000058879192	0.982706967662	N\A	0.024957964831	0.017374755784	51	5	-0.001650357787	Global Trend	
2450000	611.416470	1	-0.349349964451	0.703700944917	0.137535430234	0.000049947429	0.982587157503	N\A	0.023538421637	0.016583200242	47	7	0.001791102033	Global Trend	
2500000	617.851089	1	-0.165334847823	0.625986447236	0.195427213685	0.000032239007	0.982917988566	N\A	0.025414719891	0.017687023454	38	3	-0.000354937171	Global Trend	
2550000	626.624101	1	-0.231835683178	0.672379596115	0.159513126801	0.000022270333	0.983320103935	N\A	0.022384017825	0.015637051943	40	6	-0.000353688674	Global Trend	
2600000	612.119021	1	-0.109125707356	0.595966679108	0.205201187581	0.000032448138	0.980361017218	N\A	0.025521396124	0.017581645109	36	2	-0.000206041253	Global Trend	
2650000	620.257674	1	-0.078224533577	0.590701815673	0.222237658978	0.000077256438	0.982005200708	N\A	0.025300554069	0.017860178703	30	4	-0.002193670157	Global Trend	
2700000	609.934219	1	-0.076929022580	0.598224402810	0.219119775547	0.000052500301	0.981962650119	N\A	0.025716082283	0.017918944619	36	5	-0.002121593726	Global Trend	
2750000	608.195603	1	0.052410519540	0.635171589968	0.190246364671	0.000108290397	0.982596253714	N\A	0.023580724993	0.016286206788	46	5	-0.003405585360	Global Trend	
2800000	626.518570	1	-0.345243452070	0.744989535835	0.117899454229	0.000057442630	0.985370584775	N\A	0.024128402377	0.016765983469	34	6	-0.001790368619	Global Trend	
2850000	615.724829	1	-0.188838668092	0.687249463169	0.146347005039	0.000095671231	0.980555999918	N\A	0.025748723632	0.018069846482	42	4	-0.002489232182	Global Trend	
2900000	608.037432	1	-0.151261280708	0.675210933398	0.154293520627	0.000089401225	0.981652483958	N\A	0.025007290726	0.017812024429	36	6	-0.004736370392	Global Trend	
2950000	601.365218	1	-0.229226406408	0.660809045461	0.167829757635	0.000071813357	0.982375675852	N\A	0.024877241533	0.017044352511	43	6	-0.000651988413	Global Trend	
3000000	607.350065	1	-0.293496613833	0.662817518803	0.173887473913	0.000080680523	0.981412046113	N\A	0.026125763800	0.018487746977	43	5	-0.003208049130	Global Trend	
3050000	605.373845	1	-0.257865864281	0.678185560143	0.142561107486	0.000078819824	0.979549388716	N\A	0.020425925734	0.013930142661	38	4	-0.000628496684	Global Trend	
3100000	611.817406	1	-0.243639451227	0.667125762203	0.161835419568	0.000100458577	0.982926948637	N\A	0.025401691078	0.017590168499	42	5	-0.000866448260	Global Trend	
3150000	619.277765	1	-0.065409997178	0.602664542505	0.210682701881	0.000192415721	0.983869545120	N\A	0.025030789616	0.017633565696	42	3	-0.003996499222	Global Trend	
3200000	592.805747	1	-0.224518073038	0.674545712024	0.163448378036	0.000238996044	0.981106789100	N\A	0.025652628127	0.017858268076	40	3	-0.005132716142	Global Trend	
3250000	630.938518	1	-0.085983788745	0.681729023380	0.153552008326	0.000148722432	0.986266971909	N\A	0.022389361146	0.015788780807	49	7	-0.009507063647	Global Trend	
3300000	607.310033	1	-0.220438958002	0.670845421011	0.161860882915	0.000062696942	0.984618825468	N\A	0.026098524739	0.018354855558	55	3	-0.000539955351	Global Trend	
3350000	617.782774	1	-0.189025505893	0.664196489281	0.167884650520	0.000056616198	0.982526928076	N\A	0.025723964220	0.017820562996	38	3	-0.001286673658	Global Trend	
3400000	601.412739	1	-0.207552032199	0.640223517334	0.189930784650	0.000072848075	0.984430676854	N\A	0.024120961746	0.017209048139	41	4	-0.000083647688	Global Trend	
3450000	604.344547	1	-0.403161032065	0.695561110029	0.147293507946	0.000051198299	0.979974073465	N\A	0.024055177154	0.016198026253	50	3	-0.000175146528	Global Trend	
3500000	621.990977	1	-0.186808842247	0.589115275558	0.222418925096	0.000076109880	0.982258375062	N\A	0.025473493642	0.017609183443	39	3	0.000930862763	Global Trend	
3550000	613.982114	1	-0.159894105925	0.628007898464	0.185984887576	0.000049954376	0.981735921262	N\A	0.025989469081	0.017719062147	44	5	-0.000525602365	Global Trend	
3600000	596.621288	1	-0.176340956937	0.655580531389	0.172333444466	0.000053820014	0.986988663900	N\A	0.025991904505	0.018732235893	32	3	-0.001938625030	Global Trend	
3650000	609.007883	1	-0.134391667848	0.622981300922	0.198002171863	0.000088178640	0.980378730941	N\A	0.022733646511	0.015610942349	45	4	-0.000751822553	Global Trend	
3700000	631.147955	1	-0.329528270330	0.714979577559	0.135306099430	0.000026691311	0.985330628352	N\A	0.022303484172	0.015210737137	53	6	-0.000331625555	Global Trend	
3750000	621.761575	1	-0.247537065625	0.673723459006	0.162027694794	0.000074993726	0.981901859422	N\A	0.024672854866	0.016985467459	42	6	-0.000998404973	Global Trend	
3800000	606.243767	1	-0.184588792521	0.707020901319	0.141767102685	0.000357068540	0.985140631532	N\A	0.026003882336	0.017935589914	48	2	-0.013761517308	Global Trend	
3850000	635.718265	1	0.093378914247	0.627683347226	0.192954561720	0.000240641530	0.985021170365	N\A	0.024302819946	0.016857276266	51	6	-0.011451493610	Global Trend	
3900000	636.651462	1	-0.310324851809	0.727453937481	0.118410718574	0.000078132497	0.982256705808	N\A	0.022935170998	0.015598989748	36	8	-0.002291064062	Global Trend	
3950000	622.336847	1	-0.446611401515	0.697466162687	0.150127036636	0.000088060162	0.982598411707	N\A	0.026040726789	0.018000476779	42	6	0.002051146556	Global Trend	
4000000	618.198723	1	-0.064132012135	0.629976871106	0.194346627159	0.000115522125	0.983501888923	N\A	0.024260901643	0.017147767824	48	4	-0.008191059608	Global Trend	
4050000	630.526273	1	-0.250613307334	0.664902639864	0.170569828066	0.000078736457	0.979644242528	N\A	0.027716579729	0.018986086033	45	6	0.000655243309	Global Trend	
4100000	631.498585	1	-0.094906819588	0.667656814411	0.156659059670	0.000101136203	0.986241179067	N\A	0.023393127218	0.016614872300	42	4	-0.006459770685	Global Trend	
4150000	599.742460	1	-0.147482676358	0.663024471793	0.166906788684	0.000103011822	0.983468627014	N\A	0.024898565951	0.017540329545	41	3	-0.002936098816	Global Trend	
4200000	615.675860	1	-0.158026997113	0.668175311151	0.160667308714	0.000111258853	0.980071268976	N\A	0.025440607263	0.017563058883	41	3	-0.006225168234	Global Trend	
4250000	617.369922	1	-0.199079130811	0.656622043831	0.160002957385	0.000070948122	0.981631800401	N\A	0.024683081676	0.017127369400	37	4	-0.000011172568	Global Trend	
4300000	608.966031	1	-0.218510835218	0.677391889245	0.159593292774	0.000097968289	0.979636600701	N\A	0.024942512897	0.017246440428	34	4	-0.001629643983	Global Trend	
4350000	615.603095	1	-0.211070211394	0.633197905043	0.181761942774	0.000074265200	0.982415626507	N\A	0.025873136386	0.017599203544	43	4	-0.000314480094	Global Trend	
4400000	611.741010	1	-0.215893063436	0.661517802277	0.173403132552	0.000078161922	0.983292815505	N\A	0.025423427349	0.017915715905	49	2	-0.002063133435	Global Trend	
4450000	613.652808	1	-0.331670663277	0.732829709413	0.120541368381	0.000072050854	0.982246366701	N\A	0.025383155768	0.017760859820	40	4	-0.001161904440	Global Trend	
4500000	627.151273	1	-0.187738508274	0.678255303587	0.159263660560	0.000077738482	0.985028032766	N\A	0.024670649923	0.017391245003	39	3	-0.003572900340	Global Trend	
4550000	627.792288	1	-0.213311751371	0.725924282636	0.120139061573	0.000159521533	0.983798681033	N\A	0.022509789656	0.015717370889	47	8	-0.006824451725	Global Trend	
4600000	611.759672	1	-0.015022366042	0.594106220753	0.216284648334	0.000071426067	0.982627909820	N\A	0.023585733176	0.015991838152	48	3	-0.002767941704	Global Trend	
4650000	608.451275	1	0.047957144507	0.671970146520	0.162776320432	0.000135151704	0.986072247613	N\A	0.025075171197	0.017788771081	41	4	-0.010332090232	Global Trend	
4700000	616.338900	1	-0.138941028272	0.654874212496	0.162708211871	0.000232895459	0.982199018548	N\A	0.026921903381	0.018740049461	40	3	-0.005757162311	Global Trend	
4750000	622.178559	1	-0.152124690267	0.620230390465	0.186139435895	0.000067257171	0.980538554997	N\A	0.025250310757	0.017551379768	32	3	-0.001168916216	Global Trend	
4800000	615.901749	1	-0.326298060203	0.677730319396	0.158328965486	0.000061682898	0.983636551057	N\A	0.024296515487	0.016689313593	37	4	-0.002296698133	Global Trend	
4850000	610.832948	1	-0.181773115568	0.667690192215	0.175428063543	0.000089213558	0.981732612167	N\A	0.025633669316	0.017838752101	35	3	-0.004261562680	Global Trend	
4900000	616.022728	1	-0.221851096254	0.670541195684	0.162120176521	0.000058367322	0.980241120582	N\A	0.024936531206	0.017276944820	41	4	-0.002100006679	Global Trend	
4950000	611.175782	1	-0.073946997991	0.618785233291	0.188907927511	0.000063967980	0.979009656587	N\A	0.025321973466	0.017513267946	38	4	-0.003463098772	Global Trend	
5000000	601.413566	1	-0.152062313225	0.604707493621	0.207401505938	0.000053859175	0.981464408938	N\A	0.025752140031	0.018097423693	27	5	-0.000214795702	Global Trend	
5050000	614.338611	1	-0.222692664946	0.660809042232	0.167395312820	0.000051554499	0.981630004498	N\A	0.025298378971	0.017400763647	43	6	-0.000306924301	Global Trend	
5100000	602.963010	1	-0.146728366981	0.607004643257	0.210798048486	0.000044762575	0.980984501439	N\A	0.024679302648	0.017430011757	42	2	-0.000484667512	Global Trend	
5150000	630.458749	1	-0.186700844256	0.628509827297	0.191166267982	0.000071135926	0.982755972758	N\A	0.024118733517	0.017047724259	47	5	0.000453961966	Global Trend	
5200000	617.214461	1	-0.127887038135	0.621872236013	0.187373229390	0.000162146241	0.983127895396	N\A	0.023823371535	0.016430430384	50	3	-0.002343760500	Global Trend	
