Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-glob-005.txt
Log File Name:                   AMY_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            183112916
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	385.325274	1	0.353805597427	0.538585490351	-0.067454298806	-0.211895266780	0.338778586737	-0.069640093061	0.456878638257	-0.004219554573	0.163096468418	-0.058365969777	0.027186734174	-0.113340713390	0.000177207038	0.999913438947	N\A	0.057233639394	0.107153652356	0.089484876369	0.143834503144	0.104275339238	0.159141424806	0.062263655017	0.060660959284	0.062060055715	0.061687907649	0.059976516979	33	11	-0.456243274332	Global Trend	
1550000	379.281022	1	0.528167517032	0.573283108442	0.175207911622	-0.060509861668	0.095001639270	0.262522108526	0.221348246277	-0.038537686089	0.046370247997	-0.029784519352	-0.107024379142	-0.130983066825	0.000176026652	0.948742580951	N\A	0.054553330732	0.110549547251	0.084391993895	0.115208044853	0.110707633982	0.159809411550	0.061413685358	0.056987410680	0.059433499758	0.063133979036	0.058455885876	36	6	0.011419239584	Global Trend	
1600000	389.754715	1	0.634351898781	0.560836373762	0.203344361880	0.009372987878	0.296084354764	0.125190520824	0.089296726791	0.037058616818	0.125728758786	-0.087152814724	-0.027915657099	-0.128162717160	0.000196212970	0.910274507039	N\A	0.048161416309	0.112477516677	0.088343746342	0.132414365821	0.105254137074	0.165451453280	0.056932314208	0.051187095122	0.056951462442	0.054133525185	0.051193133795	30	7	0.003108472792	Global Trend	
1650000	409.589191	1	0.441633225131	0.585259378900	0.111122574752	-0.032744809200	0.292801529240	0.037791836873	0.112000546659	-0.036027166353	0.060627612168	-0.050744105499	-0.033748575662	-0.056521152234	0.000392364309	0.962527784780	N\A	0.028550115224	0.088978746040	0.083648041478	0.121156507358	0.104940911954	0.214090057503	0.032474931526	0.031334492549	0.036824905361	0.038613668735	0.035515129744	30	11	-0.031307757597	Global Trend	
1700000	388.264054	1	0.264971038151	0.495366607100	-0.084695373906	-0.198358887587	0.267118300945	-0.074543625700	0.334264431255	0.059037840190	0.147653634141	-0.030059450892	0.074389784964	0.013218752522	0.000544702091	0.998228367049	N\A	0.066766224349	0.111959010432	0.105194036270	0.163617194575	0.118127318912	0.255906733512	0.070089613805	0.068675622943	0.073775844241	0.070827852483	0.070045684384	36	10	-0.327669570357	Global Trend	
1750000	393.548088	1	0.660893102729	0.531012952736	-0.062596812962	-0.228614236118	-0.129465442350	0.131732162015	0.816037159953	0.019479424622	0.127577372397	0.000407024967	-0.092609185828	-0.028890005194	0.000226758058	0.924897879437	N\A	0.048095192316	0.111236022057	0.097057440152	0.120432354695	0.123734623063	0.183010265335	0.051683598631	0.050793441910	0.051538503175	0.056477492180	0.051547009408	37	12	0.000737096311	Global Trend	
1800000	390.848375	1	0.485141512202	0.435542578885	0.044308627130	-0.118082401014	0.007293929582	-0.359370740214	0.476422235093	0.089250427436	0.182800130920	0.076604339327	0.145220496942	0.020133040873	0.000232684976	0.999985852972	N\A	0.049662143508	0.105001892924	0.087242346026	0.124414561132	0.110668173638	0.174298419947	0.053698808252	0.052881860258	0.055077974713	0.057638424451	0.053052206176	37	13	1.712086888875	Global Trend	
1850000	382.990634	1	0.413037174614	0.491202948841	-0.308118931006	-0.505772635363	0.494574107609	-0.545193953998	1.158431572844	0.098385323428	0.099299351703	-0.011025084169	0.045965696927	-0.017330500755	0.000174339373	0.999959147807	N\A	0.037865749339	0.095919505402	0.076842120255	0.112393360780	0.096797321793	0.155753284496	0.041893673176	0.041132966504	0.044139461122	0.046138355716	0.044077080039	53	12	0.563134291211	Global Trend	
1900000	400.525064	1	0.192506805081	0.482319823343	-0.122893892843	-0.486071830071	0.712279533916	-0.245854399299	0.601300275633	0.115601380511	0.151876793856	-0.000366327437	0.059407728320	-0.023848383939	0.000205277026	0.931351126933	N\A	0.093399002137	0.197410826578	0.181461401901	0.196925621182	0.189370770352	0.228336621652	0.095839423288	0.095004947098	0.095146459071	0.096605714963	0.094593078550	42	10	-0.000426145606	Global Trend	
1950000	401.013582	1	0.227666442406	0.647757100614	0.289837979321	-0.241068751250	0.490797326082	-0.251813834686	0.509949660792	-0.056083324992	0.010966780008	-0.100165623423	-0.144676790346	-0.199020566967	0.000183690359	0.922678137897	N\A	0.050684764462	0.105885619027	0.085161540142	0.115889501736	0.103996415267	0.157780764451	0.056777100498	0.053953163426	0.055625703821	0.057369380779	0.052990243233	37	13	0.003239455186	Global Trend	
2000000	372.385171	1	0.019868648650	0.673388108194	-0.305052182947	-0.166038103059	0.970573149050	-0.223116570072	0.787092828938	-0.073122581329	-0.063344522021	-0.252584135063	-0.116914914855	-0.232370144980	0.000318626654	0.949575067948	N\A	0.051896516942	0.107617507550	0.090787123649	0.133249815632	0.116751741543	0.199753020393	0.057014969880	0.054658194023	0.057687011487	0.059292909843	0.056043371629	48	11	-0.021012219156	Global Trend	
2050000	376.814850	1	0.057240866180	0.565861750742	-0.084425002437	-0.426830268954	0.663213468593	-0.282387950282	0.864847767682	-0.095711505421	0.063928884371	-0.130111963011	-0.042561330141	-0.113571544950	0.000206531626	0.930603857190	N\A	0.042311449369	0.108585526912	0.086312450054	0.114857055615	0.109437586196	0.161053669950	0.048025640984	0.045893366988	0.047919831825	0.052344737337	0.045709055379	35	10	0.008737904760	Global Trend	
2100000	400.153097	1	0.382932554401	0.627506354829	0.141879176295	0.169263521760	0.263806380693	0.340462021450	0.296203068689	-0.088646238452	-0.002682002828	-0.048838935843	-0.117973575847	-0.128974231565	0.000192510111	0.919476173017	N\A	0.075746318993	0.141337914141	0.122827688850	0.148893474071	0.136333772463	0.216856988846	0.078551111719	0.077379999205	0.079506513464	0.078840203333	0.078716518145	24	9	0.000785766331	Global Trend	
2150000	378.234759	1	0.448203104434	0.715303287164	0.162822143983	0.004020248065	0.273686784022	0.155391907994	0.519529507257	-0.219190365552	-0.070887889265	-0.161536505955	-0.178442097407	-0.240675940572	0.000299877984	0.954445117419	N\A	0.070696684723	0.117010146504	0.097515219791	0.136276288119	0.113739304900	0.190409992673	0.074959675347	0.072657165985	0.077139884083	0.075079337463	0.073685406344	36	10	-0.026751362450	Global Trend	
2200000	397.451517	1	0.346420367233	0.560629301698	0.093438106264	0.025587868873	0.382525382727	0.132783062884	-0.089146844422	-0.005794381584	0.083731265897	-0.057840074071	-0.035101359590	-0.087745009997	0.000335834907	0.994958518507	N\A	0.070711961205	0.113111985967	0.098527086782	0.142281050864	0.127394291611	0.205314238095	0.074120251298	0.072228016031	0.074601126241	0.076371138385	0.072750501840	48	6	0.089830122340	Global Trend	
