Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-VR-006.txt
Log File Name:                   HIP_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            870645665
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	435.307423	1	-1.352120683197	1.286658572246	-0.061578477351	-0.064466232751	0.014810519679	0.000224883530	0.953536886213	N\A	0.124203758518	0.017855622371	0.053544852023	0.010258677661	50	26	
1050000	438.100168	1	-1.300165724743	1.240320378777	-0.039169470150	-0.095785662682	0.006163627828	0.000112416215	0.959735471346	N\A	0.095854879610	0.014477583721	0.041805302033	0.008382869549	44	31	
1100000	434.004639	1	-1.310553964044	1.267479742570	-0.059725140677	-0.056034021649	0.014031011657	0.000147656822	0.951726692644	N\A	0.104431648227	0.014982213601	0.044989436888	0.008614682935	43	28	
1150000	435.694468	1	-1.278366112923	1.339541533604	-0.075691518694	-0.121320086371	0.031812772146	0.000120736779	0.952637416105	N\A	0.102646451916	0.015157874272	0.043215577554	0.008161823692	59	27	
1200000	433.381694	1	-1.258858855216	1.213278229509	-0.048609275303	-0.069966514986	0.015301074903	0.000124847542	0.955957033831	N\A	0.093493310552	0.012523523178	0.043932879474	0.007411562552	48	26	
1250000	429.068723	1	-1.368140190366	1.361068771805	-0.067727712630	-0.111161680751	0.014087165511	0.000105959153	0.948694843840	N\A	0.136596360362	0.020041144847	0.054407211137	0.010272059365	49	26	
1300000	449.474447	1	-1.106570128064	1.125510600362	-0.038478698268	-0.007004889278	0.004805637762	0.000085567987	0.956818090676	N\A	0.120184759504	0.017358305652	0.048629823427	0.009067668460	45	27	
1350000	436.814229	1	-1.336136814244	1.284161640335	-0.059509318020	-0.063571156273	0.013815462037	0.000129015153	0.954802538078	N\A	0.106593575502	0.015352145305	0.045194824348	0.008388029899	58	26	
1400000	430.350661	1	-1.346432827821	1.230297481136	-0.049410539207	-0.029880846170	0.006588151513	0.000167003685	0.966646243437	N\A	0.101689469425	0.014684033084	0.041964836438	0.008387249209	52	29	
1450000	441.969081	1	-1.339884057662	1.309115977008	-0.052302934666	-0.151519759326	0.021655829207	0.000128858870	0.956289602008	N\A	0.104133614611	0.014550926666	0.044662658878	0.007954833183	47	24	
1500000	449.897486	1	-1.341852587446	1.253093086000	-0.054309332453	-0.030995992579	0.007555736664	0.000104132804	0.959079385938	N\A	0.108724240442	0.015545984651	0.047267346169	0.008485131864	49	23	
1550000	431.794148	1	-1.179266378467	1.207563655804	-0.051723883610	-0.081975115355	0.020863487299	0.000109016228	0.958389264377	N\A	0.109374947193	0.015829038364	0.047431377079	0.008785036135	47	28	
1600000	418.851564	1	-1.250522169345	1.236456751338	-0.052947648671	-0.047378447390	0.006261433177	0.000132317823	0.949163853451	N\A	0.118963086862	0.016794976199	0.051610791817	0.009611786919	34	33	
1650000	440.784409	1	-1.365631296244	1.351600946691	-0.066043938513	-0.138937165328	0.024787022896	0.000155659170	0.958123159149	N\A	0.100896659338	0.015000542828	0.047689659160	0.009368200940	42	31	
1700000	434.722403	1	-1.407102364464	1.355197362091	-0.071036592783	-0.107706631517	0.022247829461	0.000100092860	0.955140194690	N\A	0.114406293572	0.016850207273	0.047125538335	0.009139332652	30	32	
1750000	432.578830	1	-1.523649582188	1.426162866130	-0.074028274488	-0.132453200399	0.019969894564	0.000137490799	0.949377966284	N\A	0.114632719365	0.016854872046	0.047347430711	0.009178154937	40	24	
1800000	429.876662	1	-1.177414736443	1.157264386765	-0.038104688375	-0.055764448884	0.008785047363	0.000131723926	0.951354016446	N\A	0.100437932341	0.014468890815	0.046071482108	0.008465821879	58	27	
1850000	435.584446	1	-1.498319093940	1.420022598584	-0.074488637038	-0.134679372475	0.022175910103	0.000095481031	0.956890189616	N\A	0.105554695271	0.015123600999	0.047320510037	0.008213657530	56	38	
1900000	434.959241	1	-1.319506261699	1.264278907227	-0.052003129467	-0.036450865683	0.002013577973	0.000111478881	0.944539469022	N\A	0.151063710059	0.021907811239	0.061125006725	0.011648094671	39	31	
1950000	450.750593	1	-1.306627422341	1.242901042861	-0.046584344868	-0.079249698748	0.011097097804	0.000103216977	0.962310458664	N\A	0.096571176959	0.013374625756	0.045826961792	0.008268563036	46	35	
2000000	446.559074	1	-1.401384626536	1.312701369895	-0.060587887403	-0.054195585987	0.007149557396	0.000121105108	0.960572528686	N\A	0.107802346383	0.016399094935	0.042740085098	0.008663775188	44	35	
2050000	428.437950	1	-1.294187925819	1.248797473337	-0.058549655386	-0.047571857911	0.014207148771	0.000152998184	0.952440757985	N\A	0.096198971904	0.014100602454	0.043866373310	0.008594934210	39	34	
2100000	437.311507	1	-1.326535990364	1.250451214541	-0.043434284073	-0.061352512229	0.000027059032	0.000097740393	0.954258275523	N\A	0.123357657478	0.017132714820	0.050350193571	0.008844324875	44	32	
2150000	442.761447	1	-1.637759332269	1.566891647042	-0.093587918897	-0.201853884514	0.032585869800	0.000118049397	0.953584158591	N\A	0.111141075120	0.016986037749	0.046203120268	0.009279928574	42	30	
2200000	437.430653	1	-1.499784221352	1.455994980047	-0.087247761255	-0.110304339021	0.023006883670	0.000120097031	0.949883091391	N\A	0.118938319919	0.016090125270	0.051187265623	0.008716613695	56	30	
2250000	441.032306	1	-1.188340646192	1.246526875489	-0.060260727514	-0.081191343610	0.023405531478	0.000093207589	0.952504211529	N\A	0.118560842093	0.018029618574	0.049439727296	0.010208980104	58	32	
2300000	457.107658	1	-1.345712585988	1.298301700596	-0.059198571827	-0.085166949815	0.015041367237	0.000082501136	0.956406525564	N\A	0.099085352868	0.015097718048	0.042755021414	0.008535098714	42	15	
2350000	431.554516	1	-1.215708410246	1.217217950126	-0.045518183223	-0.047015188120	0.006828079281	0.000142681527	0.953302228980	N\A	0.103012139463	0.014350066793	0.045801615705	0.008406202292	49	26	
2400000	426.116536	1	-1.571654663455	1.486952322721	-0.088912029094	-0.163879112753	0.035231209064	0.000156109652	0.949617541602	N\A	0.106801291497	0.014394903558	0.049297892254	0.008806070318	46	23	
2450000	428.554043	1	-1.332436855507	1.291590847945	-0.056000731721	-0.091214714646	0.015883432201	0.000105325019	0.956152961191	N\A	0.112954412856	0.017170210463	0.048875297914	0.009806908922	35	26	
2500000	442.261388	1	-1.381874893098	1.346213543668	-0.068261919279	-0.083530493915	0.012619453633	0.000115713841	0.951461501301	N\A	0.104521676183	0.015515594751	0.044630040053	0.008558561510	43	28	
2550000	433.544194	1	-1.190038646625	1.194873017950	-0.041189520842	-0.057373585556	0.006214204693	0.000087771103	0.953261592875	N\A	0.107927956627	0.016291960352	0.047722984021	0.009617727244	43	30	
2600000	418.993680	1	-1.310777454339	1.225364958013	-0.054668901316	0.003829256252	0.004225637075	0.000164538097	0.950367767787	N\A	0.118030644673	0.017656430919	0.049735234228	0.009957562488	45	29	
2650000	447.524389	1	-1.227970173285	1.242847967710	-0.052234916960	-0.085044645225	0.013539915903	0.000136073140	0.946320144167	N\A	0.115120626574	0.015762518517	0.051665422083	0.009062550314	50	25	
2700000	443.714389	1	-1.208362198318	1.201047647289	-0.054578389134	0.014872387472	0.003358732496	0.000003405518	0.961184528306	N\A	0.112841822222	0.016158293304	0.048331392207	0.008876384908	40	43	
2750000	465.780605	1	-1.323614013117	1.335789855074	-0.081849245456	-0.060814479114	0.028551357917	0.000035608432	0.953961769983	N\A	0.124313151860	0.016935649945	0.053039231474	0.009476943886	46	33	
2800000	462.581517	1	-1.102225978851	1.122133560873	-0.037103652113	-0.010050008072	0.004123241728	0.000009819930	0.958952899448	N\A	0.109929737536	0.016004268978	0.047435334473	0.009209173456	52	30	
2850000	464.126707	1	-1.484827502254	1.441992431069	-0.078546108100	-0.161904968252	0.028954150979	0.000009220769	0.957351138972	N\A	0.097443059409	0.014567065635	0.042300512742	0.008205096465	39	28	
2900000	438.829924	1	-1.251870665250	1.246178952231	-0.055803570365	-0.043522834781	0.008991038247	0.000012737790	0.952873663239	N\A	0.122317418453	0.017229852218	0.051848062915	0.009677195419	42	25	
2950000	443.361934	1	-1.197020078653	1.249641021781	-0.054077346051	-0.131718353709	0.027029163923	0.000006579864	0.969187333015	N\A	0.066875318204	0.011283765920	0.038197399867	0.007821300976	41	29	
3000000	427.044160	1	-1.251538973724	1.272599867023	-0.067532943814	-0.040606580105	0.015356744872	0.000010402811	0.951640584077	N\A	0.108566860106	0.016544801484	0.045622308247	0.008835605442	54	21	
3050000	448.701181	1	-1.277569552463	1.255096586703	-0.052417673627	-0.074772222609	0.012232493936	0.000015332613	0.955951674227	N\A	0.097959550076	0.013720268382	0.045858378128	0.008088573223	53	31	
3100000	436.826231	1	-1.159365113950	1.175279794721	-0.041868558794	-0.034484472860	0.008645917029	0.000008001147	0.955800824821	N\A	0.098307646856	0.014320594460	0.043331356314	0.008256103474	50	30	
3150000	446.733974	1	-1.117885603253	1.178405899722	-0.061598406590	0.014966851603	0.012931994089	0.000022998961	0.957489800694	N\A	0.101771304680	0.014610909106	0.044764404470	0.008499195991	59	30	
3200000	435.287725	1	-1.075220514351	1.130246675816	-0.035091824376	-0.048635197843	0.010779469608	0.000005911613	0.957525862993	N\A	0.110020663390	0.016436040448	0.046111509008	0.008762744164	53	30	
3250000	441.801449	1	-1.140760090059	1.197366153388	-0.045075737668	-0.078585064881	0.014882571117	0.000015419991	0.949864436896	N\A	0.123005955411	0.017309075206	0.051923418840	0.009606145091	39	24	
3300000	441.458408	1	-1.144297683846	1.168184197223	-0.043309837927	-0.017952574679	0.001638809898	0.000017345387	0.954473219102	N\A	0.100575287224	0.014869042169	0.042843903440	0.008550517847	49	30	
3350000	448.491370	1	-1.440114134609	1.368678774895	-0.065276463706	-0.078990171049	0.007465404685	0.000004164690	0.953660528620	N\A	0.102151202945	0.015042089309	0.043907849257	0.008491998882	36	26	
3400000	445.443694	1	-1.139995109001	1.172264369297	-0.041129123189	-0.025344817368	0.001549485208	0.000008580791	0.955982020356	N\A	0.101778283814	0.015148852079	0.044948170525	0.008793454415	37	24	
3450000	443.662984	1	-1.302079305834	1.278293204819	-0.051705661048	-0.074415818898	0.007473915622	0.000005522437	0.951099531138	N\A	0.118988678404	0.017002617325	0.050204061862	0.009366973865	45	24	
3500000	435.803837	1	-1.249987290850	1.227221360240	-0.047900981512	-0.030847164297	0.003845281708	0.000007906872	0.954199433396	N\A	0.102932478961	0.014682240892	0.044439124372	0.008469003899	51	31	
3550000	448.415192	1	-1.367548544937	1.308252372969	-0.065526036751	-0.026174426995	0.008272147705	0.000016181764	0.955230897945	N\A	0.116169462408	0.016246700360	0.050300918880	0.009147994139	48	25	
3600000	428.840530	1	-1.678324691836	1.600619579129	-0.101661450649	-0.201276269689	0.032915116032	0.000030976878	0.949504566918	N\A	0.128866098222	0.018859279761	0.050749337312	0.009953472783	36	29	
3650000	458.846101	1	-1.196045774402	1.209506945580	-0.047689200721	-0.045926551780	0.008057429770	0.000017812644	0.957345053428	N\A	0.119880000793	0.018481880605	0.048396148633	0.010100838623	56	38	
3700000	440.190282	1	-1.426929833967	1.355584682435	-0.061648793471	-0.110508764993	0.013128133897	0.000037490771	0.953888358544	N\A	0.108191384717	0.015197717000	0.048085233231	0.008664911076	32	27	
3750000	433.066404	1	-1.608408117553	1.540413740290	-0.104385420956	-0.134089331033	0.035709065402	0.000016192478	0.949671793923	N\A	0.130161532753	0.017257664827	0.057904749467	0.010003179523	47	21	
