Species_TTOL	STR	rest_of_brain	BOD
Anourosorex_squamipes	1.304	2.5613393948666	1.86328760196422
Atelerix_algirus	2.155	3.45937494595256	1.86328760196422
Blarina_brevicauda	1.348	2.56526016953364	1.86328760196422
Chrysochloris_asiatica	1.647	2.8124927980164	1.86328760196422
Chrysochloris_stuhlmanni	1.636	2.83356529108882	1.86328760196422
Crocidura_attenuata	0.88	2.29369840905507	1.86328760196422
Crocidura_flavescens	1.229	2.58207746336137	1.86328760196422
Crocidura_hildegardeae	0.948	2.30064063157812	1.86328760196422
Crocidura_denti	0.989	2.36479451634544	1.86328760196422
Crocidura_russula	0.937	2.26471093422473	1.86328760196422
Crocidura_suaveolens	0.906	2.25063238800831	1.86328760196422
Cryptotis_parvus	1.11	2.36248471949945	1.86328760196422
Desmana_moschata	2.346	3.55635615102067	1.86328760196422
Echinops_telfairi	1.384	2.74834886210844	1.86328760196422
Echinosorex_gymnura	2.321	3.7443098228403	1.86328760196422
Erinaceus_europaeus	2.17	3.47896517613914	1.86328760196422
Euroscaptor_micrura	1.682	2.88161190363473	1.86328760196422
Galemys_pyrenaicus	1.871	3.0873915761491	1.86328760196422
Geogale_aurita	0.581	2.08153227068238	1.86328760196422
Hemicentetes_semispinosus	1.444	2.87971667978679	1.86328760196422
Hemiechinus_auritus	1.904	3.22302557506589	1.86328760196422
Hylomys_suillus	1.584	3.04265473490601	1.86328760196422
Limnogale_mergulus	1.763	3.01708868959485	1.86328760196422
Microgale_dobsoni	1.361	2.70344201843958	1.86328760196422
Microgale_talazaci	1.509	2.85130596152045	1.86328760196422
Micropotamogale_lamottei	1.514	2.86835860528116	1.86328760196422
Micropotamogale_ruwenzorii	1.774	3.0239960099372	1.86328760196422
Myosorex_sclateri	1.27	2.52863027572128	1.86328760196422
Neomys_anomalus	1.273	2.4253493121911	1.86328760196422
Neomys_fodiens	1.301	2.4844525337294	1.86328760196422
Oryzorictes_hova	1.512	2.72555444984195	1.86328760196422
Parascalops_breweri	1.781	2.9176407015745	1.86328760196422
Potamogale_velox	2.172	3.58573403914356	1.86328760196422
Ruwenzorisorex_suncoides	1.241	2.54319142403048	1.86328760196422
Scalopus_aquaticus	1.882	3.09133564705225	1.86328760196422
Scutisorex_somereni	1.416	2.77648055519446	1.86328760196422
Setifer_setosus	1.761	3.13780347988815	1.86328760196422
Solenodon_paradoxus	2.411	3.63091110993978	1.86328760196422
Sorex_alpinus	1.221	2.39429748323639	1.86328760196422
Sorex_araneus	1.061	2.30376222600923	1.86328760196422
Sorex_cinereus	1.071	2.19894571979351	1.86328760196422
