Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m3-glob-002.txt
Log File Name:                   MES_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2101486756
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	459.179527	1	0.726841535369	0.745711178875	-0.042451422182	0.000402956723	0.956764198203	N\A	0.018954698852	0.004974256527	33	8	-0.001681193587	Global Trend	
2450000	454.078146	1	0.664113051227	0.773878976954	-0.046895411752	0.000366592266	0.950650755072	N\A	0.017926817460	0.004360966790	40	9	-0.000000032875	Global Trend	
2500000	465.441587	1	0.811610406271	0.753215231669	-0.042416330505	0.000134619750	0.952968228893	N\A	0.017729200107	0.004311888158	35	8	-0.002426852391	Global Trend	
2550000	464.294276	1	0.798837539982	0.737155215163	-0.037347069807	0.000243847688	0.958278306358	N\A	0.015992256473	0.003883122308	32	6	-0.002688164629	Global Trend	
2600000	452.560960	1	0.745730759749	0.771674875339	-0.049870732794	0.000246360040	0.949082568998	N\A	0.018073767186	0.004279983667	28	5	-0.001547199158	Global Trend	
2650000	433.053792	1	0.731926651177	0.756488935943	-0.042202755981	0.000084978681	0.939393196902	N\A	0.019645015952	0.004585171164	27	3	-0.000489124064	Global Trend	
2700000	467.735553	1	0.864795327825	0.741174320544	-0.042387682293	0.000041598164	0.953589209531	N\A	0.017336005301	0.004461181407	38	9	-0.000693073950	Global Trend	
2750000	459.202065	1	0.806237535373	0.709622367893	-0.028399802018	0.000249295136	0.952752210766	N\A	0.017162155360	0.004138904100	42	5	-0.002382929542	Global Trend	
2800000	456.682219	1	0.747213769998	0.715077205777	-0.033969107481	0.000245529562	0.960292797296	N\A	0.015813727193	0.004053004716	33	5	-0.001248385815	Global Trend	
2850000	457.225967	1	0.660368799703	0.751339648430	-0.039240368317	0.000106691205	0.954989534627	N\A	0.016339121814	0.003807229977	39	3	0.000106476432	Global Trend	
2900000	453.027171	1	0.806321006954	0.750239191072	-0.044879866421	0.000164633428	0.956475440698	N\A	0.017979328418	0.004679128641	40	5	-0.000609907489	Global Trend	
2950000	456.739732	1	0.852862960604	0.741951394492	-0.039795876692	0.000243325907	0.951508561617	N\A	0.016947304179	0.004184117328	34	5	-0.003145014716	Global Trend	
3000000	461.206415	1	0.774658899456	0.728761738240	-0.038747082871	0.000188235574	0.946477686008	N\A	0.018093160572	0.004245442129	33	6	-0.000623514214	Global Trend	
3050000	453.576422	1	0.452317869762	0.720666013326	-0.033984629895	0.000348309659	0.947702334064	N\A	0.019243121225	0.004684886537	31	7	0.004904574079	Global Trend	
3100000	462.270331	1	0.638213997834	0.742920218974	-0.042628400157	0.000314055429	0.954121131216	N\A	0.016975024906	0.004040139952	37	6	0.001621682299	Global Trend	
3150000	462.777187	1	0.689454835977	0.720783996952	-0.035181996540	0.000132891948	0.947858805323	N\A	0.017814652683	0.003866154793	36	11	0.001038014234	Global Trend	
3200000	456.368627	1	0.787734662934	0.707598164685	-0.035528864766	0.000249717239	0.944530191107	N\A	0.018465927762	0.004256710212	27	6	-0.000710097219	Global Trend	
3250000	444.887571	1	0.724975187324	0.756440681845	-0.044792128514	0.000165085177	0.945484933655	N\A	0.018494708955	0.003937816227	37	5	-0.000413236823	Global Trend	
3300000	456.655499	1	0.707980605094	0.750780999073	-0.038960597537	0.000122892883	0.947336923959	N\A	0.018430354933	0.004036809286	34	7	-0.000734342654	Global Trend	
3350000	454.359217	1	0.651086640646	0.774135548124	-0.042821854265	0.000211576078	0.947684899461	N\A	0.019274568904	0.004215118238	31	7	-0.000703584395	Global Trend	
3400000	451.194153	1	0.689733669325	0.731173900174	-0.036719587763	0.000308027576	0.966162506227	N\A	0.016533858082	0.004423695330	30	7	0.000447653968	Global Trend	
3450000	449.779545	1	0.867445896265	0.760612705554	-0.040942580810	0.000315840383	0.945364733143	N\A	0.017874006587	0.004350811756	32	9	-0.005090099831	Global Trend	
3500000	449.362355	1	0.630471215760	0.729837697019	-0.037654618553	0.000210756556	0.943970735543	N\A	0.018394039571	0.004193102800	30	7	0.000976441213	Global Trend	
3550000	435.816109	1	0.917463509244	0.743816253336	-0.038777994249	0.000202446452	0.942187125546	N\A	0.019444348552	0.004378991632	42	9	-0.001168047471	Global Trend	
3600000	462.487523	1	0.637442840610	0.757494423272	-0.045085606983	0.000215917624	0.968288618652	N\A	0.013090270415	0.003227625334	34	10	-0.001640863167	Global Trend	
3650000	470.340078	1	0.740790654639	0.734448233760	-0.038732786758	0.000210614257	0.954824636002	N\A	0.018203167907	0.004603222547	37	5	-0.000656015968	Global Trend	
3700000	467.198572	1	0.656133299612	0.729454199315	-0.037947805820	0.000074132046	0.957158618084	N\A	0.019134585977	0.004522370781	31	8	0.000326069150	Global Trend	
3750000	464.742219	1	0.784656593559	0.714661720545	-0.029798536032	0.000133648251	0.953531709847	N\A	0.017809137948	0.004234098390	37	10	-0.001741637742	Global Trend	
3800000	469.954520	1	0.899327147114	0.693632361892	-0.031125185953	0.000214827716	0.949165322554	N\A	0.017610580808	0.003893728148	24	8	-0.003271635684	Global Trend	
3850000	459.269088	1	0.751605156348	0.738885589689	-0.037963635615	0.000075008598	0.943697645020	N\A	0.018726142684	0.004504642068	34	9	-0.000505635871	Global Trend	
3900000	464.477216	1	0.658753475224	0.690959387540	-0.032022613379	0.000252847455	0.942996258188	N\A	0.018897791382	0.004460711725	34	7	0.001700723578	Global Trend	
3950000	459.184590	1	0.736102551642	0.721505574775	-0.038785477682	0.000270803079	0.954550935085	N\A	0.018074861195	0.004537248665	34	8	-0.000317222475	Global Trend	
4000000	470.602261	1	0.630990560614	0.722129152461	-0.036116670579	0.000163086775	0.944737376500	N\A	0.018447965768	0.004268226127	35	7	0.001192980414	Global Trend	
4050000	466.973717	1	0.698192924218	0.724472842483	-0.038867548842	0.000233188008	0.947204329444	N\A	0.017956446400	0.004307940019	41	6	0.000185202015	Global Trend	
4100000	454.731940	1	0.547826545061	0.710092960319	-0.030923805962	0.000201471995	0.949634088224	N\A	0.019401831035	0.004842302781	33	9	0.002492375700	Global Trend	
4150000	463.160744	1	0.829595049881	0.694446735028	-0.031737984247	0.000351677077	0.950320854392	N\A	0.018487121596	0.004478786124	38	8	-0.001643369343	Global Trend	
4200000	453.000544	1	0.704191809851	0.684007346073	-0.024988472775	0.000186978907	0.944540102699	N\A	0.019411830406	0.004837022930	34	7	0.000838759053	Global Trend	
4250000	446.706803	1	0.545145826807	0.770595235504	-0.043813954964	0.000214595463	0.941851664890	N\A	0.019936038766	0.004481608922	35	3	0.000509012615	Global Trend	
4300000	439.124234	1	0.637893335063	0.778617511706	-0.043240856082	0.000203837952	0.956474151018	N\A	0.018384637554	0.004504941575	51	4	0.000098656193	Global Trend	
4350000	478.686433	1	0.588738965240	0.726010932221	-0.037509846165	0.000172227990	0.953532867275	N\A	0.016882194911	0.003914324184	36	7	0.000828234926	Global Trend	
4400000	465.496289	1	0.662384189829	0.722201018076	-0.037794828940	0.000232051590	0.942686468203	N\A	0.017924082907	0.003972108727	35	14	0.002084743944	Global Trend	
4450000	454.874053	1	0.674036294852	0.769764913304	-0.044355133611	0.000218896917	0.945971286147	N\A	0.018875272174	0.004497094949	38	4	-0.000624454873	Global Trend	
4500000	461.941682	1	0.671218858885	0.744443529577	-0.042703100056	0.000186857376	0.949008141762	N\A	0.017765754885	0.004236962808	28	6	0.000584485821	Global Trend	
4550000	451.098013	1	0.757841557180	0.758337090549	-0.045546206924	0.000177572273	0.952994527989	N\A	0.017525936508	0.004144829250	43	6	-0.001537310405	Global Trend	
4600000	475.073487	1	0.774174457222	0.751809528645	-0.044001510699	0.000171251341	0.955159276971	N\A	0.016404069503	0.003845266265	33	9	-0.002409426886	Global Trend	
4650000	468.127127	1	0.854382979275	0.747301830554	-0.044451451439	0.000196008165	0.951569292965	N\A	0.016863786709	0.003751997057	36	7	-0.003046850626	Global Trend	
4700000	450.687725	1	0.842912052277	0.745230142182	-0.041143463387	0.000293901099	0.975452975491	N\A	0.013555176147	0.003961885117	30	6	-0.003465663614	Global Trend	
4750000	459.952596	1	0.711605173290	0.735858177078	-0.037108088457	0.000269209239	0.953421611629	N\A	0.016965722002	0.004142637560	32	11	-0.000940881282	Global Trend	
4800000	480.588487	1	0.734187777796	0.734322590021	-0.038096819230	0.000127507354	0.961770691798	N\A	0.015368688267	0.003765292736	24	8	-0.000262608287	Global Trend	
4850000	459.488374	1	0.682040008972	0.720522770578	-0.033808068677	0.000066619565	0.952347974228	N\A	0.018874716859	0.004862145605	35	10	-0.000035686950	Global Trend	
4900000	448.286684	1	0.744785231396	0.720257551308	-0.034976669625	0.000135808580	0.942560884472	N\A	0.019439371512	0.004376845425	31	7	-0.000977170753	Global Trend	
4950000	457.117442	1	0.531975700332	0.752506954507	-0.041274464204	0.000159742176	0.945931205105	N\A	0.017295255204	0.003719361486	36	10	0.001806028911	Global Trend	
5000000	452.762965	1	0.654953684784	0.707942949431	-0.029914196418	0.000125014796	0.947385931910	N\A	0.018964077617	0.004653707609	39	5	-0.000052396238	Global Trend	
5050000	449.710766	1	0.727537836561	0.689062329021	-0.026996474753	0.000265129452	0.949529819864	N\A	0.018792801084	0.004761539043	38	7	-0.000167817162	Global Trend	
5100000	458.642306	1	0.557764660190	0.779569989420	-0.045085069063	0.000295029694	0.939517098580	N\A	0.019830842581	0.004616421181	43	5	0.001730380705	Global Trend	
5150000	457.155568	1	0.727159243534	0.704676810079	-0.033581760219	0.000200201232	0.943885653775	N\A	0.018520085110	0.004009858047	46	9	-0.000157836336	Global Trend	
5200000	459.208523	1	0.573948275653	0.739696978594	-0.038320872227	0.001132734999	0.951997930711	N\A	0.016600453740	0.003813839250	43	9	-0.002177204770	Global Trend	
5250000	471.253225	1	0.707916641382	0.720874093211	-0.034623211921	0.000174629103	0.952412862732	N\A	0.017309213300	0.003883417019	44	7	0.000496878595	Global Trend	
5300000	459.879111	1	0.754793952877	0.737074456479	-0.042118461391	0.000082911879	0.952085758988	N\A	0.017445882997	0.004149558954	43	3	-0.000260748944	Global Trend	
5350000	464.111529	1	0.727181088420	0.736605869284	-0.042220917018	0.000215826201	0.950293135364	N\A	0.017341456567	0.004040770019	41	10	-0.000373160725	Global Trend	
5400000	457.289682	1	0.791032544899	0.762301308395	-0.041438970661	0.000152107106	0.950917814561	N\A	0.017766779330	0.003953569152	39	7	-0.002391068100	Global Trend	
5450000	452.566562	1	0.797357848437	0.727011334069	-0.034287934048	0.000300428818	0.948950961091	N\A	0.018228374161	0.004330738849	38	5	-0.002221969375	Global Trend	
5500000	459.163525	1	0.798331629871	0.744286937461	-0.041306710848	0.000168654099	0.951341793857	N\A	0.017251496380	0.003908702869	44	6	-0.001756460667	Global Trend	
5550000	463.951304	1	0.792491147721	0.737966788783	-0.041814790550	0.000193612664	0.951026499968	N\A	0.017108346844	0.003998017231	49	6	-0.001901589010	Global Trend	
5600000	466.478249	1	0.500229530153	0.752357828957	-0.043660145635	0.000253468917	0.948860473949	N\A	0.017415631170	0.004188617677	31	9	0.001819066209	Global Trend	
5650000	473.147189	1	0.630433297293	0.723664621973	-0.038073355141	0.000114838018	0.946796538590	N\A	0.018716299783	0.004801348802	43	10	0.000838637784	Global Trend	
5700000	476.497704	1	0.615953294991	0.742080416965	-0.040461877321	0.000121230973	0.957230245050	N\A	0.017116455551	0.004382104297	34	9	0.000290312357	Global Trend	
5750000	466.873825	1	0.768721672465	0.761528524530	-0.044147226346	0.000338259207	0.962245529982	N\A	0.014961067018	0.003799780759	34	8	-0.002078663904	Global Trend	
5800000	456.801618	1	0.627878956357	0.748515931289	-0.040382895236	0.000228982606	0.942713840551	N\A	0.018072448734	0.003938519747	41	4	0.001247274127	Global Trend	
5850000	461.396136	1	0.652161088579	0.767448913756	-0.044968030918	0.000251598302	0.950439608809	N\A	0.018413839552	0.004593500769	50	5	0.000532115958	Global Trend	
5900000	465.295163	1	0.712851565913	0.741624295289	-0.036921710803	0.000153873037	0.946007641578	N\A	0.018298944212	0.003849183482	32	10	-0.000060760098	Global Trend	
5950000	475.995240	1	0.773479611860	0.737944647221	-0.041065977246	0.000184009016	0.987455155569	N\A	0.010480972620	0.003366641687	27	9	-0.000444954447	Global Trend	
6000000	461.347072	1	0.662082668704	0.735750279204	-0.039868003226	0.000271867765	0.968184418821	N\A	0.016412446607	0.004251829879	37	6	0.000862825656	Global Trend	
6050000	470.177470	1	0.722719008147	0.721596426599	-0.035868878300	0.000070607725	0.946967374841	N\A	0.018542749590	0.004299644957	38	10	0.000103670436	Global Trend	
6100000	452.179191	1	0.713429982334	0.747947913516	-0.038588294579	0.000283041959	0.949296015905	N\A	0.018847542046	0.004344183742	32	2	-0.001193709705	Global Trend	
6150000	455.451829	1	0.738259731458	0.755191108587	-0.038446804338	0.000200378430	0.947421733227	N\A	0.017828496525	0.003909084301	41	6	-0.001929175291	Global Trend	
6200000	460.267658	1	0.730001052785	0.734126412386	-0.037346458561	0.000222424586	0.947977380076	N\A	0.018574881895	0.004322032739	34	6	-0.000891814521	Global Trend	
6250000	460.098194	1	0.635747321826	0.752443721620	-0.041722583917	0.000275223192	0.942759367513	N\A	0.019676683601	0.004427344727	31	8	0.001198461466	Global Trend	
6300000	467.498222	1	0.901839883157	0.740769883062	-0.044659794477	0.000255249535	0.948183818006	N\A	0.018113531886	0.004485644003	37	11	-0.001963464895	Global Trend	
6350000	459.146507	1	0.692288608974	0.750752290549	-0.040590195650	0.000192409788	0.949496654311	N\A	0.017939427710	0.004098831706	37	8	0.000504242287	Global Trend	
6400000	468.293147	1	0.706876584193	0.724387344690	-0.035128750070	0.000226739596	0.951312287211	N\A	0.017622912935	0.004118730539	29	6	0.000281652160	Global Trend	
6450000	462.335022	1	0.640268249122	0.749358596681	-0.038800470616	0.000107981817	0.949069763315	N\A	0.018629164486	0.004374719140	35	9	0.000370624276	Global Trend	
6500000	471.312369	1	0.685044546872	0.773273215323	-0.048267584904	0.000282885312	0.955411403095	N\A	0.016637948324	0.003610375499	40	9	-0.001181003333	Global Trend	
6550000	470.321808	1	0.684860328773	0.715437608088	-0.031496787916	0.000082874100	0.955131879556	N\A	0.017426077056	0.004161967936	35	9	0.000280184419	Global Trend	
6600000	465.778289	1	0.704375918265	0.767580823236	-0.045496220901	0.000173548894	0.968923896033	N\A	0.014780467620	0.004001532668	41	9	0.000437873165	Global Trend	
6650000	453.427013	1	0.887117059573	0.696613440278	-0.030103099717	0.000161930673	0.943975787616	N\A	0.018540877570	0.004324047882	44	9	-0.001391612352	Global Trend	
6700000	451.598439	1	0.588416442710	0.792467038248	-0.052316971392	0.000278206227	0.954268410333	N\A	0.017855043709	0.004432880663	42	5	0.000827899191	Global Trend	
6750000	452.202748	1	0.795878123811	0.737853889639	-0.040595432720	0.000176129176	0.956138779906	N\A	0.018133290570	0.004150785186	39	7	-0.001901430899	Global Trend	
6800000	442.744475	1	0.674864368769	0.741131849827	-0.038036997908	0.000232128734	0.947040296137	N\A	0.019086189977	0.004320457988	41	7	-0.000450342963	Global Trend	
6850000	459.744109	1	0.677185146365	0.738297566698	-0.042269266171	0.000201780859	0.947256163894	N\A	0.017656822238	0.003838791503	45	7	0.000586024559	Global Trend	
6900000	458.901372	1	0.725220576864	0.741492189498	-0.038747528092	0.000364963131	0.950118166942	N\A	0.018785954988	0.004674471039	31	5	-0.001801577738	Global Trend	
