Species_TTOL	MED	rest_of_brain	rest_of_brain2	BOD
Solenodon_paradoxus	2.674	3.63091110993978	13.1835154882841	2.826
Sorex_alpinus	1.496	2.39429748323639	5.73266043823212	1.033
Sorex_araneus	1.464	2.30376222600923	5.30732039398702	0.987
Sorex_cinereus	1.236	2.19894571979351	4.83536227859818	0.633
Sorex_fumeus	1.354	2.35557876339451	5.5487513105552	0.924
Sorex_hoyi	1.037	1.95473569737117	3.82099164657714	0.42
Sorex_minutus	1.176	2.03191366086741	4.12867312521959	0.633
Suncus_etruscus	1.045	1.76381793243763	3.11105369878857	0.762
Suncus_murinus	1.736	2.54992986543294	6.50214231862683	1.529
Sylvisorex_granti	1.332	2.19026550669	4.797262989796	0.591
Suncus_megalura	1.428	2.24721153694055	5.04995969175869	0.74
Talpa_europaea	1.981	2.9763963558453	8.85893526708917	1.908
Tenrec_ecaudatus	2.499	3.35823796436117	11.2777622252766	2.935
Aepyprymnus_rufescens	3.004321	4.0785367274352	16.6344618370378	3.392697
Antechinus_flavipes	1.965672	2.78774994860876	7.77154977596817	1.568202
Antechinus_minimus	2.0103	2.86153430048589	8.18837855285726	1.724276
Bettongia_gaimardi	2.963504	4.04663551459762	16.3752589880027	3.176091
Bettongia_penicillata	2.882126	3.98021273823091	15.8420934415756	3.079181
Burramys_parvus	2.023664	2.92464113314859	8.55352575770467	1.770852
Cercartetus_nanus	1.827369	2.67775290596171	7.17036062538641	1.278754
Dactylopsila_trivirgata	2.634779	3.76646475332113	14.1862567380104	2.643453
Dasycercus_cristicauda	2.304921	3.16814378922862	10.0371350692279	2
Dasyuroides_byrnei	2.349278	3.1709361619783	10.0548361433417	2.146128
Dasyurus_geoffroii	2.81961	3.70221513935253	13.706396938051	2.69897
Dasyurus_hallucatus	2.555699	3.45874340368618	11.9629059325426	3.021189
Dendrolagus_lumholtzi	3.220892	4.32056441398414	18.6672768553861	3.78533
Distoechurus_pennatus	2.067443	2.99668674974598	8.98013147610311	1.633468
Dorcopsis	3.129368	4.18833195300086	17.542124548528	3.462398
Echymipera_kalubu	2.626853	3.52847956017657	12.4501680065838	2.819544
Gymnobelideus_leadbeateri	2.300813	3.34769853893654	11.2070855075978	2.041393
Hypsiprymnodon_moschatus	2.639486	3.74212014161771	14.0034631543009	2.748188
Isoodon_macrourus	2.656769	3.58290385753117	12.8372000523117	3.033424
Isoodon_obesulus_obesulus	2.677424	3.62554911049539	13.1446063526139	3.004321
Osphranter_antilopinus	3.603469	4.71459609027679	22.2274162944531	4.537819
Macropus_giganteus	3.580469	4.77506983526938	22.8012919316995	4.563481
Notamacropus_irma	3.26529	4.36841530467472	19.0830522741163	3.819544
Notamacropus_parma	3.11059	4.20117855029655	17.6499012114718	3.536558
Notamacropus_parryi	3.404834	4.51970786965636	20.4277592270336	4.170262
Osphranter_robustus	3.515344	4.66347772236744	21.7480244670174	4.409933
Osphranter_rufus	3.362963	4.6959083965357	22.0515556686545	4.494155
Thylamys_pallidior	1.853698	2.76345797589405	7.63669998453245	1.477121
Marmosops_impavidus	2.073718	3.05568408388292	9.33720522049542	1.845098
Monodelphis_brevicaudata	2.05038	2.94537022663038	8.67520577192069	1.924279
Notoryctes_typhlops	1.818226	2.91376083971985	8.49000223108495	1.531479
Petauroides_volans	2.697752	3.62032345471659	13.106741916771	3.09691
Petaurus_australis	2.634578	3.77024778429207	14.2147683549593	2.748188
Petaurus_breviceps	2.334856	3.32467344517594	11.053453517058	2.113943
Petaurus_norfolcensis	2.429752	3.45766979672993	11.9554804232184	2.374748
Petrogale_inornata	3.138934	4.23497248958282	17.9349919875233	3.628389
Petrogale_lateralis	3.045714	4.16786355239828	17.3710865914101	3.556303
Petrogale_penicillata	3.242044	4.31879823891567	18.6520182284611	3.690196
Petrogale_purpureicollis	3.137987	4.24652097310723	18.0329403750396	3.740363
Petropseudes_dahli	2.800098	3.69722055952986	13.6694398658103	3.127105
Phascolarctos_cinereus	3.219323	4.22355030391757	17.8383771697222	3.968483
Planigale_ingrami	1.332438	1.97840863192174	3.91410071486245	0.826075
Planigale_maculata	1.60206	2.30272041723985	5.30252131997327	1.041393
Potorous_tridactylus_tridactylus	2.89304	3.99808497676137	15.984683481405	3.089905
Pseudochirulus_canescens	2.424718	3.33597913853393	11.1287568127336	2.447158
Pseudochirulus_forbesi	2.542825	3.47922966682932	12.1050390745452	2.70757
Sarcophilus_harrisii	3.161667	4.14834965764349	17.2088048820708	3.732394
Sminthopsis_crassicaudata	1.700704	2.53750425778387	6.43892785827126	1.146128
Sminthopsis_leucopus	1.866287	2.66164229549523	7.08433970916911	1.361728
Phalanger_gymnotis	3.028164	4.06032757480693	16.4862600147375	3.451786
Thylacinus_cynocephalus	3.716087	4.70915133299125	22.1761062770133	4.342423
Thylogale_billardierii	3.266702	4.34805949126278	18.9056213395604	3.845098
Thylogale_stigmatica	3.216166	4.25065668458073	18.0680822501708	3.653213
Trichosurus_vulpecula	2.984752	4.00237325530746	16.0189916748004	3.30103
Vombatus_ursinus	3.62995	4.68410274637518	21.9408185385995	4.357935
Wallabia_bicolor	3.475235	4.55349934894676	20.7343563208586	4.198657
Balionycteris_maculata	1.591	2.68604357258994	7.21483007385172	1.158
Casinycteris_argynnis	1.839	2.89835140151989	8.40044084669229	1.428
Chironax_melanocephalus	1.643	2.75718362381577	7.60206153543787	1.248
Cynopterus_brachyotis	1.833	2.966833649282	8.80210190251193	1.53
Cynopterus_horsfieldii	1.968	3.11468350641045	9.70125334510528	1.773
Cynopterus_sphinx	1.924	3.05354966776212	9.32416557349017	1.713
Dobsonia_inermis	2.238	3.40766797562694	11.6122010321134	2.173
Dobsonia_moluccensis	2.431	3.63531672034154	13.2155276571947	2.543
Dobsonia_praedatrix	2.286	3.45265177566025	11.9208042839698	2.25
Eidolon_helvum	2.437	3.60406636908379	12.9892943927608	2.418
Eonycteris_spelaea	1.981	3.09326062869164	9.56826131701383	1.769
Epomophorus_labiatus	2.061	3.17341455082117	10.0705599113635	1.806
Epomops_franqueti	2.241	3.3178958890353	11.0084331304774	2.072
Hypsignathus_monstrosus	2.451	3.51177917774895	12.3325929932711	2.491
Macroglossus_minimus	1.616	2.72492739657078	7.42522931658202	1.164
Megaerops_ecaudatus	1.732	2.87855040696948	8.28605244546414	1.38
Megaloglossus_woermanni	1.709	2.80962194180342	7.89397545586321	1.253
Melonycteris_melanops	1.92	3.08827988670424	9.53747265862198	1.675
Melonycteris_woodfordi	1.853	2.98478330621441	8.90893138505621	1.549
Epomophorus_pusillus	1.803	2.8916991691473	8.36192408484716	1.4
Myonycteris_torquata	1.915	3.04038415947288	9.24393583717363	1.561
Notopteris_macdonaldi	2.027	3.14143861060649	9.86863654420925	1.841
Nyctimene_albiventer	1.787	2.89166094946112	8.36170304663836	1.473
Nyctimene_robinsoni	1.923	3.06521908417013	9.39556803396076	1.673
Nyctimene_vizcaccia	1.851	2.97019608506253	8.82206478372075	1.549
Paranyctimene_raptor	1.713	2.83904237199348	8.06016158997434	1.417
Pteropus_alecto	2.593	3.82069860124938	14.597737801589	2.775
Pteropus_conspicillatus	2.616	3.89493121910952	15.170489201594	2.875
Pteropus_hypomelanus	2.502	3.69716131393364	13.6690017812475	2.591
Pteropus_lylei	2.513	3.75598421253182	14.1074174047883	2.497
Pteropus_neohibernicus	2.679	3.92848620624869	15.4330038726862	2.924
Pteropus_poliocephalus	2.635	3.83016987335255	14.6702012587375	2.842
Pteropus_samoensis	2.513	3.73626675041077	13.959689230225	2.491
Pteropus_scapulatus	2.454	3.70549571470575	13.7306984917027	2.574
Pteropus_temminckii	2.436	3.66354900940771	13.4215913443322	2.398
Pteropus_tonganus	2.56	3.75825829746648	14.1245054304756	2.652
Pteropus_vampyrus	2.652	3.92972371176801	15.4427284508318	3.027
Rousettus_aegyptiacus	2.182	3.32486399626551	11.0547205936626	2.111
Rousettus_amplexicaudatus	2.042	3.1617898919156	9.99691532061967	1.856
Scotonycteris_zenkeri	1.748	2.8251361190744	7.98139409129878	1.328
Sphaerias_blanfordi	1.839	2.89058047078486	8.35545545808283	1.47
Syconycteris_australis	1.623	2.75449107699007	7.5872210932179	1.207
Anoura_caudifer	1.591	2.5806238378183	6.65961939231605	1.025
Anoura_geoffroyi	1.716	2.74657171798292	7.54365620202365	1.204
Ardops_nichollsi	1.696	2.72119019257957	7.40487606419122	1.352
Artibeus_cinereus	1.618	2.64696591916355	7.00642857721331	1.1
Artibeus_concolor	1.742	2.77277474031503	7.68827976052911	1.288
Artibeus_jamaicensis	1.923	2.98333261088124	8.9002734671475	1.613
Artibeus_lituratus	1.976	3.06496819373968	9.39403002863586	1.748
Aselliscus_stoliczkanus	1.356	2.14627742243429	4.60650677405116	0.69
Aselliscus_tricuspidatus	1.294	2.0993562087761	4.40729649132678	0.643
Brachyphylla_cavernarum	2.026	3.05292228999784	9.32033450876568	1.648
Cardioderma_cor	1.854	2.79992584642206	7.83958474546228	1.415
Carollia_perspicillata	1.691	2.71324648190518	7.36170647157086	1.25
Chalinolobus_gouldii	1.528	2.35195774032069	5.53170521225439	1.068
Chalinolobus_morio	1.447	2.24071974568802	5.02082497871619	0.919
Chiroderma_salvini	1.851	2.88624082329356	8.33038609004629	1.417
Chiroderma_trinitatum	1.66	2.70539048497075	7.31913767617029	1.137
Chiroderma_villosum	1.794	2.82351695180044	7.97224797710447	1.394
Choeroniscus_minor	1.547	2.5659450134905	6.58407381225677	0.982
Coleura_afra	1.52	2.38684133903795	5.69701157774045	1.061
Cormura_brevirostris	1.438	2.31547900333038	5.36144301486384	0.914
Craseonycteris_thonglongyai	1.127	1.91186407137902	3.65522422742997	0.408
Desmodus_rotundus	1.903	2.97496949473285	8.85044349459105	1.56
Diphylla_ecaudata	1.8	2.87975236516861	8.29297368469423	1.49
Emballonura_monticola	1.322	2.19689550326823	4.82634985228017	0.724
Emballonura_raffrayana	1.364	2.21750313113026	4.91732013657249	0.771
Eptesicus_brasiliensis	1.417	2.27704088235613	5.18491517992119	0.964
Eptesicus_fuscus_bahamensis	1.493	2.3513653086034	5.52891881450355	1.134
Eumops_auripendulus	1.904	2.75999624802448	7.6175792891092	1.529
Eumops_glaucinus	1.915	2.79101278730558	7.78975237890325	1.562
Furipterus_horrens	1.212	2.07959239815975	4.32470454248383	0.535
Glischropus_tylopus	1.212	1.97312302120491	3.89321445680878	0.69
Glossophaga_longirostris	1.624	2.6169266719764	6.84830520650148	1.053
Glossophaga_soricina	1.579	2.57354501835856	6.62313396151816	0.996
Harpiocephalus_harpia	1.634	2.62086344715862	6.86892520865216	1.13
Hesperoptenus_blanfordi	1.394	2.16984821507198	4.70824127645104	0.863
Hipposideros_armiger	2.024	2.87560056473481	8.26907860790317	1.748
Hipposideros_ater	1.455	2.30545128539469	5.31510562932804	0.839
Hipposideros_caffer	1.592	2.4627759440208	6.06526535044753	1.041
Macronycteris_commersoni	1.937	2.84697711567035	8.10527869715067	1.997
Hipposideros_diadema	1.943	2.82568898250015	7.98451822582275	1.622
Hipposideros_fulvus	1.529	2.34735841257385	5.51009151708124	0.845
Hipposideros_lankadiva	1.968	2.83381440820857	8.0305041001705	1.686
Hipposideros_larvatus	1.703	2.59070379701993	6.7117461638935	1.312
Hipposideros_ridleyi	1.559	2.40319100137588	5.775326989094	0.982
Hipposideros_speoris	1.62	2.42782469906196	5.89433276937531	1.061
Hipposideros_turpis	1.865	2.74970813235674	7.5608948131488	1.542
Ia_io	1.979	2.85693377655639	8.16207060362878	1.727
Kerivoula_papillosa	1.534	2.47004291344843	6.10111199427681	1.004
Lasiurus_borealis	1.369	2.20786055220101	4.87464821796536	0.892
Leptonycteris_curasoae	1.794	2.76007259430502	7.61800072583367	1.389
Leptonycteris_nivalis	1.748	2.74009904764629	7.50814279091213	1.358
Lonchophylla_mordax	1.656	2.61273847911539	6.82640236025021	1.029
Hsunycteris_thomasi	1.494	2.50023862095974	6.25119316173868	0.839
Lophostoma_silvicolum	1.935	2.85331808051172	8.14142406857511	1.509
Macroderma_gigas	2.271	3.20498065502424	10.2719009990796	2.078
Macrophyllum_macrophyllum	1.59	2.4790378028068	6.14562842774516	0.934
Megaderma_lyra	2.022	2.93241161841455	8.59903789981263	1.587
Megaderma_spasma	1.824	2.78365497627165	7.74873502692193	1.354
Mesophylla_macconnelli	1.524	2.5144416036305	6.32241657806794	0.875
Micronycteris_brachyotis	1.643	2.58328686142129	6.67337100839185	1.167
Micronycteris_megalotis	1.493	2.41295245824855	5.8223395657677	0.813
Micronycteris_minuta	1.453	2.43110917339505	5.91029181296557	0.839
Micronycteris_schmidtorum	1.479	2.46261324325241	6.06446398584217	0.892
Gardnerycteris_crenulatum	1.549	2.48743694137244	6.18734253730427	1.072
Miniopterus_australis	1.435	2.28796870242141	5.2348007832599	0.851
Miniopterus_inflatus	1.641	2.48807198431177	6.19050219911712	1.173
Miniopterus_magnater	1.619	2.4849865990346	6.17515839738155	1.176
Miniopterus_pusillus	1.456	2.31097785415854	5.34061864241123	0.934
Miniopterus_tristis	1.645	2.49587912679333	6.22941261556266	1.193
Molossus_molossus	1.629	2.47483774200244	6.12482184923971	1.137
Molossus_rufus	1.82	2.69716719929339	7.27471090094414	1.526
Monophyllus_plethodon	1.655	2.62023584937206	6.86563590633451	1.176
Mormoops_megalophylla	1.663	2.56247160047249	6.56626070322802	1.196
Murina_cyclotis	1.459	2.37139315447136	5.62350549307361	0.851
Murina_huttoni	1.431	2.38592275334146	5.69262738491251	0.944
Myotis_adversus	1.548	2.3772871201093	5.65149405143757	1.049
Myotis_albescens	1.258	2.07780309246655	4.31726569106356	0.602
Myotis_annectans	1.489	2.31710569964846	5.3689788233434	0.991
Myotis_bechsteinii	1.595	2.39586985328546	5.74019235388207	0.978
Myotis_bocagii	1.394	2.25339686523018	5.07779743222921	0.845
Myotis_dasycneme	1.693	2.46431986810657	6.07287241234477	1.176
Myotis_myotis	1.847	2.65907694339085	7.07069019087282	1.408
Myotis_nigricans	1.233	2.11100026230064	4.45632210743337	0.663
Myotis_siligorensis	1.185	1.98557890358024	3.9425235823429	0.539
Natalus_tumidirostris	1.425	2.36796538095518	5.60726004540222	0.839
Noctilio_albiventris	1.82	2.74963685311494	7.56050282400782	1.515
Noctilio_leporinus	2.095	3.04342425236468	9.26243117988151	1.763
Nyctalus_noctula	1.76	2.52928534798622	6.39728437153778	1.431
Nycteris_arge	1.612	2.51972165509131	6.34899721913611	1.025
Nycteris_grandis	1.905	2.82882341601125	8.00224191897357	1.474
Nycteris_hispida	1.484	2.43216548536531	5.91542894820225	0.892
Nycteris_javanica	1.744	2.65047090615567	7.02499602437764	1.265
Nycteris_macrotis	1.679	2.56570573628551	6.5828459252084	1.161
Nycteris_thebaica	1.598	2.4880134922472	6.19021113760409	0.949
Nyctophilus_geoffroyi	1.334	2.1954325071819	4.819923893591	0.857
Otomops_martiensseni	1.952	2.85387267955123	8.1445892710889	1.618
Peropteryx_macrotis	1.307	2.18774408447669	4.78622417916275	0.748
Phylloderma_stenops	1.995	3.10305487853701	9.62894957921231	1.664
Phyllostomus_discolor	1.96	3.01289560068157	9.07753990060635	1.563
Phyllostomus_elongatus	1.963	2.91962973558399	8.52423779290623	1.652
Phyllostomus_hastatus	2.147	3.15775224544109	9.97139924358827	1.963
Pipistrellus_javanicus	1.26	2.04743835568333	4.19200382032326	0.653
Pipistrellus_tenuis	1.179	1.94445839594312	3.78091845355368	0.591
Afronycteris_nana	1.182	1.97624949883145	3.90556208163155	0.591
Hypsugo_pulveratus	1.318	2.12583275320563	4.51916489460183	0.724
Perimyotis_subflavus	1.262	2.0689992385851	4.28075784926571	0.724
Pteronotus_gymnonotus	1.648	2.50919392843789	6.29605417050955	1.134
Pteronotus_parnellii_mesoamericanus	1.797	2.71076396835588	7.34824129213654	1.305
Pteronotus_personatus	1.458	2.33437416842607	5.44930275821491	0.908
Rhinolophus_cornutus	1.377	2.26307067478927	5.12148887909114	0.82
Rhinolophus_eloquens	1.699	2.58228368121921	6.66818901029102	1.281
Rhinolophus_hipposideros	1.362	2.14741999328989	4.61141262758114	0.663
Rhinolophus_landeri	1.548	2.41927248180996	5.85287934124292	0.987
Rhinolophus_lepidus	1.403	2.24246038366786	5.0286285723198	0.778
Rhinolophus_luctus	1.829	2.76563752486781	7.64875091895694	1.516
Rhinolophus_macrotis	1.456	2.29216841823355	5.2540360575473	0.799
Rhinolophus_malayanus	1.436	2.28065583157794	5.20139102211046	0.806
Rhinolophus_megaphyllus	1.505	2.39284327871508	5.72569895649193	0.991
Rhinolophus_pearsonii	1.59	2.49680535567541	6.23403698412942	1.143
Rhinolophus_pusillus	1.336	2.19036275728536	4.79768900850274	0.672
Rhinolophus_trifoliatus	1.631	2.51948592306197	6.34780931650745	1.164
Rhinolophus_yunnanensis	1.712	2.61598611233896	6.84338333995029	1.371
Rhinonicteris_aurantia	1.493	2.36980993185743	5.61599911313013	0.934
Rhinophylla_pumilio	1.502	2.52389337701925	6.37003777856165	0.949
Rhinopoma_hardwickii	1.554	2.41517493551946	5.83306996916144	1.111
Rhinopoma_microphyllum	1.71	2.56167523073907	6.56217998778205	1.468
Rhogeessa_parvula	1.238	2.02540404611476	4.10226155001805	0.653
Rhynchonycteris_naso	1.196	2.04732050651951	4.19152125641528	0.58
Saccopteryx_bilineata	1.435	2.33483311530367	5.45144567631863	0.924
Saccopteryx_canescens	1.238	2.08934484317686	4.36536187370975	0.531
Saccopteryx_leptura	1.324	2.18322541361085	4.76647320663625	0.708
Scotomanes_ornatus	1.74	2.55494722650546	6.52775533022796	1.338
Scotophilus_dinganii	1.765	2.6152095371468	6.83932092318357	1.386
Scotophilus_kuhlii	1.688	2.50605597481635	6.28031654891271	1.31
Sphaeronycteris_toxophyllum	1.823	2.69540272673135	7.26519585927081	1.265
Sturnira_lilium	1.707	2.7664442150746	7.6532135951197	1.305
Sturnira_ludovici	1.802	2.79971581818209	7.83840866257902	1.413
Sturnira_tildae	1.734	2.82056767486967	7.95560200851967	1.387
Tadarida_aegyptiaca	1.732	2.56759514736225	6.59254484075817	1.248
Taphozous_australis	1.818	2.68911434548403	7.23133596308799	1.38
Taphozous_hildegardeae	1.836	2.71134274302204	7.3513794701383	1.438
Taphozous_mauritianus	1.848	2.71797961523504	7.3874131888332	1.462
Taphozous_melanopogon	1.826	2.70480831622297	7.31598802750896	1.356
Tonatia_bidens	1.897	2.87212442061372	8.24909868748569	1.468
Lophostoma_schulzi	1.775	2.67681030271887	7.1653133967419	1.328
Trachops_cirrhosus	1.989	2.97719852358353	8.86371104882793	1.567
Triaenops_persicus	1.588	2.41026109600416	5.80935855091118	1.137
Tylonycteris_pachypus	1.173	1.87843900376487	3.52853309086516	0.681
Tylonycteris_robustula	1.297	2.03440793493338	4.1388156457199	0.857
Uroderma_bilobatum	1.707	2.76341624316696	7.636469332999	1.21
Vampyressa_pusilla	1.511	2.55572901399533	6.53175079297756	0.934
Vampyrum_spectrum	2.368	3.38883839645361	11.4842256772783	2.238
Alouatta_seniculus	3.202	4.69064476860801	22.0021483452696	3.806
Aotus_trivirgatus	2.836	4.20956514451613	17.7204387059251	2.919
Ateles_geoffroyi	3.263	5.00423671459412	25.0423850956918	3.903
Avahi_laniger	2.743	3.99079117597203	15.9264142102162	3.109
Plecturocebus_moloch	2.896	4.24999973790912	18.0624977722276	2.954
Callimico_goeldii	2.663	4.02141427425862	16.171772765211	2.681
Callithrix_jacchus	2.502	3.86010428447601	14.9004050870301	2.447
Cebuella_pygmaea	2.303	3.63358773263483	13.2029598107543	2.146
Cebus_albifrons	3.24	4.8258408678735	23.2887400820381	3.491
Cercopithecus_ascanius	3.213	4.80297404128273	23.0685596412358	3.531
Cercopithecus_mitis_mitis	3.301	4.84835244065239	23.5065213887799	3.799
Cheirogaleus_major	2.582	3.80396492768725	14.4701491710746	2.653
Cheirogaleus_medius	2.305	3.4708780230274	12.0469942507346	2.248
Daubentonia_madagascariensis	3.181	4.6294722319675	21.4320131465581	3.447
Erythrocebus_patas	3.418	5.01330305301563	25.1332075013758	3.892
Eulemur_fulvus_fulvus	2.959	4.34468914865517	18.876323798442	3.146
Galago_senegalensis	2.405	3.65384583826705	13.3505894098214	2.27
Galagoides_demidoff	2.228	3.50526524207999	12.2868844173341	1.908
Gorilla_gorilla	3.876	5.67214160105073	32.1731903423703	5.021
Homo_sapiens	3.983	6.09769523952942	37.1818872341798	4.813
Hylobates_lar	3.352	4.98887970833346	24.8889207442213	3.756
Indri_indri	3.128	4.55944787748954	20.7885649475439	3.796
Lagothrix_lagotricha	3.324	4.980177796679	24.8021708865345	3.716
Lepilemur_mustelinus	2.652	3.85550540645094	14.8649219391724	2.961
Lophocebus_albigena	3.433	4.9893093148895	24.8932074396431	3.898
Loris_tardigradus_tardigradus	2.367	3.79701647977618	14.4173341476919	2.508
Macaca_mulatta	3.299	4.94427327976376	24.4458382649859	3.892
Microcebus_murinus	1.996	3.22499777943092	10.4006106773343	1.732
Miopithecus_talapoin	3.015	4.57720824492106	20.9508353173733	3.079
Nasalis_larvatus	3.469	4.97211427746941	24.7219203882152	4.146
Nycticebus_coucang	2.723	4.07016900764897	16.5662757508262	2.903
Otolemur_crassicaudatus	2.732	3.98509131950917	15.8809528248273	2.929
Pan_troglodytes	3.765	5.58232825551133	31.1623887522802	4.663
Papio_cynocephalus	3.724	5.28121407692444	27.8912221263048	4.398
Perodicticus_potto	2.833	4.12079897970986	16.9809842311778	3.061
Pithecia_monachus	3.004	4.51688705271499	20.4022686469843	3.176
Piliocolobus_badius	3.303	4.86832778778568	23.7006154493262	3.845
Propithecus_verreauxi	3.087	4.40135338583513	19.3719116270023	3.542
Pygathrix_nemaeus	3.344	4.86047259819674	23.6241938778213	3.875
Saguinus_midas	2.631	3.98108200720884	15.8490139481219	2.531
Saguinus_oedipus	2.616	3.97903342592802	15.8327070046525	2.58
Saimiri_sciureus_sciureus	2.859	4.35321967494396	18.9505215383192	2.82
Tarsius_tarsier	2.316	3.53020840861181	12.4623714082335	2.097
Varecia_variegata	3.152	4.47260429620756	20.0041891904543	3.477
