Species_TTOL	MED	rest_of_brain	rest_of_brain2	BOD
Anourosorex_squamipes	1.644	2.5613393948666	6.56045949569562	1.307
Atelerix_algirus	2.535	3.45937494595256	11.9672750166842	2.867
Blarina_brevicauda	1.633	2.56526016953364	6.58055973739577	1.267
Chrysochloris_asiatica	1.767	2.8124927980164	7.91011573889411	1.69
Chrysochloris_stuhlmanni	1.833	2.83356529108882	8.02909225886326	1.626
Crocidura_attenuata	1.511	2.29369840905507	5.26105239170176	0.968
Crocidura_flavescens	1.777	2.58207746336137	6.66712402679868	1.467
Crocidura_hildegardeae	1.497	2.30064063157812	5.29294731566815	0.996
Crocidura_denti	1.626	2.36479451634544	5.59225310453746	1.079
Crocidura_russula	1.458	2.26471093422473	5.12891561559707	1.049
Crocidura_suaveolens	1.431	2.25063238800831	5.065346145952	1.013
Cryptotis_parvus	1.479	2.36248471949945	5.5813340498684	0.991226075692495
Desmana_moschata	2.605	3.55635615102067	12.6476690729026	2.646
Echinops_telfairi	1.956	2.74834886210844	7.55342146785276	1.942
Echinosorex_gymnura	2.794	3.7443098228403	14.0198560494184	2.921
Erinaceus_europaeus	2.525	3.47896517613914	12.1031986967888	2.929
Euroscaptor_micrura	1.887	2.88161190363473	8.30368716316934	1.617
Galemys_pyrenaicus	2.168	3.0873915761491	9.53198674447644	1.778
Geogale_aurita	1.531	2.08153227068238	4.33277659389213	1
Hemicentetes_semispinosus	2.068	2.87971667978679	8.29276815584225	2.062
Hemiechinus_auritus	2.268	3.22302557506589	10.3878938575288	2.371
Hylomys_suillus	2.098	3.04265473490601	9.25774783584598	1.756
Limnogale_mergulus	2.309	3.01708868959485	9.10282416088118	1.964
Microgale_dobsoni	1.769	2.70344201843958	7.30859874706469	1.504
Microgale_talazaci	1.924	2.85130596152045	8.12994568620207	1.683
Micropotamogale_lamottei	2.13	2.86835860528116	8.22748108849048	1.808
Micropotamogale_ruwenzorii	2.297	3.0239960099372	9.14455186811612	1.986
Myosorex_sclateri	1.665	2.52863027572128	6.39397107129426	1.23
Neomys_anomalus	1.534	2.4253493121911	5.88231928614584	1.037
Neomys_fodiens	1.656	2.4844525337294	6.17250439235441	1.182
Oryzorictes_hova	1.785	2.72555444984195	7.42864705905324	1.645
Parascalops_breweri	1.873	2.9176407015745	8.51262726348414	1.731
Potamogale_velox	2.859	3.58573403914356	12.8574885994728	2.791
Ruwenzorisorex_suncoides	1.74	2.54319142403048	6.4678226192622	1.262
Scalopus_aquaticus	2.074	3.09133564705225	9.55635608273596	2.061
Scutisorex_somereni	1.919	2.77648055519446	7.70884427337294	1.792
Setifer_setosus	2.257	3.13780347988815	9.84581067839821	2.373
