Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-bm-006.txt
Log File Name:                   STR_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1997096084
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	258.624532	1	0.471201850486	0.647632059469	0.096382919739	-0.037643967426	0.659389115236	0.311572838896	-0.015829254510	-0.005056998979	-0.001576514946	0.002942558000	-0.000949411801	-0.078158791513	0.000557583698	0.866952012788	N\A	0.072296163677	0.308536797152	0.279079172497	0.292530277399	0.283516251263	0.384417202438	0.080443173766	0.077632960722	0.080703005556	0.083867133632	0.076654622875	
1600000	260.861019	1	0.044361901367	0.762156787633	0.762022875653	0.527686450548	0.933208069054	0.599177029152	0.539820667682	-0.037880356010	-0.059630818712	-0.149499769953	-0.126312130285	-0.177708869609	0.000550380466	0.868670813878	N\A	0.071827661042	0.306537378439	0.277270648765	0.290634586136	0.281678973819	0.381926054040	0.079921875858	0.077129873908	0.080180023854	0.083323647351	0.076157876008	
1650000	258.020835	1	0.652958267518	0.602559608013	0.060472328155	-0.230426438676	0.488310062422	0.350982150062	-0.263727281613	0.048993419394	0.078669622534	-0.028588407598	-0.083465432295	0.016436571924	0.000559544183	0.866484211049	N\A	0.072423150171	0.309078734706	0.279569368434	0.293044099882	0.284014240824	0.385092422122	0.080584470290	0.077769321174	0.080844758468	0.084014444260	0.076789264899	
1700000	257.047210	1	0.213995810228	0.697666081792	0.152949788257	0.078292856368	0.431492328389	0.684147863019	0.352903572712	-0.010340381428	-0.051056194861	0.007245215774	-0.143250589291	-0.074077178764	0.000562720527	0.865726287008	N\A	0.072628420153	0.309954761035	0.280361755939	0.293874679013	0.284819226495	0.386183895145	0.080812872020	0.077989743886	0.081073897937	0.084252567615	0.077006909823	
1750000	257.589070	1	0.109325560097	0.815147588646	0.221126380056	0.039455964999	0.896770479673	0.264081089596	0.538306605630	-0.086204306540	-0.111155042358	-0.158078239760	-0.257097477408	-0.195000609557	0.000560950548	0.866148630855	N\A	0.072514107663	0.309466912056	0.279920484458	0.293412139056	0.284370939240	0.385576066382	0.080685677726	0.077866993015	0.080946292804	0.084119959460	0.076885705870	
1800000	259.558745	1	0.236024520999	0.703416881753	0.536770909622	0.205460610978	1.146728040300	0.665093771098	0.254127599509	-0.016963010003	-0.031677273207	-0.154921653971	-0.127231741347	-0.126405341022	0.000554563408	0.867672700083	N\A	0.072100092783	0.307700029577	0.278322295507	0.291736920325	0.282747340689	0.383374643324	0.080225007765	0.077422416162	0.080484134877	0.083639681676	0.076446731617	
1850000	260.091098	1	0.634808412152	0.557259740206	0.121790129136	-0.090268309900	0.717413284318	0.213006668588	-0.288153116885	0.120189980151	0.104130367513	0.045073087513	-0.008549511628	0.049262928673	0.000552849647	0.868081629679	N\A	0.071988601521	0.307224220691	0.277891914589	0.291285795834	0.282310117146	0.382781815750	0.080100952620	0.077302694778	0.080359679034	0.083510346285	0.076328518973	
1900000	259.823859	1	0.122114586560	0.699908181242	0.587143738085	0.332554001550	0.595410705915	0.395245416224	0.578786444322	0.033571123994	-0.014826979229	0.002437150644	-0.138949423390	-0.104737583237	0.000553709287	0.867876506521	N\A	0.072044548215	0.307462983208	0.278107881197	0.291512171637	0.282529517406	0.383079298642	0.080163203914	0.077362771375	0.080422131400	0.083575247224	0.076387838480	
1950000	257.040368	1	-0.191908783024	0.748103126070	0.418459218602	0.230921835452	0.954394439275	0.810046642292	1.128262703389	-0.001087098866	-0.034944113793	-0.132191200231	-0.222597517274	-0.144338498786	0.000562742911	0.865720945723	N\A	0.072629864685	0.309960925831	0.280367332150	0.293880523987	0.284824891362	0.386191576088	0.080814479335	0.077991295050	0.081075510443	0.084254243343	0.077008441440	
2000000	258.658325	1	0.245819369666	0.737994187338	-0.021730207418	-0.061995546096	0.474084521716	0.105548083664	0.668119947203	-0.020446837209	-0.028551488373	-0.073833596629	-0.138663581131	-0.195693615034	0.000557474162	0.866978149717	N\A	0.072289062132	0.308506490040	0.279051758964	0.292501542584	0.283488401882	0.384379441707	0.080435271953	0.077625334952	0.080695078220	0.083858895488	0.076647093205	
2050000	258.932350	1	0.125453203653	0.723283064333	0.572338045529	0.167215771494	0.803317600971	0.247444355071	0.624958813691	-0.091710911852	-0.048719828466	-0.149414087784	-0.056815521500	-0.118058130376	0.000556586718	0.867189907545	N\A	0.072231500642	0.308260836096	0.278829558890	0.292268632873	0.283262669050	0.384073372536	0.080371223894	0.077563524357	0.080630823286	0.083792121307	0.076586061553	
2100000	261.062770	1	0.499374042305	0.553123517950	0.018521819276	-0.033291564206	0.320096734982	0.124703965521	0.128133128387	0.144696337728	0.118244493718	0.097122559537	0.046598746678	0.045666984721	0.000549735263	0.868824769155	N\A	0.071785547440	0.306357651117	0.277108080952	0.290464182852	0.281513821341	0.381702125241	0.079875016500	0.077084651541	0.080133013140	0.083274793485	0.076113223538	
2150000	256.161899	1	-0.300082673685	0.791277150598	0.541729854781	0.417576678370	1.355077104569	0.963223594359	1.069062955633	-0.052944258564	-0.055820902743	-0.158293418265	-0.241570396320	-0.192733669599	0.000565624403	0.865033377853	N\A	0.072815575698	0.310753480765	0.281084217711	0.294631962119	0.285553174684	0.387179049068	0.081021118008	0.078190714979	0.081282816560	0.084469677324	0.077205348260	
2200000	256.597134	1	0.723440032735	0.711769754995	0.210234286851	0.061627330546	0.030647712234	0.221492648005	-0.518399233471	-0.007785383949	-0.053717664955	-0.005843761244	-0.104903515153	-0.111998582907	0.000564194935	0.865374470644	N\A	0.072723506342	0.310360558336	0.280728809646	0.294259424036	0.285192115987	0.386689492742	0.080918673413	0.078091849198	0.081180041068	0.084362872307	0.077107728395	
2250000	258.708379	1	-0.073962904976	0.819997328432	0.918921500163	0.597426303086	1.194633528341	0.501114480249	0.803297417120	-0.137219029490	-0.140238865662	-0.258571415964	-0.231133669969	-0.240162122624	0.000557311954	0.867016855113	N\A	0.072278544385	0.308461603675	0.279011158136	0.292458984870	0.283447155542	0.384323516155	0.080423568967	0.077614040800	0.080683337434	0.083846694380	0.076635941383	
2300000	255.543940	1	0.349295907848	0.606470531296	0.195836921464	0.014527003267	0.428930275658	0.395611783421	0.247323029403	0.106228505547	0.130802361990	-0.008433919658	0.015289115224	0.021216813429	0.000567660225	0.864547599659	N\A	0.072946498615	0.311312217707	0.281589609110	0.295161712458	0.286066601299	0.387875199719	0.081166794547	0.078331302434	0.081428963635	0.084621554397	0.077344164019	
2350000	257.495943	1	0.018474637715	0.832825301112	0.880586040662	0.632553603163	1.084053090601	0.849307363678	0.330057009164	-0.116564975546	-0.120487883747	-0.234273989285	-0.278989209981	-0.196631409023	0.000561254350	0.866076139183	N\A	0.072533741222	0.309550701776	0.279996274334	0.293491581865	0.284447934099	0.385680463037	0.080707523778	0.077888075894	0.080968209419	0.084142735361	0.076906523061	
