Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m3-glob-004.txt
Log File Name:                   MED_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            233539781
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	480.050323	1	16.735789091344	0.741143351539	-0.035796346609	0.000159945087	0.976716620861	N\A	0.008693291485	0.001999648088	6	14	-0.336320872244	Global Trend	
2450000	513.478267	1	18.406591386262	0.689822555595	-0.023934749734	0.000131312761	0.978902060603	N\A	0.008668004460	0.002008799686	10	16	-0.328534372542	Global Trend	
2500000	498.645426	1	23.925130969687	0.673610651941	-0.019690460880	0.000140776080	0.973001242476	N\A	0.010365255383	0.002440632867	4	15	-0.415708082864	Global Trend	
2550000	499.113649	1	24.630278799243	0.701177219508	-0.027987407555	0.000140370117	0.973074666487	N\A	0.009982904967	0.002378911638	5	15	-0.453907464887	Global Trend	
2600000	491.886446	1	23.380638535835	0.703367670787	-0.028202629222	0.000146367467	0.971977352224	N\A	0.010322894750	0.002432738683	7	12	-0.432980394561	Global Trend	
2650000	485.668134	1	31.447657726279	0.673438456311	-0.018331762503	0.000151132075	0.971573480461	N\A	0.010615965229	0.002555171713	4	15	-0.553763039436	Global Trend	
2700000	501.755096	1	32.028490999814	0.659266849562	-0.022458973954	0.000137508063	0.970803726259	N\A	0.010480961395	0.002464661619	5	13	-0.535228357789	Global Trend	
2750000	496.758939	1	28.102553794855	0.674033796197	-0.021175246673	0.000141896851	0.971061198783	N\A	0.010708935347	0.002521558155	4	14	-0.489809782472	Global Trend	
2800000	490.312480	1	21.728135530332	0.649042973978	-0.018641231384	0.000148529380	0.967926377111	N\A	0.010860105169	0.002440059134	7	14	-0.351786308281	Global Trend	
2850000	496.232103	1	27.327911849391	0.665692755101	-0.019184014118	0.000142306830	0.970903196980	N\A	0.010657485067	0.002502721827	6	13	-0.466989463832	Global Trend	
2900000	500.080190	1	22.822293719814	0.690653743157	-0.025876248589	0.000140347550	0.975091961240	N\A	0.009462418220	0.002231924653	4	15	-0.409013287644	Global Trend	
2950000	499.551776	1	24.092931847151	0.655215089739	-0.018994752040	0.000140293888	0.971336342404	N\A	0.010468705553	0.002424610617	4	15	-0.398051785136	Global Trend	
3000000	502.592775	1	23.788054085331	0.684082493782	-0.024518440376	0.000137860056	0.972935478898	N\A	0.010140153050	0.002376612755	5	13	-0.420440774295	Global Trend	
3050000	508.356344	1	36.106236454510	0.680971780330	-0.026688754017	0.000132046806	0.971024476805	N\A	0.010537399848	0.002473636230	4	15	-0.636361588413	Global Trend	
