Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-fab-004.txt
Log File Name:                   MES_d1_m7-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            601732473
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	551.952171	1	-0.406368724458	0.630158030075	0.249497284283	-0.023360168038	0.000070028226	0.971025399805	N\A	0.026985538783	0.023973865395	0.003089683390	34	0	
1050000	567.343540	1	-0.425716131170	0.644922004264	0.243830631156	-0.024608944946	0.000079634134	0.972489113528	N\A	0.017591748517	0.018822476405	0.002682899775	26	0	
1100000	575.245552	1	-0.536397125750	0.671129250485	0.253885528241	-0.029760201656	0.000054511751	0.975137593851	N\A	0.026514557503	0.023702639661	0.002422439928	33	2	
1150000	561.138840	1	-0.474389464081	0.692514417079	0.183767391290	-0.021618566496	0.000073535798	0.969253985847	N\A	0.026154144288	0.023200693595	0.002787869458	36	1	
1200000	584.475207	1	-0.509753011311	0.683727860129	0.223970218559	-0.025728764701	0.000059114881	0.977089645266	N\A	0.023812819012	0.021560927145	0.002513969679	33	3	
1250000	556.363618	1	-0.449874252206	0.654341284159	0.245185672386	-0.028422870580	0.000042784365	0.972714399094	N\A	0.022648358446	0.020602656064	0.002611072610	38	2	
1300000	568.602930	1	-0.566925777192	0.712306592388	0.191952448216	-0.022106833383	0.000064640785	0.974835752118	N\A	0.024878168258	0.022024843518	0.002641934702	42	4	
1350000	558.475127	1	-0.571860439281	0.723694182604	0.159226206235	-0.011854957966	0.000070677048	0.978926905518	N\A	0.027265061229	0.024198988794	0.002873822273	44	2	
1400000	574.430264	1	-0.500167376590	0.678058567981	0.217791661304	-0.022604515822	0.000074964622	0.974492342760	N\A	0.024249765804	0.022364959854	0.002980237388	37	2	
1450000	573.866040	1	-0.546118291722	0.667831870598	0.243945006744	-0.024622940269	0.000075386774	0.975918943453	N\A	0.019861158647	0.018333631764	0.002504769418	42	5	
1500000	572.898037	1	-0.648210320756	0.751121842700	0.165256815557	-0.021720407702	0.000100966864	0.975967472881	N\A	0.025231617060	0.021628963196	0.002551507085	43	3	
1550000	566.393139	1	-0.486919725939	0.667911591867	0.237481274672	-0.025044620197	0.000059343916	0.975561376649	N\A	0.019797939731	0.019270055607	0.002542413842	36	3	
1600000	571.587953	1	-0.594498202407	0.733153168196	0.182649294554	-0.023489723131	0.000091958274	0.973218566337	N\A	0.023763667209	0.022138082900	0.002898761343	41	2	
1650000	568.426078	1	-0.574860450262	0.739457651602	0.178158892712	-0.025189680563	0.000090480439	0.973274854142	N\A	0.025770472720	0.022888203029	0.003043002505	37	3	
1700000	577.149400	1	-0.418483043920	0.639813016888	0.238301287736	-0.021356215233	0.000069749206	0.978608020893	N\A	0.015567101706	0.015560837188	0.002508738476	43	2	
1750000	559.472094	1	-0.485161124978	0.666862478160	0.236385431173	-0.026498987804	0.000061308236	0.972056625393	N\A	0.024817373925	0.022943348507	0.002962221996	36	2	
1800000	573.217069	1	-0.404342032477	0.644310079349	0.229259584684	-0.021822311308	0.000052008782	0.986188661281	N\A	0.005948573220	0.011934976040	0.001726616502	41	3	
1850000	564.363969	1	-0.506902044843	0.689073266545	0.212659768451	-0.024726539231	0.000054307898	0.973677401000	N\A	0.022902653824	0.021230477950	0.002721562312	45	3	
1900000	557.434526	1	-0.480040167297	0.668321979977	0.235721937150	-0.027238639708	0.000079235264	0.973212072020	N\A	0.024185900251	0.022843927491	0.002998175178	35	2	
1950000	577.843655	1	-0.457571327012	0.661523789869	0.229043366725	-0.021131311105	0.000075516874	0.984092995153	N\A	0.023735988446	0.017956851267	0.002366038225	39	3	
2000000	580.876946	1	-0.538959499157	0.743334586203	0.163035358046	-0.019603234545	0.000112872997	0.974748722853	N\A	0.025949873793	0.022975864730	0.003030535222	44	2	
2050000	578.785808	1	-0.574324058850	0.703754739023	0.210484420043	-0.023843455410	0.000045916485	0.976384397841	N\A	0.022680366947	0.020685137079	0.002633391650	42	4	
2100000	582.916368	1	-0.548246063544	0.674514523485	0.250574082159	-0.029001135008	0.000144303867	0.978724910702	N\A	0.022350179810	0.020367812558	0.002567261527	46	3	
2150000	588.664480	1	-0.609347064357	0.722791556451	0.199006515050	-0.024916594108	0.000108033162	0.977724895764	N\A	0.025221651907	0.022801108389	0.002802559962	27	7	
2200000	572.142727	1	-0.642648722963	0.759027627669	0.162294929576	-0.019973534179	0.000083670509	0.977155305276	N\A	0.024299802868	0.022090344347	0.002311927546	43	6	
2250000	577.704148	1	-0.529551829312	0.696674639234	0.202928578780	-0.020590110114	0.000079836966	0.973420086506	N\A	0.025487217466	0.022780746141	0.002936507863	34	2	
2300000	560.660488	1	-0.549600468428	0.700917549966	0.196191990704	-0.018411513505	0.000112556151	0.971467740151	N\A	0.027833441924	0.024939037547	0.003000826957	30	3	
2350000	560.824036	1	-0.539985096548	0.686099336652	0.227089448005	-0.024657154729	0.000073377847	0.975678553389	N\A	0.022765623179	0.021155282947	0.002579796347	33	2	
2400000	567.912962	1	-0.472823264252	0.646351004654	0.236772998631	-0.022476330612	0.000094100447	0.974348574052	N\A	0.023241706959	0.021364203739	0.002813165290	34	2	
2450000	581.035348	1	-0.631237465658	0.765757540978	0.124549073090	-0.016948124545	0.000117875792	0.974987348972	N\A	0.026224157497	0.022999790066	0.002645923043	35	4	
2500000	573.140724	1	-0.519002719186	0.691111030467	0.178582622291	-0.015175078821	0.000055728436	0.973943189893	N\A	0.024825003046	0.022662925635	0.002692518002	39	3	
2550000	564.636052	1	-0.391132906291	0.623118519286	0.272798054819	-0.028769389023	0.000059485274	0.971463127811	N\A	0.026035286915	0.023023683235	0.003024798560	38	1	
2600000	567.880589	1	-0.457502422510	0.672501582517	0.226957199190	-0.027001496799	0.000055915627	0.973902032261	N\A	0.023836410570	0.021700341899	0.002805493734	44	1	
2650000	566.665923	1	-0.462388334841	0.665022071924	0.228432427166	-0.024407105319	0.000058690247	0.973257010974	N\A	0.023930153434	0.022587803334	0.002621579279	40	1	
2700000	568.541158	1	-0.429986436853	0.653726582402	0.223233450566	-0.022470681661	0.000115845703	0.977248337079	N\A	0.015675546799	0.015761240313	0.001882886652	42	1	
2750000	571.314236	1	-0.385146836808	0.656220249543	0.215466608945	-0.023481830204	0.000029092333	0.974298145597	N\A	0.023485307850	0.021288889139	0.002576837516	42	4	
