Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-VR-006.txt
Log File Name:                   DIE_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            521101667
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	718.380674	1	-0.820058506090	0.814655212836	0.016603732609	0.088210148157	-0.009837712231	0.000021268696	0.992548804079	N\A	0.053334388774	0.008610482984	0.020843938925	0.004585985388	51	23	
2200000	718.687749	1	-1.074175116700	1.013125700802	-0.017413287988	0.056310989653	-0.000258285212	0.000025557106	0.991944013159	N\A	0.055137111406	0.008660136530	0.022741285868	0.004639996216	48	18	
2250000	729.295350	1	-0.913681559901	0.862123716961	0.015295535172	0.074244793609	-0.011575435034	0.000022859883	0.992638540480	N\A	0.055254824018	0.008333711735	0.021521489278	0.004128667365	48	20	
2300000	722.217621	1	-1.035771485937	0.975385968811	-0.011717629455	0.072515592871	-0.002347759160	0.000040963404	0.991557972536	N\A	0.056993511316	0.008430450923	0.024387242576	0.004885760122	42	29	
2350000	732.008726	1	-1.043273403535	0.988116709691	-0.007501948594	0.026035529322	0.001005383300	0.000020654637	0.992272281336	N\A	0.056704509298	0.008691522377	0.022821985035	0.004763480876	48	32	
2400000	720.734904	1	-1.014404428369	0.981343215917	-0.009974723088	0.027930665080	0.004519503141	0.000023485585	0.991562739729	N\A	0.049016994951	0.007558612583	0.020882944853	0.004382759834	54	16	
2450000	720.537094	1	-0.944057150229	0.897748949761	0.004621632421	0.086740489402	-0.011375581784	0.000048029268	0.992719411911	N\A	0.053969122440	0.008235929918	0.020792489183	0.004262137177	46	24	
2500000	733.714760	1	-0.690688692712	0.689505064327	0.037908294825	0.156756867844	-0.028441999157	0.000021375848	0.993395925249	N\A	0.056255997694	0.008865676995	0.021137990153	0.004486057815	44	29	
2550000	734.185464	1	-0.789048862174	0.791292926196	0.027519316962	0.061434877886	-0.011842964450	0.000023682069	0.992506692716	N\A	0.051197086973	0.008715512899	0.019880403227	0.004661256776	44	22	
2600000	732.329686	1	-0.767553441707	0.755743433850	0.029618895854	0.122079700967	-0.021195905294	0.000024722882	0.992847337480	N\A	0.053183505773	0.008256937378	0.021488475486	0.004506075346	46	24	
2650000	715.136621	1	-0.810957814088	0.780178810736	0.025154193911	0.105630187256	-0.015626366502	0.000023908635	0.992166894002	N\A	0.056989033940	0.008522668631	0.023489938709	0.004731326156	47	23	
2700000	727.571900	1	-0.884529526896	0.843485081616	0.019401699149	0.071034380649	-0.012663262435	0.000026523202	0.993144714620	N\A	0.052824694211	0.008079096033	0.021609312803	0.004457695756	44	21	
2750000	715.367163	1	-0.914663602892	0.876901233053	0.008895396722	0.075941768387	-0.007241141911	0.000016309337	0.993484563645	N\A	0.051049653544	0.007683152460	0.021085411785	0.004235986506	48	38	
2800000	723.450193	1	-0.955465864492	0.915542784171	0.001762256371	0.065304682509	-0.004550739986	0.000024363256	0.991697259091	N\A	0.055991736903	0.008936332565	0.022765488232	0.005051495265	43	19	
2850000	719.940127	1	-1.061495797011	0.997026342512	-0.014163273736	0.061169018699	-0.000239116317	0.000024694328	0.994809171573	N\A	0.054913398683	0.008714996234	0.021765500476	0.004738137889	48	28	
2900000	716.211580	1	-0.783928708073	0.763347231316	0.023763261635	0.152585491116	-0.024866763560	0.000024174401	0.992541085449	N\A	0.050863932126	0.007443900298	0.020901582178	0.004063974646	55	27	
2950000	730.693915	1	-1.076505961370	0.984079109642	-0.004452646484	0.058418288818	-0.008168218127	0.000022945204	0.992666469834	N\A	0.053620922548	0.008233452137	0.021599946013	0.004545742144	40	19	
3000000	725.496680	1	-0.895544923624	0.844663570125	0.015123202834	0.098338338439	-0.013929656671	0.000022841592	0.992582415116	N\A	0.054054840704	0.008513746632	0.022038447510	0.004712092996	45	23	
3050000	724.434324	1	-0.944245471516	0.884509929535	0.008229573836	0.091948073559	-0.013034728929	0.000024693449	0.992418993223	N\A	0.050930982005	0.007796676061	0.021407958520	0.004416776761	46	25	
3100000	717.983583	1	-0.946769944067	0.909750870853	0.003410412891	0.070049619424	-0.007214542149	0.000025395277	0.992047355830	N\A	0.052931822216	0.008159220556	0.021605394706	0.004414081943	47	19	
3150000	718.534552	1	-0.836298458556	0.824240568660	0.012015905569	0.124238597618	-0.015598768516	0.000025317695	0.992405661677	N\A	0.057818340390	0.009123886410	0.022751153794	0.004939860495	56	24	
3200000	736.457689	1	-0.904472173682	0.852995071112	0.015770012171	0.078531556065	-0.013227668512	0.000022317951	0.992465171797	N\A	0.051907924400	0.008182427709	0.020603125074	0.004427661398	48	16	
3250000	725.132091	1	-0.945969392958	0.890137338536	0.011608434708	0.065380371884	-0.011641466173	0.000030568853	0.991916111726	N\A	0.059673253662	0.009104162450	0.023864577170	0.004936755387	44	24	
3300000	728.698709	1	-0.844010764039	0.822147593758	0.016117593015	0.105260669183	-0.013819242564	0.000022543494	0.992669048113	N\A	0.061842547952	0.009337592131	0.023906120015	0.004864780572	40	22	
3350000	727.298348	1	-0.849797885067	0.818610476495	0.018886559265	0.097671208494	-0.014156341737	0.000023449386	0.992815127768	N\A	0.050813031883	0.007889028178	0.020632322768	0.004356710507	44	29	
3400000	729.190700	1	-0.859108538838	0.844194474929	0.012077933148	0.085544322866	-0.008914149885	0.000024535675	0.993285879422	N\A	0.050437796240	0.007523589867	0.021631335940	0.004396985984	47	14	
3450000	735.898257	1	-0.932431306435	0.899217957467	0.005255499773	0.061849055699	-0.005335786087	0.000020297072	0.992580751556	N\A	0.055569172791	0.008617083064	0.022324865348	0.004551598172	52	23	
3500000	731.553152	1	-1.095621697037	1.023201102855	-0.014826003689	0.042408257311	-0.000928137295	0.000024673828	0.992017798909	N\A	0.052445732496	0.007350190664	0.023548003339	0.004374204880	43	28	
3550000	728.197178	1	-1.021289151007	0.971154547311	-0.006164948719	0.055400911198	-0.004320913368	0.000023628590	0.991825476062	N\A	0.056791999204	0.008199806694	0.023431030941	0.004440286942	43	27	
3600000	727.358330	1	-0.935666460930	0.892937860903	0.001588665143	0.108074543787	-0.011743721027	0.000026822485	0.993028010942	N\A	0.050493334617	0.007594821309	0.019835192322	0.003340660084	47	24	
3650000	719.010518	1	-0.821744445833	0.810743240534	0.018505687856	0.085885315264	-0.008397155765	0.000021346774	0.992415048819	N\A	0.057872589439	0.009211685470	0.022558946185	0.004871461747	48	26	
3700000	726.759600	1	-0.788731666349	0.762331562948	0.030642776714	0.120504651959	-0.023197671192	0.000022938337	0.992776031510	N\A	0.053311380329	0.008373103948	0.021244987524	0.004535621884	40	22	
3750000	727.463254	1	-0.904658555931	0.872130933112	0.011706049890	0.077946355388	-0.012956462878	0.000023030394	0.992908936247	N\A	0.051813535712	0.008191580199	0.020978059273	0.004515449050	43	23	
3800000	730.277961	1	-0.824357641914	0.808975042305	0.021984772495	0.094921926945	-0.016393845878	0.000022416611	0.992612745504	N\A	0.053723677696	0.008640814193	0.021236524379	0.004622556976	39	20	
3850000	719.415754	1	-0.994802173930	0.954332198013	-0.008864679970	0.065411087081	-0.000172003124	0.000020295880	0.992540398639	N\A	0.048660530948	0.007362643291	0.021328844199	0.004470008263	59	25	
3900000	714.557383	1	-0.650517476364	0.698862699888	0.029632144995	0.153586798212	-0.020794949735	0.000024913195	0.991869125469	N\A	0.058528421133	0.009187344707	0.023200197644	0.005068641665	54	28	
3950000	726.346375	1	-0.781525622162	0.787219472705	0.020359600367	0.109844255341	-0.015832784507	0.000020720102	0.991937277757	N\A	0.053381467078	0.008423157580	0.021909335019	0.004856012599	44	27	
4000000	728.227381	1	-0.957859287894	0.918583423325	-0.000148320037	0.078459325667	-0.006500352221	0.000023354461	0.992709423650	N\A	0.053303412536	0.008039963736	0.021466614149	0.004299681387	50	21	
4050000	717.230522	1	-0.955071739971	0.893948361177	0.013739984874	0.044320018191	-0.008537535297	0.000024086358	0.991253171997	N\A	0.053076352196	0.008361835440	0.021481811858	0.004539069506	52	20	
4100000	731.143134	1	-0.831127923266	0.821483095807	0.012051790298	0.110673306965	-0.009513537187	0.000021635376	0.992964365557	N\A	0.051912442087	0.008214472000	0.021129127360	0.004616091470	53	27	
4150000	720.910354	1	-0.755930408086	0.761193131797	0.028150149520	0.102746517831	-0.016813044449	0.000023662386	0.992032419895	N\A	0.055024324456	0.008757430774	0.021999651647	0.004712166038	57	19	
4200000	723.546726	1	-0.941136642475	0.885809325341	0.011551641646	0.066055689870	-0.009047100105	0.000026014377	0.991516886526	N\A	0.056118525283	0.008848093552	0.022049042083	0.004683125576	46	19	
4250000	737.871216	1	-1.026698821403	0.957697249942	-0.004037209146	0.062591202111	-0.004063322347	0.000028427772	0.991911255654	N\A	0.053991327888	0.008064639054	0.022345870190	0.004514956760	48	24	
4300000	726.604596	1	-0.918142813628	0.869181464826	0.012073666267	0.087670967308	-0.015063569727	0.000023044660	0.991372555975	N\A	0.053792403801	0.008552860654	0.021433082822	0.004462068191	42	25	
4350000	723.896421	1	-0.966657237653	0.934094763701	0.001118225218	0.037590883743	0.000122680955	0.000021181735	0.992631918229	N\A	0.053199914812	0.008494522228	0.021462795559	0.004613588835	46	25	
4400000	724.515864	1	-1.064271024309	0.990633305085	-0.007765467622	0.053549536063	-0.005610333846	0.000032971761	0.993977052900	N\A	0.052568502861	0.008069274002	0.021451184388	0.004564942091	55	23	
4450000	709.957004	1	-1.010195235343	0.921676893219	0.005925348032	0.081298828826	-0.014890873089	0.000030348670	0.991785418082	N\A	0.052500638860	0.007712248376	0.021805885707	0.004003230779	41	20	
4500000	724.005465	1	-0.867193250324	0.820104867236	0.017017749673	0.124325917309	-0.018918284762	0.000023748054	0.993417256774	N\A	0.051316250226	0.008163162441	0.020683486765	0.004485957396	50	20	
4550000	724.154189	1	-0.943438780251	0.886274508657	0.010975246539	0.061401642967	-0.009278077201	0.000020860350	0.992094282922	N\A	0.053010418419	0.008306709532	0.021058422371	0.004529353462	43	27	
4600000	719.009906	1	-0.878640630984	0.862514666919	0.009500051343	0.076217442837	-0.007483118689	0.000024295011	0.992703181938	N\A	0.052641978350	0.008222340084	0.020036525710	0.003887089345	35	26	
4650000	712.240697	1	-0.691334214824	0.686292600384	0.039280170199	0.144100094350	-0.024458493590	0.000024722821	0.993040457752	N\A	0.057173584845	0.009140432996	0.022140655250	0.004915024938	47	24	
