Species_TTOL	SEP	rest_of_brain	rest_of_brain2	BOD	BOD2
Dactylopsila_trivirgata	1.778151	3.76646475332113	14.1862567380104	2.643453	6.987843763209
Dasycercus_cristicauda	1.305351	3.16814378922862	10.0371350692279	2	4
Dasyuroides_byrnei	1.338456	3.1709361619783	10.0548361433417	2.146128	4.605865392384
Dasyurus_geoffroii	1.775246	3.70221513935253	13.706396938051	2.69897	7.2844390609
Dasyurus_hallucatus	1.583199	3.45874340368618	11.9629059325426	3.021189	9.127582973721
Dendrolagus_lumholtzi	2.280123	4.32056441398414	18.6672768553861	3.78533	14.3287232089
Distoechurus_pennatus	1.170262	2.99668674974598	8.98013147610311	1.633468	2.668217707024
Dorcopsis	2.163161	4.18833195300086	17.542124548528	3.462398	11.988199910404
Echymipera_kalubu	1.701568	3.52847956017657	12.4501680065838	2.819544	7.949828367936
Gymnobelideus_leadbeateri	1.488551	3.34769853893654	11.2070855075978	2.041393	4.167285380449
Hypsiprymnodon_moschatus	1.800717	3.74212014161771	14.0034631543009	2.748188	7.552537283344
Isoodon_macrourus	1.769377	3.58290385753117	12.8372000523117	3.033424	9.201661163776
Isoodon_obesulus_obesulus	1.816241	3.62554911049539	13.1446063526139	3.004321	9.025944671041
Osphranter_antilopinus	2.608205	4.71459609027679	22.2274162944531	4.537819	20.591801276761
Macropus_giganteus	2.591176	4.77506983526938	22.8012919316995	4.563481	20.825358837361
Notamacropus_irma	2.356599	4.36841530467472	19.0830522741163	3.819544	14.588916367936
Notamacropus_parma	2.13226	4.20117855029655	17.6499012114718	3.536558	12.507242487364
Notamacropus_parryi	2.504199	4.51970786965636	20.4277592270336	4.170262	17.391085148644
Osphranter_robustus	2.533899	4.66347772236744	21.7480244670174	4.409933	19.447509064489
Osphranter_rufus	2.644832	4.6959083965357	22.0515556686545	4.494155	20.197429164025
Thylamys_pallidior	0.910624	2.76345797589405	7.63669998453245	1.477121	2.181886448641
Marmosops_impavidus	1.227887	3.05568408388292	9.33720522049542	1.845098	3.404386629604
Monodelphis_brevicaudata	1.117271	2.94537022663038	8.67520577192069	1.924279	3.702849669841
Notoryctes_typhlops	1.190332	2.91376083971985	8.49000223108495	1.531479	2.345427927441
Petauroides_volans	1.633468	3.62032345471659	13.106741916771	3.09691	9.5908515481
Petaurus_australis	1.767156	3.77024778429207	14.2147683549593	2.748188	7.552537283344
Petaurus_breviceps	1.437751	3.32467344517594	11.053453517058	2.113943	4.468755007249
Petaurus_norfolcensis	1.561101	3.45766979672993	11.9554804232184	2.374748	5.639428063504
Petrogale_inornata	2.200577	4.23497248958282	17.9349919875233	3.628389	13.165206735321
Petrogale_lateralis	2.130012	4.16786355239828	17.3710865914101	3.556303	12.647291027809
Petrogale_penicillata	2.299071	4.31879823891567	18.6520182284611	3.690196	13.617546518416
Petrogale_purpureicollis	2.215109	4.24652097310723	18.0329403750396	3.740363	13.990315371769
Petropseudes_dahli	1.752816	3.69722055952986	13.6694398658103	3.127105	9.778785681025
Phascolarctos_cinereus	2.223496	4.22355030391757	17.8383771697222	3.968483	15.748857321289
Planigale_ingrami	0.158362	1.97840863192174	3.91410071486245	0.826075	0.682399905625
Planigale_maculata	0.535294	2.30272041723985	5.30252131997327	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.071145	3.99808497676137	15.984683481405	3.089905	9.547512909025
Pseudochirulus_canescens	1.469822	3.33597913853393	11.1287568127336	2.447158	5.988582276964
Pseudochirulus_forbesi	1.603144	3.47922966682932	12.1050390745452	2.70757	7.3309353049
Sarcophilus_harrisii	2.240549	4.14834965764349	17.2088048820708	3.732394	13.930764971236
