Species_TTOL	SEP	rest_of_brain	rest_of_brain2	BOD	BOD2
Macaca_mulatta	2.433	4.94427327976376	24.4458382649859	3.892	15.147664
Microcebus_murinus	1.185	3.22499777943092	10.4006106773343	1.732	2.999824
Miopithecus_talapoin	2.124	4.57720824492106	20.9508353173733	3.079	9.480241
Nasalis_larvatus	2.522	4.97211427746941	24.7219203882152	4.146	17.189316
Nycticebus_coucang	1.964	4.07016900764897	16.5662757508262	2.903	8.427409
Otolemur_crassicaudatus	1.845	3.98509131950917	15.8809528248273	2.929	8.579041
Pan_troglodytes	2.93	5.58232825551133	31.1623887522802	4.663	21.743569
Papio_cynocephalus	2.747	5.28121407692444	27.8912221263048	4.398	19.342404
Perodicticus_potto	2.057	4.12079897970986	16.9809842311778	3.061	9.369721
Pithecia_monachus	2.146	4.51688705271499	20.4022686469843	3.176	10.086976
Piliocolobus_badius	2.459	4.86832778778568	23.7006154493262	3.845	14.784025
Propithecus_verreauxi	2.201	4.40135338583513	19.3719116270023	3.542	12.545764
Pygathrix_nemaeus	2.462	4.86047259819674	23.6241938778213	3.875	15.015625
Saguinus_midas	1.612	3.98108200720884	15.8490139481219	2.531	6.405961
Saguinus_oedipus	1.782	3.97903342592802	15.8327070046525	2.58	6.6564
Saimiri_sciureus_sciureus	1.957	4.35321967494396	18.9505215383192	2.82	7.9524
Tarsius_tarsier	1.367	3.53020840861181	12.4623714082335	2.097	4.397409
Varecia_variegata	2.314	4.47260429620756	20.0041891904543	3.477	12.089529
