Species_TTOL	SEP	rest_of_brain	BOD
Dobsonia_inermis	1.593	3.0789623596587	2.173
Dobsonia_moluccensis	1.786	3.0789623596587	2.543
Dobsonia_praedatrix	1.621	3.0789623596587	2.25
Eidolon_helvum	1.79	3.0789623596587	2.418
Eonycteris_spelaea	1.299	3.0789623596587	1.769
Epomophorus_labiatus	1.33	3.0789623596587	1.806
Epomops_franqueti	1.461	3.0789623596587	2.072
Hypsignathus_monstrosus	1.659	3.0789623596587	2.491
Macroglossus_minimus	0.911	3.0789623596587	1.164
Megaerops_ecaudatus	1.061	3.0789623596587	1.38
Megaloglossus_woermanni	1.009	3.0789623596587	1.253
Melonycteris_melanops	1.248	3.0789623596587	1.675
Melonycteris_woodfordi	1.155	3.0789623596587	1.549
Epomophorus_pusillus	1.053	3.0789623596587	1.4
Myonycteris_torquata	1.243	3.0789623596587	1.561
Notopteris_macdonaldi	1.373	3.0789623596587	1.841
Nyctimene_albiventer	1.072	3.0789623596587	1.473
Nyctimene_robinsoni	1.236	3.0789623596587	1.673
Nyctimene_vizcaccia	1.146	3.0789623596587	1.549
Paranyctimene_raptor	0.975	3.0789623596587	1.417
Pteropus_alecto	1.956	3.0789623596587	2.775
Pteropus_conspicillatus	1.987	3.0789623596587	2.875
Pteropus_hypomelanus	1.844	3.0789623596587	2.591
Pteropus_lylei	1.845	3.0789623596587	2.497
Pteropus_neohibernicus	1.986	3.0789623596587	2.924
Pteropus_poliocephalus	1.955	3.0789623596587	2.842
Pteropus_samoensis	1.827	3.0789623596587	2.491
Pteropus_scapulatus	1.829	3.0789623596587	2.574
Pteropus_temminckii	1.808	3.0789623596587	2.398
Pteropus_tonganus	1.87	3.0789623596587	2.652
Pteropus_vampyrus	2.055	3.0789623596587	3.027
Rousettus_aegyptiacus	1.505	3.0789623596587	2.111
Rousettus_amplexicaudatus	1.36	3.0789623596587	1.856
Scotonycteris_zenkeri	0.965	3.0789623596587	1.328
Sphaerias_blanfordi	1.161	3.0789623596587	1.47
Syconycteris_australis	0.991	3.0789623596587	1.207
Anoura_caudifer	0.76	3.0789623596587	1.025
Anoura_geoffroyi	0.93	3.0789623596587	1.204
Ardops_nichollsi	0.87	3.0789623596587	1.352
Artibeus_cinereus	0.79	3.0789623596587	1.1
Artibeus_concolor	0.88	3.0789623596587	1.288
Artibeus_jamaicensis	1.08	3.0789623596587	1.613
Artibeus_lituratus	1.18	3.0789623596587	1.748
Aselliscus_stoliczkanus	0.22	3.0789623596587	0.69
Aselliscus_tricuspidatus	0.24	3.0789623596587	0.643
Brachyphylla_cavernarum	1.24	3.0789623596587	1.648
Cardioderma_cor	0.84	3.0789623596587	1.415
Carollia_perspicillata	0.85	3.0789623596587	1.25
Chalinolobus_gouldii	0.53	3.0789623596587	1.068
Chalinolobus_morio	0.43	3.0789623596587	0.919
Chiroderma_salvini	0.96	3.0789623596587	1.417
Chiroderma_trinitatum	0.78	3.0789623596587	1.137
Chiroderma_villosum	0.88	3.0789623596587	1.394
Choeroniscus_minor	0.68	3.0789623596587	0.982
Coleura_afra	0.44	3.0789623596587	1.061
Cormura_brevirostris	0.38	3.0789623596587	0.914
Craseonycteris_thonglongyai	0.07	3.0789623596587	0.408
Desmodus_rotundus	1.04	3.0789623596587	1.56
Diphylla_ecaudata	0.94	3.0789623596587	1.49
Emballonura_monticola	0.25	3.0789623596587	0.724
Emballonura_raffrayana	0.34	3.0789623596587	0.771
Eptesicus_brasiliensis	0.48	3.0789623596587	0.964
Eptesicus_fuscus_bahamensis	0.53	3.0789623596587	1.134
Eumops_auripendulus	0.79	3.0789623596587	1.529
Eumops_glaucinus	0.9	3.0789623596587	1.562
Furipterus_horrens	0.12	3.0789623596587	0.535
Glischropus_tylopus	0.1	3.0789623596587	0.69
Glossophaga_longirostris	0.78	3.0789623596587	1.053
Glossophaga_soricina	0.76	3.0789623596587	0.996
Harpiocephalus_harpia	0.85	3.0789623596587	1.13
Hesperoptenus_blanfordi	0.32	3.0789623596587	0.863
Hipposideros_armiger	0.93	3.0789623596587	1.748
Hipposideros_ater	0.43	3.0789623596587	0.839
Hipposideros_caffer	0.55	3.0789623596587	1.041
Macronycteris_commersoni	0.94	3.0789623596587	1.997
Hipposideros_diadema	0.93	3.0789623596587	1.622
Hipposideros_fulvus	0.44	3.0789623596587	0.845
Hipposideros_lankadiva	0.94	3.0789623596587	1.686
Hipposideros_larvatus	0.72	3.0789623596587	1.312
Hipposideros_ridleyi	0.52	3.0789623596587	0.982
Hipposideros_speoris	0.53	3.0789623596587	1.061
Hipposideros_turpis	0.84	3.0789623596587	1.542
Ia_io	0.99	3.0789623596587	1.727
Kerivoula_papillosa	0.45	3.0789623596587	1.004
Lasiurus_borealis	0.32	3.0789623596587	0.892
Leptonycteris_curasoae	0.92	3.0789623596587	1.389
Leptonycteris_nivalis	0.95	3.0789623596587	1.358
Lonchophylla_mordax	0.82	3.0789623596587	1.029
Hsunycteris_thomasi	0.67	3.0789623596587	0.839
Lophostoma_silvicolum	0.75	3.0789623596587	1.509
Macroderma_gigas	1.18	3.0789623596587	2.078
Macrophyllum_macrophyllum	0.48	3.0789623596587	0.934
Megaderma_lyra	0.9	3.0789623596587	1.587
Megaderma_spasma	0.79	3.0789623596587	1.354
Mesophylla_macconnelli	0.63	3.0789623596587	0.875
Micronycteris_brachyotis	0.64	3.0789623596587	1.167
Micronycteris_megalotis	0.39	3.0789623596587	0.813
Micronycteris_minuta	0.47	3.0789623596587	0.839
Micronycteris_schmidtorum	0.45	3.0789623596587	0.892
Gardnerycteris_crenulatum	0.47	3.0789623596587	1.072
Miniopterus_australis	0.43	3.0789623596587	0.851
Miniopterus_inflatus	0.59	3.0789623596587	1.173
Miniopterus_magnater	0.57	3.0789623596587	1.176
Miniopterus_pusillus	0.42	3.0789623596587	0.934
Miniopterus_tristis	0.57	3.0789623596587	1.193
Molossus_molossus	0.61	3.0789623596587	1.137
Molossus_rufus	0.79	3.0789623596587	1.526
Monophyllus_plethodon	0.77	3.0789623596587	1.176
Mormoops_megalophylla	0.68	3.0789623596587	1.196
Murina_cyclotis	0.52	3.0789623596587	0.851
Murina_huttoni	0.55	3.0789623596587	0.944
Myotis_adversus	0.54	3.0789623596587	1.049
Myotis_albescens	0.22	3.0789623596587	0.602
Myotis_annectans	0.51	3.0789623596587	0.991
Myotis_bechsteinii	0.67	3.0789623596587	0.978
Myotis_bocagii	0.4	3.0789623596587	0.845
Myotis_dasycneme	0.67	3.0789623596587	1.176
Myotis_myotis	0.83	3.0789623596587	1.408
Myotis_nigricans	0.31	3.0789623596587	0.663
Myotis_siligorensis	0.15	3.0789623596587	0.539
Natalus_tumidirostris	0.49	3.0789623596587	0.839
Noctilio_albiventris	0.72	3.0789623596587	1.515
Noctilio_leporinus	1.03	3.0789623596587	1.763
Nyctalus_noctula	0.66	3.0789623596587	1.431
Nycteris_arge	0.55	3.0789623596587	1.025
Nycteris_grandis	0.8	3.0789623596587	1.474
Nycteris_hispida	0.47	3.0789623596587	0.892
Nycteris_javanica	0.55	3.0789623596587	1.265
Nycteris_macrotis	0.54	3.0789623596587	1.161
Nycteris_thebaica	0.46	3.0789623596587	0.949
Nyctophilus_geoffroyi	0.33	3.0789623596587	0.857
Otomops_martiensseni	0.85	3.0789623596587	1.618
Peropteryx_macrotis	0.3	3.0789623596587	0.748
Phylloderma_stenops	1.2	3.0789623596587	1.664
Phyllostomus_discolor	1.12	3.0789623596587	1.563
Phyllostomus_elongatus	0.94	3.0789623596587	1.652
Phyllostomus_hastatus	1.17	3.0789623596587	1.963
Pipistrellus_javanicus	0.21	3.0789623596587	0.653
Pipistrellus_tenuis	0.12	3.0789623596587	0.591
Afronycteris_nana	0.16	3.0789623596587	0.591
Hypsugo_pulveratus	0.32	3.0789623596587	0.724
Perimyotis_subflavus	0.36	3.0789623596587	0.724
Pteronotus_gymnonotus	0.54	3.0789623596587	1.134
Pteronotus_parnellii_mesoamericanus	0.77	3.0789623596587	1.305
Pteronotus_personatus	0.42	3.0789623596587	0.908
Rhinolophus_cornutus	0.37	3.0789623596587	0.82
Rhinolophus_eloquens	0.71	3.0789623596587	1.281
Rhinolophus_hipposideros	0.31	3.0789623596587	0.663
Rhinolophus_landeri	0.56	3.0789623596587	0.987
Rhinolophus_lepidus	0.36	3.0789623596587	0.778
Rhinolophus_luctus	0.76	3.0789623596587	1.516
Rhinolophus_macrotis	0.43	3.0789623596587	0.799
Rhinolophus_malayanus	0.44	3.0789623596587	0.806
Rhinolophus_megaphyllus	0.49	3.0789623596587	0.991
Rhinolophus_pearsonii	0.58	3.0789623596587	1.143
Rhinolophus_pusillus	0.27	3.0789623596587	0.672
Rhinolophus_trifoliatus	0.52	3.0789623596587	1.164
Rhinolophus_yunnanensis	0.68	3.0789623596587	1.371
Rhinonicteris_aurantia	0.5	3.0789623596587	0.934
Rhinophylla_pumilio	0.65	3.0789623596587	0.949
Rhinopoma_hardwickii	0.59	3.0789623596587	1.111
Rhinopoma_microphyllum	0.7	3.0789623596587	1.468
Rhogeessa_parvula	0.21	3.0789623596587	0.653
Rhynchonycteris_naso	0.15	3.0789623596587	0.58
Saccopteryx_bilineata	0.43	3.0789623596587	0.924
Saccopteryx_canescens	0.21	3.0789623596587	0.531
Saccopteryx_leptura	0.23	3.0789623596587	0.708
Scotomanes_ornatus	0.78	3.0789623596587	1.338
Scotophilus_dinganii	0.65	3.0789623596587	1.386
Scotophilus_kuhlii	0.61	3.0789623596587	1.31
Sphaeronycteris_toxophyllum	0.82	3.0789623596587	1.265
Sturnira_lilium	0.95	3.0789623596587	1.305
Sturnira_ludovici	0.94	3.0789623596587	1.413
Sturnira_tildae	0.95	3.0789623596587	1.387
Tadarida_aegyptiaca	0.75	3.0789623596587	1.248
Taphozous_australis	0.83	3.0789623596587	1.38
Taphozous_hildegardeae	0.8	3.0789623596587	1.438
Taphozous_mauritianus	0.8	3.0789623596587	1.462
Taphozous_melanopogon	0.75	3.0789623596587	1.356
Tonatia_bidens	0.91	3.0789623596587	1.468
Lophostoma_schulzi	0.56	3.0789623596587	1.328
Trachops_cirrhosus	0.94	3.0789623596587	1.567
Triaenops_persicus	0.42	3.0789623596587	1.137
Tylonycteris_pachypus	0.06	3.0789623596587	0.681
Tylonycteris_robustula	0.16	3.0789623596587	0.857
Uroderma_bilobatum	0.93	3.0789623596587	1.21
Vampyressa_pusilla	0.72	3.0789623596587	0.934
Vampyrum_spectrum	1.3	3.0789623596587	2.238
Alouatta_seniculus	2.301	3.0789623596587	3.806
Aotus_trivirgatus	1.923	3.0789623596587	2.919
Ateles_geoffroyi	2.511	3.0789623596587	3.903
Avahi_laniger	1.843	3.0789623596587	3.109
Plecturocebus_moloch	1.937	3.0789623596587	2.954
Callimico_goeldii	1.803	3.0789623596587	2.681
Callithrix_jacchus	1.697	3.0789623596587	2.447
Cebuella_pygmaea	1.465	3.0789623596587	2.146
Cebus_albifrons	2.241	3.0789623596587	3.491
Cercopithecus_ascanius	2.4	3.0789623596587	3.531
Cercopithecus_mitis_mitis	2.391	3.0789623596587	3.799
Cheirogaleus_major	1.77	3.0789623596587	2.653
Cheirogaleus_medius	1.512	3.0789623596587	2.248
Daubentonia_madagascariensis	2.405	3.0789623596587	3.447
Erythrocebus_patas	2.519	3.0789623596587	3.892
Eulemur_fulvus_fulvus	2.076	3.0789623596587	3.146
Galago_senegalensis	1.553	3.0789623596587	2.27
Galagoides_demidoff	1.41	3.0789623596587	1.908
Gorilla_gorilla	3.069	3.0789623596587	5.021
Homo_sapiens	3.417	3.0789623596587	4.813
Hylobates_lar	2.48	3.0789623596587	3.756
Indri_indri	2.312	3.0789623596587	3.796
Lagothrix_lagotricha	2.425	3.0789623596587	3.716
Lepilemur_mustelinus	1.754	3.0789623596587	2.961
Lophocebus_albigena	2.468	3.0789623596587	3.898
Loris_tardigradus_tardigradus	1.614	3.0789623596587	2.508
Macaca_mulatta	2.433	3.0789623596587	3.892
Microcebus_murinus	1.185	3.0789623596587	1.732
Miopithecus_talapoin	2.124	3.0789623596587	3.079
Nasalis_larvatus	2.522	3.0789623596587	4.146
Nycticebus_coucang	1.964	3.0789623596587	2.903
Otolemur_crassicaudatus	1.845	3.0789623596587	2.929
Pan_troglodytes	2.93	3.0789623596587	4.663
Papio_cynocephalus	2.747	3.0789623596587	4.398
Perodicticus_potto	2.057	3.0789623596587	3.061
Pithecia_monachus	2.146	3.0789623596587	3.176
Piliocolobus_badius	2.459	3.0789623596587	3.845
Propithecus_verreauxi	2.201	3.0789623596587	3.542
Pygathrix_nemaeus	2.462	3.0789623596587	3.875
Saguinus_midas	1.612	3.0789623596587	2.531
Saguinus_oedipus	1.782	3.0789623596587	2.58
Saimiri_sciureus_sciureus	1.957	3.0789623596587	2.82
Tarsius_tarsier	1.367	3.0789623596587	2.097
Varecia_variegata	2.314	3.0789623596587	3.477
