Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-fab-005.txt
Log File Name:                   PAL_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1526009440
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	454.194929	1	-1.445958930964	1.437324727864	-0.077952846841	-0.060149815364	0.013513976769	0.000434092289	0.958296998141	N\A	0.097869176783	0.012919279668	0.045354190058	0.007760889140	39	16	
1050000	435.674004	1	-1.316526616707	1.346610159511	-0.066633014812	-0.041959123338	0.008429938296	0.000222838398	0.952643182518	N\A	0.097903110540	0.013614745355	0.045641595468	0.007999971752	42	9	
1100000	470.649361	1	-1.380816255974	1.386231652318	-0.077700459979	-0.038781673031	0.012468550222	0.000151174764	0.964461562010	N\A	0.074034178313	0.009472569654	0.037687818621	0.006502401197	40	14	
1150000	469.435519	1	-1.215062252679	1.303230760676	-0.070666366374	0.039834637228	0.005554462062	0.000198457017	0.967740972341	N\A	0.068823809072	0.009904450738	0.035296666907	0.006617811172	42	13	
1200000	442.501720	1	-1.144340326551	1.252980743212	-0.064194817067	-0.025307927203	0.014994204032	0.000438527257	0.949990033959	N\A	0.091549431100	0.011352934167	0.043054281877	0.007149841998	27	13	
1250000	459.603805	1	-1.406571563673	1.353240957715	-0.077070612077	-0.070156395918	0.023728403982	0.000242694660	0.964851923020	N\A	0.072741599291	0.011741614210	0.036726486037	0.008028503832	46	18	
1300000	445.474336	1	-1.671480526050	1.279924547968	-0.068332446583	0.009249972067	0.008215670178	0.000212388058	0.954767785866	N\A	0.109529711962	0.012392344202	0.051541588671	0.007084153276	41	11	
1350000	428.021600	1	-1.710936948216	1.310262576050	-0.027454593480	-0.093928336676	-0.011885385171	0.000154731401	0.946872927723	N\A	0.113147892830	0.015931305051	0.051457468718	0.009303234183	34	11	
1400000	460.713668	1	-1.503793932915	1.142950406179	-0.040872580215	0.072239839681	-0.010398761765	0.000172833912	0.953242646430	N\A	0.094514178184	0.011867172178	0.046568347734	0.007304999476	34	13	
1450000	443.023913	1	-1.096994754621	1.074049876818	-0.025092263221	0.072674281921	-0.012069412982	0.000192406263	0.956128805652	N\A	0.108629523216	0.016396427388	0.046638401263	0.009204385925	41	10	
1500000	448.816473	1	-1.188410004789	1.216818591274	-0.030978007200	-0.057695477640	0.000448934165	0.000081660784	0.960186658828	N\A	0.088524915049	0.011505576679	0.037994333476	0.006922820515	40	14	
1550000	467.988199	1	-1.278489874093	1.314198641637	-0.055901600858	-0.046967972823	0.009882195329	0.000215368432	0.961287839744	N\A	0.091873717156	0.015331650396	0.040544248743	0.008647373199	32	15	
1600000	465.022366	1	-1.136804268606	1.149764717912	-0.031377571775	0.016924339868	-0.010890126127	0.000200876733	0.956210733270	N\A	0.099038243112	0.015142096830	0.042755949981	0.008327108105	28	14	
1650000	449.918487	1	-0.928244808565	0.938032443979	-0.004325873397	0.073748719903	-0.018967746666	0.000257625196	0.953439622265	N\A	0.124166073120	0.018240972973	0.051000940668	0.009764686297	37	11	
1700000	446.480505	1	-1.250874596995	1.202738335883	-0.037689550045	0.017938538660	-0.012940170153	0.000172141112	0.948459001245	N\A	0.129433045987	0.017794806263	0.057623931638	0.010412990564	37	9	
1750000	440.912483	1	-1.023279848230	1.078091644842	-0.017365514819	0.021761154786	-0.011788283567	0.000214845441	0.965006434982	N\A	0.102244491218	0.014829726620	0.042667207690	0.008103975084	31	11	
1800000	453.465935	1	-1.294414077141	0.994290569767	-0.018973664383	0.110047993453	-0.013731867486	0.000292554094	0.956203583233	N\A	0.090619216465	0.012712328659	0.042846625165	0.007766955910	32	13	
1850000	423.667580	1	-1.306710199202	0.916530406483	0.006365287240	0.172794614440	-0.043224161899	0.000128685334	0.946154220402	N\A	0.119492676827	0.017035595073	0.054603423710	0.009834839037	33	7	
1900000	441.761875	1	-0.442262861814	0.684546188336	0.029947967912	0.181282338692	-0.036202627291	0.000209772174	0.947668989280	N\A	0.122503223233	0.017524974980	0.051052677208	0.009270240505	35	13	
1950000	448.838103	1	-1.361654537086	1.312833683158	-0.071907164553	0.064204833921	-0.003598123287	0.000085375651	0.946072335322	N\A	0.101952096346	0.011834494273	0.051181899758	0.007711775041	49	10	
2000000	434.078281	1	-1.602285146963	1.511230934591	-0.095764177765	-0.098525294152	0.028161246095	0.000225284148	0.952712544066	N\A	0.108114456172	0.013735607995	0.047068573960	0.007747393568	39	7	
2050000	469.946830	1	-1.550924372393	1.424409001537	-0.081463701493	-0.024493274280	0.013119430611	0.000225907306	0.959725884691	N\A	0.083588584997	0.010736521219	0.041642458587	0.006855937397	41	15	
2100000	443.885740	1	-1.211450841919	1.226494839371	-0.046935766504	0.017664191314	-0.000424823640	0.000109048587	0.954569902767	N\A	0.088941768759	0.010472750101	0.044579123328	0.006834477037	35	18	
2150000	461.974302	1	-1.263347154638	1.332518306938	-0.077305283324	-0.002164910517	0.017198282033	0.000219335902	0.962602428712	N\A	0.083047642820	0.011255309408	0.039514664894	0.007013671699	39	12	
2200000	449.013221	1	-1.511397097019	1.457912419829	-0.098063701317	-0.015439557918	0.017916558773	0.000278037538	0.959942903842	N\A	0.085828547772	0.012033393302	0.040205783635	0.007397079372	40	14	
2250000	425.463448	1	-0.908715908332	1.017140613913	-0.011909742142	-0.008074451439	0.000191507595	0.000100031748	0.953176814210	N\A	0.100826360784	0.014487257364	0.047335847783	0.009086174790	43	13	
2300000	451.774934	1	-1.389902449257	1.347951477883	-0.055156437914	-0.053636202372	0.002943540083	0.000181352854	0.957441722260	N\A	0.108923075385	0.015974913486	0.044997892214	0.008684258206	34	12	
2350000	454.456694	1	-1.508677121437	1.432680442025	-0.078053150840	-0.045800615087	0.007533587836	0.000229912220	0.951475775660	N\A	0.099344289794	0.013115502484	0.047533814671	0.007940570394	37	16	
2400000	453.912788	1	-1.340309979706	1.426264013622	-0.077637360283	-0.082820856390	0.020877621833	0.000305253336	0.960733736650	N\A	0.090558260176	0.011225301865	0.041161838804	0.006929014933	32	15	
2450000	436.936411	1	-1.218910887787	1.239892287548	-0.057543562260	0.017842522149	0.004627677468	0.000091073063	0.950720897835	N\A	0.116511765929	0.016381133059	0.049337768980	0.008774972171	40	8	
2500000	448.247029	1	-1.430937171836	1.391547831678	-0.069216624707	-0.094787197566	0.020449662796	0.000180695575	0.955503709428	N\A	0.114445161711	0.016552843524	0.048890099020	0.009337948401	46	9	
2550000	444.132222	1	-1.057349058543	1.013761762891	-0.018139132614	0.098333938785	-0.015469354562	0.000189124685	0.960520286241	N\A	0.111235878214	0.015979862483	0.048082588645	0.009128958809	36	13	
2600000	455.629163	1	-1.312802611107	1.344581599816	-0.068553881648	-0.049327203755	0.014843325793	0.000228880191	0.957535677804	N\A	0.106156290350	0.015885325032	0.045641362627	0.008811306956	34	11	
2650000	434.123731	1	-1.912655486259	1.683801017818	-0.105453954099	-0.161081439844	0.026877096458	0.000173941319	0.952625150986	N\A	0.098210349805	0.012389448197	0.048488895226	0.007991477464	36	6	
2700000	456.387780	1	-1.273863734607	1.306558417543	-0.059305805097	-0.054944573391	0.010851293624	0.000073364792	0.964021841664	N\A	0.081667461874	0.012839402663	0.035917396459	0.007390091380	42	11	
2750000	459.043959	1	-1.152747313737	1.219339490572	-0.051075353056	0.010207211331	-0.000255991835	0.000149186279	0.965606517904	N\A	0.095269619004	0.011542030241	0.045265065524	0.006222337531	44	14	
2800000	452.816721	1	-1.372121444797	1.331776074695	-0.065528755285	-0.021972754760	0.009759780060	0.000224608800	0.960710793336	N\A	0.081223328278	0.010780855460	0.040217115023	0.006925972200	31	13	
2850000	450.080353	1	-1.544050100689	1.447302052667	-0.079570777993	-0.099551495199	0.021163626644	0.000246792019	0.963221351462	N\A	0.099213812433	0.015238992960	0.042951997062	0.008511307240	37	11	
2900000	442.819840	1	-0.819550323407	0.955283953212	-0.012790345919	0.074304007327	-0.008926758825	0.000355389052	0.955692334173	N\A	0.103505625168	0.014968886877	0.044546793320	0.008639420940	39	11	
2950000	450.685793	1	-0.829562444525	0.906345523046	0.011659010366	0.067330320600	-0.027846280695	0.000081839667	0.957373436081	N\A	0.095796574795	0.010809675321	0.048130627944	0.007248904781	38	14	
3000000	426.986268	1	-1.892316230741	1.656559632626	-0.096257354238	-0.138011827215	0.015091169576	0.000202122237	0.949044408745	N\A	0.118948878316	0.016803301763	0.050044160431	0.009152775345	34	14	
3050000	439.870340	1	-1.474060484337	1.457728838011	-0.086245043982	-0.049425656725	0.014367041789	0.000203357492	0.944533976704	N\A	0.110303887780	0.013532214009	0.053389313316	0.008196247188	40	13	
3100000	452.486888	1	-1.324071906559	1.298666319754	-0.058746112974	-0.010431193491	0.004941607089	0.000082362931	0.957506931348	N\A	0.090546667608	0.012616925039	0.043547385993	0.007985071508	32	13	
3150000	463.990341	1	-1.761270814297	1.592499630210	-0.096369165777	-0.127598943883	0.025756579945	0.000146124947	0.961045731375	N\A	0.103127780582	0.014026363456	0.048208329825	0.008654180303	40	18	
3200000	472.629968	1	-1.588550738214	1.508230498673	-0.093295579725	-0.107674059521	0.027181583893	0.000189454375	0.961647785101	N\A	0.080913050533	0.011068170761	0.039634885781	0.007155283218	43	12	
3250000	457.426334	1	-1.296062082630	1.338292421303	-0.056743856588	-0.051988960618	0.001903871197	0.000182856964	0.950900347610	N\A	0.104689799871	0.016495548076	0.045178073150	0.009494191418	41	10	
3300000	442.444637	1	-1.540510819471	1.437721017627	-0.084975070652	-0.034635500702	0.012550461675	0.000206562128	0.955242334284	N\A	0.111145096108	0.018171802352	0.044830525006	0.009501276066	37	9	
3350000	443.238107	1	-1.192765433374	1.178741943482	-0.037534215835	0.006735777234	-0.005560612291	0.000166332121	0.956846268124	N\A	0.104929416701	0.015455620971	0.042624172460	0.008473042451	40	12	
3400000	447.198650	1	-1.068587420513	1.159163051292	-0.043627326800	0.043946712323	-0.001281734473	0.000231286445	0.949579293365	N\A	0.105687967735	0.014226636521	0.048915997256	0.008320104883	32	10	
3450000	450.276904	1	-1.020250512348	1.122342933547	-0.048992018012	0.060617722262	0.003727294703	0.000103954174	0.952865745271	N\A	0.103293302071	0.014537298072	0.047329261733	0.008746528918	45	10	
3500000	445.261267	1	-1.093294099960	1.186040385570	-0.067403608058	0.115651704499	0.001548778374	0.000063436829	0.954359730860	N\A	0.108276420986	0.014611642815	0.048399945738	0.008584068260	37	14	
3550000	448.360211	1	-1.061724959753	1.162722364773	-0.048977277204	0.008359093643	0.009343867003	0.000213198050	0.950225492105	N\A	0.131957695036	0.019075645519	0.054150270399	0.010171583325	29	14	
3600000	453.308070	1	-1.102697496499	1.165612072239	-0.041017164437	0.024887986623	-0.005371308385	0.000135109810	0.959286269342	N\A	0.101517166667	0.015852371066	0.042110100141	0.008496861187	42	13	
3650000	486.736555	1	-1.334530104143	1.451855761106	-0.095678627503	-0.055316276117	0.027281108430	0.000071493072	0.966062142531	N\A	0.079921024261	0.010545296009	0.038350867452	0.006299424073	49	18	
3700000	448.632802	1	-1.348317240260	1.391155916168	-0.089709138134	-0.025436825897	0.021384107650	0.000286505229	0.959152788944	N\A	0.089941530216	0.012775438654	0.041151729516	0.007790576978	39	14	
3750000	454.716440	1	-1.656504622986	1.509255976451	-0.101896951138	-0.017478525927	0.013776851681	0.000233680498	0.960816414726	N\A	0.083061534645	0.011709963909	0.039514995996	0.007267129053	46	9	
3800000	486.053104	1	-1.531995226947	1.528548463523	-0.092099430751	-0.126126992132	0.026563796979	0.000277813991	0.971430178285	N\A	0.056972967082	0.008729039963	0.027421530118	0.005626179095	38	15	
3850000	463.784767	1	-1.411294773092	1.393373818103	-0.071620416221	-0.066136688797	0.015141934324	0.000121240279	0.960681222792	N\A	0.103033013233	0.014664035342	0.046799328214	0.008843949230	35	15	
3900000	475.897017	1	-1.353601614730	1.392118660606	-0.070565192906	-0.066371848704	0.015554175343	0.000288047856	0.962057136506	N\A	0.080991598281	0.010803450681	0.038728697160	0.006967222511	40	15	
3950000	474.475556	1	-1.322432810480	1.319486850903	-0.069226323259	0.020172367285	0.007038073720	0.000120007370	0.962281104114	N\A	0.092560309643	0.011054128565	0.047267186033	0.007384737749	43	18	
4000000	452.846986	1	-1.235485838843	1.297237404585	-0.064428836641	-0.015989069436	0.008204160749	0.000281074092	0.956452117433	N\A	0.112612583974	0.014049641613	0.052525726004	0.008619137859	39	13	
4050000	440.592418	1	-1.358798233672	1.350537103126	-0.068850879869	-0.052004800601	0.012229219384	0.000225091039	0.948285332434	N\A	0.103777986175	0.013091639322	0.050268126075	0.008012473968	39	9	
4100000	439.528564	1	-1.471938124348	1.406163567286	-0.078173011158	-0.054946065892	0.015220730448	0.000174723969	0.954210400239	N\A	0.086672121435	0.011628182519	0.043426995549	0.007625726927	32	11	
4150000	444.763505	1	-1.203453727662	1.093563351621	-0.017845020535	0.011729035151	-0.012182702567	0.000291454979	0.961022209841	N\A	0.096158980432	0.014491828836	0.040471864367	0.007756339528	43	12	
4200000	447.270796	1	-1.448375561941	1.136444407882	-0.028592926057	-0.012571306870	-0.005222245942	0.000197012820	0.952514195838	N\A	0.109426980104	0.016135113775	0.046609686874	0.008832559972	34	9	
4250000	439.091330	1	-1.298043043903	1.175449365123	-0.022528405462	-0.036286693419	-0.006901591990	0.001189864806	0.957068945268	N\A	0.088263465874	0.014543276878	0.036457235811	0.007663191318	47	8	
4300000	445.593273	1	-1.598588285862	1.472307045264	-0.082961459540	-0.097067993301	0.019463263734	0.000159795472	0.963705209815	N\A	0.088190650528	0.015500412276	0.035794526363	0.008533165079	42	11	
4350000	439.540875	1	-1.117711570501	0.928188796525	-0.010878421634	0.100316371531	-0.013371854930	0.000310938346	0.954007414027	N\A	0.139868993363	0.019960785508	0.056570502100	0.010559827417	45	10	
4400000	435.047916	1	-1.564205004169	1.220222618279	-0.045610530361	0.037610143971	-0.006729880611	0.000241434923	0.952217830490	N\A	0.125543040667	0.017939113518	0.054841301153	0.009832480996	38	10	
4450000	462.481927	1	-1.490377470123	1.157578466844	-0.039199266587	0.040974383684	-0.006928466677	0.000203604031	0.955784650004	N\A	0.113952731296	0.016253291082	0.049645983107	0.009020800986	44	10	
4500000	447.490607	1	-1.543868760599	1.246743424772	-0.053602907961	0.011934945966	0.003101563438	0.000179079361	0.953380698638	N\A	0.102806229283	0.012648471140	0.051409122157	0.008226695885	41	13	
4550000	436.807085	1	-1.938383631483	1.479015217480	-0.079365100193	-0.080348669576	0.012545139385	0.000194797117	0.955334107467	N\A	0.116378640082	0.013782439551	0.054955952099	0.008281671921	39	12	
