Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-fab-003.txt
Log File Name:                   SEP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2062888248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	400.794486	1	-0.198739261340	0.644139847613	0.345798125798	-0.009633260817	0.620178281187	0.327112263836	0.510754679978	0.005383712649	-0.029915604093	-0.106939168716	-0.116965710636	-0.103785944497	0.000264500701	0.935523127667	N\A	0.049793612172	0.198190668158	0.183890497051	0.197926267190	0.196005675340	0.265004021329	0.052975575765	0.052064894352	0.054507845931	0.058445835102	0.052904359470	38	15	
1550000	429.405563	1	-0.197713010695	0.520230385086	-0.097334606887	-0.257656933898	0.401160497091	0.135219526896	0.552069402852	0.144435612946	0.067023142937	-0.016558808305	-0.010243237165	-0.024608946514	0.000180570958	0.935178571680	N\A	0.036104577474	0.170103816519	0.153456198640	0.170734694664	0.154053221095	0.212591227516	0.041090496906	0.039776887003	0.043203994478	0.043035210575	0.039536089822	37	15	
1600000	417.941226	1	-0.082389187160	0.634943795087	0.557867572362	0.099453867323	1.208469815726	0.385865225123	0.196865613346	-0.041398800530	-0.050238569711	-0.095852721333	-0.121732208370	-0.106848856275	0.000207646415	0.932998524984	N\A	0.044118672641	0.167920894749	0.160559725522	0.193367474128	0.173998156296	0.235342939351	0.048398476275	0.046841589493	0.051834433144	0.051769458409	0.047384269432	29	14	
1650000	400.895521	1	-0.134767942376	0.631753242106	0.520282050207	0.043891222473	0.203258432039	0.483576095179	0.469565035722	-0.042949397620	-0.028021731902	-0.042699080155	-0.126206027496	-0.137052401501	0.000189685365	0.928040256155	N\A	0.069069331420	0.203054344413	0.197060282914	0.207140211515	0.206108779810	0.255038802659	0.071289363693	0.070900010678	0.072950125446	0.076537098571	0.072497488434	42	8	
1700000	417.518971	1	0.213389786598	0.472712485658	-0.319352714107	-0.542940964786	0.305139468324	-0.240485358801	0.108864781467	0.162073272535	0.098375879868	0.009682928825	0.109953887549	0.071756646161	0.000201113490	0.938782400927	N\A	0.043419100289	0.184592561266	0.166981353524	0.176430657995	0.168354350185	0.231953339330	0.047276737224	0.045921774519	0.048782369476	0.049786600415	0.046801896752	32	7	
1750000	409.655858	1	0.367048512262	0.499049620646	-0.212365027117	-0.461280255062	0.108565221551	-0.100836161152	0.283047119560	0.114014981231	0.092219812179	-0.000568719171	0.012206933228	-0.001976440268	0.000229427599	0.929844020559	N\A	0.044725521585	0.173356897865	0.166661076241	0.178507230066	0.182771498137	0.241749582665	0.048619792605	0.047553171980	0.050295310237	0.055187757260	0.048718140992	31	8	
1800000	410.241665	1	0.165465623972	0.500033622749	-0.001452414584	-0.383820376762	0.308319281840	-0.224920293658	0.064940664934	0.125267727362	0.121070406109	0.038417065569	0.121162257815	0.038248438399	0.000157348122	0.939907239185	N\A	0.039746546153	0.170729178041	0.156370688412	0.163583508150	0.185367852982	0.215029579837	0.042958849009	0.042312454030	0.044242114105	0.056044413077	0.044685777506	39	11	
1850000	432.526983	1	0.416166433458	0.485418375856	-0.153652261800	-0.505035061525	-0.137496559887	-0.511114225618	-0.252835134174	0.144108259730	0.104370351928	0.048813072635	0.133868793325	0.068558423706	0.000229437007	0.942075344245	N\A	0.048571846656	0.173069080587	0.166079412311	0.191355033364	0.185308615422	0.249710567197	0.052442147565	0.050168654233	0.054193239509	0.056490122797	0.052135407848	33	10	
1900000	420.202106	1	1.956085180101	0.361362526150	-1.750539611381	-2.102191127624	-1.599402271236	-1.755787668435	-1.242871289418	0.271810276307	0.257862849902	0.183704018532	0.168323503941	0.148405271860	0.000304508306	0.942996674107	N\A	0.063871370928	0.175470465178	0.163165157055	0.172044255947	0.167119526403	0.247898588898	0.066161734417	0.066025451453	0.067101476829	0.068723145939	0.065406296484	39	15	
1950000	427.679211	1	1.040157904541	0.519216159073	-0.802700817161	-1.136765914740	-0.661176565692	-0.834488959494	-0.925920878995	0.113956051598	0.109398034719	0.028293119786	0.061226128200	0.005561980710	0.000140495482	0.935889664992	N\A	0.045525078289	0.161194378552	0.152468446409	0.190563112111	0.157339394743	0.241243435938	0.048572475795	0.048164910777	0.053581416629	0.052026368864	0.049452949160	34	11	
2000000	437.223703	1	0.841662571512	0.477058041100	-0.740199746343	-1.075287348577	-0.386857110914	-0.804472683667	-0.489208036505	0.148674402194	0.137818330658	0.046419201098	0.095333072667	0.015891737195	0.000263775914	0.938783963913	N\A	0.049725342902	0.189738327988	0.179268175019	0.201346147437	0.194506647636	0.264228524125	0.052483206179	0.051756406189	0.055513589485	0.057289505971	0.052590850887	39	12	
2050000	427.250897	1	0.069322971158	0.558423512861	0.100301284230	-0.230792712557	0.309861706839	0.235104153992	0.256149363114	0.064770753933	0.022610005689	-0.052072841513	-0.057621725577	-0.043045976544	0.000188552756	0.936510758703	N\A	0.056574088368	0.175754143311	0.173302840368	0.179908410194	0.177513794820	0.232581054253	0.059887885526	0.058237061859	0.060331572311	0.062859214978	0.059404732374	33	8	
2100000	427.160380	1	-0.156710660714	0.535547018818	-0.022060553296	-0.319543651550	0.178258261382	-0.130630611772	0.244560065795	0.097373614739	0.066630926530	-0.040825564759	0.033343361762	0.019738627584	0.000199048682	0.943318869125	N\A	0.026430891390	0.128478621405	0.120090216192	0.139263452414	0.127894989288	0.202162101523	0.032243231959	0.029938849211	0.035674821521	0.037339038630	0.032063706783	36	9	
2150000	415.913647	1	-0.184305962162	0.654898276500	0.380882025804	0.172092033692	0.647680873959	0.285372907595	0.529644320278	-0.017757834591	-0.048715399224	-0.134122456672	-0.082620986509	-0.177650443073	0.000181438890	0.933129976526	N\A	0.043474962782	0.170842010388	0.162013726052	0.176067462479	0.165045006078	0.222495827631	0.047434509580	0.046349802522	0.050688514884	0.050265106475	0.046854719648	34	8	
2200000	409.074807	1	0.641027040192	0.551844059286	-0.187639103832	-0.584795204679	0.204991256180	-0.350591788444	-0.408311455493	0.072216020352	0.067587456215	-0.013506514222	-0.013138542803	-0.043398803120	0.000257942855	0.929503808172	N\A	0.049172463894	0.189315817082	0.180791064963	0.202766212417	0.194075402591	0.262840743694	0.052697448253	0.051501379249	0.056601278384	0.058029288088	0.053318973911	32	8	
