Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-glob-005.txt
Log File Name:                   HIP_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2822071792
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	363.158750	1	0.948870794511	0.561479611922	0.317594781511	-0.172214506264	0.229637245134	-0.083701363583	0.286792183177	-0.021978538937	0.055064887594	-0.075138393574	-0.036842769754	-0.047397239179	0.000288627989	0.980955079170	N\A	0.048613017099	0.099733817502	0.091998296542	0.131620214455	0.118105219905	0.199043915857	0.052354787206	0.050720120890	0.054549772055	0.056604270214	0.055593200941	36	12	0.037570593665	Global Trend	
1550000	368.335995	1	0.631492839136	0.600713471153	0.427526067762	-0.021807902390	0.766236879333	0.204474192650	0.470327747334	-0.082311079573	0.024104987136	-0.063937976128	0.021162436021	-0.052278597494	0.000257987612	0.927010662971	N\A	0.045780775508	0.142099468521	0.137971768406	0.197030206567	0.163920867443	0.228455462453	0.048536063752	0.048036792468	0.058114659063	0.059665564400	0.051636239373	38	11	0.000401443769	Global Trend	
1600000	367.197421	1	0.684446625696	0.640531977579	0.189226403911	-0.238366601118	0.575234379700	-0.068683489706	0.278223860959	-0.106756230890	-0.009974662350	-0.091000396446	-0.057830624808	-0.136535010488	0.000675543255	0.932614050833	N\A	0.039533029251	0.118564273844	0.106763461776	0.195664407901	0.126057522000	0.270032970660	0.044251619754	0.043142696678	0.054955833831	0.045185405360	0.044926941704	49	13	0.026969192130	Global Trend	
1650000	369.612129	1	0.672388711498	0.644129699975	0.426436859628	-0.184044252157	0.126525422933	-0.028695511136	0.444704148081	-0.158151754950	-0.055972039504	-0.065168139384	-0.033054524906	-0.101191933638	0.000235887561	0.928893427209	N\A	0.044106903366	0.096822123652	0.086120984195	0.145721622056	0.124144333027	0.182843847230	0.045852818406	0.047222234323	0.054419116230	0.056430665889	0.050148229643	32	12	-0.003468496640	Global Trend	
1700000	356.845800	1	0.627438754496	0.668498306244	0.209117102818	-0.373326147185	0.493430823164	0.018666370607	0.650856815454	-0.162003416047	-0.036249148446	-0.153614744793	-0.162843872958	-0.153948027941	0.000103726550	0.999808884032	N\A	0.046647793624	0.109955677550	0.093890759931	0.200836053265	0.123307406243	0.155414888856	0.048573283386	0.050148964844	0.060892430470	0.059362778172	0.052411404697	33	17	-0.159332551960	Global Trend	
1750000	372.880482	1	0.446282919213	0.473198218033	0.151426256149	-0.430069759404	0.111151813836	-0.387278702094	0.494221063439	0.017583035647	0.085299157735	0.087828254342	0.111903588615	0.043813575424	0.000391312044	0.922003016372	N\A	0.058055396291	0.109888733778	0.099531547126	0.134665642820	0.152157069975	0.265452284672	0.059597116884	0.060302728359	0.063535468780	0.071347325867	0.063068688017	46	16	0.003382845311	Global Trend	
1800000	355.624696	1	1.045579022521	0.330816353804	0.107723377023	-0.431095996866	0.067074217293	-0.007636986324	-0.213297042445	0.153362371491	0.295581667955	0.280609985065	0.206271849971	0.204042321403	0.000533106944	0.961861113443	N\A	0.081586147809	0.118596355019	0.110235915873	0.170237731668	0.131513162151	0.254961895875	0.082795924795	0.083011433458	0.087981805528	0.087727665992	0.085370113922	33	10	0.042068154325	Global Trend	
1850000	371.286226	1	0.505941034181	0.505092661136	0.135682634985	-0.408055375362	-0.224236942279	0.003278146646	0.763247971724	0.012357450729	0.116612193824	0.081947419168	0.021525264801	0.030763986629	0.000507177273	0.948968509371	N\A	0.065800394494	0.113091953787	0.103298208658	0.169974419849	0.114069076326	0.256771982224	0.067884123813	0.067365248036	0.071682429457	0.069995855514	0.070664453020	34	13	-0.020282219165	Global Trend	
1900000	360.030728	1	0.981841787259	0.558941029933	0.461603280302	-0.081966771729	0.147257932615	-0.052242248068	-0.054343841913	-0.055372822566	0.048783191282	0.029952953175	0.065789226982	-0.083451199946	0.000217182428	0.966824039127	N\A	0.042212613674	0.089497313901	0.084318348205	0.124191832917	0.123860817693	0.185715554574	0.044214667045	0.045277001069	0.050248558026	0.059683074068	0.048757210031	40	15	-0.014667828496	Global Trend	
1950000	381.206754	1	0.844645544083	0.564042705276	0.361618391532	-0.209645069272	0.276830070615	0.078338498876	0.212384074981	-0.060343070334	0.033541779679	-0.016038168239	0.011660134854	-0.077725009608	0.000113952485	0.916901882037	N\A	0.049954067882	0.104375204970	0.097573430323	0.117735246185	0.145955993620	0.156536797078	0.052282527379	0.052887655113	0.054511904878	0.061849626183	0.055340398670	24	15	0.000536720846	Global Trend	
