Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-fab-004.txt
Log File Name:                   CEREB_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1629109661
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2350000	573.677134	1	-1.086961151691	1.119964014802	-0.017754441861	0.023205990133	0.000094826301	0.986340136869	N\A	0.036750445685	0.004658525215	0.017709785661	43	1	
2400000	563.695308	1	-0.994527589751	1.056754924810	0.000003790954	-0.020104233353	0.000085162922	0.980392098744	N\A	0.042771631788	0.005303054157	0.019207580310	34	0	
2450000	575.305040	1	-0.979307497679	1.056496609571	-0.010598602497	0.028809756449	0.000077797213	0.984959056668	N\A	0.032160797822	0.004445175036	0.016023350927	36	0	
2500000	571.592070	1	-1.128473636946	1.131849352127	-0.021876250505	0.040614316258	0.000052396411	0.988960058714	N\A	0.035696072480	0.004224816484	0.014684626575	40	2	
2550000	563.184944	1	-0.833311311180	0.965298559648	-0.003042817173	0.061503882682	0.000070523906	0.980025039524	N\A	0.043527103328	0.004850345934	0.017456652686	32	2	
2600000	573.330235	1	-0.958920970121	1.059093434573	-0.014762747406	0.047568393299	0.000075363725	0.985551532683	N\A	0.039867158952	0.004481915518	0.016466108553	31	1	
2650000	568.695054	1	-0.885160489959	0.998022450008	-0.010375939404	0.073194147894	0.000090687918	0.981625534809	N\A	0.041709220159	0.004752240020	0.016823955275	38	1	
2700000	571.115032	1	-1.031159452229	1.072515094113	-0.011273672304	0.031037971263	0.000038440674	0.986688790039	N\A	0.038204914705	0.004189045236	0.015182561198	37	1	
2750000	582.111378	1	-0.989832610306	1.055281784225	-0.010398058320	0.033218927130	0.000092012105	0.985512447221	N\A	0.035842092748	0.004057272118	0.015486610407	44	1	
2800000	564.900801	1	-0.996563367900	1.045433906462	-0.007851565678	0.038598097112	0.000090541729	0.981028318921	N\A	0.042031921505	0.004939400344	0.017763960959	37	0	
2850000	580.315412	1	-0.921914693975	1.027861695354	-0.006667345789	0.024275085664	0.000058237129	0.983223489407	N\A	0.042967498695	0.005045882072	0.017037431804	33	0	
2900000	570.394302	1	-0.894597914899	1.015034862850	-0.009488248134	0.052608674506	0.000081455830	0.982049447207	N\A	0.040500083227	0.004509860395	0.016120038303	41	0	
2950000	564.662078	1	-0.819249193893	0.956750472187	0.005070082808	0.026627976675	0.000092465572	0.983824959151	N\A	0.043953390362	0.004275860494	0.016659256636	29	1	
3000000	564.802351	1	-0.897438373349	1.003318930445	-0.007674344596	0.057353875755	0.000094953742	0.983859286106	N\A	0.043624953524	0.004711239982	0.017793295445	33	0	
3050000	564.582353	1	-0.898902698966	1.020695991559	-0.006561310501	0.026750910835	0.000087858234	0.984683900949	N\A	0.037157287336	0.004355493589	0.015907491907	33	0	
3100000	581.458073	1	-1.008285917568	1.070036336768	-0.007258637176	0.004220396626	0.000094220538	0.984581321997	N\A	0.034616793278	0.004398941221	0.015848823916	34	0	
3150000	574.053331	1	-1.024708057255	1.087915753056	-0.010705341444	0.005444025505	0.000104551852	0.987129939522	N\A	0.040460012250	0.004505798646	0.015208940359	44	1	
3200000	572.307420	1	-1.050627044035	1.101531101727	-0.010976461398	-0.001645544624	0.000079207642	0.985184647720	N\A	0.043364485418	0.004909923182	0.016778781199	34	0	
3250000	571.733325	1	-0.754839332514	0.929040831978	-0.000213729392	0.064756477049	0.000086444466	0.985074089346	N\A	0.039753382020	0.004426195293	0.015428893881	32	2	
3300000	574.175292	1	-1.014949733265	1.072734226431	-0.013977642746	0.037748239182	0.000063938228	0.990502651141	N\A	0.041295915249	0.004597036214	0.014893190695	37	2	
3350000	568.484397	1	-0.948668130352	1.040127846321	-0.008222255483	0.029810279749	0.000048233086	0.981850769883	N\A	0.046418573816	0.005691607402	0.017925384735	37	0	
3400000	573.001035	1	-0.915321170811	1.025055540652	-0.006011668828	0.026752349193	0.000072729897	0.987054913630	N\A	0.039604590217	0.004233029280	0.014989466448	33	0	
3450000	583.681971	1	-1.016234060323	1.077413842133	-0.008928340199	0.005470084247	0.000076807931	0.986608369370	N\A	0.035420294120	0.004188972211	0.014438347436	28	2	
3500000	562.199324	1	-0.948334953839	1.040507401024	-0.008556675230	0.027347562126	0.000068264139	0.985489390083	N\A	0.042577814569	0.004929958326	0.015978355911	36	0	
3550000	571.952585	1	-1.006955930777	1.066050113439	-0.008808959863	0.019804401163	0.000082497783	0.983968830493	N\A	0.043613388306	0.005155559938	0.018060919883	39	0	
3600000	563.641212	1	-0.972698372750	1.027432171374	-0.001822489210	0.015853038262	0.000043051614	0.987925719431	N\A	0.035633564858	0.004536295389	0.015171940900	46	0	
3650000	570.689568	1	-0.979117248709	1.063927873418	-0.013228962139	0.035551943961	0.000009394105	0.985852196765	N\A	0.041642553281	0.004696097947	0.015945397722	38	1	
3700000	571.257156	1	-0.999387796664	1.055433077098	-0.009803781098	0.029418830005	0.000017228349	0.988531471383	N\A	0.035083384513	0.004340744263	0.015445299499	44	1	
