Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m5-glob-002.txt
Log File Name:                   NEO_d1_m5-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4109002899
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m5-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	651.627870	1	-1.240679395947	1.193258199827	-0.013649524520	0.000047337067	0.990670214642	N\A	0.023733420934	0.003216667170	32	4	-0.000489399002	Global Trend	
1050000	660.007206	1	-1.136173255468	1.178300095359	-0.012063271689	0.000032167038	0.991993557371	N\A	0.019772043086	0.002542955968	42	6	-0.000315745690	Global Trend	
1100000	657.094240	1	-1.085462331608	1.177903585821	-0.012199251115	0.000029522448	0.990728415024	N\A	0.022274183773	0.003004060163	27	5	0.000731963437	Global Trend	
1150000	654.232300	1	-1.088876957183	1.146131122311	-0.008577387476	0.000062803523	0.991361691417	N\A	0.022142424204	0.003040672767	35	3	0.000732062755	Global Trend	
1200000	650.044341	1	-1.077146816278	1.141038533894	-0.008071673176	0.000052753103	0.995105651982	N\A	0.018118606423	0.001987017441	37	4	0.000015216637	Global Trend	
1250000	653.325376	1	-1.150248897192	1.165406016680	-0.010670238595	0.000089388068	0.993602092308	N\A	0.019298566449	0.002444077924	35	6	0.001033427137	Global Trend	
1300000	642.668818	1	-1.060975104708	1.153906456827	-0.007962755223	0.000085509768	0.992304961555	N\A	0.018915767808	0.002424516009	43	3	0.002608638439	Global Trend	
1350000	660.378630	1	-1.002932460759	1.126380948312	-0.007271834424	0.000035979874	0.993060361177	N\A	0.019525664241	0.002510963186	44	3	0.000767733062	Global Trend	
1400000	651.070936	1	-1.037317432705	1.146636380364	-0.007360754901	0.000066172739	0.992678668557	N\A	0.019324534512	0.002430713973	35	2	0.002190125616	Global Trend	
1450000	653.536883	1	-1.124543057511	1.162062346058	-0.010114415472	0.000075570444	0.994104731701	N\A	0.018390796173	0.002282951767	43	4	0.000905702710	Global Trend	
1500000	657.763477	1	-1.079172290187	1.169692717903	-0.010995459545	0.000055666344	0.991961432840	N\A	0.019375421241	0.002547971835	43	4	0.002648319561	Global Trend	
1550000	653.298940	1	-1.204875823063	1.153212369538	-0.007509442358	0.000070556319	0.991619022731	N\A	0.021512146000	0.002954314164	35	3	-0.002773607920	Global Trend	
1600000	658.807285	1	-1.147697304934	1.144829635249	-0.009239808518	0.000044756007	0.992091063509	N\A	0.017727691956	0.002345241576	32	6	-0.002188946758	Global Trend	
1650000	665.526877	1	-1.180658329872	1.163082483883	-0.009660217092	0.000050364289	0.992182155114	N\A	0.022968640065	0.003044116042	53	5	-0.000380526309	Global Trend	
1700000	672.798577	1	-1.009342462588	1.162733777696	-0.010885567856	0.000109793772	0.992540189157	N\A	0.020120252078	0.002679227053	35	7	0.007437603347	Global Trend	
1750000	670.606355	1	-1.098547832177	1.209361973365	-0.016598457305	0.000026921318	0.993181812981	N\A	0.020271518056	0.002712078864	34	7	0.000769060402	Global Trend	
1800000	669.403694	1	-0.959403049168	1.146590227200	-0.009034404306	0.000009896071	0.993418426793	N\A	0.016673424851	0.002132632813	44	6	0.000532847060	Global Trend	
1850000	648.661324	1	-1.155108927910	1.154150951631	-0.009553503347	0.000042571226	0.992447347604	N\A	0.019601868262	0.002445111802	41	3	-0.000419400522	Global Trend	
1900000	660.094989	1	-1.087676476666	1.123810128252	-0.005912944125	0.000069243580	0.992152017290	N\A	0.020029528799	0.002541208420	39	5	-0.000523759888	Global Trend	
1950000	663.127526	1	-1.247182314435	1.177382852623	-0.011984420136	0.000043285108	0.992573529029	N\A	0.020026267324	0.002683559553	43	5	-0.002343471988	Global Trend	
2000000	655.529858	1	-1.150625948567	1.155840417145	-0.009302795250	0.000063223592	0.993618253390	N\A	0.017647345477	0.002163742747	42	3	-0.001195968312	Global Trend	
2050000	652.009433	1	-1.100583073423	1.157765710384	-0.010187911750	0.000112540622	0.992758515986	N\A	0.018919788244	0.002306310807	42	3	0.001951904256	Global Trend	
2100000	640.303150	1	-0.985813568572	1.170451708275	-0.012870850278	0.000037240603	0.992863764831	N\A	0.017880322445	0.002285446070	40	2	0.001577245153	Global Trend	
2150000	655.541131	1	-1.085932224308	1.205970240479	-0.015105705467	0.000022467537	0.992287315743	N\A	0.019072575126	0.002465794105	45	2	0.000884448296	Global Trend	
2200000	651.502724	1	-1.065973218501	1.217875740155	-0.017080929327	0.000032504243	0.992863515134	N\A	0.019111803101	0.002486721967	52	1	0.001894107624	Global Trend	
2250000	658.525859	1	-0.977304084601	1.147453872773	-0.007096673522	0.000052489989	0.993570835941	N\A	0.017639719725	0.002269487546	35	1	0.003034287100	Global Trend	
2300000	664.906301	1	-0.872124707081	1.153104087604	-0.009065015820	0.000052558747	0.993709136411	N\A	0.015974557617	0.002124239000	47	1	0.004431564943	Global Trend	
2350000	653.626881	1	-0.957486917413	1.160273778305	-0.008365275863	0.000072666370	0.992000632825	N\A	0.017709165159	0.002276162026	52	4	0.005198502818	Global Trend	
2400000	657.044830	1	-0.875127600278	1.136748773721	-0.007422450609	0.000052325974	0.992697611808	N\A	0.015935051042	0.002116734710	41	2	0.005518392630	Global Trend	
2450000	644.913587	1	-1.105876532785	1.186003898826	-0.013138381707	0.000099187090	0.992357518410	N\A	0.019071065163	0.002354293951	47	2	0.000617724282	Global Trend	
2500000	647.431594	1	-1.023258491694	1.191243103719	-0.014838849923	0.000060683200	0.992408710452	N\A	0.021546735607	0.002753807230	34	5	0.001376460486	Global Trend	
2550000	649.267872	1	-0.944945825971	1.146901295614	-0.008557158452	0.000082367423	0.992037082312	N\A	0.018645839237	0.002468857080	36	4	0.004599089692	Global Trend	
2600000	645.337470	1	-0.987000852774	1.149452750340	-0.008375268938	0.000319279759	0.992989683315	N\A	0.018928783330	0.002274700083	47	2	0.003531500276	Global Trend	
2650000	650.902807	1	-0.951760060977	1.132693919647	-0.005664678179	0.000269569708	0.992642635559	N\A	0.017825403254	0.002277814311	28	3	0.016716124196	Global Trend	
2700000	654.712164	1	-0.902584512374	1.096052842224	-0.001000759238	0.000220814813	0.991156623985	N\A	0.019255088395	0.002494195415	45	2	0.012670993036	Global Trend	
2750000	651.505425	1	-1.161654386726	1.179604137095	-0.011846896027	0.000085600396	0.993829232935	N\A	0.018036116067	0.002197356573	41	4	0.001755736870	Global Trend	
2800000	652.478567	1	-1.149673419133	1.163845902632	-0.009295246490	0.000056209520	0.991385840638	N\A	0.021302690729	0.002803941850	38	3	0.001591742746	Global Trend	
2850000	645.646245	1	-1.138580616376	1.155019933414	-0.008181532555	0.000086974031	0.992225834442	N\A	0.019440488568	0.002444043599	42	3	0.001087298713	Global Trend	
2900000	656.759502	1	-1.113229781612	1.126152958882	-0.005175053466	0.000029502554	0.991872676933	N\A	0.019538802135	0.002693859057	40	3	-0.000611665763	Global Trend	
2950000	643.074327	1	-0.838925056217	1.091175620695	-0.002303196257	0.000058413230	0.993862101448	N\A	0.014904555240	0.001868387683	37	2	0.005733554007	Global Trend	
3000000	650.805390	1	-1.132759331073	1.186968522806	-0.013242915997	0.000142260995	0.993622261475	N\A	0.021372555741	0.002722119212	39	4	0.000815567733	Global Trend	
3050000	640.769848	1	-1.083205170839	1.186469883520	-0.012102173407	0.000131075687	0.992730108719	N\A	0.019246421894	0.002351312705	39	2	0.002077826325	Global Trend	
3100000	650.972064	1	-1.068949043321	1.167367132693	-0.010538721396	0.000055582538	0.991865799980	N\A	0.020031048342	0.002607580493	41	1	0.000745717903	Global Trend	
3150000	651.506160	1	-1.039767796412	1.112668558900	-0.003033993845	0.000073259988	0.993215550881	N\A	0.018514550239	0.002290140940	39	2	0.001564822430	Global Trend	
3200000	654.057270	1	-1.082074520407	1.135832567278	-0.008303446679	0.000061945610	0.992969171955	N\A	0.018463299975	0.002312614455	41	4	-0.000460917077	Global Trend	
3250000	647.502198	1	-1.052162487393	1.134711204757	-0.006586922821	0.000050101845	0.992609081995	N\A	0.019363168954	0.002499978628	36	4	0.001988333480	Global Trend	
3300000	642.320242	1	-1.123682894641	1.156172880872	-0.007601266228	0.000032457796	0.989906208508	N\A	0.023337856730	0.003290912763	41	4	0.000791440294	Global Trend	
3350000	656.028087	1	-1.095271936642	1.189798029163	-0.011796226281	0.000085418350	0.993221650142	N\A	0.019577333595	0.002521730231	32	5	0.003310597730	Global Trend	
3400000	657.375152	1	-0.874831120944	1.123674065087	-0.004954060085	0.000085241299	0.993405383712	N\A	0.016586214217	0.002229000715	40	1	0.007084341935	Global Trend	
3450000	665.592384	1	-0.964745177677	1.168005715791	-0.010129073538	0.000088759452	0.992314383320	N\A	0.017494905835	0.002313835233	38	1	0.008329817082	Global Trend	
3500000	654.490776	1	-0.995354163057	1.173761310840	-0.010889659579	0.000031173750	0.992425082531	N\A	0.019342144099	0.002561755819	38	1	0.001159207002	Global Trend	
3550000	646.636692	1	-0.935653865306	1.156471625054	-0.009148742853	0.000170025353	0.991163320921	N\A	0.020059794015	0.002784903937	29	4	0.006802635710	Global Trend	
3600000	658.467735	1	-1.125765763035	1.159605175115	-0.008762608514	0.000098970963	0.992751974905	N\A	0.019532854218	0.002388892226	43	4	-0.000976831469	Global Trend	
3650000	648.771162	1	-0.966299579227	1.167249632323	-0.010019774297	0.000058271815	0.993039619129	N\A	0.018356392550	0.002390980969	36	2	0.003109659426	Global Trend	
3700000	662.263377	1	-1.155416314499	1.205142290714	-0.014002527784	0.000116160739	0.992771837398	N\A	0.020934994589	0.002786014582	41	5	0.003882419783	Global Trend	
3750000	652.476658	1	-1.181040090648	1.170301771899	-0.010718366576	0.000065662409	0.992255710698	N\A	0.021100142958	0.002725058315	33	6	0.000518735581	Global Trend	
3800000	656.703188	1	-1.205795326436	1.167033012104	-0.009369345107	0.000040819148	0.992571770275	N\A	0.020006732421	0.002470644940	35	4	-0.000216771398	Global Trend	
3850000	643.326986	1	-1.136756049150	1.166889935286	-0.010491801536	0.000020696461	0.991029240439	N\A	0.024576817365	0.003382083323	42	3	0.000684752776	Global Trend	
3900000	652.325024	1	-1.128781137977	1.168318802120	-0.011027453310	0.000027297224	0.992721905141	N\A	0.022854279454	0.002979953881	45	2	0.000215424857	Global Trend	
3950000	645.033255	1	-1.035090849763	1.166267069253	-0.009066608532	0.000067373803	0.992505611228	N\A	0.019584082882	0.002637407958	37	3	0.001797968402	Global Trend	
4000000	651.775259	1	-0.930439421926	1.159736908779	-0.009751643452	0.000107713317	0.993361711603	N\A	0.018184045048	0.002241519063	39	3	0.004089530386	Global Trend	
4050000	653.278354	1	-0.784517501898	1.107628767997	-0.004430444226	0.000148165245	0.992582944134	N\A	0.016180511696	0.002136431703	40	3	0.013298276796	Global Trend	
4100000	659.825764	1	-1.031021860881	1.153729851115	-0.009059838546	0.000297246711	0.992040656355	N\A	0.019243372436	0.002571004399	38	4	0.009235949728	Global Trend	
4150000	646.428184	1	-0.964058242240	1.162009563773	-0.010388783373	0.000067822156	0.993613931644	N\A	0.017362498666	0.002124847979	40	2	0.003163874065	Global Trend	
4200000	654.718195	1	-0.870773078768	1.110738413086	-0.003961465345	0.000042138451	0.993646933045	N\A	0.016419374910	0.002151243344	44	3	0.003235833626	Global Trend	
4250000	653.269895	1	-0.948054622063	1.114799851136	-0.003041983763	0.000008983842	0.992376948147	N\A	0.018986522694	0.002589633738	55	4	0.000326126158	Global Trend	
4300000	656.284597	1	-0.972737972326	1.153725266654	-0.008720954585	0.000035338200	0.993505867815	N\A	0.017519395150	0.002209265107	42	2	0.001844092127	Global Trend	
4350000	654.194347	1	-1.104363205129	1.201520532866	-0.014849295486	0.000037776932	0.993154453474	N\A	0.018549264164	0.002296430922	33	1	0.000955688006	Global Trend	
4400000	659.564396	1	-0.942921986265	1.129322925839	-0.006245809836	0.000058008252	0.994041069877	N\A	0.018956554728	0.002359789678	32	4	0.002447376127	Global Trend	
4450000	649.730201	1	-1.063071512013	1.171623241909	-0.011300424678	0.000038932244	0.991833434676	N\A	0.020499180848	0.002630623170	53	3	0.001393823406	Global Trend	
4500000	645.864980	1	-1.056868044858	1.177662305728	-0.011971301953	0.000047390163	0.994006789214	N\A	0.017658136791	0.002067900552	41	2	0.000514901136	Global Trend	
4550000	657.299649	1	-0.864388576624	1.149897770781	-0.009716597548	0.000113922254	0.993750326339	N\A	0.016689897884	0.002049714179	39	3	0.006622703866	Global Trend	
